[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[01:55:01.360 --> 01:55:05.360]  That's good. It's good that it's, it's a fun, what a crazy week.
[01:55:05.360 --> 01:55:18.360]  It's super crazy. Um, uh, one other meta thing, and I haven't done this while I was saving it for your show. Yeah. Uh, you being the guest on the show is I, I joke sometimes that the, uh, the, the show is America's favorite three star podcast.
[01:55:18.360 --> 01:55:35.360]  Uh, but it's actually is still rated three stars in iTunes. Uh, it's started off with very low ratings when I, when I, when I split with our old friend Dan Benjamin and there were some people who were not upset about it and left, left a lot of very, very poor reviews.
[01:55:35.360 --> 01:55:50.360]  That's some other called activist reviewers, activist reviewers. Um, and, and you know, that's what the system is there for. That's why I can't delete them. I wouldn't delete them even if I could. Fair is fair. You know, that's the way the system works. Um, but I know for us to die in your sleep.
[01:55:50.360 --> 01:56:07.360]  A lot of other shows often remind their, their viewers to, to leave a review and, and do that. Um, and apparently I've been told that this is actually true, that it actually does help in the, uh, the iTunes, you know, there's like a manual system where iTunes,
[01:56:07.360 --> 01:56:21.360]  the people who work there in the podcast can manually promote shows. Um, um, but like the automated stuff and getting, uh, high in those rankings, uh, definitely helps to get good reviews and that it can grow the audience.
[01:56:21.360 --> 01:56:31.360]  And maybe I shouldn't be so, uh, I don't know what's the word koi and I don't want to ask people to leave reviews. Um, but I'm, I'm asking.
[01:56:31.360 --> 01:56:43.360]  I'll say it, I'll say it for you. Um, it's, it's, it's very difficult to know what doesn't does or doesn't always help when you've got a podcast. There's a lot of black boxes in podcasting.
[01:56:43.360 --> 01:56:51.360]  What I'll say is this, if like me, you enjoy John's show, consider going, leave a nice review, leave a five star review to offset the activist reviewers.
[01:56:51.360 --> 01:56:53.360]  Oh no, no, leave an honest review.
[01:56:53.360 --> 01:57:07.360]  Don't ask for that. Don't ask for that. You got to know window. Here's the thing. You got to know when to hold them. Okay. Got to know when to fold them. Number three, you got to know when to walk away.
[01:57:07.360 --> 01:57:17.360]  And finally fourth, you got to know when to run. Oh, this is number five. Don't count your money when you sit at the table. Oh, and so finally turns out the best you can hope for is to die in your sleep.
[01:57:17.360 --> 01:57:29.360]  I have always also thought that some of the worst advice you'll ever hear is to not count your money while you're gambling.
[01:57:29.360 --> 01:57:40.360]  Anybody listening and overcast, you could use their little recommendation dingus as well and promote the show. But anyway, if you like the show, do me a favor and say good things about it.
[01:57:40.360 --> 01:57:49.360]  Anyway, I'll see some of you guys soon. We should have at least one more show before the live one, but look forward to seeing you guys who will be there at the live show.
[01:57:49.360 --> 01:58:08.360]  My thanks to you, Merlin Mann, for your generous use of your time and your thoughts. And my thanks to our sponsors today, mad.com, the daily deal site, mad.com, the forum where you can go and read cool articles by Glenn Fleishman and others.
[01:58:08.360 --> 01:58:14.360]  And last but not least, mad.com. Fuck those guys.
[01:58:14.360 --> 01:58:22.360]  You got to accept every free drink. Try not to overthink. Trust your dumb luck. Don't give a fuck.
[01:58:22.360 --> 01:58:31.360]  You got to blow your fortune before you even realize the best that you could hope for is to lay down and die.
[01:58:31.360 --> 01:58:41.360]  Good night, everybody.
