[00:00.000 --> 00:02.000]  You a Letterman fan?
[21:53.280 --> 21:58.120]  to listen to podcasts, I still need my phone, so I'm still got my phone on my arm while
[21:58.120 --> 21:59.120]  I'm running.
[21:59.120 --> 22:04.160]  I have it paired with my phone all at 99.9% of the time.
[22:04.160 --> 22:08.880]  I did pair it to the watch while testing it to see if it worked, and it did work, but that's
[22:08.880 --> 22:13.680]  really only good for music that you stick on your watch.
[22:13.680 --> 22:19.760]  So strange, they didn't launch with podcast support, but why are you trying to get
[22:19.760 --> 22:20.760]  to the guest?
[22:20.760 --> 22:21.760]  Yeah.
[22:21.760 --> 22:22.760]  Who knows?
[22:22.760 --> 22:25.000]  Who knows what the schedule is for third party apps?
[22:25.000 --> 22:27.840]  I mean, a watch kit app is never going to be able to do it.
[22:27.840 --> 22:28.840]  There's no way.
[22:28.840 --> 22:35.280]  Marco can't make overcast store anything locally on the watch yet, right?
[22:35.280 --> 22:40.080]  It's all, you know, watch kit is all stuff that runs and stores stuff on the phone.
[22:40.080 --> 22:44.480]  So the only way that you could get podcasts on it now would be if you put the actual podcast
[22:44.480 --> 22:48.360]  episodes in your iTunes library, and then made a playlist in iTunes, I mean, this sounds
[22:48.360 --> 22:53.120]  like having an iPod in 2002, you make a playlist, and then you tell your watch, that's
[22:53.120 --> 22:54.720]  the playlist I want to sync to.
[22:54.720 --> 22:59.600]  But then you're stuck managing your podcast by hand like, you know, like an animal.
[22:59.600 --> 23:03.840]  Yeah, that's not worth it yet.
[23:03.840 --> 23:05.480]  No.
[23:05.480 --> 23:06.760]  I mean, it wouldn't theory be nice.
[23:06.760 --> 23:10.000]  I would love to go running without the phone and just have the watch, and I don't care
[23:10.000 --> 23:14.160]  about GPS, so that wouldn't bother me, but it's to have the podcast to listen to, I still
[23:14.160 --> 23:16.320]  need the phone.
[23:16.320 --> 23:18.640]  Cool.
[23:18.640 --> 23:21.680]  What else you got?
[23:21.680 --> 23:22.680]  Correction wise.
[23:22.680 --> 23:23.680]  Oh, one more thing.
[23:23.680 --> 23:24.960]  And this is like super nerdy.
[23:24.960 --> 23:30.800]  This was last week with David Sparks on the show, and I said, it was my mistake.
[23:30.800 --> 23:36.760]  Not his that RTF, you know, the rich text format that text edit has long defaulted to,
[23:36.760 --> 23:43.120]  I think all the way back to the next days, even before next was purchased by Apple, you
[23:43.120 --> 23:47.520]  know, the rich text format, and that's a Microsoft originated format with sort of cross
[23:47.520 --> 23:52.280]  platform style text, it wasn't supported in iOS.
[23:52.280 --> 23:56.040]  I said it still isn't supported in iOS, and I was talking about the complications that people,
[23:56.040 --> 24:02.120]  you know, you have if you, if you store your text in anything, but plain text, that long
[24:02.120 --> 24:08.520]  term, eventually, whatever style text format you have chosen to use is not going to be supported
[24:08.520 --> 24:09.520]  anymore.
[24:09.520 --> 24:13.440]  And it turns out rich text format is in iOS as a iOS 7.
[24:13.440 --> 24:16.320]  iOS 7 added it, and I'll put a link in the show notes.
[24:16.320 --> 24:23.680]  There's an NSR at RTF text document type in iOS as a iOS 7.
[24:23.680 --> 24:27.840]  But so it's not even that recent, I guess, I guess it's two years ago, but I didn't
[24:27.840 --> 24:28.840]  know that.
[24:28.840 --> 24:32.400]  But anyway, from iOS one through six, there was no RTF support.
[24:32.400 --> 24:33.800]  So I was kind of right.
[24:33.800 --> 24:38.560]  What format does the notes app use?
[24:38.560 --> 24:39.880]  That's a very good question.
[24:39.880 --> 24:47.440]  I think that it now uses HTML under the hood.
[24:47.440 --> 24:48.440]  Hmm.
[24:48.440 --> 24:49.440]  Interesting.
[24:49.440 --> 24:51.200]  Because I believe it does styling, right?
[24:51.200 --> 24:54.800]  You can, yeah, it didn't use to and now it does.
[24:54.800 --> 24:59.720]  And I believe it's HTML, it's some kind of HTML under the hood, but you're not supposed
[24:59.720 --> 25:00.720]  to know that.
[25:00.720 --> 25:01.720]  Yeah.
[25:01.720 --> 25:02.720]  Interesting.
[25:02.720 --> 25:03.720]  What is Vesper use?
[25:03.720 --> 25:04.720]  It's plain text.
[25:04.720 --> 25:05.720]  Oh, that's right.
[25:05.720 --> 25:06.720]  Right.
[25:06.720 --> 25:09.720]  Which, you know, was a very deliberate choice on our part.
[25:09.720 --> 25:10.720]  Yeah.
[25:10.720 --> 25:11.720]  Cool.
[25:11.720 --> 25:17.680]  I think that's it, I think that I now, I think I've cleared the deck on corrections and
[25:17.680 --> 25:18.680]  mistakes.
[25:18.680 --> 25:23.080]  Speaking of those Bluetooth earbuds, while I remember, though I did go into the Apple
[25:23.080 --> 25:28.560]  Store a few weeks ago and just kind of looking at the options that were out there, in
[25:28.560 --> 25:31.400]  case I was going to do an impulse purchase.
[25:31.400 --> 25:35.760]  And the guy there kind of showed me all the different options.
[25:35.760 --> 25:41.840]  And that's the one that he recommended, but they even those looked a little, a little cumbersome.
[25:41.840 --> 25:42.840]  Which ones?
[25:42.840 --> 25:45.120]  Yeah, the Beats ones, the ones that you have.
[25:45.120 --> 25:46.120]  Yeah.
[25:46.120 --> 25:47.120]  Do you know what drives me?
[25:47.120 --> 25:48.120]  That's about them.
[25:48.120 --> 25:54.200]  I know that they didn't make them, they're probably designed before the Beats acquisition
[25:54.200 --> 25:55.360]  by Apple.
[25:55.360 --> 25:58.320]  And I know that they're, you know, they're made for anybody, you know, they're not
[25:58.320 --> 26:01.720]  like meant to be paired with an Apple product, they're meant to be paired with any product
[26:01.720 --> 26:04.400]  that supports Bluetooth.
[26:04.400 --> 26:10.560]  But the little clicky thing for plus minus and play pause and that has the microphone on
[26:10.560 --> 26:14.400]  it is on the left string, not the right string.
[26:14.400 --> 26:16.640]  And every Apple one ever made is on the right string.
[26:16.640 --> 26:19.960]  And so I still have the habit where if I go to pause it while I'm wearing them, I reach
[26:19.960 --> 26:25.320]  up with my right hand and I fish around and can't feel it.
[26:25.320 --> 26:30.720]  I've experienced the same thing, these bows headphones I'm wearing now have it on the left.
[26:30.720 --> 26:34.480]  You're your phone pod, I guess, or whatever you'd call it.
[26:34.480 --> 26:36.000]  Why would you do that if you're a designer?
[26:36.000 --> 26:39.120]  Like, I know that you can't just say, well, Apple did it this way.
[26:39.120 --> 26:42.840]  So it's a standard, but it's a de facto standard because nobody makes more headphones
[26:42.840 --> 26:43.840]  than Apple.
[26:43.840 --> 26:47.160]  I think Apple's probably like the number one headphone maker in the world, there's probably
[26:47.160 --> 26:52.120]  more pairs of those white earbuds out there than any other headphone in the existence.
[26:52.120 --> 26:56.960]  I guess in this case, because there is only one cord coming off of them, these are canned
[26:56.960 --> 27:01.440]  headphones, earbuds, I guess, by definition, you have to have two cords.
[27:01.440 --> 27:08.760]  So all the earbuds I've seen do it on the right, but I don't know.
[27:08.760 --> 27:09.760]  Strange.
[27:09.760 --> 27:10.760]  Yeah.
[27:10.760 --> 27:15.640]  All right, let me take a break and thank our first sponsor and it's our good friends
[27:15.640 --> 27:18.800]  at Squarespace, long time supporters of the show.
[27:18.800 --> 27:19.800]  Here's the thing.
[27:19.800 --> 27:23.440]  I talk about Squarespace all the time because they're often sponsored the show.
[27:23.440 --> 27:28.320]  This way to think about Squarespace is that they are like next generation.
[27:28.320 --> 27:32.360]  They're like leveling up on hosting your own website.
[27:32.360 --> 27:35.960]  The old-school way of hosting a website is you get some kind of account and then you
[27:35.960 --> 27:42.400]  have a bunch of folders and directories that you SFTP in and you just make all your sites
[27:42.400 --> 27:47.880]  with files and images and throw them up there and do this.
[27:47.880 --> 27:49.640]  Squarespace is so much far beyond that.
[27:49.640 --> 27:50.640]  They're not a web host.
[27:50.640 --> 27:53.280]  They are an all-in-one platform.
[27:53.280 --> 27:58.400]  And you start with something that is so much more advanced.
[27:58.400 --> 28:03.440]  It's like if you're making an app in today's world, you start with these incredible
[28:03.440 --> 28:11.680]  frameworks, you know, like Cocoa for iOS or the Android frameworks for Android.
[28:11.680 --> 28:13.760]  Squarespace is like that for a website.
[28:13.760 --> 28:19.000]  You start with this tremendous framework that has all this sort of stuff you need and you're
[28:19.000 --> 28:21.880]  working at such a higher level.
[28:21.880 --> 28:28.040]  And it is great for both sides of the expertise fence.
[28:28.040 --> 28:33.720]  If you are the sort of person who doesn't know the technical stuff like HTML syntax, how
[28:33.720 --> 28:39.680]  to write JavaScript, how to write CSS, it's great because you can design your own website
[28:39.680 --> 28:44.360]  visually like using an app, just looking at it and making it look the way you think it should
[28:44.360 --> 28:47.200]  look and then that's the way it really is.
[28:47.200 --> 28:50.360]  But if you have the technical expertise and I'll bet a lot of people who listen to this
[28:50.360 --> 28:56.400]  show do and you know how to build your own site by hand with HTML and stuff like that.
[28:56.400 --> 28:58.200]  You might think well then I don't need Squarespace.
[28:58.200 --> 29:02.720]  Well you don't need it but it could really, really just give you a leg up and you can
[29:02.720 --> 29:03.720]  get started.
[29:03.720 --> 29:09.680]  You can be finished in minutes maybe, but hours even with a lot of tweaking as opposed
[29:09.680 --> 29:15.600]  to days or weeks because they give you the hooks where if you want to inject your own
[29:15.600 --> 29:21.520]  JavaScript into a page because you're using some kind of thing that has a JavaScript API.
[29:21.520 --> 29:22.520]  You can do that.
[29:22.520 --> 29:27.160]  If you want to tweak the CSS, you don't want to just use the visual stuff.
[29:27.160 --> 29:30.000]  You actually want to get in there and do something specific in the CSS.
[29:30.000 --> 29:31.280]  You can do that too.
[29:31.280 --> 29:36.880]  So you've got the automatic mode but you can like switch to manual if you want.
[29:36.880 --> 29:41.240]  Really, really great stuff and you can just save so much time and be relieved of so many
[29:41.240 --> 29:44.040]  details that you don't need to worry about.
[29:44.040 --> 29:48.240]  When it looks professional, so many professionally designed templates to choose from and
[29:48.240 --> 29:51.600]  they're all just starting points where you can tweak them and modify them from there.
[29:51.600 --> 29:55.240]  You can use it to build just about any sort of site you can imagine.
[29:55.240 --> 29:59.440]  An online store, Squarespace has their own commerce stuff, a blog.
[29:59.440 --> 30:01.120]  You can use it for podcasting.
[30:01.120 --> 30:04.560]  They have their own Dave and let you host the audio there.
[30:04.560 --> 30:06.800]  They take care of everything.
[30:06.800 --> 30:08.240]  Where do you go to find out more?
[30:08.240 --> 30:13.480]  If you have a website to build any kind of idea for a website, go to Squarespace.com.
[30:13.480 --> 30:17.640]  You get a free trial, you can do everything with it, with the free trial and you don't
[30:17.640 --> 30:19.560]  need to put a credit card in advance.
[30:19.560 --> 30:24.880]  And then when you are ready to buy, use this offer code, JG, just my initials JG and you
[30:24.880 --> 30:28.200]  will save 10% off your first purchase.
[30:28.200 --> 30:32.160]  So my thanks to Squarespace, build it beautiful.
[30:32.160 --> 30:34.000]  That's their new slogan.
[30:34.000 --> 30:35.000]  So what's going on?
[30:35.000 --> 30:36.000]  You know what?
[30:36.000 --> 30:37.000]  I got yesterday.
[30:37.000 --> 30:38.000]  What's that?
[30:38.000 --> 30:40.600]  I got my personal Apple Watch.
[30:40.600 --> 30:41.600]  Whoa.
[30:41.600 --> 30:49.840]  I got the one that I ordered one minute after they went on sale, space black link bracelet.
[30:49.840 --> 30:52.040]  How do you like it?
[30:52.040 --> 30:53.040]  I like it a lot.
[30:53.040 --> 30:55.160]  I'm very, very happy that I picked this one.
[30:55.160 --> 30:59.160]  What band were you wearing with the review unit, mostly?
[30:59.160 --> 31:00.160]  Mostly the link bracelet.
[31:00.160 --> 31:01.160]  Oh, okay.
[31:01.160 --> 31:02.440]  I didn't know you had one.
[31:02.440 --> 31:03.440]  So yeah.
[31:03.440 --> 31:04.640]  I got the watch.
[31:04.640 --> 31:09.720]  They asked me, you know, when I, you know, like a week before I got the reviewing it,
