[00:00.000 --> 00:02.000]  I've got too many iPads
[30:45.000 --> 31:12.000]  So a smart socket for Christmas tree lights so you can just tell one of your dinguses to turn on all the Christmas tree lights or turn them off as you're leaving the house or going to bed is an enormous convenience and it used to be you'd go shopping and you'd see this one works with Alexa, this one works with Apple HomeKit but you can't find one that works with both and it's like, why? This is ridiculous so hopefully that's over.
[31:12.000 --> 31:26.000]  And theoretically, I had Mike Hurley on upgrade a couple weeks ago walk me through a nice explainer article actually that I think The Verge did about Matter but one of the things that there's stuff in there that is if it works is even better, right?
[31:26.000 --> 31:44.000]  Like it's the idea that you can use the app that comes with it or you can use your preference preferential app and then you can sort of like pick and also they have the idea that there are like matter clients and matter controllers and some of the stuff this is all supposed to not be things that regular people need to work but on the back end.
[31:44.000 --> 32:11.000]  It has things like the idea that they did the devices matter devices can talk to each other which really opens a lot of potential because for example, the dream is if you have a if you have a device that like when this device gets activated do something on another device with HomeKit the HomeKit hub sits there sees that the status of one device has changed and then tells the other device to change in the ideal matter set up.
[32:11.000 --> 32:29.000]  The one device either sees that the other devices change directly or the that first device tells the other device because it knows it's watching I just changed and then it changes and there's no middleman required for that sort of thing all the devices sort of know to talk to each other.
[32:29.000 --> 32:42.000]  And again, how will this work in practice who knows but it sounds like it could be really cool and like a much better system of managing these things then we've had up to now so I hope that's what happens.
[32:42.000 --> 32:59.000]  What do you think can you explain why you would want to have a home hub like a hundred fifty dollar Apple TV 4K or a HomePod mini that has thread support what is the advantage of having such a thing in your house.
[32:59.000 --> 33:13.000]  Yeah, I think the idea is that you need something with a thread radio to get that stuff on the to talk to it from your other devices whether they're on your local network or whether you're over the internet somewhere so somebody has to channel between them.
[33:13.000 --> 33:35.000]  So ideally if you've got some device in your home that is a thread radio in it that's also on Wi-Fi it can be the one to channel that stuff and if you don't have that then you probably have to buy one of those little dinguses that that talks that's like a standalone thing but that's why they want to embed thread radios in a bunch of stuff like your hero or your HomePod or your Apple TV so that it can be the guiding light there.
[33:35.000 --> 33:54.000]  But yeah that's the idea is that ideally you wouldn't I think the ideal is that you wouldn't have a single point of failure so that if your Apple TV gets in a weird state your because this has happened to me Apple TV gets in a weird state and suddenly none of my smart home stuff works because it was acting as the hub and like that's no good right.
[33:54.000 --> 34:13.000]  So in theory they're talking to each other there there there's redundancy there and things don't all fall apart if your hub dies but again this is all like matter doesn't launch for another couple of weeks and then there's going to be a process after that but I'm at least optimistic that it's going to be a better situation than we're in now.
[34:13.000 --> 34:37.000]  Right it's like it's not a bad thing to get a 5G compatible device before 5G is totally rolled out because 5G's got legs and two years down the road it's better off like for example our home security panel the thing that you type the numbers on when we first got the house it was it was I think it was 3G.
[34:37.000 --> 35:01.000]  It has anyway it has cellular backup just in case like the Wi-Fi goes out so we can still communicate and we had to forget I don't even think we had to pay but they had to come and replace it last summer because the 3G network was going going away so they updated it to a new thing so it's always better to get something with the future ahead of it even if it's not there's not a compelling story now.
[35:01.000 --> 35:30.000]  I just think overall though it's the Ethernet port that seems like something you pay 20 bucks for thread support boy I mean if it's real I mean if it's really in a $5 component or something I guess it makes sense that it's part of the $20 upgrade but I don't know that just seems really annoying to me it just seems like if you like if the story was if you have a product called Apple TV 4k you've got a thread compatible home hub that is so much simpler than.
[35:30.000 --> 35:50.000]  Did you buy the more expensive one right right or do you have another do you have another do you have a home pod mini do you have any Euro do you have some other thread radio somewhere and then you have to walk through that whole thing and then if you find out you don't and you bought the 129 Apple TV like oh man what do you what do I do now do I buy some other.
[35:50.000 --> 36:05.000]  Well especially said and and again the Ethernet could be I think for a lot of people I have Ethernet throughout my house but I actually don't have my Apple TV on Ethernet because I have terrific Wi-Fi in the living room and it's actually I don't have the Ethernet in the.
[36:05.000 --> 36:21.000]  The place where I hide all the boxes like the TiVo and the Apple TV and I'm sure a lot of people are like that too if you have really solid Wi-Fi where you're going to put your Apple TV why wire it if it's or if you don't have an Ethernet Jack where you want to put it even if your Wi-Fi is not ideal.
[36:21.000 --> 36:36.000]  A lot of people might look at it and say well I definitely I don't need the storage I have no I don't I never store anything on my Apple TV and I don't use Ethernet so why not save 20 bucks and I could see that and I don't know what threat is I've never heard of it.
[36:36.000 --> 36:54.000]  So I could see people buying the $130 one for very reasonable reasons and coming to regret it a year or two and from now when thread is more of a big deal and they're like ah crap I don't have anything else I don't know so that's the one thing I'm a little annoyed by.
[36:54.000 --> 37:06.000]  And of course I saved the best for last. The remote control now has USB-C instead of lightning.
[37:06.000 --> 37:19.000]  This to me is big news not because it is a particularly big deal how one charges a remote control that me as a daily user of Apple TV seemingly only charges like once a year.
[37:19.000 --> 37:30.000]  I think weeks go by it's definitely several months and I use it every day as well it's my primary device is an Apple TV for all my entertainment and weeks if not months go by.
[37:30.000 --> 37:47.000]  Definitely months, months for me. So it's not that it needs to charge at a particularly high rate of speed but it is the fact that switching something like that from lightning to USB-C has been the canary in the coal mine I've been waiting for as the okay
[37:47.000 --> 37:52.000]  for sure iPhone is going to USB-C.
[37:52.000 --> 38:01.000]  All lightning stuff is leaving. This is one of the first indications this and that iPad really are good indications that lightning is being beaten out of the product line.
