[00:00.000 --> 00:02.000]  fashionably late as always.
[17:16.000 --> 17:18.000]  without comments, it was some, you know,
[17:18.000 --> 17:21.000]  or automatically lose like 10 points.
[17:21.000 --> 17:23.000]  So I just, the comments were stupid.
[17:23.000 --> 17:27.000]  I would just write, you know, the smart-ass teenager's comments
[17:27.000 --> 17:30.000]  which is just restating the logic of each line.
[17:30.000 --> 17:31.000]  I had one done.
[17:31.000 --> 17:33.000]  Right, exactly.
[17:33.000 --> 17:36.000]  Whereas, like the light that went on,
[17:36.000 --> 17:38.000]  even though I don't write much code anymore,
[17:38.000 --> 17:42.000]  but the light that went on eventually was comments
[17:42.000 --> 17:44.000]  are like time travel.
[17:44.000 --> 17:47.000]  You're talking to your future self who is utterly confused
[17:47.000 --> 17:49.000]  as to why you would do this seeming,
[17:49.000 --> 17:52.000]  there's, this doesn't seem like it's necessary.
[17:52.000 --> 17:54.000]  Tell your future self, here's why you're doing this
[17:54.000 --> 17:56.000]  and why you want to keep doing it.
[17:56.000 --> 17:59.000]  And it's made my code, at least for my own self maintenance
[17:59.000 --> 18:01.000]  it's made it all the difference in the world.
[18:01.000 --> 18:04.000]  Yeah, there's a couple of phases that like the early phases
[18:04.000 --> 18:05.000]  everyone thinks I don't need comments
[18:05.000 --> 18:07.000]  because I'm writing this now and I understand
[18:07.000 --> 18:08.000]  and I'll understand in the future.
[18:08.000 --> 18:11.000]  And the second phase is realizing that's not the case.
[18:11.000 --> 18:12.000]  And you start trying to write comments
[18:12.000 --> 18:14.000]  but you know what good comments are.
[18:14.000 --> 18:16.000]  And I think the third phase is finally realizing
[18:16.000 --> 18:19.000]  that if you write the code in a sensible way,
[18:19.000 --> 18:21.000]  you only need comments on the tricky parts
[18:21.000 --> 18:22.000]  and you should minimize that.
[18:22.000 --> 18:24.000]  And when you do need a comment on the tricky part,
[18:24.000 --> 18:26.000]  you know like how to write it in a way
[18:26.000 --> 18:27.000]  that will be illuminating rather than.
[18:27.000 --> 18:30.000]  Yeah, either the tricky part where you're doing something
[18:30.000 --> 18:32.000]  pretty clever and that it's, you know,
[18:32.000 --> 18:34.000]  a month goes by, it's going to be out of your head
[18:34.000 --> 18:36.000]  how you pulled that off because you're in the zone.
[18:36.000 --> 18:39.000]  Or for me and a lot of times it's the,
[18:39.000 --> 18:42.000]  you're working around something stupid
[18:42.000 --> 18:44.000]  and the workaround makes, if you didn't know
[18:44.000 --> 18:47.000]  about the stupid thing, the workaround looks like it's,
[18:47.000 --> 18:49.000]  why would you ever do this?
[18:49.000 --> 18:52.000]  This is dumb, just don't do that.
[18:52.000 --> 18:54.000]  And writing for your future self is easier
[18:54.000 --> 18:55.000]  than writing for other people.
[18:55.000 --> 18:56.000]  Because if you're in an organization
[18:56.000 --> 18:58.000]  where you're programming there's lots of other programmers,
[18:58.000 --> 19:00.000]  at the very least when you're writing for yourself,
[19:00.000 --> 19:03.000]  you can retrace your steps
[19:03.000 --> 19:05.000]  and you will arrive at the same conclusion again
[19:05.000 --> 19:06.000]  but other people won't do that
[19:06.000 --> 19:08.000]  because they react differently
[19:08.000 --> 19:10.000]  to the same stimulus basically.
[19:10.000 --> 19:13.000]  So for other people what you're trying to do is
[19:13.000 --> 19:15.000]  you have, here's the one where you put the wise
[19:15.000 --> 19:17.000]  but also like, what is the broader context
[19:17.000 --> 19:18.000]  of this whole thing?
[19:18.000 --> 19:19.000]  What is even going on here?
[19:19.000 --> 19:21.000]  Are there any assumptions that are unstated
[19:21.000 --> 19:23.000]  because you assume they're obvious to everybody
[19:23.000 --> 19:26.000]  but won't be obvious to someone a year from now
[19:26.000 --> 19:29.000]  and yeah there's, like writing comments is basically,
[19:29.000 --> 19:30.000]  it's just basically writing.
[19:30.000 --> 19:32.000]  Like it's the same, you have to communicate to people
[19:32.000 --> 19:34.000]  in plain language with the reduced ambiguity.
[19:34.000 --> 19:36.000]  Like it's a different goal, a different purpose
[19:36.000 --> 19:37.000]  a different audience but it is writing
[19:37.000 --> 19:39.000]  and that's why programmers are so bad at it
[19:39.000 --> 19:42.000]  because those skill sets tend to not cluster frequently
[19:42.000 --> 19:45.000]  where people who are happy and comfortable programming
[19:45.000 --> 19:47.000]  are not happy and comfortable writing prose.
[19:47.000 --> 19:50.000]  Yeah, I guess it's true that a lot of times they're not
[19:50.000 --> 19:52.000]  but there seems to be, I know,
[19:52.000 --> 19:54.000]  I know, because we have with Mac nerds
[19:54.000 --> 19:56.000]  where the intersection of liberal arts.
[19:56.000 --> 19:59.000]  We know all the programmers who are good writers.
[19:59.000 --> 20:00.000]  Like Brent.
[20:00.000 --> 20:02.000]  Oh, I mean Brent's a great example.
[20:02.000 --> 20:03.000]  Yeah, no, I know.
[20:03.000 --> 20:05.000]  I mean do we know people because we read their blogs
[20:05.000 --> 20:06.000]  that's how we know.
[20:06.000 --> 20:08.000]  Brent Siegel is another great example, man
[20:08.000 --> 20:10.000]  when he doesn't write much but when he does
[20:10.000 --> 20:13.000]  it is so succinct and to the point
[20:13.000 --> 20:16.000]  and it's exquisite.
[20:16.000 --> 20:19.000]  I often refer back, I have a copy of the BB at it,
[20:19.000 --> 20:21.000]  2.2 manual.
[20:21.000 --> 20:24.000]  The first public version of BB at it.
[20:24.000 --> 20:28.000]  And it's just like a model of clarity.
[20:28.000 --> 20:31.000]  It is such a good piece of technical writing.
[20:31.000 --> 20:32.000]  Did he write that one?
[20:32.000 --> 20:34.000]  Well, I know he wrote parts
[20:34.000 --> 20:37.000]  and there was a couple of other credits up front
[20:37.000 --> 20:41.000]  and there's like a little, what would you call a blog post now?
[20:41.000 --> 20:44.000]  I sort of like, why does BB at it exist?
[20:44.000 --> 20:49.000]  Why on the Mac would you want a programmer's text editor?
[20:49.000 --> 20:53.000]  Who would ever want to edit more than 32k of text?
[20:53.000 --> 20:55.000]  It's more of like a personal statement,
[20:55.000 --> 20:57.000]  like a mission statement for BB at it
[20:57.000 --> 21:00.000]  and it's just terrific.
[21:00.000 --> 21:02.000]  I should actually see if he'd let me,
[21:02.000 --> 21:05.000]  maybe I'd see if I can rerun it or something.
[21:05.000 --> 21:06.000]  I think it would be an interesting,
[21:06.000 --> 21:08.000]  especially now that BB at 11.0,
[21:08.000 --> 21:11.000]  maybe I should see about getting it on the internet somewhere
[21:11.000 --> 21:14.000]  because I think it stands up.
[21:14.000 --> 21:20.000]  Low these many years in operating systems later.
[21:20.000 --> 21:22.000]  All the stuff he writes, if you've met him,
[21:22.000 --> 21:24.000]  you can't help but read it,
[21:24.000 --> 21:26.000]  always because they're such a percentage.
[21:26.000 --> 21:29.000]  The mannerisms and the pacing of the way he would say those things
[21:29.000 --> 21:31.000]  it comes through in the writing.
[21:31.000 --> 21:33.000]  I just saw somebody tweeted that the other day.
[21:33.000 --> 21:35.000]  I don't know if it was to both me and you
[21:35.000 --> 21:37.000]  but to a couple of us where they were like,
[21:37.000 --> 21:38.000]  now that we all have podcasts,
[21:38.000 --> 21:40.000]  they can't help but read everything we write
[21:40.000 --> 21:42.000]  in our own voices.
[21:42.000 --> 21:43.000]  And I always hear that,
[21:43.000 --> 21:45.000]  and it's kind of nice because it means
[21:45.000 --> 21:46.000]  they're listening to a lot of our podcasts,
[21:46.000 --> 21:48.000]  but I also kind of cringe because it's like,
[21:48.000 --> 21:50.000]  God, writing is where I get to be better.
[21:50.000 --> 21:53.000]  Now I speak, I want to say a way smarter when I write
[21:53.000 --> 21:55.000]  because I got all this runway and I could, you know,
[21:55.000 --> 21:58.000]  speaking who knows what the hell comes out,
[21:58.000 --> 22:00.000]  but writing, like that's my chance, right?
[22:00.000 --> 22:02.000]  And so it's almost a shame that they know, you know,
[22:02.000 --> 22:04.000]  the stumbling idiots that are behind the words,
[22:04.000 --> 22:06.000]  like, writing is a secret weapon.
[22:06.000 --> 22:07.000]  I got all the time in the world to figure out
[22:07.000 --> 22:08.000]  what this sentence is going to be.
[22:08.000 --> 22:11.000]  And there's no wasted words and no stupid.
[22:11.000 --> 22:13.000]  Ideally, I mean, obviously, again,
[22:13.000 --> 22:14.000]  this is a thing with longer views.
[22:14.000 --> 22:16.000]  At a certain point, I just got to be like,
[22:16.000 --> 22:17.000]  that's the thing about these longer views
[22:17.000 --> 22:20.000]  and all this stuff like, early on
[22:20.000 --> 22:22.000]  and still to this day in my OS 10 reviews,
[22:22.000 --> 22:27.000]  I'm a slave to getting out whatever idea it is in my head.
[22:27.000 --> 22:30.000]  I have a point to make or something to say about something
[22:30.000 --> 22:32.000]  and I have like 17 points to make
[22:32.000 --> 22:33.000]  and 17 things to say about it.
[22:33.000 --> 22:35.000]  And I want to get them all out
[22:35.000 --> 22:37.000]  and I sacrifice the quality of the writing
[22:37.000 --> 22:39.000]  many times because I'm like,
[22:39.000 --> 22:43.000]  this could be said more elegantly in a different way,
[22:43.000 --> 22:46.000]  but it wouldn't have this one extra little bit of nuance.
[22:46.000 --> 22:48.000]  And I talked to myself, like, what do you care
[22:48.000 --> 22:50.000]  that that one, like, this point is sufficient.
[22:50.000 --> 22:52.000]  You don't need to go into this other detail.
[22:52.000 --> 22:53.000]  I'm just like, no, I want it.
[22:53.000 --> 22:54.000]  And so I make some awkward sentence
[22:54.000 --> 22:56.000]  and I put that other point in there.
[22:56.000 --> 22:58.000]  And I hate myself for doing it,
[22:58.000 --> 23:02.000]  but a lot of times it's like, the overriding thing is,
[23:02.000 --> 23:04.000]  say what I wanted to say
[23:04.000 --> 23:07.000]  and then secondarily try to say it in a reasonable way.
[23:07.000 --> 23:09.000]  And that's not the way to make good writing,
[23:09.000 --> 23:12.000]  but that's a lot of times what I do in my OS 10 reviews.
[23:12.000 --> 23:14.000]  Let's take a break.
[23:14.000 --> 23:16.000]  I am going to thank our first sponsor,
[23:16.000 --> 23:18.000]  back for a second time.
[23:18.000 --> 23:21.000]  It's our good friends at Casper.
[23:21.000 --> 23:24.000]  Now, you guys might remember from a few episodes ago.
[23:24.000 --> 23:27.000]  I think it was the one with Chuck and Barry,
[23:27.000 --> 23:30.000]  but Casper was a sponsor and had a great response.
[23:30.000 --> 23:33.000]  A craziest idea, when I first heard this,
[23:33.000 --> 23:35.000]  craziest idea in the world,
[23:35.000 --> 23:38.000]  it's you go online, it's high quality mattresses.
[23:38.000 --> 23:42.000]  The ones you put on your bed at really, really good prices.
[23:42.000 --> 23:45.000]  Seems like a crazy thing to buy on the internet.
[23:45.000 --> 23:47.000]  But in terms, eventually we're going to buy everything on the internet.
[23:47.000 --> 23:50.000]  We're going to buy cars on the internet.
[23:50.000 --> 23:52.000]  You go there.
[23:52.000 --> 23:54.000]  It's two technologies.
[23:54.000 --> 23:56.000]  They call it just the right sync, just the right bounce.
[23:56.000 --> 23:58.000]  It's two different technologies,
[23:58.000 --> 24:01.000]  text foam and memory foam that they put together.
[24:01.000 --> 24:05.000]  It's like a special combination that they've done just right.
[24:05.000 --> 24:06.000]  You don't have to sit there.
[24:06.000 --> 24:09.000]  There's not a whole bunch of different things you have to choose from.
[24:09.000 --> 24:10.000]  They did it for us.
[24:10.000 --> 24:11.000]  They're the mattress experts.
[24:11.000 --> 24:14.000]  They've designed a really good mattress.
[24:14.000 --> 24:17.000]  I've had regular, I've tried not, I don't own one,
[24:17.000 --> 24:20.000]  but I've tried a regular memory foam mattress before.
[24:20.000 --> 24:24.000]  I found them way too weird the way that they make an indentation
[24:24.000 --> 24:25.000]  perfect for your body.
[24:25.000 --> 24:27.000]  It feels like I'm making a crime scene or something.
[24:27.000 --> 24:29.000]  Their mattress isn't like that at all.
[24:29.000 --> 24:31.000]  It's just enough of that memory stuff that it's comfortable,
[24:31.000 --> 24:34.000]  but it doesn't feel like you're sinking into it.
[24:34.000 --> 24:37.000]  It's crazy.
[24:37.000 --> 24:39.000]  Did you get one of these, John?
[24:39.000 --> 24:41.000]  Or was it Casey who got it for ATP?
[24:41.000 --> 24:42.000]  Casey got it.
[24:42.000 --> 24:44.000]  We were thinking to get in one just because we made a mattress period.
[24:44.000 --> 24:46.000]  So they sent me one.
[24:46.000 --> 24:47.000]  This is what they do when they sponsor a show.
[24:47.000 --> 24:48.000]  They send one to you.
[24:48.000 --> 24:50.000]  And it's like, well, how does a mattress show up?
[24:50.000 --> 24:53.000]  Well, it shows up in a little dorm room,
[24:53.000 --> 24:57.000]  a fridge-style box, very small, you can't believe it,
[24:57.000 --> 24:59.000]  but it's because it's like two kinds of foam.
[24:59.000 --> 25:01.000]  They like vacuum seal the mattress,
[25:01.000 --> 25:05.000]  and it ships in what is still decidedly a very large package.
[25:05.000 --> 25:11.000]  It is way smaller than a mattress.
[25:11.000 --> 25:14.000]  So put it in a room where you're going to sleep in it.
