[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[25:48.440 --> 25:54.120]  They've had a lot of lawsuits regarding you know patent related lawsuits regarding FaceTime
[25:54.840 --> 26:00.680]  and at least one of them made them change the protocol at some point and
[26:01.560 --> 26:05.480]  Because they're what I think it actually related to a time when FaceTime got flakier
[26:06.040 --> 26:09.320]  Like they had to do so they had to make some changes and it actually made it worse
[26:09.320 --> 26:16.840]  Oh, yes, I remember that it was their routing protocol or something. Yeah, it was the way that they handed off from like a phone call
[26:17.000 --> 26:21.360]  From a cellular network to the data network or something. Yeah, it was I don't know the details
[26:21.360 --> 26:24.280]  I don't think are as interesting as just the basic story though
[26:24.280 --> 26:29.080]  Which is that patent litigation forced them to change the protocol so they couldn't have even gotten you know
[26:29.240 --> 26:31.960]  They couldn't even keep the protocol that they shipped with
[26:31.960 --> 26:39.480]  Themselves let alone make it an open standard and and there are so it's the whole area is so patent
[26:39.880 --> 26:43.880]  Accumbered that it just that it's more or less why they've given up on it
[26:44.200 --> 26:46.680]  I mean who knows maybe someday they will submit it
[26:46.680 --> 26:51.640]  You know they'll have it in shape to do but in terms of it's been you know
[26:51.720 --> 26:53.480]  Four or five years and it hasn't happened
[26:53.560 --> 26:56.120]  It's because when they went when Steve Jobs announced it
[26:56.120 --> 27:03.320]  It just was not a vetted vetted by engineering or vetted by legal declaration. It was jobs saying we're gonna make it a you know
[27:03.480 --> 27:05.480]  An open standard and
[27:06.200 --> 27:11.800]  Tim Cook is not a type of CEO like if they say they're going to open source health or
[27:12.520 --> 27:15.880]  Not health kit, but research kit. They're gonna open source it
[27:16.920 --> 27:23.960]  And I guess that the research kit team knew that plan all along and you know has been right
[27:23.960 --> 27:28.120]  I don't know. I don't know anybody. I have no sources on the research kit team
[27:28.120 --> 27:32.920]  So I you know there could be people in Cupertino listening to this podcast going oh god. You're so wrong. We're fucked
[27:33.720 --> 27:34.920]  I don't know
[27:34.920 --> 27:42.040]  We found out seen time. You did but my guess is though that they knew this all along and that they've written it because it is true
[27:42.040 --> 27:45.320]  That's very true. It is really hard to open source
[27:46.200 --> 27:51.160]  That's any significant code base that was not intended to be open source from the get go
[27:51.160 --> 27:55.400]  It's just talk to any programmer. It's just just axiomatic
[27:55.880 --> 28:02.200]  Yeah, and I'm not a programmer. So this is this is essentially because it's in a woven with stuff that you don't want to open source
[28:02.280 --> 28:03.640]  Right, yeah, and you know
[28:03.640 --> 28:10.360]  It's almost like designing a a space like a building like if you you know a space that's meant for the public to come in is different
[28:10.360 --> 28:15.880]  Than a space that you is not meant for the public to come in just you know in terms of where you put the doors where you put locks
[28:16.040 --> 28:18.280]  What's you know bolted down?
[28:18.280 --> 28:22.840]  And yeah, and like what libraries you use what dependencies you have
[28:23.480 --> 28:28.360]  You know, it's yeah, so my guess is that this will be open source right on schedule with no hitches
[28:29.560 --> 28:30.520]  Yeah
[28:30.520 --> 28:36.840]  Why the schedule thing you'll be interesting, but yeah, I don't think it'll be a year's delay or or nobody's ever going to talk about it again
[28:36.840 --> 28:39.400]  Like FaceTime. It's it doesn't make sense. I mean
[28:40.040 --> 28:44.520]  What they're trying to do only actually make sense if other people have access to it
[28:44.520 --> 28:49.240]  I mean not what they're trying to do but the spirit in which they're trying to do it right
[28:49.240 --> 28:56.120]  So if they're trying to say we are genuinely interested in improving the quality and quantity of research
[28:56.840 --> 29:03.480]  In this arena then the only way to really honor that is to say it's not just iPhone users
[29:03.640 --> 29:07.960]  You know, we're gonna open source it so anybody can access this framework and and do these things
[29:08.200 --> 29:12.040]  It's just work we need we felt we needed to do and cook said something
[29:12.040 --> 29:14.360]  Essentially reiterating his
[29:14.920 --> 29:19.240]  We don't pay attention to the ROI statements at the recent shareholders meeting
[29:19.320 --> 29:22.760]  He said something about research kid and and some other efforts
[29:22.760 --> 29:28.600]  They did as far as like diversity stuff and so it's I think it is genuinely a thing sure
[29:28.600 --> 29:30.200]  It's good PR for them, right?
[29:30.360 --> 29:33.000]  Obviously, but it it also is something
[29:33.000 --> 29:35.000]  I think that where they saw an opportunity
[29:35.240 --> 29:38.760]  That they could execute on this because they were already doing stuff in that space
[29:38.760 --> 29:42.120]  And it would benefit them for sure, but it would also benefit
[29:42.280 --> 29:45.880]  You know the public at large and why not you know in at this point
[29:46.200 --> 29:51.880]  They have the resources and money to spend on these things and it just seems like cook is more willing to say
[29:52.680 --> 29:58.920]  Okay, you you people do this you take this chunk of resources and do this. Yeah, I agree
[29:59.000 --> 30:01.000]  I you know, I think that
[30:01.000 --> 30:05.320]  It doesn't mean you have to be any less cynical about Apple as a for-profit corporation
[30:05.320 --> 30:12.840]  But that it's true some of the stuff they do is not about the ROI. I know that I didn't see anything about the shareholders meeting yesterday
[30:12.840 --> 30:18.600]  But I know he repeated that again a week or two ago when he was in Europe
[30:18.760 --> 30:21.480]  and I think it was when he was in London and and somebody
[30:21.560 --> 30:25.640]  You know, he took questions from store employees and there was press there and that somebody asked about
[30:26.760 --> 30:32.440]  Accessibility and whether the watch was going to be accessible and he just said it will be and that they take it seriously
[30:32.440 --> 30:39.800]  And it's just one of those things where they don't measure the ROI they don't measure whether they sell enough iPhones to
[30:41.080 --> 30:48.840]  Vision impaired people to justify the cost of the engineering of making everything accessible to they don't even measure it because it's just the right
[30:48.840 --> 30:54.920]  Thing to do and clearly they can do it and still be very profitable. It's just the right thing to do and I believe that
[30:54.920 --> 30:58.200]  I truly believe that they don't measure the ROI on stuff like that
[30:58.200 --> 31:03.720]  Yeah, and he said that this at this shareholders meeting
[31:03.720 --> 31:09.800]  I guess he said Apple didn't do this for the ROI in reference to research kit. This just isn't the lens Apple uses
[31:09.800 --> 31:11.800]  that was the
[31:11.800 --> 31:16.040]  The phrase that he used and of course we got as a as a news organization
[31:16.040 --> 31:20.120]  We get you know pitches from from everybody immediately after falling to swim
[31:20.120 --> 31:22.120]  So we get pitches from these people
[31:22.120 --> 31:30.120]  That are either shareholder interest people or conservative organizations or you know capitalist advocates and stuff
[31:30.120 --> 31:31.640]  We get all these pitches immediately afterwards
[31:31.640 --> 31:36.680]  And so they're like oh, we were very disappointed with Tim Cook denigrating capitalism and you know all this
[31:37.720 --> 31:41.880]  It's actually pretty amazing how was the first people get when he says I mean
[31:41.880 --> 31:47.640]  It's a small statement, but it is very tricky to say that and and very tricky to say about the right things
[31:47.640 --> 31:52.920]  Because his job is to maximize investor return as an overall CEO
[31:53.400 --> 31:57.160]  So it's it's a powerful statement more powerful than I think people give it credit for
[31:58.280 --> 32:00.280]  I would actually
[32:00.280 --> 32:02.280]  that's actually a
[32:03.240 --> 32:04.600]  I like
[32:04.760 --> 32:06.920]  80s going forward
[32:06.920 --> 32:14.200]  Thing and it's actually not the job of the CEO. There is like it's people say that it's it's become like part of the
[32:14.200 --> 32:22.600]  It's a lot of people who put it in those terms that the job of the CEO is to maximize investor returns
[32:22.600 --> 32:23.640]  And it's actually not true
[32:23.640 --> 32:28.600]  You can't there's no legal definition that says that it's the CEO does answer to the shareholders and shareholders
[32:28.600 --> 32:33.720]  Do have a reasonable expectation that there that the company will be managed in a way that you know
[32:34.600 --> 32:36.600]  Doesn't devalue the company
[32:36.600 --> 32:45.880]  But that is it's sort of an 80s going forward justification for for the sort of logic that leads to the quarter by quarter
[32:46.120 --> 32:51.000]  You know to do whatever it takes. That's actually traditionally is not really the
[32:51.720 --> 32:58.520]  View of the CEO and I think Cook definitely has that old-school like he's thinking every bit as much about where Apple is going to be in
