[00:00.000 --> 00:01.160]  Let's do something unusual.
[01:21:02.360 --> 01:21:09.560]  for similar services. And that way, instead of running in the kernel space, meaning system level,
[01:21:10.200 --> 01:21:17.560]  they'll run in user space. So it's just like running a regular app as a user, more secure,
[01:21:17.560 --> 01:21:27.080]  more forward thinking. And I think that this is where it's, there's only a handful of providers
[01:21:27.080 --> 01:21:31.320]  like this, you know, right. And Dropbox and Microsoft are the two who seem to be affected
[01:21:31.320 --> 01:21:39.880]  by this cutoff, but effectively in 12.3, which is now in beta, macOS 12.3, those kernel extension
[01:21:39.880 --> 01:21:46.360]  APIs that they're using are not going to be there anymore. So that there are kernel extensions that
[01:21:46.360 --> 01:21:53.320]  currently are in use will not work. It seems like a weird thing to come in a 0.3 update, like why
[01:21:53.320 --> 01:21:59.720]  didn't it come in 0.0? But I'm under the impression somewhat informed that it was supposed to happen
[01:21:59.720 --> 01:22:05.640]  with 12.0. And because Dropbox and Microsoft weren't ready, Apple was like, okay, they pushed
[01:22:05.640 --> 01:22:13.000]  it back. But it was like two years warning back in 2019. And it's now is when it's coming due.
[01:22:13.000 --> 01:22:19.480]  Microsoft has a thing in beta that has all their functionality. Dropbox, I think looks like it's
[01:22:19.480 --> 01:22:23.640]  going to be at least till summer. Dropbox is, whatever complaints people have about Dropbox
[01:22:23.640 --> 01:22:28.600]  on the Mac, it's gotten worse because they only came out with an Apple Silicon native version
[01:22:28.600 --> 01:22:34.360]  a couple of weeks ago. I mean, and that's over a year, right? I mean, and it's funny because
[01:22:34.360 --> 01:22:38.200]  I still use it. I used it throughout the whole period and Dropbox, I didn't really notice that
[01:22:38.200 --> 01:22:44.760]  Dropbox was any worse while it was running as an Intel compiled binary. But it was weird. And every
[01:22:44.760 --> 01:22:49.400]  once in a while, I'd go to activity monitor and you can turn on, there's like a column. You can
[01:22:49.400 --> 01:22:53.960]  have all your processes listed and see which ones are Apple Silicon and which ones are Intel.
[01:22:53.960 --> 01:23:00.200]  And the only ones I had running were Dropbox's stuff. That's it. It just seems like it's like
[01:23:00.200 --> 01:23:06.680]  this weird thing where running Intel binaries on Apple Silicon Macs, they run so fast, they're
[01:23:06.680 --> 01:23:12.520]  actually faster than most Intel Macs running the same things. That's how good Rosetta 2 is.
[01:23:13.720 --> 01:23:19.560]  But at the same time, it seems like almost all the software I use was updated to be native for
[01:23:19.560 --> 01:23:25.000]  Apple Silicon so quickly that it didn't matter. Like even if the running the Intel stuff was
[01:23:25.000 --> 01:23:30.280]  really slow, it wouldn't have really kept me from being a proponent of the Apple Silicon Macs
[01:23:30.280 --> 01:23:36.680]  because so little of it was there. But it's just to me a sign that Dropbox's commitment
[01:23:36.680 --> 01:23:43.880]  to the Mac or just their competence developing the Mac stuff is not entirely there. And so
[01:23:43.880 --> 01:23:49.480]  they're the laggard who's... And again, it doesn't seem like Dropbox entirely won't work on 12.3.
[01:23:49.480 --> 01:23:54.920]  What's not going to work is... I forget what they call it. It's like selective sync where you can
[01:23:54.920 --> 01:24:01.880]  have four gigabytes of stuff in your Dropbox account, but you could say, I only want this
[01:24:01.880 --> 01:24:07.400]  subset of my folders in my Dropbox to actually sync to my Mac and just leave the other stuff
[01:24:07.400 --> 01:24:14.840]  as like downloaded only if I need it and tell Dropbox, okay, now I want to download this big
[01:24:14.840 --> 01:24:19.640]  movie that I had sitting there. But previously, it was just like a stub. But they've had...
[01:24:19.640 --> 01:24:26.920]  The thing that to me is the key is it's not like Apple just announced... And Dropbox's help file
[01:24:26.920 --> 01:24:32.840]  makes it seem like they just found out about this last week. You know, like, oh my God, we just saw
[01:24:32.840 --> 01:24:37.720]  this 12.3 beta. It's going to break a bunch of stuff. We're working really hard on it. This stuff
[01:24:37.720 --> 01:24:46.840]  was all announced at WWDC 2019. And the fact that the... Hey, Apple, of course, publicly emphasizes
[01:24:46.840 --> 01:24:51.640]  we've got these great new file provider APIs that are safer and more secure and more forward
[01:24:51.640 --> 01:24:56.040]  thinking. They don't emphasize the, and we're going to take away the old thing because that
[01:24:56.040 --> 01:25:01.080]  doesn't sound like fun, but it's implied that they're going to take away the old thing at some
[01:25:01.080 --> 01:25:06.200]  point. And I think it's safe to assume that Dropbox and Microsoft are high enough up that
[01:25:06.200 --> 01:25:13.720]  Apple's developer relations have let them know. It was not as... And the big tell is that Box,
[01:25:13.720 --> 01:25:18.600]  which is another competitor in that exact same space, they announced full support for the new
[01:25:18.600 --> 01:25:25.240]  stuff in October, so like months ago. Like Box is ready to go and has no missing features. And
[01:25:25.240 --> 01:25:29.880]  when 12.3 comes out, people who are using Box don't have to know any of this and it'll all
[01:25:29.880 --> 01:25:34.120]  just work. You know, Microsoft, I think, will probably... It's going to be very close to maybe
[01:25:34.120 --> 01:25:39.320]  when in March Mac OS 12.3 actually ships to consumers. They're probably going to come in
[01:25:39.320 --> 01:25:44.200]  right under the gun. Dropbox, I think, based on their communications, is going to be late,
[01:25:44.200 --> 01:25:47.960]  but they shouldn't have been. That's the key. And so I think...
[01:25:47.960 --> 01:25:53.800]  Well, I mean, you can argue certainly, and I think there is some merit to the argument that
[01:25:54.840 --> 01:25:59.880]  they're not making as much of an effort because Apple has basically decided that they're going
[01:25:59.880 --> 01:26:04.600]  to move into the things that Dropbox does. Apple is deciding that they're going to try
[01:26:04.600 --> 01:26:08.760]  and make it easier for people to do the simple things that people used to use Dropbox for.
[01:26:08.760 --> 01:26:13.480]  And so Dropbox does not care about Mac clients or Mac users that much anymore.
[01:26:14.040 --> 01:26:19.400]  I guess, but I don't know. Box does, obviously, or they care enough that they did the right thing.
[01:26:20.040 --> 01:26:25.400]  I mean, and that was the speculation. A friend of the show, Stephen Hackett, had a post that I
[01:26:25.400 --> 01:26:30.120]  thought was a little surprising where he just spitballed the idea of, hey, maybe Apple is
[01:26:30.120 --> 01:26:37.080]  pulling a rug out on Dropbox and OneDrive because they've got iCloud Drive that has similar features
[01:26:37.080 --> 01:26:42.760]  and doesn't have a problem in Mac OS 12.3 with files that are only in the cloud.
[01:26:42.760 --> 01:26:47.320]  And again, I think it speaks that the idea would even pop into Stephen Hackett's head.
[01:26:47.320 --> 01:26:55.320]  To me, speaks to the growing resentment and skeptical eye that even long-time Apple users
[01:26:55.320 --> 01:26:59.800]  look at the company now. Like if there's any angle where maybe they're trying to get people
[01:26:59.800 --> 01:27:06.360]  to sign up for Apple services or upgrade to a higher tier of services, that idea pops into
[01:27:06.360 --> 01:27:10.280]  our heads in a way that didn't five years ago, maybe.
[01:27:10.280 --> 01:27:15.000]  Yeah. It doesn't seem like, again, when we talk about the things that are a rounding error for
[01:27:15.000 --> 01:27:19.960]  Apple, it just seems how many more people are they going to get to sign up for higher storage
[01:27:19.960 --> 01:27:24.040]  tiers of iCloud? Maybe. I guess it's possible. It seems more likely that they're going to get
[01:27:24.040 --> 01:27:27.960]  people who are just going to sign up for the Apple One, the whole kit and caboodle thing.
[01:27:27.960 --> 01:27:37.400]  And that is what they're eyeing for everything and every little thing. No one thing is going
[01:27:37.400 --> 01:27:41.240]  to tip people over, but it's all this stuff together that's going to say, that's going
[01:27:41.240 --> 01:27:44.680]  to make it, you know, and that's what it's done with me certainly is why not get that
[01:27:44.680 --> 01:27:48.760]  thing? It's 25 bucks a month or wherever it is in 29. I don't remember, but it's like,
[01:27:48.760 --> 01:27:53.880]  it's got enough in there that it makes sense. Tim Cook is listening and he's thinking, yes,
[01:27:53.880 --> 01:27:55.560]  that's exactly it. You don't even remember.
[01:27:55.560 --> 01:27:59.080]  I don't even remember. Perfect.
[01:27:59.800 --> 01:28:02.360]  Steepling his fingers. Excellent.
[01:28:02.360 --> 01:28:07.080]  Perfect. And now he's got a little dial there on his desk and he's, you know, he's turning it up.
[01:28:08.040 --> 01:28:11.160]  Ah, $29 a month, $35 a month.
[01:28:11.160 --> 01:28:15.240]  My mom said $29 a month. He doesn't even notice.
[01:28:15.240 --> 01:28:16.600]  No, because it's under 30.
[01:28:17.640 --> 01:28:22.680]  I would say the other thing though to think about is the fact that for people like me who
[01:28:22.680 --> 01:28:27.400]  like to complain now about Dropbox, even though previously having been fans of the service,
[01:28:28.440 --> 01:28:34.200]  it falls under the same thing that people have been complaining about now with the direction
[01:28:34.200 --> 01:28:38.600]  one password is taking their company and the product where they're moving to the enterprise
[01:28:39.160 --> 01:28:45.640]  and Dropbox raised billions and billions of dollars and to make that money, they're not
[01:28:45.640 --> 01:28:53.320]  selling $10 a month plans to individuals or families. It's business and the enterprise.
[01:28:53.320 --> 01:29:01.560]  And iCloud isn't in that space, right? iCloud Drive from my perspective and your perspective
[01:29:02.760 --> 01:29:07.160]  competes with Dropbox, right? You can like, oh, should I put the, I have both. I've got
[01:29:07.160 --> 01:29:10.680]  iCloud Drive and I've got Dropbox. Where should I put it? Which one should I pay? Should I maybe
[01:29:10.680 --> 01:29:16.760]  cancel my Dropbox and just try to go all in on iCloud Drive? That's not Dropbox's business,
[01:29:16.760 --> 01:29:22.520]  right? It certainly isn't where it was originally maybe where it was sort of like an enthusiast tool,
[01:29:22.520 --> 01:29:30.040]  but now it's an enterprise thing. And so, you know, Apple, even if some contingent at Apple
[01:29:30.040 --> 01:29:35.160]  really wants to get as many people to pay for more iCloud Drive storage as possible,
[01:29:35.160 --> 01:29:40.840]  that's the number one priority across all of Apple, even in that scenario, which I think
[01:29:40.840 --> 01:29:46.680]  would be a really foolish way for Apple to try to raise their revenue for the next year. But even if
[01:29:46.680 --> 01:29:53.320]  it was their number one thing, I don't think it would make them any less interested in fully
[01:29:53.320 --> 01:30:02.040]  supporting Dropbox and OneDrive with their modern APIs, right? Like it's not about trying to get
[01:30:02.040 --> 01:30:08.040]  people to switch to iCloud Drive. It is, we want to get these things out of the kernel,
[01:30:08.040 --> 01:30:13.160]  out of the kernel. We don't want Microsoft's and certainly not Dropbox running kernel extensions
[01:30:13.160 --> 01:30:19.720]  anymore. I will say, I think Apple is also famous for having it both ways though, too. They often
[01:30:19.720 --> 01:30:23.960]  try to err on the side of like, well, this will make a better experience and also we can cherish
[01:30:23.960 --> 01:30:31.960]  more friends. Well, and the other thing, too, is they are famous too, maybe infamous for, yeah,
[01:30:31.960 --> 01:30:36.680]  maybe that's a better word, but they don't necessarily dog food the same thing where
[01:30:36.680 --> 01:30:41.960]  they could say, we've got these great new APIs for Dropbox and OneDrive, and they're not the
[01:30:41.960 --> 01:30:47.640]  APIs that iCloud Drive is using because iCloud Drive is blessed and is part of the system.
[01:30:47.640 --> 01:30:51.320]  But I really do think that for the Mac in particular, Apple wants it to be a good
[01:30:51.320 --> 01:30:55.000]  corporate citizen. They know that it's a big part of the Mac's success is that the Mac is
[01:30:55.000 --> 01:30:59.240]  like in a staff, you know, it's no longer, if you work in the enterprise, you have to use Windows.
[01:30:59.240 --> 01:31:04.760]  The Mac is a big part of that. And using services like Box and OneDrive and Dropbox and et cetera
[01:31:04.760 --> 01:31:07.560]  is a big part of that. All right. I'm glad you remembered that. Glad to have you.
[01:31:07.560 --> 01:31:10.840]  Yeah. I wanted it explained to me because I didn't quite get it.
[01:31:10.840 --> 01:31:15.560]  Yeah. So we shall see. My thanks to our sponsors. Who do we have? We had Memberful,
[01:31:15.560 --> 01:31:21.880]  where you can sign up to monetize your passion with membership. We had Linode, the web hosting,
[01:31:21.880 --> 01:31:25.560]  and oh, man, that's where I host Staring Fireball. That's all you need to know.
[01:31:25.560 --> 01:31:30.760]  And last but not least, Mack Weldon. Oh, my God, how could I forget Mack Weldon? That's,
[01:31:30.760 --> 01:31:32.920]  like I said, I've got like- Wearing it right now, yeah.
[01:31:32.920 --> 01:31:36.040]  Wearing it right now, including my lucky pair of Mack Weldon underpants.
[01:31:37.160 --> 01:31:40.520]  You're one pair of Mack Weldon underpants.
[01:31:40.520 --> 01:31:45.000]  Everybody who enjoys their molts, you could get more molts on the Rebound Podcast. That's,
[01:31:45.000 --> 01:31:48.280]  what's the address for that? Why am I supposed to know? I believe
[01:31:48.280 --> 01:31:54.200]  it's reboundcast.com. Reboundcast.com. I'll bet if you go to DuckDuckGo and type
[01:31:54.200 --> 01:31:57.400]  molts rebound, it'll take you right there. Oh, you can definitely find it there, yeah.
[01:31:57.400 --> 01:32:02.040]  And you got the Biff with the superhero show with the last week's guest.
[01:32:02.040 --> 01:32:05.400]  That's on the incomparable. Go buy a t-shirt. I sell t-shirts too.
[01:32:05.400 --> 01:32:08.840]  Oh, man. On Cotton Bureau. It's
[01:32:08.840 --> 01:32:11.880]  under Giant Squid Productions. Giant Squid Productions on Cotton
[01:32:11.880 --> 01:32:13.720]  Bureau. Some of the best- Bunch of nerd shirts.
[01:32:13.720 --> 01:32:16.680]  Nerd shirts, yeah. I'm sure there's something there you'll enjoy.
[01:32:16.680 --> 01:32:19.640]  Yeah, you're probably barking up the wrong audience on this show.
[01:32:19.640 --> 01:32:44.600]  I'm sure. All right.
