[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[01:42:29.120 --> 01:42:31.120]  And we're going to be dead. Yeah
[01:42:31.120 --> 01:42:36.960]  Uh roman numerals famously, uh, a number of existence that did not have the concept of zero. So
[01:42:37.520 --> 01:42:39.680]  Really the best choice that you want. Uh
[01:42:41.040 --> 01:42:45.120]  I think apple's brand is iphone 10. I think they're gonna stick with it
[01:42:45.520 --> 01:42:49.680]  And drive us insane right because iphone 10 is what they mean
[01:42:50.320 --> 01:42:55.040]  When they mean a edge to edge screen with a notch. Yeah, but then where did they go, you know, like, uh,
[01:42:55.840 --> 01:42:57.840]  They can't what are they gonna do pick new letters?
[01:42:57.840 --> 01:43:04.880]  Why not like there's just 24 left like let's see that iphone x or iphone k or whatever, right?
[01:43:05.040 --> 01:43:08.880]  Or like I wrote my article like iphone xx, you know the iphone 10x
[01:43:10.240 --> 01:43:12.640]  With two x's like it would be insane
[01:43:13.280 --> 01:43:18.560]  But I at this point I wouldn't be shocked if they did it like there so it looks like iphone xx
[01:43:18.720 --> 01:43:21.440]  And you're supposed to say 10x. It would be crazy
[01:43:21.920 --> 01:43:26.800]  I mean it has already happened to me that i've been talking about my kid and said max and somebody has thought about that
[01:43:26.800 --> 01:43:33.200]  And somebody has thought about the phone like i'm just like it's just like a personal affront to me, but we'll get through it
[01:43:34.080 --> 01:43:37.520]  Uh, all right. I i'm gonna call that a wrap. This has been a great show
[01:43:37.760 --> 01:43:42.480]  Uh, yeah, I mean thank you. I it's so good to have you back on the show and it was so good to have this
[01:43:42.800 --> 01:43:45.760]  This conversation. Let me thank our sponsors. We had uh, let me think about this
[01:43:45.840 --> 01:43:50.800]  We had squarespace where you go to make a website. We had hello pillow where you can get a buckwheat pillow
[01:43:50.800 --> 01:43:57.200]  And last but not least we had uh, trace pontas where where you can get some delicious coffee. So my thanks to them
[01:43:57.920 --> 01:44:02.400]  My thanks to you. Nilay. Everybody can follow you on twitter as uh, reckless
[01:44:03.120 --> 01:44:06.400]  Yeah, r e c k l e s s great twitter account
[01:44:07.120 --> 01:44:13.520]  You and I always have some good back and forth there. And of course, uh, you and all of your excellent colleagues at the verge
[01:44:14.240 --> 01:44:16.720]  Thank you so much. By the way, if you want to see some good twitter
[01:44:16.720 --> 01:44:23.440]  John, and I had a great conversation about the iphone 3gs keynote a few days ago. That was iphone 3g not 3gs 3g
[01:44:23.680 --> 01:44:26.560]  Right. Yes, go watch that. It's incredible. Yeah, you know what? That's funny
[01:44:26.560 --> 01:44:32.000]  It's funny you bring that up and I it it was lost in the shuffle of me trying to get these reviews together
[01:44:32.000 --> 01:44:34.720]  But you brought this up on twitter. That is such a great thing. You you
[01:44:35.360 --> 01:44:38.640]  You mentioned this and i'll put it in the show notes it
[01:44:39.280 --> 01:44:44.720]  It's stunning you brought it up as as sort of like the the canonical like
[01:44:44.720 --> 01:44:48.160]  canonical like or not canonical but like an
[01:44:49.500 --> 01:44:57.360]  Unheralded steve jobs keynote. It's totally underrated like right. It's so it's it's so remarkably efficient
[01:44:57.680 --> 01:44:59.600]  and it still seems
[01:44:59.600 --> 01:45:06.400]  Like just looking like the app store 3g like it's just like it just like bangs through it. It's incredible
[01:45:06.640 --> 01:45:11.280]  So the gist of it and you're right. I kind of had forgotten it and I was there in the room for it
[01:45:11.280 --> 01:45:17.600]  It so everybody remembers the original iphone keynote. It's it's like the what it is. I've always said and I I think
[01:45:18.640 --> 01:45:26.320]  I expect to finish my career and still say that the apple keynote was the original iphone
[01:45:27.120 --> 01:45:29.120]  keynote because everything you'd want
[01:45:30.160 --> 01:45:32.160]  Just a flabbergasting
[01:45:32.880 --> 01:45:37.680]  Everything you could dream of this it really is. It's not just an ipod with a cell phone
[01:45:37.680 --> 01:45:42.800]  It is literally a new computing platform. It's os 10 running on a cell phone and has this
[01:45:43.440 --> 01:45:46.480]  Wonderful new interface and blah blah blah and it was all secret
[01:45:46.640 --> 01:45:52.320]  Nothing had leaked, you know other than the vague rumor that apple was quote unquote going to announce a phone
[01:45:52.400 --> 01:45:56.080]  That was the only thing that leaked was that they might really be announcing a phone at mac world
[01:45:56.400 --> 01:46:00.240]  It was the keynote because the the what it looked like is hardware what it looked like
[01:46:00.240 --> 01:46:06.880]  It's software had all been kept under wraps. So in terms of actually having a humongous surprise. It was it
[01:46:06.880 --> 01:46:10.320]  But then a a year and a half later when the 3g came out
[01:46:11.440 --> 01:46:15.760]  I it is totally forgotten like it was it was 20 minutes
[01:46:18.240 --> 01:46:22.560]  At the end of the wwdc keynote so they didn't even hold an event for it
[01:46:22.560 --> 01:46:27.040]  It was just 20 minutes at the end of the wwdc keynote apple
[01:46:27.520 --> 01:46:30.160]  Steve jobs unveiled the iphone 3g
[01:46:30.960 --> 01:46:36.320]  and it was it it it really was the iphone that exploded like the original iphone very
[01:46:36.320 --> 01:46:40.000]  Very few of them was sold. I think they only sold like six million of them
[01:46:40.480 --> 01:46:46.800]  Uh, you know, they probably sold more than that in the first 15 seconds of the pre-order a week ago. Uh
[01:46:48.960 --> 01:46:54.080]  It the the 3g keynote i'll put it in the show notes you've got to watch it it is 20 minutes long
[01:46:54.160 --> 01:46:59.280]  And it was in the middle of a wwdc and like you said it is incredibly efficient it is
[01:47:01.440 --> 01:47:03.680]  Yeah, I mean he's like you're all the problem like he says like
[01:47:03.680 --> 01:47:09.620]  56 percent of people think the iphone is too expensive. Well problem solved like starting price 199 like
[01:47:10.500 --> 01:47:15.700]  80 percent of people are used exchange. So we added enterprise support like he's like here are all the problems
[01:47:15.700 --> 01:47:18.740]  I solved them get out of here buy an iphone. See you later edges edges
[01:47:19.460 --> 01:47:22.900]  Edge is too slow. Here's 3g and like you said like you called this out
[01:47:22.900 --> 01:47:26.260]  You called this out on twitter like to show how much faster it was
[01:47:26.500 --> 01:47:30.180]  He actually just stood aside quietly and let web pages load
[01:47:30.180 --> 01:47:35.220]  Yeah, it's 20 minutes and one minute is silent
[01:47:36.980 --> 01:47:44.340]  One yeah one one minute is waiting for the new york times home page to load on an edge network just
[01:47:46.580 --> 01:47:50.660]  Yeah, it's it's so unlike anything anyone would do today it is
[01:47:51.300 --> 01:47:55.460]  Nobody, but steve jobs could pull it off. It really is it so the better keynote
[01:47:55.540 --> 01:47:59.860]  Obviously the better announcement is the original one but in terms of like a performance like
[01:47:59.860 --> 01:48:06.740]  And what steve jobs could do on stage that nobody else ever could do it's it's a better example
[01:48:06.820 --> 01:48:08.820]  It's actually a better jobs performance
[01:48:09.380 --> 01:48:13.060]  Yeah, because I mean no one else is making people wait a minute
[01:48:15.300 --> 01:48:17.300]  And everybody clapped everybody was like
[01:48:17.780 --> 01:48:20.740]  Everybody was like clapping like thank you for making me watch that
[01:48:21.300 --> 01:48:24.260]  By the way, the 3g phone took 21 seconds
[01:48:25.060 --> 01:48:28.260]  It was still an eternity and he's like look at how much faster
[01:48:28.260 --> 01:48:32.580]  Well, that's funny too. And I did notice that and I I it's it's one of those things
[01:48:32.660 --> 01:48:34.260]  I don't know if i've ever written about it or not
[01:48:34.260 --> 01:48:40.660]  But it is funny because then he even compared it to wi-fi and wi-fi was 18 seconds and it's you know
[01:48:40.820 --> 01:48:44.020]  Like the the truth of it is is that web pages are?
[01:48:44.720 --> 01:48:49.300]  Computationally very expensive to render and so like 10 years ago
[01:48:50.100 --> 01:48:52.660]  It it. Yes, it was very slow on edge
[01:48:52.660 --> 01:48:58.100]  but actually most of the time you spent that your phone spent rendering the page was actually like
[01:48:58.880 --> 01:49:02.260]  html being rendered through the cpu to figure out where everything goes like
[01:49:02.500 --> 01:49:04.660]  We take it for granted now that our phones can like
[01:49:04.820 --> 01:49:07.700]  You know reload a web page and have it come up in like two or three seconds
[01:49:08.020 --> 01:49:13.460]  But most of that now is isn't even just networking advantages. It's the fact that the cpu is so much faster
[01:49:14.180 --> 01:49:19.780]  Yeah, it's I mean you just got to watch this thing like it is so good. It is just virtual
[01:49:19.780 --> 01:49:25.720]  It's virtuoso. It really is i'm so glad you remembered to call that out because it really was and it was a great twitter conversation
[01:49:26.020 --> 01:49:30.580]  Well, I was looking at I was looking at iphone. I was just like looking at iphone prices to see you know, because the
[01:49:31.300 --> 01:49:36.420]  The 10s max max that's like 1400 dollars, right? Yeah 14. I was like looking at the chart and I was like
[01:49:37.360 --> 01:49:38.580]  199
[01:49:38.580 --> 01:49:40.580]  and I ended up like
[01:49:41.380 --> 01:49:47.940]  And like obviously the carrier deals were actually far worse. Yes. Yeah. It's like a totally different situation and
[01:49:47.940 --> 01:49:54.740]  But like he put up the slide. It's like 199. I was like that slide is long gone. Like we're never seeing that again
[01:49:55.540 --> 01:49:59.460]  Can I tell you one more behind the scenes tidbit from the event last week was uh?
[01:50:00.340 --> 01:50:02.020]  I was I was
[01:50:02.020 --> 01:50:07.060]  Sitting uh next to a friend of the show and oftentimes guest dan frohmer from recode
[01:50:07.460 --> 01:50:11.780]  And we were towards the back. We were in the center but towards the back and there were a lot of
[01:50:11.780 --> 01:50:17.380]  Press people from asia around us and I think they were mostly from china. I mean, I honestly don't know but
[01:50:19.220 --> 01:50:22.820]  And and there was a weird thing going on at at first where
[01:50:23.860 --> 01:50:28.500]  I would say for the first 30 minutes of the apple event where apple had provided
[01:50:29.860 --> 01:50:31.380]  asian language
[01:50:31.380 --> 01:50:35.860]  Press I don't know if this is new or if they've done it before but like earpieces where they could get like oh, yeah
[01:50:35.860 --> 01:50:42.660]  Real-time translation, but they were turned up way too loud and so a lot of these a lot of the people had taken them out
[01:50:42.660 --> 01:50:48.500]  Of their ears and were just sort of holding them because it was so loud that they didn't but that meant that like I could hear
[01:50:48.660 --> 01:50:50.660]  This sort of muffled
[01:50:51.060 --> 01:50:56.900]  I I thought that it was at first I thought it was people like listening to something on their phone with the speaker on and I
[01:50:56.900 --> 01:50:59.700]  Was like this is incredibly rude. Why are you doing this?
[01:50:59.700 --> 01:51:04.500]  I'm hearing but it was these earpieces and then apple I guess realized that it was too loud
[01:51:04.500 --> 01:51:10.340]  I guess realized that it was too loud and turned it down and but you know about halfway through or maybe like 30 minutes through it
[01:51:11.060 --> 01:51:12.340]  Stopped being a problem
[01:51:12.340 --> 01:51:13.700]  But I was surrounded, you know
[01:51:13.700 --> 01:51:18.820]  But I because of that I realized I was there was a lot of asian language press around us when they announced the prices
[01:51:18.900 --> 01:51:20.740]  of the iphone 10s
[01:51:20.740 --> 01:51:22.260]  in the event
[01:51:22.260 --> 01:51:24.260]  They there were gasps
[01:51:24.420 --> 01:51:25.380]  like
[01:51:25.380 --> 01:51:30.740]  Because I guess that there were rumors there there were so many rumors that the iphone 10s
[01:51:30.740 --> 01:51:38.260]  pricing last year was a one-off, you know that this was an anomaly to you know that they've so, you know shipped this
[01:51:38.900 --> 01:51:40.900]  Quote-unquote phone from the future, you know
[01:51:41.140 --> 01:51:46.980]  But that it would go back to where it used to be where the high-end phone started like seven hundred dollars or something like that
[01:51:47.220 --> 01:51:52.500]  When they announced that these phones started at 999 and that the 10s max started at eleven hundred dollars
[01:51:53.220 --> 01:51:57.780]  Uh, there were gasps. I mean just outright like shock it was
[01:51:57.780 --> 01:51:59.220]  Is
[01:51:59.220 --> 01:52:05.940]  It was the sort of gasp that you would expect if phil schiller had said and the default wallpaper is a nudie picture
[01:52:08.340 --> 01:52:14.660]  Wow, I didn't get that oh it was it but it was only because they were like the two rows behind me were just filled with
[01:52:14.820 --> 01:52:16.100]  uh
[01:52:16.100 --> 01:52:22.100]  I I think chinese but and and I it it just was so clear to me that they had bought hook line and sinker into
[01:52:22.100 --> 01:52:26.260]  The argument that that the phone prices were going to go back down this year and they they did not
[01:52:26.260 --> 01:52:28.260]  That's it. Well also
[01:52:28.420 --> 01:52:32.820]  Doing you can get a kick-ass phone in china for like 400 bucks
[01:52:33.940 --> 01:52:35.220]  right, so like
[01:52:35.220 --> 01:52:37.220]  It's way we actually sent um
[01:52:37.860 --> 01:52:42.900]  Ben popper he now works for dji, but we sent him when he was a reporter for us. We sent him to china
[01:52:43.460 --> 01:52:47.620]  um to go report on dji as it happens, um, and
[01:52:48.500 --> 01:52:53.060]  He texted me from like a store in shenzen. He was like what phone do you want?
[01:52:53.060 --> 01:52:57.380]  He's like this dude is just going to be on the phone. Like do you want an iphone body running android?
[01:52:57.380 --> 01:52:59.540]  Do you want this weird ass copy of ios like?
[01:53:00.340 --> 01:53:02.340]  that market is like
[01:53:02.340 --> 01:53:05.780]  It's incredible. Uh, so I think that those prices are really high and I think
[01:53:06.500 --> 01:53:08.340]  I don't know that's a whole other conversation
[01:53:08.340 --> 01:53:11.380]  Well, and then the other thing I know we got to wrap up but the other thing too though
[01:53:11.380 --> 01:53:17.380]  Is that the way that apple staged the show watch first then the 10s and then the 10r?
[01:53:17.380 --> 01:53:21.700]  So instead of doing the best or or better and then best they went best
[01:53:21.700 --> 01:53:23.700]  they went best and then
[01:53:24.020 --> 01:53:27.300]  But it makes sense given how good the 10r is that they you know
[01:53:27.300 --> 01:53:31.460]  They can just say it has the same grade a12. We already told you about same great wide angle camera blah blah
[01:53:31.540 --> 01:53:33.220]  Yeah, it makes sense
[01:53:33.220 --> 01:53:39.300]  And it is back in line with what people expect from iphone pricing for a brand new generation
[01:53:39.380 --> 01:53:43.300]  but so that the the the gasps at the 10s pricing
[01:53:43.940 --> 01:53:45.380]  I think were
[01:53:45.380 --> 01:53:49.700]  Exacerbate or lessened after the 10r pricing was unveiled
[01:53:49.700 --> 01:53:54.180]  Half an hour later. Yeah. Yeah. Yeah, it's a good setup, right? You know, it's just a cheap one
[01:53:54.180 --> 01:53:58.340]  Yeah. All right. So we're gonna have to do this again when the 10r comes out. I think is the end of this conversation. Yeah
[01:53:59.060 --> 01:54:05.460]  Definitely. That's what I say. All right. Thank you. Nilay. I really appreciate it and uh, have a good weekend. Thanks, man
[01:54:05.460 --> 01:54:20.100]  Thanks, man. Love you on the show. All right
