[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[25:13.780 --> 25:18.160]  When you make your next move you're gonna need a website why not start it at Squarespace
[25:18.920 --> 25:23.060]  They've got beautiful templates. They've got beautiful types of sites
[25:24.000 --> 25:27.160]  To choose from to start so if you're making an online store
[25:27.160 --> 25:33.560]  you can start with a store and then choose a template from there if you're making a podcast you can start with something like a
[25:33.560 --> 25:39.600]  Podcast and boom you've got a podcast site. You didn't do any work. You can host your podcast right there from Squarespace
[25:40.560 --> 25:44.920]  You name the type of site you can build it with Squarespace and I say this
[25:44.920 --> 25:48.940]  This is what I think is the the resistance people might have to Squarespace is you say well
[25:48.940 --> 25:54.560]  everybody signs up for Squarespace and you choose from a handful of templates and then my site's gonna look like a Squarespace site because
[25:54.560 --> 25:59.880]  Every it's not like that they've got so many templates to choose from and so many ways to customize them
[25:59.960 --> 26:03.620]  That you don't even know when you're looking at a Squarespace site
[26:04.080 --> 26:05.360]  I
[26:05.360 --> 26:08.440]  Was just looking at a I mentioned this on during fireball last week
[26:08.440 --> 26:14.400]  There's a new cheesesteak place pretty near our place here in Philadelphia called cleavers really great new sandwich shop here
[26:14.560 --> 26:18.320]  I was looking at their their website to place the takeout order and
[26:18.320 --> 26:24.840]  One of the things you click on to see the menu load instead of as a page loaded as a standalone image
[26:24.840 --> 26:27.580]  And I could see the URL I could see it was hosted at Squarespace
[26:27.580 --> 26:31.960]  I was like whoa and I've also never view source and look and their whole site which is a really nice site
[26:32.160 --> 26:38.320]  But doesn't look anything like any other site I've ever seen it's very much strongly branded like the restaurant built with Squarespace
[26:38.360 --> 26:40.360]  But that makes total sense. Why would they waste time?
[26:42.360 --> 26:46.520]  Doing something outside their expertise like building a website when they could just do it at Squarespace
[26:46.520 --> 26:48.520]  And stick to building a great restaurant
[26:49.080 --> 26:55.480]  So keep them in mind next time you need a website for anything check out Squarespace go to Squarespace calm
[26:55.840 --> 26:59.560]  You get a free demo and once you sign up remember this code
[27:00.160 --> 27:06.500]  Gruber just my last name gr you be er and you will get 10% off your purchase
[27:06.880 --> 27:10.400]  My thanks to them for their continued support of this podcast
[27:11.200 --> 27:13.800]  all right next next item on my list at least is
[27:13.800 --> 27:19.280]  Your reaction to the new MacBook pros, which yeah, so
[27:20.520 --> 27:23.320]  And I know you have thoughts on this as well
[27:23.320 --> 27:28.360]  And you sir the one thing that you linked to which I thought was interesting was a few weeks ago
[27:29.040 --> 27:37.040]  Sort of a poll right of people how they feel about it and so my general take is pretty straightforward
[27:37.040 --> 27:41.840]  I just I don't hate the touch bar. I just think it's totally useless
[27:41.840 --> 27:46.120]  I have a few apps. You know that are sort of tailored for it including things like pixelmator
[27:48.120 --> 27:52.120]  Handful of other things a bunch a bunch more that aren't of course
[27:53.120 --> 27:56.120]  But I honestly just switched the sort of
[27:57.120 --> 27:59.120]  the fluid
[27:59.120 --> 28:04.120]  Setting to be back to just the standard sort of F and or no I didn't sorry
[28:04.120 --> 28:07.120]  I didn't use the the F keys I used the function keys I use the
[28:07.120 --> 28:13.720]  Actual brightness and all that stuff because I like I just found myself going to that like way way more than I would use any
[28:13.720 --> 28:19.720]  Of the sort of dynamic options that the touch bar would off offer and I just I don't I
[28:20.320 --> 28:21.320]  Have a hard time
[28:21.320 --> 28:27.720]  I know it's early, but I have a hard time ever seeing that it becomes like this great feature of the MacBook Pro
[28:28.720 --> 28:30.720]  Do you disagree with that?
[28:30.720 --> 28:38.720]  Uh, no, I don't disagree. I feel like it exists. I feel like the touch bar as we have it right now exists in a sort of
[28:39.320 --> 28:44.720]  No, man's land where you cannot I don't think it's fair to trash it. I don't think it's fair to say this is great
[28:44.720 --> 28:46.720]  I feel like
[28:46.720 --> 28:48.720]  It's it's nuanced
[28:48.720 --> 28:51.720]  Now that said I don't own one
[28:51.720 --> 28:56.720]  So I've got I spent about two or three weeks when they first came out playing
[28:56.720 --> 29:02.720]  With the review units I had multiple of them but mostly spent the time at the 13-inch because that's the size I like
[29:03.720 --> 29:05.720]  And I love touch ID
[29:06.720 --> 29:09.720]  Yes, I don't use the hearted
[29:09.720 --> 29:16.720]  I don't use the escape key as much as some people do but I do use it and I do still even now even as somebody who
[29:16.720 --> 29:18.720]  doesn't use the escape key all the time I
[29:19.720 --> 29:22.720]  Question whether they should not have left a hardware
[29:22.720 --> 29:29.720]  I question whether they should not have left a hardware traditional escape key and made the touch bar just run from
[29:31.720 --> 29:34.720]  Escape have a escape key in the upper left corner
[29:34.720 --> 29:39.720]  The touch ID in the upper right and have the touch bar exist between the two
[29:39.720 --> 29:42.720]  I think right I think that because it would have given it more
[29:42.720 --> 29:45.720]  Symmetry as well because it's you know, they have one button on one side
[29:45.720 --> 29:51.720]  Why not have the escape button even if they change the size of it and made it square sort of like the right touch ideas
[29:51.720 --> 29:55.720]  but make it something you can actually click and I think that would have I I do feel like just
[29:56.720 --> 29:59.720]  Reading Twitter reading feedback from readers and stuff like that
[29:59.720 --> 30:04.720]  I feel like an awful lot of the criticism of the touch bar relates to the escape key
[30:06.720 --> 30:09.720]  As for the utility of the touch part itself, it's hard to say I do I
[30:10.720 --> 30:15.720]  I do I remember thinking it was really nice to adjust the brightness with the touch bar and I and I find it
[30:16.720 --> 30:19.720]  I find that so much more tedious honestly to do it that way
[30:19.720 --> 30:26.720]  You know, so here's before I switched it back to being sort of the brightness as as sort of default buttons
[30:26.720 --> 30:30.720]  So it has like, you know brightness and things like bring up expose and stuff like that
[30:30.720 --> 30:35.720]  You can there's a setting that you can you know, move it to rather than being the dynamic touch bar
[30:35.720 --> 30:42.720]  It's it's sort of your old standard buttons and I did that because I was actually using I think it's when you hit the function
[30:42.720 --> 30:43.720]  the FN key
[30:43.720 --> 30:48.720]  I think that would bring up the old ones and I was just using that all the time because even though there are what
[30:48.720 --> 30:54.720]  There is a brightness button on the dynamic version of the touch bar when you hit it
[30:55.720 --> 30:59.720]  Then you yeah, then you have to scroll sort of up or down and so often
[30:59.720 --> 31:05.720]  I just want like, you know one little nit more of brightness not like I don't need the sort of scrubbing
[31:05.720 --> 31:08.720]  You know to see all the way down and all the way up what the difference is
[31:08.720 --> 31:12.720]  It's like one of those features that just seems like a cool option on paper
[31:12.720 --> 31:15.720]  But when you actually use it, it's much less useful. Yeah
[31:15.720 --> 31:18.720]  So I don't know I can see the mixed feelings about it
[31:18.720 --> 31:25.720]  I I feel I feel like the biggest thing that it needs is haptic feedback. I feel like yeah
[31:26.720 --> 31:30.720]  and I was reminded of it just recently because I I'm a
[31:30.720 --> 31:35.720]  I'm I haven't used it a lot because I don't personally have a need but I'm fascinated by the new clips app
[31:35.720 --> 31:37.720]  And I think it's I think it's really well done
[31:37.720 --> 31:41.720]  Even though I realize some of the initial complaints from other people are that they're a little confused by it
[31:41.720 --> 31:47.720]  But I yeah, I think it's only confusing at first because it's ambitious and tries to do a lot
[31:47.720 --> 31:51.720]  And so there's a lot in there, but I feel like everything that they've done once you get it
[31:51.720 --> 31:56.720]  It's pretty logical. But the the thing that made me think of the touch bar is
[31:57.720 --> 31:59.720]  When you've got your you've got multiple
[32:01.720 --> 32:07.720]  Clips in a project in a row and if you want to rearrange them you you can force touch on one
[32:07.720 --> 32:13.720]  And you get like a little you get the haptic feedback as you drag it along to rearrange clips in the timeline
[32:14.720 --> 32:20.720]  It feels like so you want to move the one that's in the fourth spot to the second spot as you drag right between second
[32:20.720 --> 32:25.720]  And third you get a little it rumbles and you can feel it. Yeah, you can feel like it's like you're dragging it over
