[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[01:37:37.340 --> 01:37:41.420]  but like so for years I've been I was noodling the idea in the back of my head of like
[01:37:41.580 --> 01:37:44.640]  Doing a kind of like readability thing for podcasts of like you pay
[01:37:45.340 --> 01:37:47.860]  suppose you'd pay overcast like 20 bucks a month and
[01:37:48.100 --> 01:37:52.940]  I would split it out and pay the podcast you listen to if they participated in this thing
[01:37:52.940 --> 01:37:56.460]  I'd like, you know share revenue share with all of them and I would take like, you know
[01:37:56.460 --> 01:38:02.500]  10% for the running it or whatever and I I talked I ran this idea by a bunch of podcasters a few years ago big and
[01:38:02.500 --> 01:38:03.540]  small
[01:38:03.540 --> 01:38:06.100]  Friends and and you know non friends like so, you know
[01:38:06.100 --> 01:38:11.300]  They wouldn't be too biased and everyone basically said the same thing like no, it isn't worth it because like I guess I would take
[01:38:11.300 --> 01:38:14.780]  Your money, but I would never promote promote it because I have my own method of monetization
[01:38:14.780 --> 01:38:15.180]  I'm you know
[01:38:15.180 --> 01:38:19.420]  I whether they have the listenership or they have memberships or they have private feeds or they do
[01:38:20.220 --> 01:38:22.700]  Patreon I seem to recall telling you this. Yeah
[01:38:22.700 --> 01:38:26.700]  I'm pretty sure you asked me. Yeah, I probably did like I asked every podcast
[01:38:26.700 --> 01:38:28.100]  I knew plus like some of like, you know
[01:38:28.100 --> 01:38:32.100]  The big ones and and they all were very gracious with their time and basically said like yeah
[01:38:32.100 --> 01:38:32.780]  I would take your money
[01:38:32.780 --> 01:38:35.820]  But I wouldn't promote it because I don't want I don't want other people getting the way of me making my money
[01:38:35.820 --> 01:38:38.860]  But anyway, assuming a program like that could exist
[01:38:40.220 --> 01:38:41.100]  think I
[01:38:41.100 --> 01:38:45.500]  So I ran the numbers and I kind of I kind of came to the conclusion that even if I could get everyone to
[01:38:45.500 --> 01:38:48.660]  Do it whatever that like, you know 10% that I would take whatever it would be
[01:38:48.660 --> 01:38:55.180]  it just wouldn't be enough money to make it worth the hassle and overhead of running this kind of program and
[01:38:55.540 --> 01:38:57.860]  Distributing all this money handling everyone's finances
[01:38:57.860 --> 01:39:02.180]  Like that's that it's a lot of burden and it's a lot of messiness and the amount of money
[01:39:02.180 --> 01:39:04.500]  I would likely make from it assuming certain like, you know
[01:39:04.500 --> 01:39:07.060]  Conservative percentages of how many people would want to pay and everything
[01:39:07.060 --> 01:39:12.140]  It just wasn't enough money to make it worth it to me. But as a thought exercise I a few months back
[01:39:12.140 --> 01:39:17.340]  I'd I'd thought like well, I know my market share and I know Apple's market share. So I extrapolated
[01:39:17.340 --> 01:39:22.180]  What would Apple make by running a program like this if they wanted to do something like this where you pay?
[01:39:22.540 --> 01:39:27.940]  Apple some service fee and they split it up kind of like to do with news plus they split it up to the podcast you
[01:39:27.940 --> 01:39:31.020]  Listen to and pay them like if you listen within Apple's app
[01:39:31.340 --> 01:39:36.660]  What if they ran a program like this how much money would they make and I forget the number I came up with but it
[01:39:36.660 --> 01:39:41.940]  Was it was something like a couple of million dollars a year and it's like it just wasn't enough
[01:39:41.940 --> 01:39:47.780]  It doesn't move them like for them. Yeah for them a couple million dollars a year. It would be definitely not worth the
[01:39:47.980 --> 01:39:51.820]  administration of running such a program like the all the costs involved in like
[01:39:52.020 --> 01:39:57.260]  pay in like paying all those podcasters out and dealing with them all and dealing with the signups and dealing with the people and
[01:39:57.260 --> 01:40:01.700]  like the mark having to market this kind of thing to people to get them to buy descriptions in the first place and the
[01:40:01.700 --> 01:40:04.740]  Engineering behind it like it's so much effort to run such a program
[01:40:05.620 --> 01:40:10.300]  Podcasts while they are very while it's a very big market for the content side of things
[01:40:10.300 --> 01:40:13.360]  The platform side of things it's hard to get enough people
[01:40:13.960 --> 01:40:18.460]  Especially paying people to really make big money as a platform it like
[01:40:19.060 --> 01:40:24.260]  Podcasting simply isn't big enough yet and it may it may never be like, you know
[01:40:24.260 --> 01:40:28.100]  It meant like talk radio a talk radio kind of capped out, you know
[01:40:28.100 --> 01:40:29.800]  Like the talk radio is not still growing
[01:40:29.800 --> 01:40:34.940]  It kind of capped out at like a natural point where like this is just how many people want this kind of thing and that's it
[01:40:34.940 --> 01:40:40.900]  Podcasting is still growing but not incredibly quickly. Like maybe maybe it's already capped out
[01:40:40.900 --> 01:40:45.940]  maybe it's maybe it's mostly done growing or maybe it's almost mostly maybe it's almost done growing and
[01:40:46.820 --> 01:40:50.080]  So the even even having their giant market share
[01:40:50.540 --> 01:40:56.960]  Trying to get people to pay for something on a large scale as the platform owner doesn't really pay
[01:40:56.960 --> 01:41:00.580]  It's not really the math doesn't work out very well for a company that big to have a meaningful
[01:41:00.820 --> 01:41:04.300]  You know pay rate and to make meaningful money from from paid podcast now
[01:41:04.300 --> 01:41:07.860]  It the economic change when you are the content provider
[01:41:08.300 --> 01:41:12.420]  Like if you're trying to do the platform play where you take 10% or 30% of everything, you know
[01:41:12.420 --> 01:41:14.820]  That's it's hard to make enough money there to matter
[01:41:14.820 --> 01:41:20.940]  But if you are making the 70% or the 90% of that then your economics change
[01:41:20.940 --> 01:41:25.540]  So like it does make sense for a lot of individual podcasts to have a paid
[01:41:25.540 --> 01:41:32.220]  You know premium tier where they make most of the money from from their listeners and everything that economics are totally different
[01:41:32.220 --> 01:41:36.780]  That often works out and that's why there aren't so many of those but on the platform side
[01:41:36.780 --> 01:41:41.100]  It doesn't make a ton of sense for them to be like like a pay everyone kind of solution
[01:41:41.100 --> 01:41:46.720]  but this rumor wasn't about that this rumor was about them making exclusive content and and and you know
[01:41:47.020 --> 01:41:54.540]  presumably tying it behind some kind of paywall and so from that like the the math could work on that for them, but
[01:41:55.220 --> 01:41:59.580]  Again, I think it would be at I think it would be most likely
[01:41:59.580 --> 01:42:03.060]  To be an add-on to Apple music or something not a standalone thing
[01:42:05.340 --> 01:42:10.860]  Well while we're on this topic of podcasts, I know you and I have talked about this before I
[01:42:11.580 --> 01:42:13.300]  find one of the
[01:42:13.300 --> 01:42:15.860]  Strangest things about the podcast ecosystem is
[01:42:16.820 --> 01:42:18.420]  Apple's
[01:42:18.420 --> 01:42:19.860]  outsized
[01:42:19.860 --> 01:42:23.300]  dominance in market share because they're I
[01:42:23.300 --> 01:42:31.060]  Mean, I mean, I presume you you would actually know this but I presume most people who use Apple podcast listen on
[01:42:31.260 --> 01:42:32.700]  their phone
[01:42:32.700 --> 01:42:37.540]  People certainly use the I'd you know, the Mac versions. I know, you know people definitely use that
[01:42:40.420 --> 01:42:43.520]  But there's this thing called Android which has
[01:42:44.260 --> 01:42:47.700]  greater worldwide market share than the iPhone and yet
[01:42:47.700 --> 01:42:53.220]  even though Google has made some steps you would think that's a business Google would want to be in right like
[01:42:54.020 --> 01:42:55.500]  well
[01:42:55.500 --> 01:42:59.460]  Demographically, I mean, you know, there there are podcast players on Android, right?
[01:42:59.540 --> 01:43:03.260]  Google I think has made three of them so far and they just don't take off. They don't go anywhere
[01:43:03.260 --> 01:43:07.140]  I I think you know what you're seeing here is something that
[01:43:08.740 --> 01:43:12.740]  That you know, I think a lot of people either don't see or don't want to say
[01:43:13.580 --> 01:43:17.340]  But that the Android market is different from the iPhone market demographically speaking
[01:43:17.340 --> 01:43:24.740]  And the the demographics of people who listen to podcasts are significantly tilted towards higher income better educated
[01:43:24.940 --> 01:43:29.780]  More liberal people and those are the opposite demographics that Android tends to be tilted towards
[01:43:29.780 --> 01:43:35.960]  So what you see is even though Android has a larger market share of like devices worldwide
[01:43:36.580 --> 01:43:43.300]  That it isn't so evenly spread or it isn't it's the opposite for podcast listeners podcast listeners so far are
[01:43:43.300 --> 01:43:50.220]  Significantly in favor of iOS. So there's actually there's um, our friends over at Libsyn
[01:43:50.220 --> 01:43:52.220]  Libsyn is a huge podcast who has been around forever
[01:43:52.220 --> 01:43:56.780]  They host tons and tons of podcasts big and small including I believe both of these podcasts, right mine
[01:43:56.780 --> 01:43:59.300]  I'm still on SoundCloud. Oh, geez, you gotta get off SoundCloud
[01:43:59.300 --> 01:44:04.380]  Well, anyway, at least including ATP and I have a lot of I have a lot of accumulated CMS data. Yeah
[01:44:05.660 --> 01:44:09.740]  You really do. Oh god. I can't believe SoundCloud is still hosting podcast anyway
[01:44:10.500 --> 01:44:12.500]  but
[01:44:12.500 --> 01:44:19.600]  But for everyone else who's on Libsyn they they do a podcast called the feed where we're two people from Libsyn
[01:44:20.220 --> 01:44:24.940]  Talk about you know podcast trends and how to and everything and part of that show every month is they share
[01:44:25.260 --> 01:44:33.980]  Data about user agents and what percentage of Libsyn's network-wide downloads are going to you know podcast clients like mine and Apple's and they?
[01:44:33.980 --> 01:44:41.140]  Also break it down by platforms like Android versus iOS and the the Android to iOS ratio has been shrinking over time
[01:44:41.140 --> 01:44:42.900]  It used to a couple of years ago
[01:44:42.900 --> 01:44:45.580]  I think it was like seven or eight to one in favor of iOS
[01:44:45.940 --> 01:44:50.780]  And now it's closer to like three to one or four to one but it's still like that's still you know
[01:44:50.780 --> 01:44:52.220]  iOS to have like, you know
[01:44:52.220 --> 01:44:58.660]  Three to one advantage over Android for for podcast never podcast downloads across this entire network that hosts a huge variety of shows
[01:44:58.660 --> 01:45:01.780]  So it's I think it's probably pretty representative. Yeah, I was a whole yeah
[01:45:02.740 --> 01:45:04.740]  that is
[01:45:05.220 --> 01:45:09.780]  Totally out of whack with the actual market share of those platforms in a hardware sense
[01:45:09.780 --> 01:45:12.620]  You would think it would be more like Chrome and Safari, right? Yeah
[01:45:12.620 --> 01:45:14.820]  It's like like you would think based on androids market share
[01:45:14.820 --> 01:45:18.920]  You would think that Android would outnumber iPhone downloads something like two to one
[01:45:19.300 --> 01:45:24.220]  But instead it's the opposite direction and it's iPhone numbering Android like three to one for podcast download
[01:45:24.220 --> 01:45:28.020]  So it it's very much a demographic difference between those two platforms
[01:45:28.020 --> 01:45:30.460]  And I think that's part of the reason among some others
[01:45:30.460 --> 01:45:36.820]  But that's part of the reason I think why Google has had no meaningful success having their own big podcast app on Android
[01:45:36.820 --> 01:45:38.740]  Good
[01:45:38.740 --> 01:45:45.820]  Here's my stats for my show overcast is number one, but our audiences. Yeah our irons is not representative
[01:45:47.140 --> 01:45:54.860]  Three times the market share of Apple core media iPhone, which is listening on the iPhone, but they list iTunes separately
[01:45:54.860 --> 01:45:56.860]  So that's another
[01:45:56.980 --> 01:46:03.380]  Four four percent or so. Yeah, that's desktop iTunes is not meaningful market share most for most podcasts
[01:46:03.380 --> 01:46:10.000]  the only one the only other third-party one pocket casts is about one-fifth the size of
[01:46:11.700 --> 01:46:13.700]  iPhone Apple's iPhone client
[01:46:16.180 --> 01:46:18.740]  Castro's in the top ten. It's a great app
[01:46:19.260 --> 01:46:23.300]  but really that it's all just rounding errors after after iTunes or
[01:46:23.860 --> 01:46:29.220]  Apple's podcast app and overcast fun fact according to lives and stats Castro has more market share than luminary
[01:46:29.220 --> 01:46:31.220]  I
[01:46:32.460 --> 01:46:35.400]  Somehow that feels good. It really does actually I'm very happy with that
[01:46:36.180 --> 01:46:42.300]  All right, we got to wrap this up. There's probably the shortest Marco Arman appearance on the talk show in history. Yeah, probably
[01:46:44.220 --> 01:46:45.500]  But I think we're out of stuff
[01:46:45.500 --> 01:46:47.700]  I think we and we got a we have we've
[01:46:47.940 --> 01:46:51.980]  We probably should go to dinner friends and family who are waiting for us to go to dinner. So we should wrap it up
[01:46:52.100 --> 01:46:58.640]  Marco, I'm glad happy to be here. Um, I want to say thank you for inviting me and my family to your home
[01:46:58.640 --> 01:47:02.580]  And thank you for taking time out of a vacation week to do that to do my show. Yeah
[01:47:02.580 --> 01:47:06.300]  Thanks for having me. There's a lot of fun as usual. I always like it. It's always fun to do a show in person
[01:47:06.300 --> 01:47:08.300]  Oh, yeah, definitely. Oh
[01:47:08.660 --> 01:47:11.940]  I guess I should thank our sponsors. Yep, Squarespace
[01:47:13.280 --> 01:47:20.300]  Linode Linode and fraction and fracture. Is that it? Yeah. Yeah. Yeah before my podcast amnesia kicks in exactly
[01:47:20.620 --> 01:47:24.900]  And we'll see you next week and we'll see well, we'll see. Yeah, I might need a break. Yeah
[01:47:26.300 --> 01:47:27.940]  Yeah
[01:47:27.940 --> 01:47:29.940]  See in a couple weeks. Yeah
