[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[01:40:14.220 --> 01:40:20.460]  What about the, I know everybody's talking about, Jim and I talked about these rumors
[01:40:20.460 --> 01:40:24.380]  and I'll bring it up with you and then I'll leave it alone until we find out if it actually
[01:40:24.380 --> 01:40:25.380]  ships.
[01:40:25.380 --> 01:40:31.140]  But the, the whispers on the street that Apple might be in some way with some products returning
[01:40:31.140 --> 01:40:32.700]  to the six color Apple logo.
[01:40:32.700 --> 01:40:38.140]  Yeah, I wonder, I mean, I, I do walk the streets a lot and I hear people talking as they walk
[01:40:38.140 --> 01:40:39.140]  by.
[01:40:39.140 --> 01:40:41.460]  Yeah, I don't know.
[01:40:41.460 --> 01:40:46.180]  I saw that, I saw the events and that would be cool, but weren't there only five colors
[01:40:46.180 --> 01:40:47.180]  in that?
[01:40:47.180 --> 01:40:48.180]  No, it's six.
[01:40:48.180 --> 01:40:49.180]  It is six.
[01:40:49.180 --> 01:40:50.180]  Okay.
[01:40:50.180 --> 01:40:51.180]  Yeah.
[01:40:51.180 --> 01:40:54.500]  And that's actually where our friend Jason Snell's sixcolors.com comes from.
[01:40:54.500 --> 01:40:55.500]  Yeah.
[01:40:55.500 --> 01:40:56.500]  Right.
[01:40:56.500 --> 01:40:57.500]  Sure.
[01:40:57.500 --> 01:40:58.500]  Right.
[01:40:58.500 --> 01:40:59.500]  Yeah.
[01:40:59.500 --> 01:41:01.260]  It's the, and they do go in, in rainbow order.
[01:41:01.260 --> 01:41:04.260]  It's just that they like bit shifted by two.
[01:41:04.260 --> 01:41:14.060]  And so instead of starting at like red, orange, yellow, green, blue, violet, they starts with
[01:41:14.060 --> 01:41:18.020]  green at the top and then it's got blue at the bottom.
[01:41:18.020 --> 01:41:22.420]  I would like to see Apple just kind of return to more color in general.
[01:41:22.420 --> 01:41:27.580]  Like I have mail open in one of my computers right now and I'm looking at the sidebar,
[01:41:27.580 --> 01:41:34.340]  which is gray on corpse blue and like, yeah, they used, they used to be able to use colors
[01:41:34.340 --> 01:41:36.740]  for things and that it was actually really nice.
[01:41:36.740 --> 01:41:37.740]  Yeah.
[01:41:37.740 --> 01:41:41.940]  I mean, it's been this, like, it seems like that the post linen era where everything has
[01:41:41.940 --> 01:41:45.380]  to be just kind of blue, gray and monotone.
[01:41:45.380 --> 01:41:46.380]  Yeah.
[01:41:46.380 --> 01:41:47.380]  Right.
[01:41:47.380 --> 01:41:51.420]  And even when they use a different color, like in the notes app, everything is yellow.
[01:41:51.420 --> 01:41:53.420]  Yeah.
[01:41:53.420 --> 01:41:54.420]  I hope so too.
[01:41:54.420 --> 01:41:58.420]  I feel like the pendulum has to swing back on that and I actually think it's interesting
[01:41:58.420 --> 01:42:02.020]  and you know, you, you've always been, I'd mentioned this, but like net news wire five
[01:42:02.020 --> 01:42:08.900]  looks very, very much like a 2019 Mac app should, but there's a little bit, a little
[01:42:08.900 --> 01:42:12.660]  bit of color in those toolbar icons, right?
[01:42:12.660 --> 01:42:17.160]  And it goes out of its way to highlight the feet icons coming from all over and that adds
[01:42:17.160 --> 01:42:19.380]  an awful lot of liveliness to it too.
[01:42:19.380 --> 01:42:26.340]  But I think it's sort of telling about how far to the extreme the current aesthetic is
[01:42:26.340 --> 01:42:29.740]  that net news wire five counts as a colorful Mac app.
[01:42:29.740 --> 01:42:30.740]  Right.
[01:42:30.740 --> 01:42:31.740]  True.
[01:42:31.740 --> 01:42:32.740]  Yeah.
[01:42:32.740 --> 01:42:33.740]  All right.
[01:42:33.740 --> 01:42:34.740]  Yep.
[01:42:34.740 --> 01:42:39.700]  Uh, you know, and I don't want to blame everything on Johnny Ive, but I blame Johnny Ive.
[01:42:39.700 --> 01:42:44.220]  Well, cause it's his fault.
[01:42:44.220 --> 01:42:45.220]  I can't help it.
[01:42:45.220 --> 01:42:50.100]  You know, and I, you know, I don't know how far in advance is, is, you know, exit from
[01:42:50.100 --> 01:42:53.420]  the company retirement, whatever you want to call it was known.
[01:42:53.420 --> 01:42:58.420]  Uh, you know, how much of this was still up in the air when they were making the decisions
[01:42:58.420 --> 01:43:06.580]  for what iOS 13 and Mac OS 10 point 15 Catalina seat that I can't even remember the goddamn
[01:43:06.580 --> 01:43:07.580]  numbers.
[01:43:07.580 --> 01:43:13.060]  Um, but I can't help but feel that if, if there's going to be some kind of post Johnny
[01:43:13.060 --> 01:43:17.740]  Ive pendulum swing in the other direction, it wouldn't have been this year.
[01:43:17.740 --> 01:43:19.540]  It'll be, it'll start next year.
[01:43:19.540 --> 01:43:20.540]  Oh, sure.
[01:43:20.540 --> 01:43:21.540]  Yeah.
[01:43:21.540 --> 01:43:22.540]  Yeah.
[01:43:22.540 --> 01:43:23.540]  That makes sense.
[01:43:23.540 --> 01:43:28.060]  Uh, anything else that you wanted to talk about before we, before we sign off for this
[01:43:28.060 --> 01:43:34.340]  labor day weekend now, I guess there's an apple event coming up.
[01:43:34.340 --> 01:43:39.080]  We've gotten new, new OS is people seem to be having a rock developers are having kind
[01:43:39.080 --> 01:43:40.080]  of a rocky summer.
[01:43:40.080 --> 01:43:41.080]  Yeah.
[01:43:41.080 --> 01:43:42.340]  And I don't know what to say about that.
[01:43:42.340 --> 01:43:44.540]  Some summers are easier than others.
[01:43:44.540 --> 01:43:46.540]  That's kind of the thing I keep hearing about most though.
[01:43:46.540 --> 01:43:48.660]  I guess my friends are developers.
[01:43:48.660 --> 01:43:49.660]  Yeah.
[01:43:49.660 --> 01:43:50.980]  Uh, yeah.
[01:43:50.980 --> 01:43:53.780]  And I, I feel like the Mac is in an interesting state.
[01:43:53.780 --> 01:43:57.000]  Um, and without getting, I don't want to make it political cause I don't think it should
[01:43:57.000 --> 01:44:03.880]  be political, but with Catalina, Catalina catalyst, which is the UI kit, you know, bring
[01:44:03.880 --> 01:44:10.940]  your iPad apps to the Mac technology that they sort of preannounced last year so that
[01:44:10.940 --> 01:44:16.340]  they could ship their own, uh, home and news and voice recorder apps.
[01:44:16.340 --> 01:44:23.260]  And now it's, it's going to be part of Mac OS 10, 15, uh, as sort of weird.
[01:44:23.260 --> 01:44:27.260]  And there's people arguing, uh, you know, on Twitter about whether that's the future
[01:44:27.260 --> 01:44:31.060]  of the Mac and whether Swift UI is the future of the Mac.
[01:44:31.060 --> 01:44:36.060]  And in the meantime, app, app kit, AKA good old fashioned cocoa just keeps rolling along.
[01:44:36.060 --> 01:44:37.060]  Yeah.
[01:44:37.060 --> 01:44:39.540]  I mean, I just wrote a app with it.
[01:44:39.540 --> 01:44:41.500]  It's really, really good.
[01:44:41.500 --> 01:44:46.220]  App kit is super, uh, you did mention, you mentioned that, that one of the reasons for
[01:44:46.220 --> 01:44:51.300]  drawing the line, the line in the sand at 10.14.4 was that's where you didn't need to
[01:44:51.300 --> 01:44:52.620]  embed the Swift libraries.
[01:44:52.620 --> 01:44:58.620]  That means of course that you use Swift to write either all or most of net news wire
[01:44:58.620 --> 01:44:59.620]  five.
[01:44:59.620 --> 01:45:00.620]  I actually don't even know.
[01:45:00.620 --> 01:45:06.320]  I know you used it some degree, but pretty the actual application user interface code,
[01:45:06.320 --> 01:45:07.740]  much of what's in the frameworks.
[01:45:07.740 --> 01:45:10.140]  Um, there's some really, really old stuff.
[01:45:10.140 --> 01:45:15.020]  Like the stuff I started with, um, the RSS parser, like whatever four years ago that
[01:45:15.020 --> 01:45:19.660]  that's written in, in objective C, but pretty much everything else is Swift.
[01:45:19.660 --> 01:45:24.380]  And what, what are your opinions on it after at now having dug your teeth in and used it
[01:45:24.380 --> 01:45:30.180]  to write a real app that is actually shipping?
[01:45:30.180 --> 01:45:33.940]  Swift is, it's a lot of fun.
[01:45:33.940 --> 01:45:37.860]  Sometimes it's like driving a hot rod, but then you just like run into a brick wall at
[01:45:37.860 --> 01:45:40.100]  80 miles an hour.
[01:45:40.100 --> 01:45:45.260]  Um, so that's kind of fun until that moment, but the, but you know, you get up, shake it
[01:45:45.260 --> 01:45:48.580]  off, go, go back down at 80 miles an hour or whatever.
[01:45:48.580 --> 01:45:49.860]  Um, so it's a lot of fun.
[01:45:49.860 --> 01:45:56.980]  I still, it, it's a lot prettier to look at than objective C, but I still find objective
[01:45:56.980 --> 01:46:05.360]  C's philosophy, the way it works under the hood, um, to be beautiful in a way that, um,
[01:46:05.360 --> 01:46:08.140]  that I don't find in Swift.
[01:46:08.140 --> 01:46:14.980]  Swift's amazing, but objective C not on the page, but under the hood is, is lovely.
[01:46:14.980 --> 01:46:19.480]  And not even its implementation necessarily, but the concept, you know, message passing
[01:46:19.480 --> 01:46:25.060]  and all that kind of stuff inherited from small talk, I think, yeah, that just really
[01:46:25.060 --> 01:46:26.060]  appeals to me.
[01:46:26.060 --> 01:46:33.340]  It's a completely dynamic runtime that you can sort of mess with in unforeseen ways,
[01:46:33.340 --> 01:46:38.760]  or could at least in the old days, um, you know, which was definitely what small talk
[01:46:38.760 --> 01:46:39.760]  was all about.
[01:46:39.760 --> 01:46:40.760]  Yeah.
[01:46:40.760 --> 01:46:41.760]  And the idea wasn't,
[01:46:41.760 --> 01:46:44.900]  Says me who never wrote a line of small talk in his life.
[01:46:44.900 --> 01:46:45.900]  Yeah.
[01:46:45.900 --> 01:46:49.340]  And it's not about, you know, you could use it for like evil, stupid hacks.
[01:46:49.340 --> 01:46:55.540]  It's actually about, you know, it's really about writing applications, um, um, in the
[01:46:55.540 --> 01:46:56.940]  most elegant way possible.
[01:46:56.940 --> 01:46:59.460]  And objective C was such a compromise, right?
[01:46:59.460 --> 01:47:05.620]  Cause it's that kind of small talky stuff, but with C, which is such the opposite thing,
[01:47:05.620 --> 01:47:08.380]  um, all combined into one.
[01:47:08.380 --> 01:47:15.220]  Um, and that, you know, that made for a deeply strange language, but the objective C part
[01:47:15.220 --> 01:47:17.260]  was really, really, really cool.
[01:47:17.260 --> 01:47:18.460]  And it was great for writing apps.
[01:47:18.460 --> 01:47:23.220]  I mean, you know, we talked earlier about 2002, I'm working on that news wire and the
[01:47:23.220 --> 01:47:28.900]  thing was the cocoa framework was amazing and so far beyond anything that, that I'd
[01:47:28.900 --> 01:47:29.900]  ever seen.
[01:47:29.900 --> 01:47:35.140]  And it was, and it was built on the capabilities of objective C. And in fact, all our apps
[01:47:35.140 --> 01:47:39.440]  still are even though even the ones written in Swift, you know, we're still using app
[01:47:39.440 --> 01:47:40.860]  kit and UI kit and whatever.
[01:47:40.860 --> 01:47:48.900]  And those are, those are objective C frameworks until Swift UI has years to sort of, I'm not
[01:47:48.900 --> 01:47:52.860]  saying you can't use it now, but it's, you know, it's early days.
[01:47:52.860 --> 01:48:00.100]  And it's such a massive undertaking until Swift UI really can supersede app kit and
[01:48:00.100 --> 01:48:01.100]  UI kit.
[01:48:01.100 --> 01:48:03.300]  It, that, that's still going to be the case.
[01:48:03.300 --> 01:48:04.380]  Yeah.
[01:48:04.380 --> 01:48:05.380]  And that's going to be wild.
[01:48:05.380 --> 01:48:07.540]  It looks to me like Apple's got the right attitude.
[01:48:07.540 --> 01:48:11.860]  You know, you, you still have a host of app kit or UI kit, and then you can use Swift
[01:48:11.860 --> 01:48:15.740]  UI where, where it makes sense to and where it actually works.
[01:48:15.740 --> 01:48:16.780]  And so that's what we'll be doing.
[01:48:16.780 --> 01:48:23.180]  And so gradually over time, we'll have a more and more Swift UI universe.
[01:48:23.180 --> 01:48:24.180]  That's cool.
[01:48:24.180 --> 01:48:25.180]  I like that.
[01:48:25.180 --> 01:48:30.340]  It's a testimony to the genius of the original next frameworks, you know, which date back
[01:48:30.340 --> 01:48:33.820]  to 1989, 1990.
[01:48:33.820 --> 01:48:38.300]  Just how, how philosophically they're still aligned with the way that, that things still
[01:48:38.300 --> 01:48:41.300]  work and are useful and feel modern today.
[01:48:41.300 --> 01:48:48.100]  I mean, how much, how many ways of making computers do X, Y, and Z in 1990 are still
[01:48:48.100 --> 01:48:49.100]  applicable today?
[01:48:49.100 --> 01:48:50.100]  Yeah.
[01:48:50.100 --> 01:48:51.100]  Right.
[01:48:51.100 --> 01:48:52.100]  Good point.
[01:48:52.100 --> 01:48:55.860]  I mean, maybe there's some command line stuff, you know, at the C level, you know, that's,
[01:48:55.860 --> 01:49:01.180]  that still hasn't changed much, but in terms of building rich applications, boy, there's,
[01:49:01.180 --> 01:49:02.180]  there's not a lot.
[01:49:02.180 --> 01:49:10.180]  I mean, I'm sure Adobe has frameworks that probably go back that far internally, but
[01:49:10.180 --> 01:49:13.740]  it's, it's really remarkable.
[01:49:13.740 --> 01:49:16.060]  Before we sign off, Brent, got any plans for Labor Day?
[01:49:16.060 --> 01:49:18.240]  I guess that hopefully this episode will come out tomorrow.
[01:49:18.240 --> 01:49:20.500]  People can listen to it as they barbecue.
[01:49:20.500 --> 01:49:25.220]  What better way to enjoy fun with your family than listening to us talk about RSS reader?
[01:49:25.220 --> 01:49:26.700]  Yeah, absolutely.
[01:49:26.700 --> 01:49:29.820]  I mean, that's what the holidays are for, RSS.
[01:49:29.820 --> 01:49:30.820]  Gather the kids.
[01:49:30.820 --> 01:49:33.860]  Me, I'm going to go, I'm going to go, I'm going to go drink and eat with some family
[01:49:33.860 --> 01:49:34.860]  members.
[01:49:34.860 --> 01:49:36.420]  So yeah, I've got a good day.
[01:49:36.420 --> 01:49:37.420]  Yeah.
[01:49:37.420 --> 01:49:38.820]  We've got a good forecast here.
[01:49:38.820 --> 01:49:39.820]  Beautiful weather.
[01:49:39.820 --> 01:49:43.780]  It's sort of, if it was technically, well, I guess it is technically feasible to podcast
[01:49:43.780 --> 01:49:44.780]  from outside.
[01:49:44.780 --> 01:49:51.840]  If it was acoustically pleasing to, to record a podcast while outside, I'd have done this
[01:49:51.840 --> 01:49:58.140]  from my deck because it is absolutely positively peak Philadelphia weather.
[01:49:58.140 --> 01:50:01.620]  Nice and warm, nice and sunny.
[01:50:01.620 --> 01:50:02.620]  Not too muggy?
[01:50:02.620 --> 01:50:03.780]  No, it's really nice.
[01:50:03.780 --> 01:50:04.780]  It's really good.
[01:50:04.780 --> 01:50:09.140]  Yeah, it's, it's, I don't know what happened to the humidity, but it's like September came
[01:50:09.140 --> 01:50:10.140]  early.
[01:50:10.140 --> 01:50:11.140]  Cool.
[01:50:11.140 --> 01:50:12.140]  Anyway, enjoy the holiday.
[01:50:12.140 --> 01:50:16.020]  My best to Sheila and it's always good to have you on.
[01:50:16.020 --> 01:50:18.620]  I'm going to make sure that we don't go another full year.
[01:50:18.620 --> 01:50:22.060]  I'm going to make sure Skype never tells me it's been more than a year.
[01:50:22.060 --> 01:50:42.580]  I've turned Brown in your Skype.
