[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[01:14:50.560 --> 01:14:52.060]  So there's a certain beauty to that,
[01:14:52.060 --> 01:14:55.880]  that both of those things are valuable
[01:14:55.880 --> 01:14:58.680]  and are both impacting people in positive ways.
[01:14:58.680 --> 01:15:01.480]  Apple's thing, like you said, it's billions of dollars
[01:15:01.480 --> 01:15:05.200]  in terms of the infrastructure behind it, and mine is not.
[01:15:05.200 --> 01:15:07.020]  But they're both impactful, and they're both things
[01:15:07.020 --> 01:15:11.120]  that make people's phones mean more to them.
[01:15:11.120 --> 01:15:12.840]  The thing that I love hearing in feedback
[01:15:12.840 --> 01:15:14.920]  and just picking up from customers
[01:15:14.920 --> 01:15:17.800]  with Widgetsmith is how enduring,
[01:15:17.800 --> 01:15:20.280]  in a way that is something that most of the software
[01:15:20.280 --> 01:15:23.360]  that I've written, it's people like using it, it's nice,
[01:15:23.360 --> 01:15:25.520]  it can be enjoyable, easy to use,
[01:15:25.520 --> 01:15:27.100]  well-designed, pretty, et cetera,
[01:15:27.100 --> 01:15:30.100]  but it doesn't have that same sense of emotional connection
[01:15:30.100 --> 01:15:34.040]  that people being able to be reminded of someone
[01:15:34.040 --> 01:15:35.760]  that they care about throughout the day,
[01:15:35.760 --> 01:15:38.440]  every time they pick up their phone, it's right there,
[01:15:38.440 --> 01:15:39.640]  is just a different kind of thing.
[01:15:39.640 --> 01:15:41.800]  And it's amazing how, yeah, from things so simple
[01:15:41.800 --> 01:15:44.680]  as just pick a picture and put it in a widget
[01:15:44.680 --> 01:15:49.080]  to this deep, complicated model, they can both exist,
[01:15:49.080 --> 01:15:51.980]  and they can both be beautiful in their own way.
[01:15:53.240 --> 01:15:56.480]  I joke, but I'm a dedicated user
[01:15:56.480 --> 01:16:00.040]  of your sleep++ sleep tracker for Apple Watch,
[01:16:00.040 --> 01:16:03.080]  which I know you know, Merlin Mann turned me on to,
[01:16:03.080 --> 01:16:04.920]  I think two years ago, I think I've been doing this
[01:16:04.920 --> 01:16:07.600]  for two years, and it's like, I don't have sleep problems.
[01:16:07.600 --> 01:16:11.840]  I sleep like a rock 99 days out of 100,
[01:16:11.840 --> 01:16:15.920]  and I've purposely created a life where I just,
[01:16:15.920 --> 01:16:17.360]  I don't have to wake up at a certain time.
[01:16:17.360 --> 01:16:20.200]  I just sleep till I wake up, and then I'm ready to go,
[01:16:20.200 --> 01:16:21.640]  but I can't stop looking at it.
[01:16:21.640 --> 01:16:24.560]  I just love the reports, and I love to see like, huh,
[01:16:24.560 --> 01:16:27.240]  if you sleep 10 hours two nights in a row, you really do.
[01:16:27.240 --> 01:16:29.480]  You just wake up after eight hours the third day
[01:16:29.480 --> 01:16:31.920]  because you're like fully rested, like full tank.
[01:16:31.920 --> 01:16:34.800]  I will tell you this, though, I love the app sleep++.
[01:16:34.800 --> 01:16:37.660]  It's a great sleep tracker, very simple, really like it,
[01:16:37.660 --> 01:16:41.280]  does not give me any emotional, the feels, right?
[01:16:41.280 --> 01:16:43.640]  Like it does not warm my heart,
[01:16:43.640 --> 01:16:45.960]  doesn't bring tears to my eyes.
[01:16:45.960 --> 01:16:48.860]  I don't think, oh, I should take a screenshot of this one
[01:16:48.860 --> 01:16:50.200]  and send that one to the family.
[01:16:50.200 --> 01:16:51.040]  No.
[01:16:51.040 --> 01:16:51.960]  Yeah.
[01:16:51.960 --> 01:16:52.800]  No.
[01:16:52.800 --> 01:16:53.640]  No, it's a different kind of thing,
[01:16:53.640 --> 01:16:56.900]  and like they both have their place in our life,
[01:16:56.900 --> 01:16:59.720]  but I think a year on, I feel very fortunate
[01:16:59.720 --> 01:17:01.640]  to have sort of stumbled my way into something
[01:17:01.640 --> 01:17:06.360]  that hits that resonance with people and is really cool
[01:17:06.360 --> 01:17:09.840]  and is be able to, yeah, like enhance people.
[01:17:09.840 --> 01:17:11.880]  It's a different kind of like,
[01:17:11.880 --> 01:17:13.460]  I guess Apple always likes to talk about
[01:17:13.460 --> 01:17:15.600]  the intersection of technology and the liberal arts, right?
[01:17:15.600 --> 01:17:18.360]  It's that kind of, where these things stop being
[01:17:18.360 --> 01:17:22.680]  just about algorithms or about visual design or graphics
[01:17:22.680 --> 01:17:24.700]  and it can become something that's more human
[01:17:24.700 --> 01:17:28.160]  and more humane, like it's kind of cool.
[01:17:28.160 --> 01:17:30.720]  And I don't think that's, when widgets were announced
[01:17:30.720 --> 01:17:33.280]  at, you know, WWDC 2020, that was,
[01:17:33.280 --> 01:17:34.760]  I don't think what anyone had in mind.
[01:17:34.760 --> 01:17:35.600]  No.
[01:17:35.600 --> 01:17:36.440]  That's the kind of connection
[01:17:36.440 --> 01:17:38.060]  that people would be having with their computers
[01:17:38.060 --> 01:17:39.960]  and they'd be reminded of these wonderful things
[01:17:39.960 --> 01:17:40.800]  in their life.
[01:17:40.800 --> 01:17:42.720]  Apple knows, I mean, and they'll tell you.
[01:17:42.720 --> 01:17:44.760]  I mean, it's, you know, there's however many,
[01:17:44.760 --> 01:17:46.880]  hundreds of thousands of apps in the app store,
[01:17:46.880 --> 01:17:48.680]  maybe there's a million apps, I don't know what it is,
[01:17:48.680 --> 01:17:51.360]  but you know, hundreds of thousands of apps,
[01:17:51.360 --> 01:17:54.560]  all over, you know, all sorts of ideas,
[01:17:54.560 --> 01:17:57.520]  almost all of them things Apple never would have built itself
[01:17:57.520 --> 01:17:59.280]  or wouldn't want to build itself.
[01:18:01.720 --> 01:18:04.680]  They know people come up with ideas that they don't have
[01:18:04.680 --> 01:18:07.840]  and that you're not gonna, shouldn't be part of the stock
[01:18:07.840 --> 01:18:10.440]  iPhone or iPad or even Mac experience.
[01:18:11.920 --> 01:18:14.000]  But I sort of feel they still present features
[01:18:14.000 --> 01:18:15.080]  in an Apple-like way.
[01:18:15.080 --> 01:18:17.360]  And the Apple-like way is, does it make sense
[01:18:17.360 --> 01:18:19.240]  to have a widget for this app?
[01:18:19.240 --> 01:18:20.720]  Like notes app?
[01:18:20.720 --> 01:18:23.400]  Oh, sure, you know, you could show like, you know,
[01:18:23.400 --> 01:18:26.120]  your three most recent notes and then tap one
[01:18:26.120 --> 01:18:27.720]  to jump right into it.
[01:18:27.720 --> 01:18:28.640]  Does it have photos?
[01:18:28.640 --> 01:18:30.160]  Oh, of course there should be a photos.
[01:18:30.160 --> 01:18:31.960]  But then they're like, we could do,
[01:18:31.960 --> 01:18:34.120]  we could do like a clever machine learning thing.
[01:18:34.120 --> 01:18:36.800]  But then that's it, that's the photos widget.
[01:18:36.800 --> 01:18:41.160]  And so like that sort of simplified mindset is like,
[01:18:41.160 --> 01:18:43.480]  if it makes sense for an app to have a widget,
[01:18:43.480 --> 01:18:47.560]  in Apple's mind, it's like, think of one good widget, right?
[01:18:47.560 --> 01:18:49.400]  I wonder how much they thought in advance.
[01:18:49.400 --> 01:18:52.520]  Surely it occurred to them that something like WidgetSmith
[01:18:52.520 --> 01:18:55.820]  would be possible, you know, a widget construction kit.
[01:18:55.820 --> 01:18:59.080]  But it also, it's like I often say like,
[01:18:59.080 --> 01:19:04.040]  the path to success as an indie app in the Apple,
[01:19:04.040 --> 01:19:06.880]  anybody could get Sherlock on a feature or something
[01:19:06.880 --> 01:19:08.800]  like you even said, like, if it's possible,
[01:19:08.800 --> 01:19:12.100]  iOS 16 could add a, the same way that you can set a picture
[01:19:12.100 --> 01:19:14.760]  as your wallpaper, you could set it as a widget.
[01:19:14.760 --> 01:19:17.680]  You can get Sherlocked, but like the, on a feature,
[01:19:17.680 --> 01:19:22.360]  but like the best way to approach it is to think like,
[01:19:22.360 --> 01:19:25.400]  what can I do that would be appealing to enough people
[01:19:25.400 --> 01:19:26.700]  that they would pay for it,
[01:19:26.700 --> 01:19:30.140]  but also isn't something Apple would do, right?
[01:19:30.140 --> 01:19:32.000]  Fantastical is a great example,
[01:19:32.000 --> 01:19:35.000]  where Fantastical is a great calendar app,
[01:19:35.000 --> 01:19:39.400]  and it does some things and has some levels of customization
[01:19:39.400 --> 01:19:40.960]  that just would not make sense for Apple
[01:19:40.960 --> 01:19:43.240]  to add to the built-in calendar app, right?
[01:19:43.240 --> 01:19:45.820]  It's tough, you know, and there's a bunch of popular,
[01:19:45.820 --> 01:19:48.720]  very popular third-party email clients.
[01:19:48.720 --> 01:19:52.320]  The operating system ships with a very good email client,
[01:19:52.320 --> 01:19:54.280]  but it's, you know, email's a funny thing
[01:19:54.280 --> 01:19:56.460]  and people like to do it funny ways,
[01:19:56.460 --> 01:19:59.800]  and you can make a lot of people happy with an email app
[01:19:59.800 --> 01:20:02.180]  that doesn't work like Apple Mail at all, right?
[01:20:02.180 --> 01:20:05.940]  Yeah, and I think it's, oh, I run into this sometimes
[01:20:05.940 --> 01:20:08.140]  when I start to think about the scale
[01:20:08.140 --> 01:20:11.360]  that Apple's solution has to work at,
[01:20:11.360 --> 01:20:14.800]  that it's easy sometimes for me as a developer
[01:20:14.800 --> 01:20:17.320]  to think about the size of my user base,
[01:20:17.320 --> 01:20:19.480]  and I mean, before WidgetSmith, especially,
[01:20:19.480 --> 01:20:21.160]  but it's like my user bases were mentioned,
[01:20:21.160 --> 01:20:22.320]  you know, measured in, you know,
[01:20:22.320 --> 01:20:25.360]  it's like tens of thousands of people is a successful app,
[01:20:25.360 --> 01:20:29.020]  and to remember that Apple is solving their problems,
[01:20:29.020 --> 01:20:32.000]  and coming up with the solutions for their thing
[01:20:32.000 --> 01:20:36.040]  that need to sort of scale to a billion users,
[01:20:36.040 --> 01:20:37.860]  and it's just a different mentality,
[01:20:37.860 --> 01:20:39.620]  where I'm like, well, why don't they just add an option?
[01:20:39.620 --> 01:20:40.740]  Why don't they just do a thing?
[01:20:40.740 --> 01:20:43.400]  It's like, well, that has to make sense
[01:20:43.400 --> 01:20:46.360]  for everybody who has an iPhone,
[01:20:46.360 --> 01:20:49.000]  and the scale of that is a totally different kind of,
[01:20:49.000 --> 01:20:51.320]  you know, sort of problem than solution that if they,
[01:20:51.320 --> 01:20:54.880]  you know, you and I could be like on the,
[01:20:54.880 --> 01:20:57.040]  always on watch face, it's like, why isn't there an option
[01:20:57.040 --> 01:20:59.560]  so that the utility face doesn't shrink and grow?
[01:20:59.560 --> 01:21:00.960]  It's like, we can say, why isn't there an option?
[01:21:00.960 --> 01:21:02.040]  It's like, well, if there is an option,
[01:21:02.040 --> 01:21:04.240]  then every single Apple Watch is gonna have that option,
[01:21:04.240 --> 01:21:06.480]  and it needs to work in every circumstance for everyone,
[01:21:06.480 --> 01:21:07.480]  and it needs to be communicated,
[01:21:07.480 --> 01:21:10.240]  and it's like the scale and complexity of that
[01:21:10.240 --> 01:21:11.940]  is so different, and so I think there is
[01:21:11.940 --> 01:21:14.840]  a tremendous opportunity in filling in those gaps.
[01:21:14.840 --> 01:21:16.160]  It isn't that Apple couldn't,
[01:21:16.160 --> 01:21:18.880]  it is that Apple is actively and consciously
[01:21:18.880 --> 01:21:21.720]  and intelligently choosing not to fill that gap.
[01:21:21.720 --> 01:21:23.120]  And it's the sort of thing, too,
[01:21:23.120 --> 01:21:25.560]  where it's like, if they made it an option,
[01:21:25.560 --> 01:21:28.540]  most people, I'm sure, haven't noticed that that happens.
[01:21:28.540 --> 01:21:31.440]  There's probably thousands of people listening to this show
[01:21:31.440 --> 01:21:33.240]  who are like, what, that scales?
[01:21:33.240 --> 01:21:34.740]  And now they're like listening to the show,
[01:21:34.740 --> 01:21:36.520]  and they're looking at their Apple Watch or setting,
[01:21:36.520 --> 01:21:37.880]  like, I don't even use utility,
[01:21:37.880 --> 01:21:39.400]  and they quick set up a utility,
[01:21:39.400 --> 01:21:40.920]  and now they're like, huh, how about that?
[01:21:40.920 --> 01:21:42.600]  It does do that, right?
[01:21:42.600 --> 01:21:44.000]  But if they made it an option,
[01:21:44.000 --> 01:21:45.440]  and people didn't even know what it did,
[01:21:45.440 --> 01:21:46.520]  they'd be like, I don't understand.
[01:21:46.520 --> 01:21:47.520]  I'll keep flipping the switch.
[01:21:47.520 --> 01:21:48.560]  I don't see any difference.
[01:21:48.560 --> 01:21:51.520]  Apple, with its institutional resistance
[01:21:51.520 --> 01:21:53.120]  to making options, right?
[01:21:53.120 --> 01:21:55.900]  Like, they're just generally resistant
[01:21:55.900 --> 01:21:57.080]  to making things an option.
[01:21:57.080 --> 01:21:57.920]  We'll design it.
[01:21:57.920 --> 01:21:59.520]  Designing is making decisions.
[01:21:59.520 --> 01:22:00.720]  We'll do it for you.
[01:22:00.720 --> 01:22:02.620]  Even with that mindset,
[01:22:02.620 --> 01:22:05.120]  look at how big the settings app is, right?
[01:22:05.120 --> 01:22:06.360]  That's what you get.
[01:22:06.360 --> 01:22:08.320]  The settings app in iOS 15,
[01:22:08.320 --> 01:22:10.280]  or system preferences on the Mac,
[01:22:10.280 --> 01:22:14.080]  that's what you get when you have a company culture
[01:22:14.080 --> 01:22:16.040]  that's resistant to making settings.
[01:22:16.040 --> 01:22:18.720]  Like, imagine if they were listening
[01:22:18.720 --> 01:22:21.000]  to idiot podcasters like me
[01:22:21.000 --> 01:22:23.480]  and make a setting for every one of my pet peeves.
[01:22:23.480 --> 01:22:24.720]  It would be a nightmare.
[01:22:24.720 --> 01:22:27.080]  The settings app would be as thick as a phone book.
[01:22:27.080 --> 01:22:28.140]  Yeah, and it wouldn't be better,
[01:22:28.140 --> 01:22:31.840]  and it would lose what make sample products great.
[01:22:31.840 --> 01:22:34.800]  It's like they're amazing for the general case,
[01:22:34.800 --> 01:22:37.520]  and that's what makes them great.
[01:22:37.520 --> 01:22:39.440]  I know, we talked about this last year when you were on too,
[01:22:39.440 --> 01:22:42.440]  but I just love the way that it's still a thing
[01:22:42.440 --> 01:22:45.680]  where people are using custom widgets,
[01:22:45.680 --> 01:22:46.980]  like from WidgetSmith,
[01:22:46.980 --> 01:22:49.440]  and the trick with shortcuts
[01:22:49.440 --> 01:22:53.000]  where you can make a simple shortcut that just opens an app,
[01:22:53.000 --> 01:22:57.160]  and then you can assign that app a custom icon,
[01:22:57.160 --> 01:23:02.160]  and so you could rebrand all your 10 favorite apps
[01:23:02.420 --> 01:23:05.560]  with, and there's these icon packs you can download
[01:23:05.560 --> 01:23:06.960]  and put them in your photo library
[01:23:06.960 --> 01:23:08.480]  and then pick them to be the icons,
[01:23:08.480 --> 01:23:12.460]  and then you can get a themed black and white icon set.
[01:23:14.460 --> 01:23:15.500]  My son has done this.
[01:23:15.500 --> 01:23:17.020]  Without me prompting him, it's not like,
[01:23:17.020 --> 01:23:19.520]  oh, go do this, I would like to talk about it
[01:23:19.520 --> 01:23:20.520]  or write about it.
[01:23:20.520 --> 01:23:23.680]  He did it on his own where he figured out,
[01:23:23.680 --> 01:23:25.160]  his phone was a mess.
[01:23:25.160 --> 01:23:27.640]  Most people's, all the apps he had downloaded
[01:23:27.640 --> 01:23:30.500]  over the years were just spewed across home screens
[01:23:30.500 --> 01:23:32.060]  in no particular order,
[01:23:32.060 --> 01:23:34.320]  figured out the app library, loved it,
[01:23:34.320 --> 01:23:36.080]  put all of his apps in the app library,
[01:23:36.080 --> 01:23:38.760]  and then has one home screen with his favorite apps,
[01:23:38.760 --> 01:23:40.680]  but they all have custom icons now,
[01:23:40.680 --> 01:23:42.740]  and I love that he did that
[01:23:42.740 --> 01:23:45.200]  because that's the sort of crap I used to do with my Mac
[01:23:45.200 --> 01:23:46.360]  when I was his age.
[01:23:46.360 --> 01:23:48.400]  When I found out you could paste a custom icon
[01:23:48.400 --> 01:23:51.720]  on top of an app, it was like, this is amazing.
[01:23:51.720 --> 01:23:54.940]  I can customize all of these icons that I don't like.
[01:23:55.840 --> 01:23:56.680]  Yeah.
[01:23:56.680 --> 01:23:58.160]  And I think it's lovely, too,
[01:23:58.160 --> 01:24:00.360]  insofar as it makes anyone a designer,
[01:24:00.360 --> 01:24:02.340]  and it makes anybody, like,
[01:24:02.340 --> 01:24:04.260]  you don't need to be a designer with Photoshop
[01:24:04.260 --> 01:24:06.960]  and Illustrator and do all this kind of stuff,
[01:24:06.960 --> 01:24:09.120]  that you can be designing something
[01:24:09.120 --> 01:24:11.400]  and coming up with an aesthetic or a look
[01:24:11.400 --> 01:24:15.800]  or be making choices in a way that is very much your own
[01:24:15.800 --> 01:24:18.200]  and is very much creative and artistic,
[01:24:18.200 --> 01:24:22.800]  but isn't something that needs to be super heavy-handed,
[01:24:22.800 --> 01:24:25.100]  that it could just be choosing an icon pack
[01:24:25.100 --> 01:24:27.800]  and then, unfortunately, it's like sitting down
[01:24:27.800 --> 01:24:30.920]  for a couple of hours and messing around with shortcuts
[01:24:30.920 --> 01:24:33.660]  because they don't make it easy, but they make it possible,
[01:24:33.660 --> 01:24:35.840]  and it's like, it's a choice you made
[01:24:35.840 --> 01:24:37.920]  and it makes your phone your phone.
[01:24:37.920 --> 01:24:39.580]  Like, in WidgetSmith, I always think it's amazing
[01:24:39.580 --> 01:24:41.520]  when you think about, you know,
[01:24:41.520 --> 01:24:44.000]  I let you choose between, I think it's about 12 fonts,
[01:24:44.000 --> 01:24:46.140]  and even without getting into, like,
[01:24:46.140 --> 01:24:47.520]  the crazy custom colors,
[01:24:47.520 --> 01:24:49.640]  you could, like, there's like 36 built-in colors,
[01:24:49.640 --> 01:24:50.920]  and it's like, you can choose the foreground color,
[01:24:50.920 --> 01:24:52.740]  the background color, and the border color,
[01:24:52.740 --> 01:24:54.380]  and you multiply all those numbers together,
[01:24:54.380 --> 01:24:57.000]  and the reality is there is probably someone
[01:24:57.000 --> 01:24:59.400]  who has chosen almost every combination of those things,
[01:24:59.400 --> 01:25:01.200]  and it makes, they've made a choice
[01:25:01.200 --> 01:25:02.840]  that's artistic and creative
[01:25:02.840 --> 01:25:04.800]  and in some ways kind of unique to them,
[01:25:04.800 --> 01:25:05.920]  and that's, like, there's a certain,
[01:25:05.920 --> 01:25:07.040]  just kind of fun about that,
[01:25:07.040 --> 01:25:10.720]  and a whimsy to being able to design something
[01:25:10.720 --> 01:25:12.620]  on a device that you use all the time.
[01:25:12.620 --> 01:25:14.940]  Wow, that's well said.
[01:25:14.940 --> 01:25:18.460]  And it just, I really do think it fosters that mentality,
[01:25:18.460 --> 01:25:20.340]  and for some people, that's the most they're gonna do,
[01:25:20.340 --> 01:25:22.700]  it's the closest they're gonna get to being a UI designer,
[01:25:22.700 --> 01:25:25.300]  but for others, it's like their gateway
[01:25:25.300 --> 01:25:28.140]  to becoming a UI designer or a developer.
[01:25:28.140 --> 01:25:30.900]  It's like, just look at the outside of people's phones.
[01:25:30.900 --> 01:25:32.780]  Like, you could walk through the airport
[01:25:32.780 --> 01:25:35.620]  and try to observe every single phone
[01:25:35.620 --> 01:25:37.460]  you see people pecking away on,
[01:25:37.460 --> 01:25:38.940]  which is probably most people,
[01:25:38.940 --> 01:25:41.180]  and you may not see the same case twice, right?
[01:25:41.180 --> 01:25:43.940]  Like, people pick, you know, there's no accounting for taste.
[01:25:43.940 --> 01:25:48.020]  There's everything from bedazzled, bejeweled things
[01:25:48.020 --> 01:25:50.580]  to, you know, leather things made out
[01:25:50.580 --> 01:25:53.260]  that look like an old baseball mitt or something like that.
[01:25:53.260 --> 01:25:55.100]  People love expressing themselves like that
[01:25:55.100 --> 01:25:56.660]  on the outside of the phone.
[01:25:56.660 --> 01:25:59.980]  Of course, a lot of people are gonna enjoy customizing
[01:25:59.980 --> 01:26:02.980]  the actual inside of their phone, meaning the software.
[01:26:02.980 --> 01:26:05.860]  Yeah, and whatever, they can take so many different views,
[01:26:05.860 --> 01:26:07.780]  but even if it is just putting a photos widget
[01:26:07.780 --> 01:26:09.700]  on their home screen and seeing a picture
[01:26:09.700 --> 01:26:12.300]  of someone they care about, like, that's a customization
[01:26:12.300 --> 01:26:14.380]  that can mean a lot to them, just as much as the choice
[01:26:14.380 --> 01:26:16.260]  of what case they put on the outside.
[01:26:16.260 --> 01:26:17.700]  Right, like, yeah, and you compared it, you know,
[01:26:17.700 --> 01:26:20.140]  that you're a digital picture frame maker.
[01:26:20.140 --> 01:26:24.300]  If Apple sold an actual picture frame, they would have one.
[01:26:24.300 --> 01:26:26.620]  It would be, or maybe they'd have two sizes, right?
[01:26:26.620 --> 01:26:30.380]  But it would be one look, and it would have one frame.
[01:26:30.380 --> 01:26:33.020]  Probably if it were Apple, it'd probably be like a fracture
[01:26:33.020 --> 01:26:35.220]  where it doesn't even have a frame, but there'd be one.
[01:26:35.220 --> 01:26:36.060]  They'd pick it.
[01:26:36.060 --> 01:26:38.660]  And now go to Target and go to the picture frame
[01:26:38.660 --> 01:26:41.020]  aisle, there's like a whole aisle of picture frames
[01:26:41.020 --> 01:26:43.740]  that people like to choose from, and they don't stock ones
[01:26:43.740 --> 01:26:47.660]  that don't sell, so everybody's buying all of these
[01:26:47.660 --> 01:26:50.100]  picture frames that are from goofy to serious
[01:26:50.100 --> 01:26:53.620]  to old-fashioned to modern to, you know, you name it,
[01:26:53.620 --> 01:26:55.340]  Halloween-themed or Christmas-themed.
[01:26:56.460 --> 01:26:57.860]  I guess that's a good place to wrap up.
[01:26:57.860 --> 01:26:58.820]  What can we promote?
[01:26:58.820 --> 01:27:00.420]  So we've talked about WidgetSmith.
[01:27:00.420 --> 01:27:03.860]  There's also WatchSmith, which is like WidgetSmith.
[01:27:03.860 --> 01:27:05.580]  Is this a good, I mean, there's a fair way to put it.
[01:27:05.580 --> 01:27:08.180]  It's like WatchSmith, but for creating your own content
[01:27:08.180 --> 01:27:10.620]  and creating your own custom complications for Apple Watch.
[01:27:10.620 --> 01:27:11.460]  Exactly, yeah.
[01:27:12.420 --> 01:27:15.660]  It's a very fun app with a very, very clever UI.
[01:27:15.660 --> 01:27:17.740]  Even if you're not interested in making custom
[01:27:17.740 --> 01:27:21.780]  complications, you should go to the WatchSmith page
[01:27:21.780 --> 01:27:24.020]  and watch David's walkthrough video.
[01:27:24.020 --> 01:27:26.420]  It's sort of like, here's how it works.
[01:27:26.420 --> 01:27:29.540]  Because you can do things that sound very complicated.
[01:27:29.540 --> 01:27:31.340]  Like, let's say, like your example is,
[01:27:31.340 --> 01:27:33.380]  what if you wanna have a complication that shows you
[01:27:33.380 --> 01:27:35.340]  the weather, but only in the morning?
[01:27:35.340 --> 01:27:38.940]  So like, from like six to nine a.m., it shows you the weather
[01:27:38.940 --> 01:27:41.020]  and then after that, shows you the date.
[01:27:41.020 --> 01:27:42.460]  You think, whoa, that seems like something,
[01:27:42.460 --> 01:27:44.300]  you know, like setting up a mail roll.
[01:27:44.300 --> 01:27:45.820]  You have to, no, it's great.
[01:27:45.820 --> 01:27:48.340]  You have like a little, it's like a little 24-hour dial.
[01:27:48.340 --> 01:27:49.860]  You just drag around the outside,
[01:27:49.860 --> 01:27:51.620]  the hours that you want it.
[01:27:51.620 --> 01:27:54.660]  It's super, super fun, very clever user interface.
[01:27:54.660 --> 01:27:56.900]  This is why, you know, your apps are popular.
[01:27:56.900 --> 01:27:59.280]  Take a simple idea, take it to the extreme.
[01:28:00.220 --> 01:28:01.060]  What else did we mention?
[01:28:01.060 --> 01:28:03.740]  Sleep++, my sleep tracker of choice,
[01:28:03.740 --> 01:28:07.860]  and pedometer++, which is, take a guess what it does.
[01:28:07.860 --> 01:28:09.100]  I won't spoil it.
[01:28:09.100 --> 01:28:12.360]  Sure, we'll just leave that as an exercise to the audience.
[01:28:14.100 --> 01:28:16.140]  Also, under the radar with our friend,
[01:28:17.060 --> 01:28:18.540]  what's his name, Marco Arment.
[01:28:18.540 --> 01:28:20.740]  Yeah, every other week talking about
[01:28:20.740 --> 01:28:22.140]  the trials and travails of being
[01:28:22.140 --> 01:28:24.500]  an independent iOS developer.
[01:28:24.500 --> 01:28:26.860]  That's relay.fm slash radar.
[01:28:26.860 --> 01:28:27.700]  Yeah, see what I mean?
[01:28:27.700 --> 01:28:30.100]  That's what I said about our friends at relay.fm.
[01:28:30.100 --> 01:28:30.940]  Yeah.
[01:28:30.940 --> 01:28:31.760]  You're one of them.
[01:28:31.760 --> 01:28:32.600]  I am.
[01:28:32.600 --> 01:28:34.500]  Let me also thank our sponsors.
[01:28:34.500 --> 01:28:36.260]  I will go in reverse order.
[01:28:36.260 --> 01:28:38.420]  Let's see if I can remember them in reverse order.
[01:28:38.420 --> 01:28:40.220]  Memberful, where you can monetize
[01:28:40.220 --> 01:28:42.320]  your audience with memberships.
[01:28:42.320 --> 01:28:44.740]  Hover, where you can register the best,
[01:28:44.740 --> 01:28:46.240]  honestly, just the best domain name
[01:28:46.240 --> 01:28:48.340]  registrar on the planet.
[01:28:48.340 --> 01:28:51.700]  And last but not least, HelloPillow.
[01:28:51.700 --> 01:28:53.860]  Just a radically different pillow
[01:28:53.860 --> 01:28:55.960]  than you might be used to, but my God,
[01:28:55.960 --> 01:28:58.260]  the people who love them love them to death.
[01:28:58.260 --> 01:29:00.080]  So my thanks to HelloPillow.
[01:29:00.080 --> 01:29:01.480]  Anything else before we say goodbye,
[01:29:01.480 --> 01:29:02.780]  other than now, once again,
[01:29:02.780 --> 01:29:03.620]  Thank you for having me, yeah.
[01:29:03.620 --> 01:29:04.820]  Happy Thanksgiving.
[01:29:04.820 --> 01:29:31.660]  Happy Thanksgiving.
