[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[1:47:11.040 --> 1:47:19.520]  And an amazon launched a sort of hamfisted readers united site which really wasn't united by readers
[1:47:19.520 --> 1:47:21.840]  It was entirely by and written by amazon
[1:47:22.720 --> 1:47:28.760]  But more or less by they're making the case that it's in reader's interest for amazon to come out on top of this because
[1:47:30.880 --> 1:47:32.880]  Books will be books will be cheaper
[1:47:33.240 --> 1:47:37.120]  But it's boy. It's an ugly fight. It is and I well
[1:47:37.120 --> 1:47:42.480]  I think it's ugliest to those of us who are somewhat exposed to it
[1:47:43.440 --> 1:47:47.480]  I don't know if both people are even though it's happening. Well, I don't know though
[1:47:47.480 --> 1:47:50.880]  I think people are noticing more and more though because of things like
[1:47:52.400 --> 1:47:57.240]  Hash it books not coming out on amazon or at least not being available pre-order on amazon
[1:47:57.800 --> 1:48:05.040]  With true, you know, and for I don't know what 14 or 17 years. I don't know however long amazon's been selling books
[1:48:05.040 --> 1:48:09.240]  There's an awful lot of us who've just you know if you hear about a new book
[1:48:09.240 --> 1:48:17.200]  And it's coming out you just go to amazon to start typing the book title and you can either buy it if it's shipping or it says send me this when it comes out and
[1:48:18.200 --> 1:48:23.280]  I think the biggest problem is that no one knows which label their book is gonna be on
[1:48:23.280 --> 1:48:32.440]  It's right. It's just confusing. I think it's like when a certain movie studio gets pulled from iTunes or something or from Netflix or whatever
[1:48:32.440 --> 1:48:38.960]  You don't know that it's missing for that reason. Yeah, or even when it's one that you kind of know
[1:48:38.960 --> 1:48:48.120]  Like I probably a lot of people would know that Star Wars is 20th Century Fox because everybody remembers that the 20th Century Fox fanfare before the Star Wars
[1:48:48.480 --> 1:48:54.520]  Song theme, right or like everyone knows Pixar is Pixar or something like that. Yeah, and that they're owned by Disney now
[1:48:54.680 --> 1:48:57.560]  Yeah, certainly. I think that's pretty that's another good common one
[1:48:57.560 --> 1:49:03.760]  But nobody really thinks of that in time in terms of am I going to be able to watch this like you never had to
[1:49:03.760 --> 1:49:09.040]  Why can the old days when we go to blockbuster to rent a movie? You never thought well shit
[1:49:09.040 --> 1:49:12.400]  I want to watch the unforgiven, but that's that's Warner Bros
[1:49:12.400 --> 1:49:16.520]  and the war you know and then blockbuster doesn't have Warner Bros movies
[1:49:17.480 --> 1:49:22.840]  So I guess I have to go to that other Hollywood video. Yeah, where the Warner brothers are, you know, and yeah
[1:49:22.840 --> 1:49:26.920]  So yeah, that part of it is is and I would say with books
[1:49:26.920 --> 1:49:34.680]  It's even less so because it's those fanfarers that make that stick in my mind. I mean that's I'm pretty sure the unforgiven is is
[1:49:35.680 --> 1:49:37.680]  Warner Brothers
[1:49:37.680 --> 1:49:39.680]  But I certainly remember, you know
[1:49:40.720 --> 1:49:47.160]  There's a lot of movies where I remember the fanfare I saw before it whereas the little tiny publisher stamp on books boy
[1:49:47.160 --> 1:49:54.240]  I don't I don't know many books that I know which which of the big five publishers published it. No, definitely not so I
[1:49:54.840 --> 1:50:02.680]  Don't know it I have trouble taking sides here even as a you know potential someday book author like I
[1:50:03.320 --> 1:50:09.000]  Don't I don't I don't think I know enough about what's going on and that's the thing is I don't think anyone has actually said what their
[1:50:09.800 --> 1:50:15.760]  Specifically disagreeing about like it's vaguely has to do with pricing for ebooks or something like that
[1:50:15.760 --> 1:50:18.760]  Wait, yeah, it's who gets to pick the price of ebooks. Yeah
[1:50:18.760 --> 1:50:24.280]  Really is it the but like the details matter and I don't think anyone's actually revealed what the details are
[1:50:24.840 --> 1:50:30.880]  That I've seen. I don't know right Amazon wants them to be capped at $9.99 and you know
[1:50:31.640 --> 1:50:38.040]  Hash it in the other book publishers want to be able to sell new titles, you know at whatever price they want
[1:50:38.040 --> 1:50:47.920]  You know it is it's pretty complicated and it's you know if and with subscription coming into play now
[1:50:47.920 --> 1:50:49.920]  It's gonna get screwed up again
[1:50:51.240 --> 1:50:53.240]  Yeah, totally gonna get screwed up again
[1:50:53.600 --> 1:50:57.440]  You know go back to the early days of Netflix streaming when they were
[1:50:58.240 --> 1:51:03.800]  Less than two good movies to watch like that's that's what the book street book rental
[1:51:03.800 --> 1:51:11.400]  Book subscription services look like now. Yeah, imagine how that's gonna have to go through all all kinds of crap now. Yeah
[1:51:12.480 --> 1:51:14.480]  There's a long
[1:51:14.960 --> 1:51:17.720]  article that I haven't posted it during firewall yet
[1:51:17.720 --> 1:51:20.920]  I probably will by the time this that by the time this podcast comes out
[1:51:21.880 --> 1:51:26.360]  Tomorrow to probably already have posted it but it I haven't posted it because I haven't finished reading it yet by
[1:51:26.560 --> 1:51:28.560]  Guy and Christopher Wright who is an author
[1:51:28.560 --> 1:51:32.560]  And he kind of it's a big long argument
[1:51:32.560 --> 1:51:35.440]  But it's cut I think it has to be long because it's complicated sometimes
[1:51:35.600 --> 1:51:38.680]  You know when I write an article it ends up real long
[1:51:38.680 --> 1:51:45.160]  I think am I am I just spouting off or am I is it just that complex that it takes a lot of words to describe it?
[1:51:45.160 --> 1:51:48.240]  And I think in this case is article as long because it is complex
[1:51:49.640 --> 1:51:51.080]  Which is mostly that you know?
[1:51:51.080 --> 1:51:53.680]  Hash it is really not looking after readers or authors
[1:51:53.680 --> 1:51:56.520]  They're looking after their own interests and Amazon isn't really
[1:51:56.520 --> 1:52:02.760]  You know doing anything for the benefit of anybody else than Amazon and that's just the way it is and so whoever wins
[1:52:02.760 --> 1:52:06.240]  It's it's not really going to be a victory for anybody
[1:52:06.240 --> 1:52:12.000]  But hash it or Amazon and it's probably going to be Amazon anyway because hash it really doesn't have Amazon's the one up
[1:52:12.320 --> 1:52:16.680]  You know in a position of strength and the big thing is that the downside
[1:52:16.800 --> 1:52:22.040]  You know the reason that may not be good for us as readers or even us as authors
[1:52:22.400 --> 1:52:25.040]  You and I for Amazon to win
[1:52:25.040 --> 1:52:30.800]  Isn't because lower prices are bad because Amazon has a good or you know a couple of good arguments
[1:52:30.800 --> 1:52:35.320]  And they're just common sense one is that an e-book should be cheaper than a paper version because it
[1:52:35.760 --> 1:52:41.520]  Duh it's cheaper to send bits than it is to cut down trees turn them into paper and print a book
[1:52:42.560 --> 1:52:50.520]  And even Amazon has made this argument that because you have fewer rights with a digital version in e-book because it's locked by DRM and
[1:52:50.520 --> 1:52:55.200]  You can't resell it. You can't give it to somebody else. I can't you know you can take it
[1:52:55.200 --> 1:53:00.320]  If you buy a paper book, I can read it and then sell it to somebody else. You can't do it with any book and
[1:53:01.000 --> 1:53:06.760]  I thought it was interesting that Amazon which is you know the company putting the DRM on the books is even making the argument that hey
[1:53:06.760 --> 1:53:08.760]  This makes them less valuable
[1:53:08.760 --> 1:53:10.760]  And therefore they should cost less
[1:53:10.760 --> 1:53:12.120]  I
[1:53:12.120 --> 1:53:16.600]  Think that's a common sense argument and it makes sense same way that a paper back should cost less than a hardcover
[1:53:16.600 --> 1:53:20.280]  Addition because it's not as nice and it didn't cost as much to make
[1:53:21.400 --> 1:53:29.880]  And they also make the argument Amazon that it's you know in in terms of like authors and royalty that they've shown through their own
[1:53:29.880 --> 1:53:31.880]  Analysis of data that
[1:53:31.880 --> 1:53:33.800]  in general
[1:53:33.800 --> 1:53:37.640]  Like a book that is an e-book that's selling for $15
[1:53:38.120 --> 1:53:40.280]  $14.99 of course, but call it 15
[1:53:40.280 --> 1:53:46.520]  We'll sell X number of copies that at the same book at $10 $9.99
[1:53:47.400 --> 1:53:53.000]  Would sell like 1.7 times as much and therefore make more money and
[1:53:53.720 --> 1:54:01.800]  Get 70% more readers so you'd have more readers and you'd make more money because it would be more than the 1.5 that you would need to break even
[1:54:03.720 --> 1:54:09.000]  But that the big downside to the whole thing if if Amazon wins and they probably will is that
[1:54:09.000 --> 1:54:17.480]  They're building an effect of monopoly on on e-books and that it'll be ripe for abuse and you know everybody will be at Amazon's
[1:54:19.640 --> 1:54:27.640]  Liberty in terms of you know e-book once they lock down the market and I guess another missing part of the equation is what percentage of
[1:54:28.200 --> 1:54:31.240]  Revenue and profits are still coming from
[1:54:31.240 --> 1:54:38.200]  $30 hardcover books that you know you need to still somewhat justify the price for yeah
[1:54:38.920 --> 1:54:43.480]  Without $10 e-books. Yeah, one thing I've seen and I've seen a lot of people could be
[1:54:44.440 --> 1:54:49.880]  The analogy to that there's a lot of people are the people on the side that it did they should definitely be cheaper
[1:54:49.880 --> 1:54:51.880]  It may be even a lot cheaper e-books
[1:54:52.520 --> 1:55:00.920]  A lot of them are drawing on the analogy that paperbacks are relatively new to the book industry and I guess they they came to be popular in
[1:55:00.920 --> 1:55:02.920]  the 1930s
[1:55:05.320 --> 1:55:10.520]  It's not quite the same though the analogy that it's like a third tier like that used to just be hardcover
[1:55:10.760 --> 1:55:15.480]  Additions and then it was hardcover on paperback and now it's hardcover paperback and e-books
[1:55:16.520 --> 1:55:19.880]  The difference that I see though is one of like what do you call them?
[1:55:21.560 --> 1:55:26.840]  Frames, you know the like opening weekend what do you call that oh windows windows right yeah
[1:55:26.840 --> 1:55:30.920]  But that you know the way that to my knowledge that you know
[1:55:31.880 --> 1:55:36.600]  The major book publishers have worked is that new books only come out in hardcover
[1:55:36.600 --> 1:55:38.360]  Like when Stephen King comes out with a new book
[1:55:38.360 --> 1:55:42.440]  It doesn't come out in hardcover and paperback at the same time and you can choose to save
[1:55:42.600 --> 1:55:49.600]  You know half the price by buying the paperback if you want it when it's new like when the new Harry Potter books came out and people lined up at midnight
[1:55:49.720 --> 1:55:51.720]  To buy them you had to buy the hardcover
[1:55:51.800 --> 1:55:55.720]  Which was the more expensive version and that the paperback came out it was like home
[1:55:55.720 --> 1:56:01.160]  You know the same way that you can't buy most movies at the opening weekend you have to wait
[1:56:01.880 --> 1:56:03.880]  to get them and
[1:56:04.120 --> 1:56:09.320]  e-books don't seem to be like that people want to get like if Stephen King has a new book and you want to read it on your
[1:56:09.320 --> 1:56:11.880]  Kindle you get it on the same day that the hardcover comes out
[1:56:13.080 --> 1:56:18.360]  Yeah, I think there was a period where they were trying to not have that available, but I think that that
[1:56:19.480 --> 1:56:21.480]  That's done, you know
[1:56:21.480 --> 1:56:28.440]  And I kind of see how you know that the publishers I kind of see if in the publisher's perspective that they should have a right to charge a premium
[1:56:28.520 --> 1:56:32.600]  While demand is at a premium, you know that when the right you know and again
[1:56:32.600 --> 1:56:35.320]  You can say whether just gouging their the die hard fans
[1:56:35.320 --> 1:56:41.320]  But you know that's what pays to keep you know the books coming out like I think if you really want to read it in a opening weekend
[1:56:41.320 --> 1:56:45.720]  You want to read that new you know Stephen King novel as soon as it comes out
[1:56:45.720 --> 1:56:51.400]  They should be allowed to charge $17 for it and then you know drop the price to $9.99 in
[1:56:51.800 --> 1:56:57.000]  The long run, you know three months later six months later like same thing like with movies coming out on home video
[1:56:57.840 --> 1:57:00.160]  Yeah, and so many markets work like that
[1:57:00.800 --> 1:57:04.320]  You know and that demand is not necessarily gouging like it's
[1:57:05.400 --> 1:57:08.360]  Being the among the first to get something is
[1:57:09.240 --> 1:57:13.480]  To many people worth more money right because you know if you know if you're you know
[1:57:13.480 --> 1:57:17.920]  Not that hell bent on reading it right away or you already have a big stack of books in front of you
[1:57:17.920 --> 1:57:21.720]  To you know that are waiting you to read and you can wait and you know you're gonna pay a lower price
[1:57:22.600 --> 1:57:25.960]  Same way that you know it kind of works like that on iTunes
[1:57:25.960 --> 1:57:27.600]  I don't know if it's on purpose
[1:57:27.600 --> 1:57:33.800]  But so many new releases are only available for purchase and then you can't rent them for you know
[1:57:33.800 --> 1:57:38.160]  Whatever another month. There's something. Yeah, they always tell you know available for rent on you know
[1:57:38.160 --> 1:57:43.440]  Subtember 26 I've found myself buying movies that I don't actually want to own
[1:57:44.400 --> 1:57:47.920]  Because I don't want to wait a month before they're four bucks, right?
[1:57:47.920 --> 1:57:52.040]  But and then with a lot of other movies. I've found myself saying I don't want to buy this
[1:57:52.040 --> 1:57:56.880]  I know I just ran it and I'll add it to my wish list. I'll come back to it. You know when it comes out for rent
[1:57:57.200 --> 1:57:58.400]  Yeah, I've done the same thing
[1:57:58.400 --> 1:58:01.040]  We're like there's some movies where I want to see it right away
[1:58:01.040 --> 1:58:05.720]  And I know that maybe I'll only watch at once, but I'll pay the $14.99 to buy it
[1:58:05.720 --> 1:58:12.360]  Yep, yeah, so I kind of see the you know the thinking there. I I'm guessing I
[1:58:13.000 --> 1:58:19.680]  Think like in those rentals. I know Apple has limits on that, but I you know in some movies some and some movies too
[1:58:19.680 --> 1:58:23.600]  They cost more to rent, you know, there's there's new additions that I've seen at
[1:58:24.360 --> 1:58:28.800]  I cost 5.99 to rent and I think there's sometimes with the ones that are still in theaters
[1:58:28.880 --> 1:58:34.960]  It's 6.99 to rent it. Yeah, I think one was like 10 bucks. Yeah, so I think Apple gives the
[1:58:34.960 --> 1:58:40.320]  You know the the studios or whoever it is, you know, if it's like an independent motion picture
[1:58:40.320 --> 1:58:46.000]  Whoever controls the rights to the movie they give them some pricing control on the rental and purchase price and
[1:58:46.480 --> 1:58:48.280]  That's the big thing that sticks
[1:58:48.280 --> 1:58:53.760]  I think in a lot of the publishers cross with Amazon is that Amazon wants to
[1:58:54.160 --> 1:58:58.400]  Just have unilateral control over the price of their stuff
[1:58:58.400 --> 1:59:01.560]  And that's it is how Amazon's App Store works
[1:59:01.560 --> 1:59:08.520]  You can like set like a suggested price, but if I am when you have an app in the Amazon store if they decide they want to sell it for 99 cents
[1:59:08.520 --> 1:59:10.520]  They just sell it for 99 cents
[1:59:10.720 --> 1:59:12.720]  And you get your 30% of that
[1:59:13.240 --> 1:59:18.080]  And I you know it hasn't had a big effect on the app industry because the Amazon App Store is
[1:59:19.240 --> 1:59:26.520]  Relatively small player in mobile apps, but in terms of ebooks, you know the Kindle store is dominant probably you know
[1:59:26.520 --> 1:59:32.520]  I'm an Appley yeah, although it's not a monopoly. I think I think in legal terms
[1:59:32.520 --> 1:59:34.520]  It's a monopsony
[1:59:34.520 --> 1:59:41.480]  Right, which is different and confusing, but I think has different it might give them a lot more leeway in terms of
[1:59:42.320 --> 1:59:44.880]  Antitrust laws, you know and that whole weird
[1:59:45.400 --> 1:59:52.320]  Thing that frustrated a lot of us with the Apple ebooks case which has cost them hundreds of millions of dollars in legal fees
[1:59:52.320 --> 2:00:02.240]  Where Apple which at a sliver of the e-book case is the company that got taken to court by the department of justice and lost hundreds of millions of dollars in
[2:00:02.480 --> 2:00:03.920]  fees for
[2:00:03.920 --> 2:00:06.640]  colluding with the the book publishers and
[2:00:07.200 --> 2:00:12.160]  Amazon the company that has the monopsony the overwhelming majority
[2:00:13.280 --> 2:00:15.280]  of e-book sales
[2:00:15.280 --> 2:00:22.240]  Uh, you know is under no as as and received any scrutiny at all. Here's the dictionary definition. Great work guys
[2:00:22.880 --> 2:00:26.560]  Monopsany a market situation in which there is only one buyer
[2:00:27.280 --> 2:00:32.800]  Right, and that's because that's the thing is that it's not that they have a monopoly on books sales because there's these five
[2:00:32.880 --> 2:00:34.880]  Publishers that have all the you know
[2:00:35.360 --> 2:00:41.600]  It's that they sell the books not really directly to the customer. They sell them to Amazon and Amazon resells them to people
[2:00:41.600 --> 2:00:46.400]  And that they're really effectively without Amazon. There is no e-book market
[2:00:46.400 --> 2:00:49.840]  I don't know if that's quite true to say, but it would be interesting to see
[2:00:49.840 --> 2:00:55.720]  I've seen very different percentages from very different people when they've published like how many of their book sales come from
[2:00:55.720 --> 2:00:59.200]  Amazon e-book sales come from Amazon versus iTunes and
[2:01:00.240 --> 2:01:02.240]  Cobo and and who else
[2:01:02.240 --> 2:01:04.240]  whoever else Sony
[2:01:04.440 --> 2:01:06.440]  nook yeah, yeah
[2:01:07.200 --> 2:01:08.400]  Yep
[2:01:08.400 --> 2:01:13.920]  Anything else what else you got? Oh, I'm you know, I've just been enjoying the summer
[2:01:15.600 --> 2:01:19.840]  I've been you know getting in the weeds on a few topics
[2:01:20.800 --> 2:01:23.280]  I think my best post last week was about how
[2:01:24.400 --> 2:01:26.400]  AOL still has a
[2:01:26.720 --> 2:01:29.840]  Large profitable dial-up business saw that
[2:01:29.840 --> 2:01:38.560]  It's actually I think one of the more interesting posts. I've done recently was looking at Google apps and how
[2:01:39.360 --> 2:01:42.000]  Successful they've been at stealing
[2:01:43.120 --> 2:01:46.000]  the start-up and growing
[2:01:46.960 --> 2:01:48.960]  the kind of midsize company
[2:01:48.960 --> 2:01:59.840]  Ranks that you know should be Microsoft customers for exchange and and all their enterprise stuff and you know Microsoft is effectively betting the company on the cloud and
[2:02:00.640 --> 2:02:02.160]  I saw that
[2:02:02.160 --> 2:02:07.400]  Yeah, I saw that and that wasn't an interesting post. Yeah, so you what you did is
[2:02:08.240 --> 2:02:13.840]  You guys looked at the MX records. Yeah, so I picked 150 companies
[2:02:13.840 --> 2:02:24.000]  So the 50 the fortune 50 so the biggest 50 companies by market cap right isn't that how the fortune 50s something like that
[2:02:24.000 --> 2:02:28.880]  Yeah, I think it's market cap. It's either market cap or or revenue. I think it's market cap
[2:02:29.360 --> 2:02:31.360]  and then
[2:02:31.360 --> 2:02:40.520]  50 companies from the last why combinator class those were like the startups the tiniest companies and then this mid-level tier which were
[2:02:40.520 --> 2:02:48.360]  Very scientifically chosen. They were the first 50 companies that I thought of that were mid-sized
[2:02:49.880 --> 2:02:51.880]  ranging from Tesla to
[2:02:52.600 --> 2:02:56.760]  So they were public and private companies including Dropbox Twitter
[2:02:57.640 --> 2:03:02.280]  Tesla, I don't have the list in front of me, but but companies like that. Yeah, yeah
[2:03:02.840 --> 2:03:06.920]  and of the of the hugest companies, you know the ones that that were
[2:03:06.920 --> 2:03:10.680]  You know, stereotypical enterprise companies
[2:03:11.400 --> 2:03:15.320]  Of those 50 only one of them used Google
[2:03:16.440 --> 2:03:19.240]  Apps for their email and that was Google
[2:03:21.160 --> 2:03:25.160]  You know what I thought there. I laugh, but when I was reading the article
[2:03:25.160 --> 2:03:30.760]  I remember thinking oh, I wonder what the one is. Yeah, and I swear to God and then you say it was Google
[2:03:30.760 --> 2:03:32.760]  I was like ah
[2:03:32.760 --> 2:03:38.680]  It was like the ultimate it was a type of trick question where I pride myself on being able to think oh, it's got to be Google
[2:03:39.240 --> 2:03:46.600]  And I did not get that. Well, and you know, there's caveats like maybe some wing of one of these companies uses Google apps
[2:03:46.600 --> 2:03:53.720]  for some stuff or maybe you know, maybe everyone uses their personal Gmail at the office, but it's it's a fair test though
[2:03:53.720 --> 2:03:59.720]  I think yeah, it was it was universally, you know, I looked up the MX records for 150 companies and
[2:03:59.720 --> 2:04:09.000]  And and so the you know the startup the Y Combinator. I think it was like all but four or six of them used
[2:04:10.440 --> 2:04:14.680]  Google that's a little surprising to me too, because that it was that high. I mean, it's not
[2:04:15.720 --> 2:04:17.720]  92% so it's like all but
[2:04:19.240 --> 2:04:22.840]  I don't know because it's not that hard to you know
[2:04:24.920 --> 2:04:26.920]  46 so all but four of them
[2:04:26.920 --> 2:04:28.920]  um
[2:04:28.920 --> 2:04:34.040]  Use Google and I think one of them might have been used so outlook was showing up in these results
[2:04:34.600 --> 2:04:36.760]  Occasionally so like the you know theoretically
[2:04:37.160 --> 2:04:39.160]  Microsoft's answer to
[2:04:39.720 --> 2:04:41.720]  Google apps would be cloud-based
[2:04:42.040 --> 2:04:49.320]  Outlook, so that was showing up and it's some of them. I'm I'm a little surprised it was as high as 92% because it's not that hard to run your own
[2:04:49.320 --> 2:04:57.800]  Mail server, you know, with like a way you run like a you know that you get a lot of it for free from like a web host and sign up for
[2:04:57.800 --> 2:05:01.720]  Whatever dream host or something. Yeah, and they'll run your I map for you
[2:05:02.440 --> 2:05:09.880]  I'm a lot of those web hosts have been kicking that off to Google because it used to be free and because that's a huge
[2:05:10.200 --> 2:05:11.720]  you know
[2:05:11.720 --> 2:05:17.440]  Monkey off their back because hosting emails probably not fun for any of those companies in terms of support
[2:05:17.440 --> 2:05:20.640]  And I'm also surprised maybe it just speaks to my mindset
[2:05:20.640 --> 2:05:25.760]  But I'm a little surprised that a lot of those companies wouldn't switch off even if they were using it
[2:05:26.080 --> 2:05:29.200]  When they were at the three guys in a garage stage that they didn't
[2:05:29.840 --> 2:05:35.120]  Switch off once they could eat you know hire like a salesman that they wouldn't say hey
[2:05:35.120 --> 2:05:37.120]  Let's run our own mail servers for the paranoia
[2:05:38.240 --> 2:05:44.240]  aspect of that an offer right of those companies have negotiated with Google for like hey
[2:05:44.240 --> 2:05:48.960]  Maybe Google wants to acquire us or maybe we need to work with them and do you really trust Google?
[2:05:50.320 --> 2:05:53.440]  Not yeah, or even security stuff like do we trust Google to
[2:05:54.320 --> 2:06:00.080]  Right continue so the most interesting part though was the those mid-tier companies and that's where
[2:06:01.040 --> 2:06:09.120]  60% of them used Google apps and that includes Twitter includes both drop box and box both of them use
[2:06:09.920 --> 2:06:11.920]  Google
[2:06:11.920 --> 2:06:16.960]  For their email and those are you know as I wrote in the piece like those would be
[2:06:18.160 --> 2:06:21.360]  Potential competitors even you know like drop box
[2:06:22.480 --> 2:06:25.920]  Already probably has a and box, you know has pretty good
[2:06:27.040 --> 2:06:32.000]  Enterprise sales for their storage services, so maybe they should offer email hosting too who knows
[2:06:34.240 --> 2:06:40.480]  But that was really surprising so it's not that you know Microsoft still has a huge hold over the biggest
[2:06:40.480 --> 2:06:46.880]  Enterprise customers, but the the the growing companies, you know the Microsoft's future
[2:06:47.440 --> 2:06:49.440]  customers seem to be
[2:06:49.840 --> 2:06:51.840]  Really sticking with Google, so
[2:06:53.040 --> 2:06:59.280]  We'll see you know Microsoft still has I think like 90% of the revenue in that in the email hosting market
[2:06:59.840 --> 2:07:05.920]  Think that's what they told me something around that range or maybe 95% and now it's because Microsoft are
[2:07:05.920 --> 2:07:13.200]  What's it called IBM Lotus also still has some so maybe it was like 80% Microsoft, but it's still very strong
[2:07:14.320 --> 2:07:16.320]  Dominating position
[2:07:16.640 --> 2:07:19.520]  But revenue is not important to Google. They're not in the email
[2:07:20.160 --> 2:07:25.680]  Apps business for the money. They're doing it for the control. All right, you know the money
[2:07:26.160 --> 2:07:29.600]  Google gets all the money they need from search advertising
[2:07:29.600 --> 2:07:35.680]  Which is well, but I do think though. I because everybody knows that they
[2:07:36.720 --> 2:07:40.320]  Don't they I mean they've admitted I mean they'd say that they they scan your email to show
[2:07:42.160 --> 2:07:47.600]  Contextual ads right related generates money and and from like I you know
[2:07:48.560 --> 2:07:52.880]  Being able to scan your email to get your to build their profile of you
[2:07:54.240 --> 2:07:58.880]  Is got to be a huge source of accuracy for the the targeted ads that they show
[2:07:58.880 --> 2:08:05.040]  True and the fact that you're logging in for your email means you're logged in right while you're doing searches
[2:08:05.040 --> 2:08:11.040]  Right, but even beyond that like my understanding is that they actually are running Google Apps as a business now
[2:08:11.200 --> 2:08:13.920]  Like they're not trying to lose a lot of money on it
[2:08:15.120 --> 2:08:18.520]  Which is one of the reasons they got rid of the free tier and that kind of stuff
[2:08:19.040 --> 2:08:27.480]  So you know, it's it's still I think less than 10% of I think 90% of Google's revenue is still advertising, but it's still I
[2:08:27.480 --> 2:08:31.640]  Think 10 I think now other is 10% or something like that. So
[2:08:32.440 --> 2:08:36.840]  Growing yeah, but it was interesting. It was you know, I would you know
[2:08:36.840 --> 2:08:40.520]  I was in the command line like searching mx records and I would see
[2:08:40.920 --> 2:08:47.560]  Wow, this big ass company is still using Gmail. That's pretty pretty crazy. Yeah, and I think that there's a
[2:08:49.160 --> 2:08:54.600]  It's hard to make a man understand something that his job depends on him not understanding sort of angle to
[2:08:54.600 --> 2:09:03.480]  You know once a company all everybody had to have email at some internet-based email at some point in the 90s
[2:09:03.720 --> 2:09:06.360]  It became just it's you know as essential as having
[2:09:06.920 --> 2:09:08.920]  telephone lines into your company and
[2:09:09.240 --> 2:09:13.080]  For a lot of them they might have already had internally mail based on you know
[2:09:13.080 --> 2:09:15.080]  I don't know whatever antiquated Microsoft
[2:09:15.560 --> 2:09:20.680]  Our loadest crap that they had and then had installed gateways to the internet and it was all convoluted and crazy
[2:09:20.680 --> 2:09:26.200]  But it all required a big large IT staff and then doing it doing anything
[2:09:26.360 --> 2:09:32.280]  Like when you're a startup not having anybody who has to worry about the email server is great because you
[2:09:32.520 --> 2:09:37.400]  You know you can concentrate on the thing that is you're trying to build and you can save on your head count
[2:09:37.400 --> 2:09:41.000]  And it really matters even if it's just one person because you're leaning meaning you're starting
[2:09:41.080 --> 2:09:45.080]  Whereas if you're already the IT staff with a full-time IT job
[2:09:45.080 --> 2:09:49.560]  But you know proctor and gamble or something like that you're not going to make decisions on what
[2:09:49.560 --> 2:09:55.320]  Products and services to buy based on well now we can we can get rid of us. We can get right right
[2:09:55.320 --> 2:09:57.320]  We can make this choice that would
[2:09:57.480 --> 2:09:59.480]  Obviate the need for our jobs
[2:09:59.640 --> 2:10:03.800]  Totally. Yeah, and it's so many of those enterprise deals are you know
[2:10:04.200 --> 2:10:05.480]  Yeah, you get an exchange server
[2:10:05.480 --> 2:10:07.000]  We also get
[2:10:07.000 --> 2:10:10.440]  Office license for everyone in the company and windows and all the stuff
[2:10:10.440 --> 2:10:14.840]  So it's a huge deal that's beyond the scope of just emailing and outlook
[2:10:15.800 --> 2:10:18.280]  But you know the companies that are starting as
[2:10:18.280 --> 2:10:22.600]  Three-person startups now and are growing into so some of the company
[2:10:22.600 --> 2:10:25.320]  I just pulled up the the spreadsheet some of the companies that
[2:10:26.040 --> 2:10:32.440]  Are still Google customers, you know, we're less than 10 people a few years ago, and those are like Airbnb
[2:10:36.280 --> 2:10:42.680]  Warby Parker Tumblr, you know, all these companies are still using Google apps despite the fact that they are
[2:10:43.480 --> 2:10:47.800]  Worth billions of dollars. It's an it is tumbler. Yeah, isn't that kind of crazy?
[2:10:47.800 --> 2:10:49.800]  If you think about it be given that their own by Yahoo
[2:10:50.680 --> 2:10:53.720]  Yeah, and well, they've also maintained a pretty
[2:10:54.360 --> 2:10:58.520]  Yeah, but that's still a little crazy like they still have their own office a little crazy, but yeah tumbler
[2:11:00.600 --> 2:11:04.280]  Uh a bunch of boring like Etsy does
[2:11:05.320 --> 2:11:09.880]  You know in one of those things too where it's there's no real
[2:11:09.960 --> 2:11:14.040]  It's not that you can't migrate, but it's a pin in the ass because yeah, you know
[2:11:14.040 --> 2:11:20.600]  You've got to somehow download all of your email from Google and put it somewhere and then upload it to the other
[2:11:20.600 --> 2:11:24.360]  You know give you if like for example tumbler wanted to switch to Yahoo mail or something like that
[2:11:25.160 --> 2:11:30.840]  And the truth is without one. I think I looked up what Yahoo itself uses, but I'm I would bet that it's not gmail
[2:11:31.080 --> 2:11:32.120]  All right
[2:11:32.120 --> 2:11:37.400]  Yeah, I would guess not but on the other hand too is the simple fact that gmail is
[2:11:37.960 --> 2:11:41.080]  Objectively better than Yahoo mail and you know
[2:11:41.080 --> 2:11:47.160]  It's a good sign. I guess it shouldn't be that surprising. It's a good sign that tumbler is allowed to stay on gmail
[2:11:47.160 --> 2:11:52.200]  You know it wasn't by yeah by edict forced to do it because it would have been a shit sandwich to everybody at tumbler
[2:11:52.200 --> 2:11:58.800]  It's like right. Yeah, we're going to Yahoo nothing's going to change also your email is going to be Yahoo mail is like
[2:11:59.800 --> 2:12:01.800]  You know I quit
[2:12:03.720 --> 2:12:07.080]  What about beats music is on oh good question
[2:12:07.080 --> 2:12:11.880]  That's a really good question up now. No, don't look it up now, but that's be a good follow-up
[2:12:12.520 --> 2:12:16.440]  Yeah, there you go because I wonder if they're on gmail. I wonder if that would be I think apples
[2:12:17.000 --> 2:12:20.760]  Are they still on exchange at Apple? I don't know. No, I don't think they use exchange
[2:12:20.760 --> 2:12:25.720]  I think they're just like simple, you know straight straight unix. I'm app
[2:12:26.680 --> 2:12:30.760]  I think could be I could look at the headers from an email. Yeah, I know
