[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[01:40:04.280 --> 01:40:08.280]  I don't think it's any kind of change of heart or change of course from Apple strategically.
[01:40:08.280 --> 01:40:13.280]  I think Apple has always had this in mind and really has never been interested in hoovering
[01:40:13.280 --> 01:40:15.280]  up personal data about its users.
[01:40:15.280 --> 01:40:20.280]  It's just become culturally something that people, even if you're not Apple customers,
[01:40:20.280 --> 01:40:26.280]  people are just talking about all sorts of stuff in the tech industry are suddenly sort
[01:40:26.280 --> 01:40:30.280]  of dawning on them that, that we've been living through a privacy apocalypse for the
[01:40:30.280 --> 01:40:31.280]  last.
[01:40:31.280 --> 01:40:35.280]  Well, and I like to say, John, and you've heard me say it before, we've been doing privacy
[01:40:35.280 --> 01:40:36.280]  since, privacy since before it was popular.
[01:40:36.280 --> 01:40:37.280]  Right.
[01:40:37.280 --> 01:40:38.280]  Right.
[01:40:38.280 --> 01:40:41.280]  I mean, we were building it into our systems and building what we do when no one outside
[01:40:41.280 --> 01:40:42.280]  of Germany seemed to care.
[01:40:42.280 --> 01:40:47.280]  You know, the Germans care a lot, you know, and, and we were doing it cause we knew it
[01:40:47.280 --> 01:40:48.280]  was the right thing to do.
[01:40:48.280 --> 01:40:51.280]  And you've heard Craig say it, you've heard Tim say it, you know, privacy is a fundamental
[01:40:51.280 --> 01:40:52.280]  human right.
[01:40:52.280 --> 01:40:55.280]  And whether it was popular or not, you know, we were going to do it.
[01:40:55.280 --> 01:40:58.280]  And fortunately it's gotten more popular, which has been a good position for us since
[01:40:58.280 --> 01:41:00.280]  we've worked pretty hard on it over the years.
[01:41:00.280 --> 01:41:05.280]  This, this really goes, I mean, all the way back to the origins of the company.
[01:41:05.280 --> 01:41:09.280]  I mean, the, the Apple was created to be the personal computer company.
[01:41:09.280 --> 01:41:14.280]  And remember the competition was some kind of time shared mainframe, have all your data
[01:41:14.280 --> 01:41:15.280]  somewhere else.
[01:41:15.280 --> 01:41:20.280]  And the idea of you can have your own computer, got your own diskettes and that's, you got
[01:41:20.280 --> 01:41:22.280]  your stuff, it's yours, right?
[01:41:22.280 --> 01:41:24.280]  And that's been, that's, that's at the core of who we are.
[01:41:24.280 --> 01:41:28.280]  And if you look at some of these other companies, that's clearly not at the core of, of who
[01:41:28.280 --> 01:41:29.280]  they are.
[01:41:29.280 --> 01:41:34.280]  And we're also a company where our idea is we're building stuff that we would want for
[01:41:34.280 --> 01:41:39.280]  ourselves, that we would want for our families, you know, our children, our friends.
[01:41:39.280 --> 01:41:42.280]  And I don't want to be tracked.
[01:41:42.280 --> 01:41:44.280]  I don't want my family to be tracked, right?
[01:41:44.280 --> 01:41:49.280]  So we've, we've always been wanting to build this stuff because we just think it's the
[01:41:49.280 --> 01:41:50.280]  right thing to do.
[01:41:50.280 --> 01:41:54.280]  And there was a time where everyone's saying, privacy is dead and you guys are so naive
[01:41:54.280 --> 01:41:56.280]  and why do you care about this?
[01:41:56.280 --> 01:41:59.280]  And is this disadvantaging you?
[01:41:59.280 --> 01:42:10.280]  And no, it's just right.
[01:42:10.280 --> 01:42:15.280]  We can't top that.
[01:42:15.280 --> 01:42:18.280]  I think let's, let's call that a show.
[01:42:18.280 --> 01:42:19.280]  Thank yous.
[01:42:19.280 --> 01:42:20.280]  I have a bunch of people to thank.
[01:42:20.280 --> 01:42:27.280]  Let me thank Craig and Jaws for your time.
[01:42:27.280 --> 01:42:46.280]  Every single year I spend my Tuesday at WDC saying, what, why do I do this?
[01:42:46.280 --> 01:42:48.280]  I'm a nervous wreck.
[01:42:48.280 --> 01:42:52.280]  And then it's over and I'm like, wow, that was fun.
[01:42:52.280 --> 01:42:54.280]  What are you guys doing next month?
[01:42:54.280 --> 01:42:56.280]  We can do this all the time.
[01:42:56.280 --> 01:42:58.280]  This is great.
[01:42:58.280 --> 01:43:02.280]  There's other people at Apple and I know, you know, that there's all sorts of people
[01:43:02.280 --> 01:43:06.280]  at Apple who, who helped make this possible, helped get these guys here.
[01:43:06.280 --> 01:43:10.280]  I want to thank somebody who has a big part in doing WWDC.
[01:43:10.280 --> 01:43:12.280]  His name's Nitin Mishra.
[01:43:12.280 --> 01:43:19.280]  Nitin, he's probably mad at me that I'm thanking him, but he literally brought these chairs
[01:43:19.280 --> 01:43:23.280]  from Infinite Loop in a pickup truck.
[01:43:23.280 --> 01:43:25.280]  I thought I recognized it.
[01:43:25.280 --> 01:43:27.280]  They're very nice chairs.
[01:43:27.280 --> 01:43:31.280]  I really, I just wouldn't be comfortable up here if we didn't have nice chairs.
[01:43:31.280 --> 01:43:36.280]  And so that is like the least of what he's done.
[01:43:36.280 --> 01:43:38.280]  So he's really done a great job.
[01:43:38.280 --> 01:43:40.280]  I don't know that this show would be possible without him.
[01:43:40.280 --> 01:43:44.280]  As always, I want to thank the wonderful staff here at the California Theatre.
[01:43:44.280 --> 01:43:46.280]  They are such nice people.
[01:43:46.280 --> 01:43:54.280]  Oh my God.
[01:43:54.280 --> 01:43:56.280]  I'm a big believer in Murphy's Law.
[01:43:56.280 --> 01:43:57.280]  I figure everything's going to go wrong.
[01:43:57.280 --> 01:43:58.280]  The lights aren't going to work.
[01:43:58.280 --> 01:43:59.280]  The sound's not going to work.
[01:43:59.280 --> 01:44:00.280]  And nothing went wrong.
[01:44:00.280 --> 01:44:03.280]  So I really can't believe it.
[01:44:03.280 --> 01:44:04.280]  I want to thank Tito.
[01:44:04.280 --> 01:44:09.280]  John, they forgot to hit record.
[01:44:09.280 --> 01:44:20.280]  It looks like Syracuse has captured it all.
[01:44:20.280 --> 01:44:24.280]  We've just been trying to suck our souls into that thing.
[01:44:24.280 --> 01:44:28.280]  I want to thank Tito, T-I dot T-O, the ticketing service I use
[01:44:28.280 --> 01:44:31.280]  run by my friend Paul Campbell and it's a great team.
[01:44:31.280 --> 01:44:32.280]  Really a great service.
[01:44:32.280 --> 01:44:34.280]  I don't know what I would do without it.
[01:44:34.280 --> 01:44:41.280]  I probably wouldn't have a show or make somebody else sell the tickets.
[01:44:41.280 --> 01:44:42.280]  I want to thank the sponsors.
[01:44:42.280 --> 01:44:46.280]  MacStadium, a great, great hosting service to get your Mac hardware
[01:44:46.280 --> 01:44:52.280]  or use their Mac hardware in truly pro data centers.
[01:44:52.280 --> 01:44:55.280]  OmniFocus from the Omni Group, now available on the web
[01:44:55.280 --> 01:44:58.280]  in the craziest way possible, which is beautiful.
[01:44:58.280 --> 01:45:00.280]  It really looks great.
[01:45:00.280 --> 01:45:04.280]  And Slack, who are hiring iOS engineers and iOS engineers
[01:45:04.280 --> 01:45:07.280]  might soon be Mac engineers.
[01:45:07.280 --> 01:45:08.280]  That's right.
[01:45:08.280 --> 01:45:10.280]  We should start calling them UI kit engineers, really.
[01:45:10.280 --> 01:45:12.280]  I think so.
[01:45:12.280 --> 01:45:15.280]  And some of my friends who helped me do this show,
[01:45:15.280 --> 01:45:23.280]  Marco Armand is up there with a live audio stream.
[01:45:23.280 --> 01:45:28.280]  For the fifth year in a row, Jake Shoemaker is shooting the video,
[01:45:28.280 --> 01:45:29.280]  which will be out soon.
[01:45:29.280 --> 01:45:32.280]  I don't know how soon, but hopefully tomorrow.
[01:45:32.280 --> 01:45:35.280]  But he does a great job, makes us all look good.
[01:45:35.280 --> 01:45:38.280]  My friend Caleb Sexton, who edits my show every week,
[01:45:38.280 --> 01:45:40.280]  the audio is up there making sure we sound good
[01:45:40.280 --> 01:45:43.280]  and make sure our mics are on and all of that.
[01:45:43.280 --> 01:45:54.280]  And our very fine announcer, Paul Kefasis, good friend.
[01:45:54.280 --> 01:46:03.280]  And my wife Amy, half of you probably already got help from her.
[01:46:03.280 --> 01:46:05.280]  It was like five minutes before the show
[01:46:05.280 --> 01:46:08.280]  and there was something minor wrong, not major wrong,
[01:46:08.280 --> 01:46:12.280]  and Josh just turned to her and he was like, you do everything.
[01:46:12.280 --> 01:46:13.280]  And she agreed.
[01:46:13.280 --> 01:46:16.280]  Yeah, she did.
[01:46:16.280 --> 01:46:20.280]  But I really don't know what I would do without her.
[01:46:20.280 --> 01:46:21.280]  My thanks to her.
[01:46:21.280 --> 01:46:23.280]  She does a great job.
[01:46:23.280 --> 01:46:26.280]  And last but not least, of course, all of you.
[01:46:26.280 --> 01:46:29.280]  Thank you in the room.
[01:46:29.280 --> 01:46:30.280]  On the internet.
[01:46:30.280 --> 01:46:33.280]  Thank you very much for coming.
[01:46:33.280 --> 01:46:39.280]  Thank you, sir.
[01:46:39.280 --> 01:46:53.280]  Thanks for coming out.
