[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[02:13:08.000 --> 02:13:30.000]  Yeah, I would say the same thing. I really do. I would I would and I mentioned this on my last show with Panzerino, but I really do think there's an opportunity here if the lack of collaboration between Apple's teams that they're used to can't happen for an extended period of time here with this stay at home stuff.
[02:13:30.000 --> 02:13:44.000]  That there's an opportunity here to rejigger priorities and turn this into a snow leopard style bug fix year because that's the sort of thing I feel like engineers can work on in isolation a little bit more.
[02:13:44.000 --> 02:13:57.000]  Almost the opposite of working on new front end first party apps is work at the other end, work at the foundation and clean up some things that have long needed cleaning up.
[02:13:57.000 --> 02:14:07.000]  Yeah. All right. Here's a question from Ian. I hope I'm getting your last name right. Umatio. But if it's not, I'm sorry, Ian. I know I'm pronouncing Ian right.
[02:14:07.000 --> 02:14:17.000]  If our Macs are coming in 2021, there's a great question. Should both casual users and power users be worried about potentially buying the last set of Intel Macs?
[02:14:17.000 --> 02:14:26.000]  I'm wanting to upgrade my old MacBook Pro, but I'm worried about being in the same spot as the person who bought a PowerBook G4 in 2005.
[02:14:26.000 --> 02:14:34.000]  Yeah. So my my thing with this is, you know, I go back to Don Melton where he says, you know, I never Gramps never buys Rev A boards.
[02:14:34.000 --> 02:14:40.000]  And it's it's sort of like any bit of technology. There's going to be early adopters who just want to have it. They want to have the latest thing right away.
[02:14:40.000 --> 02:14:45.000]  But for many people, I would typically advise wait a year, wait two years for everything to shake out.
[02:14:45.000 --> 02:14:51.000]  And then you're not waiting. When's my software going to be ported? And this is a little bit kludgy and Apple needs to fix this. And wow, this is buggy.
[02:14:51.000 --> 02:14:57.000]  I think when you look at it from that lens that those those it's the same with 5G like everyone was complaining last year.
[02:14:57.000 --> 02:15:05.000]  Apple didn't have 5G when technology was terrible. And even this year, if you don't get it, it's not like these are first generation devices.
[02:15:05.000 --> 02:15:09.000]  It's going to be two or three years before they have really good quality stuff.
[02:15:09.000 --> 02:15:13.000]  Just buy your Mac when you need it and then be super happy and wait until you need the next thing.
[02:15:13.000 --> 02:15:19.000]  But don't feel like in a rush to switch to base your purchase on on maybe future product developments.
[02:15:19.000 --> 02:15:26.000]  Yeah. And I would say the same thing where I would be more I know that as a tech podcast, the enthusiasm is all about the new thing.
[02:15:26.000 --> 02:15:37.000]  And I'm very excited about the potential of our Macs. But I would honestly say that it's the opposite, that you should feel more confident that the last round of Intel Macs.
[02:15:37.000 --> 02:15:44.000]  If this is it or if there's another is almost certainly going to be the best round of Intel Macs they've ever made.
[02:15:44.000 --> 02:15:53.000]  And that's always the case. There's a term for it and I'm going to forget it. But I know I believe Horace Dedue has talked about this repeatedly.
[02:15:53.000 --> 02:15:57.000]  A couple other analysts have. But that's it's the way that disruptions happen.
[02:15:57.000 --> 02:16:06.000]  Like a big one was the move in the airline industry from propeller based passenger planes to jet planes.
[02:16:06.000 --> 02:16:14.000]  And the last round of propeller based ones was way better than the first round of jet ones.
[02:16:14.000 --> 02:16:19.000]  They were quieter and smoother and just had these phenomenal interiors.
[02:16:19.000 --> 02:16:21.000]  They were the best planes the airline industry had ever made.
[02:16:21.000 --> 02:16:29.000]  And of course, eventually they got it seems ridiculous now to think of a giant passenger plane with propellers instead of jet engines.
[02:16:29.000 --> 02:16:31.000]  It's like a transition tax.
[02:16:31.000 --> 02:16:38.000]  Yeah. And if you miss the first if you're going to miss a round of ARM based Macs, the first round is the one to miss.
[02:16:38.000 --> 02:16:43.000]  And that's guaranteed, you know, and that if you buy if you need a new computer now, I wouldn't hesitate.
[02:16:43.000 --> 02:16:54.000]  The only the only MacBook I wouldn't recommend right now is the 13 inch MacBook Pro, because it seems it just seems is crying out for a replacement with the new keyboard.
[02:16:54.000 --> 02:17:03.000]  And probably a in the way that the 15 inch went to 16 by just making this screen go closer to the edges without increasing the footprint.
[02:17:03.000 --> 02:17:15.000]  Something like that to go to 14 inches, which matches with the rumors that there's probably going to be an update to the 13 inch MacBook Pro called a 14 inch MacBook Pro with a new keyboard and et cetera, et cetera.
[02:17:15.000 --> 02:17:17.000]  Yeah, probably soon. I would wait for that.
[02:17:17.000 --> 02:17:23.000]  But if you're in the market for a MacBook Air or a 16 inch MacBook Pro, I would buy right now if you need one.
[02:17:23.000 --> 02:17:29.000]  And yeah, absolutely. And sure, there might be ARM ones that come out next year and there might be some amazing things about them.
[02:17:29.000 --> 02:17:32.000]  But you you will be fully supported for years to come.
[02:17:32.000 --> 02:17:40.000]  And then when you do update, you'll be going to the second or third generation ARM ones and it'll just be a silly, silly, fantastic upgrade for you.
[02:17:40.000 --> 02:17:47.000]  So I would honestly think I'd ask the question around, should you be afraid of the first round of ARM based Macs?
[02:17:47.000 --> 02:17:50.000]  Not afraid of the last round of Intel's.
[02:17:50.000 --> 02:18:00.000]  No, absolutely. Here's one. Now that we're all furiously washing our hands with soap for 20 seconds multiple times a day, what's your routine to stop your hands from cracking into a million pieces?
[02:18:00.000 --> 02:18:14.000]  I don't have a secret. I don't know what I'm doing right. I haven't been using any like moisturizer or anything, but my hands are holding up well, even though I'm all joking and theme song gags aside, I'm washing my hands like a fiend.
[02:18:14.000 --> 02:18:24.000]  Somehow, I think perhaps because the weather's warming up here and it's not coming in the middle of winter when I typically suffer from dry hands.
[02:18:24.000 --> 02:18:32.000]  I don't have a Oliver Thomas asked that. I don't I don't have a secret for you. But if you do have the problem, I'd invest some some moisturizer.
[02:18:32.000 --> 02:18:35.000]  Yeah.
[02:18:35.000 --> 02:18:41.000]  Are you going to be doing a blog, Rene? Jared Blundey wants to ask, in addition to your switch to Indy.
[02:18:41.000 --> 02:18:49.000]  So I think I will be just because, you know, I spent the last 10 years blogging and it's in my bones and I think I would not be able to not do it.
[02:18:49.000 --> 02:18:53.000]  So the way I set up ReneRitchie.net, it works as a blog right now.
[02:18:53.000 --> 02:18:59.000]  I've only posted the one video that I've done, but it's I've gotten the habit of Twitter blogging now, too.
[02:18:59.000 --> 02:19:04.000]  And I think a lot of us do that. We just see something and we tweet it where in the old days we would have blogged it.
[02:19:04.000 --> 02:19:11.000]  But I like the idea of not giving all my content to Twitter, especially because I don't trust their management as much as I used to.
[02:19:11.000 --> 02:19:16.000]  Not that I ever did, but I got to the realization that I can't necessarily trust the way they run that platform.
[02:19:16.000 --> 02:19:22.000]  So the idea to me eventually will be anything that I would normally tweet, I would do as a small blog post instead.
[02:19:22.000 --> 02:19:26.000]  And I'll just see how how my time goes. I can do that. Yeah.
[02:19:26.000 --> 02:19:31.000]  So I don't know. I guess that's it. I my my thanks to everybody who asked these questions are great.
[02:19:31.000 --> 02:19:38.000]  I wish we could have gotten more of them, but we've already filled up more than our allotted time.
[02:19:38.000 --> 02:19:47.000]  Right now, it's very easy to tell people where to get their Rene Ritchie. You go to YouTube slash Rene Ritchie and on Twitter, Rene Ritchie.
[02:19:47.000 --> 02:19:51.000]  And that's it. I'm very happy for you, Rene. Thank you so much.
[02:19:51.000 --> 02:19:54.000]  I really appreciate your support over all the years. It's meant a lot to me. Yeah.
[02:19:54.000 --> 02:20:01.000]  Well, and, you know, I doubt it's the last we'll hear from you. Anyway, any any idea, you know, are the YouTube channel.
[02:20:01.000 --> 02:20:07.000]  How live are the subscriptions? How many people? I think they're real time.
[02:20:07.000 --> 02:20:12.000]  How many how many subscriptions are you up to on your new channel? Let's look.
[02:20:12.000 --> 02:20:19.000]  Loading and I think we're about nine hours since you announced it. It looks like about eleven and a half thousand.
[02:20:19.000 --> 02:20:24.000]  Oh, my God. That's fantastic. You're getting over a thousand an hour. Eleven point nine thousand.
[02:20:24.000 --> 02:20:29.000]  It just refreshed. Awesome. Yeah. Well, my thanks to you. I'm very happy for you.
[02:20:29.000 --> 02:20:35.000]  I think it's going to be a great success. Thank you so much. I'm sure you'll be back on the show sometime soon.
[02:20:35.000 --> 02:21:04.000]  Oh, I'm looking forward to it.
