[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[24:18.900 --> 24:24.260]  It was like Johnny and his wife and his Henry Bushkin and his wife every year for like 15 years
[24:24.260 --> 24:26.620]  They went to England for like two or three weeks
[24:27.460 --> 24:32.220]  So I mean they were definitely close but even then even being that close that you vacationed with Johnny Carson
[24:32.620 --> 24:37.020]  For a couple of weeks every year. It's like he still clearly didn't really know him that well
[24:37.020 --> 24:42.940]  Yeah, totally. I think Pat McCormick the comic Pat McCormick who I think had worked on the show and was on a lot also
[24:42.940 --> 24:46.780]  Was another one but even in interviews, I think Pat McCormick I think was on that podcast
[24:47.020 --> 24:51.620]  But it's a lot like when you hear people talk about Sinatra, you know where they're all talking about mr
[24:51.620 --> 24:55.380]  Sinatra and like this deference like he'll come back from the grave and get you whacked like this
[24:55.380 --> 25:02.060]  There's still a lot of deference to Johnny and a desire to keep his legacy, you know clean to the extent possible
[25:02.340 --> 25:06.340]  Yeah, I almost feel I mean, you know not having ever seen the guy in person
[25:06.340 --> 25:11.160]  But my impression is maybe that like he just had was like a one in a one in a billion
[25:12.660 --> 25:19.860]  Freak where the real Johnny Carson was the one who was on for 60 minutes in front of a camera sitting at a desk like
[25:19.860 --> 25:23.900]  that really was him and that it was the other 23 hours of his life where
[25:24.420 --> 25:29.020]  There was it was just nothing. Oh, yeah. I mean, he's like he's like a comic book character, right?
[25:29.020 --> 25:33.660]  I mean, you know where it's almost like Bruce Wayne is the secret. I you know what I mean?
[25:33.660 --> 25:37.820]  It's like Batman is the real guy in some ways and breathing is that yeah, exactly, right?
[25:37.820 --> 25:40.740]  and I feel like that might have been Johnny Carson and I feel like
[25:41.220 --> 25:46.340]  You know, that's what made him so inscrutable and off, you know off-camera. Yeah
[25:47.900 --> 25:52.880]  Let's take a break I'll take a break and I'm gonna tell you about a sponsor. I'm very excited about this sponsor
[25:52.880 --> 25:59.580]  This is I think I mentioned it the last time need sponsored, but this is a new company. It's a sibling to our good friends at need
[26:00.740 --> 26:02.740]  called foremost
[26:02.740 --> 26:08.740]  For most is a small batch American made clothing line for men and women
[26:09.380 --> 26:15.060]  Each month for most designs and produces limited collections of men's and women's clothing
[26:15.620 --> 26:19.260]  Roughly four or five items per gender each month
[26:19.820 --> 26:24.140]  Alongside an interview series with some of the world's most inspiring creators
[26:25.420 --> 26:30.860]  Most importantly the average price of foremost products is under 50 bucks
[26:30.860 --> 26:36.100]  So, you know shirt pair of pants something you want to get from average price under 50 bucks
[26:37.060 --> 26:39.060]  foremost launched
[26:39.100 --> 26:41.940]  Today, I think today's the official launch February 11th
[26:41.940 --> 26:49.640]  And their first collection is comprised of one full outfit per gender their inaugural interviewees
[26:50.740 --> 26:57.420]  include amber VIN's box a remarkable young executive supporting thousands of independent writers around the world and
[26:57.420 --> 27:00.340]  Austin man, no relation. I presume
[27:01.020 --> 27:07.220]  No, not that I'm aware founder of weld and gentlemen behind a great deal of Apple's photography
[27:08.040 --> 27:12.320]  Mr. Mann currently has work featured in every single Apple store in the world right now
[27:13.280 --> 27:15.840]  So they have a special deal. It's totally worth checking out
[27:16.520 --> 27:21.000]  Really cool stuff very affordable prices American made men and women
[27:23.040 --> 27:25.040]  Listeners of this show
[27:25.040 --> 27:27.480]  I can use there. Here's the code and this is great
[27:27.480 --> 27:31.720]  I love this code because it shows that that they listen to the show finally
[27:32.440 --> 27:34.440]  Just use the code finally
[27:35.560 --> 27:39.520]  At checkout and you will receive 20% off
[27:40.640 --> 27:44.600]  And you can even use the same code over at need if you go to need
[27:45.280 --> 27:51.960]  Lifestyle calm and you can use finally there and save 20% too. So here's the website for foremost foremost F. O R E
[27:51.960 --> 27:58.940]  most edition for most edition calm go there. Take a look at the interviews
[27:59.640 --> 28:05.040]  Take a look at their at their clothes and use that code. Finally, you'll save 20% off. That's a lot of money
[28:05.040 --> 28:07.040]  That's a lot of percent. Yeah
[28:07.280 --> 28:12.520]  So go check them out. It's really cool. Very and very very beautiful. It's a great website really really cool
[28:13.000 --> 28:16.240]  I'm really proud of that guy and envious and I kind of hate him a little bit
[28:17.160 --> 28:19.940]  Our friend Matt Alexander. Yeah, what he's what he's doing is
[28:19.940 --> 28:21.260]  amazing
[28:21.260 --> 28:25.660]  Like what he's done in such a short period of time is I think he's about 14 years old
[28:26.100 --> 28:27.740]  And he's half English
[28:27.740 --> 28:31.700]  So he's gotten past that and it's it's still astonishing to me
[28:31.700 --> 28:34.940]  Like what that guy has managed to do that, you know
[28:34.940 --> 28:39.260]  He when he's first described these projects to me and it just seems like there's more and more coming out all the time
[28:39.680 --> 28:42.100]  You know, I was like, well, that's you know, it's kind of cool
[28:42.100 --> 28:49.020]  It kind of sounds like a store like a small store, but it's been a big hit. It's it's really frustrating
[28:49.020 --> 28:55.060]  Yeah, and don't you wish you could do something like that? I do I do because I feel like I
[28:56.380 --> 28:58.500]  Don't know. I like it cuz it's real
[28:58.500 --> 29:04.980]  I feel I the things that impress me is people come up with new ideas for businesses and and you know, I
[29:06.100 --> 29:10.900]  Like the ones to have something that you can touch the like where you got to buy a buy film for your virtual camera
[29:10.900 --> 29:17.960]  I think it drives you nuts though, right? Like that's not really that's not really a company
[29:17.960 --> 29:25.060]  I would say I would to actually say that the spectrum of the things that I tend to be most interested in are on the one
[29:25.060 --> 29:27.060]  side are real physical things like
[29:27.900 --> 29:33.180]  Somebody who's making iPhone docks out of blocks of wood, right? I mean not all of them
[29:33.180 --> 29:35.460]  I don't like them all but I mean, you know
[29:36.300 --> 29:40.780]  Something like that where you're making a real thing and you're doing it real way and then the ones I like least would have
[29:40.780 --> 29:42.780]  to be the virtual fake
[29:43.100 --> 29:45.260]  real world constraints, you know the
[29:46.460 --> 29:49.580]  some of the some of the kinds of services that are out there are
[29:50.700 --> 29:57.700]  So weird as I get more and more cynical about everything and a little bit more frisky about things like privacy
[29:57.700 --> 30:02.260]  Like I you just see stuff coming down the lane. You're like really like that's there's this thing
[30:02.260 --> 30:07.300]  You remember every block remember? Did you get that? Sure. That was Steven Johnson and Wilson
[30:07.300 --> 30:12.560]  I think Wilson minor worked on that but it was a really amazing service super clean beautiful website
[30:12.660 --> 30:17.980]  That would basically aggregate all kinds of mostly public information about things like police activity
[30:18.540 --> 30:26.340]  Safety, I mean anything that you you couldn't care less for any neighborhood except your own but in your neighborhood you really care and it's incredible
[30:26.340 --> 30:29.940]  Like I went in and I saw one time I called the cops about something and I could find that on the website
[30:29.940 --> 30:31.420]  It was really really cool
[30:31.420 --> 30:37.500]  But I think they contracted to be in only a few contracted as in like kind of sucked down to be just in a few cities
[30:37.660 --> 30:44.640]  Now these other ones cropping up my wife got me to get on this one in our neighborhood. It's just it's it's so annoying
[30:44.900 --> 30:49.500]  It's one of those things where you you sign up and you got to like give them tons of information
[30:49.500 --> 30:50.340]  They want your phone number
[30:50.340 --> 30:53.880]  They want to send a postcard to your house to verify that you you're you fine
[30:53.880 --> 31:01.020]  And then they automatically put your address on the website and then every page you're on there are call to actions and pop-ups
[31:01.020 --> 31:06.380]  Telling you to go invite more people it asks you to like, you know, bring in all of your on the one hand
[31:06.380 --> 31:08.180]  They're real careful about making sure who you are
[31:08.180 --> 31:12.860]  but then it's one of those remember like path kind of thing where they're like now don't you want it and start and bring in all
[31:12.860 --> 31:14.980]  of your contacts and your Facebook people and it's like I
[31:15.780 --> 31:22.220]  Am increasingly super uncomfortable with that as a business model. It's gross as soon as they asked me for it
[31:22.220 --> 31:26.380]  I had just closed the window. I immediately think well, that's your business model and then I'm grossed out
[31:26.980 --> 31:30.120]  Yeah, yeah, and I mean there's some kinds of things like say what you will about Google
[31:30.120 --> 31:34.420]  I mean like opening that Google app, especially like when I'm out of town. I was out of town last week
[31:34.420 --> 31:37.300]  It still kind of blows my mind how smart Google is
[31:37.300 --> 31:42.940]  I know they're Google but but like they if there's anybody out there who is providing some value for the nonsense
[31:42.940 --> 31:46.480]  They do you got to give them credit like here's the city you're traveling to there's the temperature
