[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[01:38:25.440 --> 01:38:30.240]  Go to lynda.com slash the talk show lynda.com with a y
[01:38:30.960 --> 01:38:36.800]  Slash the talk show and you get a seven-day free trial. So you don't have to cough up any money up front just
[01:38:37.760 --> 01:38:41.680]  Anything that might interest you go there use that url
[01:38:41.680 --> 01:38:47.520]  Seven days watch a whole bunch of video and at the end of it, uh, I guarantee you'll be in you'll sign up
[01:38:48.400 --> 01:38:51.920]  So just go there lynda.com slash the talk show and check it out for yourself
[01:38:54.000 --> 01:38:56.000]  Great sponsor
[01:38:56.000 --> 01:38:59.040]  Speaking of commercials, you know who what I saw the other day blew me away
[01:39:00.080 --> 01:39:02.080]  i'm in a bar
[01:39:02.080 --> 01:39:07.920]  With amy having a drink and on on the tv behind the bar. It's showing espn and
[01:39:07.920 --> 01:39:12.480]  You know, I see a tv i'm going to pay attention to it and all of a sudden adam lisa gore is on tv
[01:39:13.360 --> 01:39:19.920]  Oh, yeah for what uh that there's a commercial that he shot a sandwich video for a company called true car
[01:39:20.160 --> 01:39:22.160]  true car
[01:39:22.160 --> 01:39:27.200]  It's the future of car buying. I actually I haven't watched the whole thing. I was in a bar. I couldn't hear it
[01:39:27.200 --> 01:39:29.200]  All I did was see him
[01:39:29.200 --> 01:39:32.480]  Uh now his videos have gone on real tv like national tv
[01:39:32.480 --> 01:39:38.800]  Now his videos have gone on real tv like national tv. That's gotta be like that's definitely a strange thing to see like your friend
[01:39:38.960 --> 01:39:43.920]  All of a sudden appear on tv. I went nuts. I think i'm usually pretty you know, I was like that
[01:39:44.000 --> 01:39:46.000]  I know that guy that's my
[01:39:46.240 --> 01:39:47.920]  He's been on my show
[01:39:47.920 --> 01:39:49.360]  Right my guy
[01:39:49.360 --> 01:39:55.360]  And there he is up there and it's just a classic sandwich video there and he's the spokesman. He's he's in it. He's all you know
[01:39:56.160 --> 01:39:57.920]  That's awesome
[01:39:57.920 --> 01:40:03.760]  I'm, I am so happy for him for everything. He's like I remember back when he was, you know before he started sandwich video
[01:40:04.160 --> 01:40:07.840]  He was just doing like video work for people and he didn't seem like he was that happy doing it
[01:40:07.840 --> 01:40:09.440]  I don't want to you know, I don't want to put words in his mouth
[01:40:09.440 --> 01:40:13.920]  But it seemed like he was he was not incredibly happy with his previous jobs
[01:40:14.400 --> 01:40:15.920]  and he uh
[01:40:15.920 --> 01:40:21.200]  He did this thing on his own and it just exploded he is because like now everyone sees
[01:40:21.200 --> 01:40:27.840]  how cool he is like how his his style how talented he is and how good his work is and
[01:40:28.560 --> 01:40:33.200]  His unique like style and voice that he puts into these things that are so appealing to so many people like
[01:40:33.680 --> 01:40:35.840]  It's so great to see your friends have that kind of success
[01:40:36.880 --> 01:40:39.760]  And he's like the nicest guy in the world, you know, it couldn't happen to a better guy
[01:40:39.920 --> 01:40:42.960]  no, and he's such a thrill but it's so it's so because
[01:40:43.520 --> 01:40:45.520]  too it's like
[01:40:45.520 --> 01:40:50.640]  Who would have thought that that he you know, he just doesn't look like what you think of as celebrity pitch man
[01:40:51.200 --> 01:40:57.120]  Right, he's and he's like deadpan and like so like muted right and and it works and it works really well and we oh we you
[01:40:57.120 --> 01:41:01.760]  Know we all thought that you know, like internet nerds because we would see his video his previous videos and love them
[01:41:02.320 --> 01:41:04.800]  But yeah, I I think it's it's a surprise
[01:41:05.520 --> 01:41:10.240]  in a very good way that wow, everyone else feels this way too, it's it's like like
[01:41:10.240 --> 01:41:16.240]  Nerdy smart stuff like what we so often like around these parts is now popular everywhere
[01:41:17.440 --> 01:41:22.320]  it was so funny like I was making the directory in overcast and I had like whipped together directory a few days ago and and
[01:41:23.840 --> 01:41:31.120]  Jason Snell suggested this category titled pop culture and almost everything in it is about geek culture
[01:41:32.320 --> 01:41:34.640]  And part of that's because Jason Snell is a geek like us
[01:41:34.640 --> 01:41:41.360]  But part of it's also because geek culture now is pop culture and that was a very strange thing to realize, right?
[01:41:42.160 --> 01:41:47.840]  Yeah, like the thing the other day where that turned out that turns out the next Thor is a is a woman
[01:41:48.560 --> 01:41:51.280]  And it was like I couldn't like it was on every site
[01:41:51.280 --> 01:41:56.560]  It didn't matter whether it was a geek site or like a mainstream site. It was covered with equal
[01:41:57.280 --> 01:41:59.280]  You know
[01:41:59.280 --> 01:42:00.880]  Excitement
[01:42:00.880 --> 01:42:05.680]  And you know, it it was a perfect example to me because I remember growing up
[01:42:06.560 --> 01:42:11.760]  What happened in comic books would be like something like only the other kids in fifth grade?
[01:42:11.760 --> 01:42:18.240]  We're talking about you couldn't turn on tv and find out about the new spider-man outfit. You know what I mean?
[01:42:19.360 --> 01:42:22.080]  Yeah, well because they weren't making movies that made billions of dollars with it
[01:42:22.800 --> 01:42:27.280]  Right, but it's just funny how it's crossed over and I but that's the thing though
[01:42:27.280 --> 01:42:31.760]  Is that it's I think it's highly doubtful that that the you know
[01:42:31.760 --> 01:42:37.200]  All sorts of stuff that happens in the comic books doesn't necessarily mean it's going to happen in the movies, you know
[01:42:37.200 --> 01:42:43.440]  So it it's it's only in the comic books where there's going to be a where thor is now a woman
[01:42:45.120 --> 01:42:47.280]  I mean, I guess it could eventually be turned into a movie
[01:42:47.280 --> 01:42:53.760]  I don't know but I love that you've had me on here to talk about ibm tv and comics comics
[01:42:53.760 --> 01:42:59.520]  I'm, like so incredibly unqualified. I don't I don't read comic books. It's for babies
[01:43:00.240 --> 01:43:03.680]  I just think it's in I just think it's an interesting example of what you were talking about
[01:43:04.240 --> 01:43:05.200]  yeah, yeah
[01:43:05.200 --> 01:43:07.200]  I think I think it's more like, you know, it's
[01:43:08.000 --> 01:43:13.600]  You know a lot of people know, you know one or two nerds who or maybe you are one of these nerds, uh who?
[01:43:14.480 --> 01:43:17.680]  You were a nerd socially growing up. It did not serve you well
[01:43:18.240 --> 01:43:20.240]  And then you got a job that paid you good money
[01:43:20.240 --> 01:43:24.880]  And then all of a sudden people are interested in you. I feel like that has happened to the entire
[01:43:25.680 --> 01:43:30.000]  nerd industry like the whole nerd and all the geeky category of things like
[01:43:30.640 --> 01:43:32.240]  Now geeks are big business
[01:43:32.240 --> 01:43:38.720]  You know, we we control all the internet stuff our comic books and all that crap are now like billion dollar movie franchises and stuff like that
[01:43:39.040 --> 01:43:43.200]  Like I feel like the rest of the world now cares about us because we have all the money
[01:43:44.320 --> 01:43:48.320]  I guess to a certain degree that describes me but I think it's it's it's it's it's it's it's it's
[01:43:48.320 --> 01:43:53.360]  I guess to a certain degree that describes me, but I think I was always a little bit a little bit outside that
[01:43:54.080 --> 01:43:56.080]  a little bit harder to to
[01:43:56.880 --> 01:44:00.640]  Pin down in that sort of you know, like my high school years were not unhappy
[01:44:00.800 --> 01:44:05.280]  I wasn't I wouldn't I would say the only thing that made me really unhappy is I just wanted to already live on my own
[01:44:05.440 --> 01:44:08.320]  not that I don't love my parents and they're not great, but I felt like I was
[01:44:09.280 --> 01:44:13.680]  I was I felt clearly able to make my own decisions. It's about when to go to bed, you know
[01:44:13.680 --> 01:44:18.240]  Yeah when I was around 11
[01:44:18.240 --> 01:44:24.640]  You have now reached the conclusion of side one of your official national lampoon stereo test and demonstration record
[01:44:25.120 --> 01:44:28.400]  And what better time for our special end of the record test?
[01:44:29.040 --> 01:44:30.240]  first of all
[01:44:30.240 --> 01:44:32.240]  This is a test of your equipment
[01:44:32.480 --> 01:44:38.720]  No matter what brand or type of record player you have the tone arm should now be close to the center of the record
[01:44:39.040 --> 01:44:42.320]  And almost at the shiny area just before the label
[01:44:42.320 --> 01:44:45.440]  If you own an automatic turntable in a few seconds
[01:44:45.760 --> 01:44:52.880]  The arm should raise itself as if by magic and then return to its rest near the outside of the unit
[01:44:53.840 --> 01:44:55.840]  If you do not have an automatic turntable
[01:44:56.560 --> 01:44:58.560]  This should not happen
[01:44:58.960 --> 01:45:01.280]  The second part of this test involves you
[01:45:02.080 --> 01:45:07.840]  If you have been correctly installed as part of your stereo system, you will now lift the record up
[01:45:07.840 --> 01:45:12.480]  Turn it over and replace it on the turntable with side two on the top
[01:45:13.280 --> 01:45:16.720]  You will then proceed to listen to all of side two
[01:45:17.680 --> 01:45:19.680]  If you do not do this
[01:45:19.680 --> 01:45:38.480]  You have failed the test and you have the worst hi-fi system in the world no matter how much money you spent
