[00:00.480 --> 00:01.920]  You were at CES.
[19:37.220 --> 19:40.040]  it would instantly give him a sort of profile
[19:40.040 --> 19:41.560]  of anybody whose face he was looking at,
[19:41.560 --> 19:44.880]  you know, their name and, you know, some facts about them.
[19:44.880 --> 19:49.560]  And I feel like that is like, it's still science fiction,
[19:49.560 --> 19:52.240]  but it's very, very near term science fiction.
[19:52.240 --> 19:55.320]  Like it's going to happen, you know, within the next decade.
[19:57.400 --> 20:01.520]  Yeah, I mean, I kind of, I'm always the guy who wants,
[20:01.520 --> 20:04.620]  I want the feed of random Instagram photos
[20:04.620 --> 20:06.400]  that I'm in the background of.
[20:06.400 --> 20:07.240]  No, I do too.
[20:08.120 --> 20:12.200]  I'm, you know, I feel like we as a society and culture
[20:12.200 --> 20:15.000]  just, we're already wrapping our heads around the fact
[20:15.000 --> 20:17.600]  that everything is on camera all the time.
[20:17.600 --> 20:18.440]  Totally.
[20:18.440 --> 20:20.560]  You know, and it's, you know, it's like,
[20:20.560 --> 20:23.320]  and some of the people who are adjusting the slowest
[20:23.320 --> 20:28.080]  are the ones who really should be adjusting the quickest,
[20:28.080 --> 20:30.040]  you know, like the way that when police officers
[20:30.040 --> 20:32.120]  have some kind of incident and it's all caught on tape
[20:32.120 --> 20:36.220]  and you see that it's just absolutely horrible police work.
[20:37.260 --> 20:38.480]  That's actually, you know, to me,
[20:38.480 --> 20:41.720]  it's helping to make our society better.
[20:41.720 --> 20:43.880]  I mean, there's obviously trade-offs, big, big trade-offs,
[20:43.880 --> 20:46.120]  and there's some definite downsides to the lack of privacy,
[20:46.120 --> 20:46.960]  but...
[20:48.500 --> 20:51.640]  I think that specifically has proven to be very powerful
[20:51.640 --> 20:53.840]  over the last couple of years.
[20:53.840 --> 20:56.760]  You know, what was weird though was looking up
[20:56.760 --> 20:58.880]  and seeing a guy wearing Google Glass
[20:58.880 --> 21:01.160]  for the first time in over a year.
[21:01.160 --> 21:02.840]  That was crazy.
[21:02.840 --> 21:03.960]  That was very weird.
[21:05.120 --> 21:07.240]  How many people did you see at CES wearing Google Glass?
[21:07.240 --> 21:08.760]  Because I feel like if there's anywhere left
[21:08.760 --> 21:11.160]  that people are still pretending that Google Glass
[21:11.160 --> 21:13.720]  is gonna be a thing, it's CES.
[21:13.720 --> 21:16.960]  I saw two in a row, and that was it.
[21:16.960 --> 21:21.000]  Like two in the basement of the Palms, or Palms,
[21:21.000 --> 21:24.280]  the basement of the Sands Convention Center.
[21:24.280 --> 21:27.420]  And that was at the whole show, two guys.
[21:27.420 --> 21:29.760]  And the one guy was like tall and large,
[21:29.760 --> 21:32.760]  and it was just kind of weird.
[21:32.760 --> 21:33.920]  But that was the last time I'd seen him.
[21:33.920 --> 21:36.120]  Sometimes in New York, you see them when you're walking
[21:36.120 --> 21:39.080]  around over by the Google offices,
[21:39.080 --> 21:44.080]  but otherwise I haven't seen one in at least over a year.
[21:44.200 --> 21:45.080]  All right, let's hold this thought.
[21:45.080 --> 21:46.620]  I still have more CES stuff to talk about,
[21:46.620 --> 21:49.040]  but I might as well fit in our first break here
[21:49.040 --> 21:54.040]  and tell you about our good friends at Wealthfront.
[21:54.040 --> 21:57.440]  Wealthfront is a low cost, automated investment service
[21:57.440 --> 22:00.280]  that makes it easy to invest your money the right way.
[22:00.280 --> 22:02.760]  It works 24 seven to manage your portfolio,
[22:02.760 --> 22:05.280]  keeping it diversified, customized
[22:05.280 --> 22:08.400]  to your personal risk profile,
[22:08.400 --> 22:10.280]  and it optimizes its trading behavior
[22:10.280 --> 22:15.280]  to keep your tax bill low, all without charging commissions.
[22:15.640 --> 22:17.560]  Whether you've got millions of dollars to invest,
[22:17.560 --> 22:20.480]  or you're just starting out and you want to start
[22:20.480 --> 22:24.520]  a regular program to save for your retirement,
[22:24.520 --> 22:27.320]  Wealthfront is a great fit for you.
[22:27.320 --> 22:28.440]  So where do you go to find out more?
[22:28.440 --> 22:29.280]  Go to their website.
[22:29.280 --> 22:32.600]  It's wealthfront.com slash the talk show.
[22:33.820 --> 22:35.920]  Just a couple of the points here.
[22:35.920 --> 22:38.800]  More or less Wealthfront is an automated service
[22:38.800 --> 22:41.060]  that replaces like a personal financial manager.
[22:41.060 --> 22:42.640]  And the reason you might want to consider that
[22:42.640 --> 22:45.840]  is that algorithms can actually do pretty good with this
[22:45.840 --> 22:47.760]  just by putting your money into index funds.
[22:47.760 --> 22:48.880]  It's not really Wealthfront.
[22:48.880 --> 22:50.600]  You can read all the details on their website,
[22:50.600 --> 22:52.600]  but they're not really about like trying to magically pick
[22:52.600 --> 22:55.160]  individual companies that their stock is going to go up.
[22:55.160 --> 22:56.800]  That's really, really tough.
[22:56.800 --> 22:58.360]  And most people who try that don't win.
[22:58.360 --> 23:01.020]  The way to win in the longterm is to go with index funds.
[23:01.020 --> 23:03.480]  And that's what Wealthfront mostly does.
[23:03.480 --> 23:06.440]  But they charge way, way less than a personal
[23:06.440 --> 23:07.680]  financial manager.
[23:07.680 --> 23:12.120]  Instead of one to 3% of the money under management,
[23:12.120 --> 23:14.360]  they charge a fraction of 1%
[23:14.360 --> 23:16.980]  and they don't charge anything up to $10,000.
[23:18.820 --> 23:21.480]  And for listeners of the show who go to wealthfront.com
[23:21.480 --> 23:24.400]  slash the talk show, they actually raise that up to 15,000.
[23:24.400 --> 23:26.320]  So the first $15,000 you put in there,
[23:26.320 --> 23:29.480]  just to see how it works and see if it works for you
[23:29.480 --> 23:31.880]  and your family, you don't pay any fees at all.
[23:31.880 --> 23:33.520]  So you really can't beat that.
[23:33.520 --> 23:35.640]  Last but not least for compliance purposes,
[23:35.640 --> 23:38.300]  I have to read this to you.
[23:38.300 --> 23:41.040]  Wealthfront is an SEC registered investment advisor.
[23:41.040 --> 23:43.360]  Brokerage services are offered through Wealthfront
[23:43.360 --> 23:47.960]  Brokerage Corporation member, F-I-N-R-A and S-I-P-C.
[23:47.960 --> 23:51.220]  This is not a solicitation to buy or sell securities.
[23:51.220 --> 23:52.880]  Investing in securities involves risks
[23:52.880 --> 23:55.400]  and there is the possibility of losing money.
[23:55.400 --> 23:57.520]  Past performance is no guarantee of future results.
[23:57.520 --> 24:02.520]  Please visit wealthfront.com to read their full disclosure.
[24:06.620 --> 24:08.800]  So you didn't get there till Monday, you're saying?
[24:08.800 --> 24:10.020]  That's right, Monday night.
[24:10.020 --> 24:11.660]  So what did you do on Tuesday?
[24:11.660 --> 24:16.660]  Tuesday, I woke up too early and got breakfast
[24:19.040 --> 24:21.040]  and then we went to this meeting
[24:21.040 --> 24:24.960]  where Mike wore the exoskeleton and it was-
[24:24.960 --> 24:26.560]  How did you set that meeting up?
[24:26.560 --> 24:28.880]  That's one of my worries is that I would go there
[24:28.880 --> 24:30.360]  and without having set anything up
[24:30.360 --> 24:33.120]  and I don't have anybody who set stuff up for me
[24:33.120 --> 24:33.960]  and then I'd get out there
[24:33.960 --> 24:37.020]  and I'd just end up playing blackjack all day.
[24:37.020 --> 24:37.920]  See, that would be fun.
[24:37.920 --> 24:39.960]  I would like to play blackjack with you all day
[24:39.960 --> 24:41.360]  because as we'll discuss in a minute,
[24:41.360 --> 24:46.360]  I did not play any blackjack, so which is not excusable.
[24:46.400 --> 24:49.120]  I don't see how that, again, I don't see how that's-
[24:49.120 --> 24:49.960]  I know, I know.
[24:49.960 --> 24:52.940]  So here's the worst part of CES.
[24:52.940 --> 24:56.580]  When you sign up for a press badge,
[24:56.580 --> 25:01.180]  your email gets given to all the 3000 or whatever,
[25:01.180 --> 25:05.260]  2000 companies that have signed up to exhibit
[25:06.180 --> 25:08.780]  and you get emails from about half of them.
[25:08.780 --> 25:10.260]  I'm not even exaggerating.
[25:10.260 --> 25:13.580]  Like this year I was smart and I did the Gmail thing
[25:13.580 --> 25:16.220]  where you can add a plus sign and then,
[25:16.220 --> 25:20.540]  so I made it, you know, danpluscesatqz.com
[25:20.540 --> 25:23.780]  so I could filter, they're now all filtering into the toilet
[25:23.780 --> 25:25.100]  like I'm not getting,
[25:25.100 --> 25:26.540]  the people are still sending emails.
[25:26.540 --> 25:29.980]  They're good for them, but I'm not seeing any of them.
[25:29.980 --> 25:32.540]  So you get, you're overwhelmed for weeks.
[25:32.540 --> 25:33.460]  I know about that trick.
[25:33.460 --> 25:35.260]  I just want to just, I mean, hold you there,
[25:35.260 --> 25:38.180]  is that it instantly popped into my head.
[25:38.180 --> 25:40.820]  I mean, it's like if I was the type of dirtbag
[25:40.820 --> 25:43.700]  who ran like a PR, well, PR people aren't dirtbags,
[25:43.700 --> 25:45.840]  but if I was about to start sending email to those people,
[25:45.840 --> 25:47.620]  I would write like a little script
[25:47.620 --> 25:49.700]  that takes any Gmail address with the plus
[25:49.700 --> 25:52.300]  and take out the plus, you know what I mean?
[25:52.300 --> 25:55.540]  Like it would be so easy to algorithmically filter that out.
[25:55.540 --> 25:57.700]  Yeah, I mean, I'm sure some,
[25:57.700 --> 25:59.300]  a couple of people remarked on it.
[25:59.300 --> 26:02.900]  They were like, oh, clever with the plus sign or whatever.
[26:02.900 --> 26:05.840]  I mean, I get a lot of email from PR people as it is
[26:05.840 --> 26:09.400]  and I'm actually, I would say pretty fair
[26:09.400 --> 26:11.500]  about just asking people not to send me
[26:11.500 --> 26:12.580]  certain types of email.
[26:12.580 --> 26:15.660]  I find it so hard like at a convention or conference
[26:15.660 --> 26:16.500]  or something like that.
[26:16.500 --> 26:18.400]  I'm terrible at staying on top of my email
[26:18.400 --> 26:19.900]  on a normal day when I'm at my desk,
[26:19.900 --> 26:21.560]  but it's really, I always fall behind.
[26:21.560 --> 26:24.500]  And so to have them making it even harder
[26:24.500 --> 26:28.060]  to just keep an eyeball on what's coming into my email
[26:28.060 --> 26:29.600]  would be terrible.
[26:30.500 --> 26:33.460]  The problem for me is that I've now been at inbox zero
[26:33.460 --> 26:36.420]  for four years, which means all day
[26:36.420 --> 26:38.640]  I'm constantly deleting emails.
[26:39.580 --> 26:41.340]  I don't let them pile up anymore.
[26:41.340 --> 26:46.340]  So anyway, so I would get invited to everything
[26:46.340 --> 26:50.000]  from like tours to meetings, to press conferences
[26:50.000 --> 26:51.060]  and that kind of stuff.
[26:51.060 --> 26:55.260]  And I accepted, I think five or six of the,
[26:55.260 --> 26:58.220]  I don't know, roughly a thousand that I got.
[26:58.220 --> 27:00.540]  And I say-
[27:00.540 --> 27:02.480]  And those came, but just to be clear,
[27:02.480 --> 27:06.500]  those came long before the show even started
[27:06.500 --> 27:09.900]  because it starts when you actually register with CES
[27:09.900 --> 27:11.960]  like in November or whatever.
[27:11.960 --> 27:13.020]  Yes. Okay.
[27:13.020 --> 27:17.100]  Yeah, so, and some of them are like party invites
[27:17.100 --> 27:22.100]  and some of the stuff doesn't come until the week before
[27:22.380 --> 27:24.140]  or a couple of days before,
[27:24.140 --> 27:27.560]  but a lot of the companies are trying to set up
[27:27.560 --> 27:29.420]  as many meetings as possible.
[27:29.420 --> 27:32.700]  You can also kind of check what topics you're interested in.
[27:32.700 --> 27:34.740]  And I think I was probably a little too excited
[27:34.740 --> 27:37.680]  about checking lots of different topics
[27:37.680 --> 27:40.820]  that I should not have like audio,
[27:40.820 --> 27:43.180]  you check off audio and then every headphone company
[27:43.180 --> 27:45.700]  is emailing you asking for a meeting and that kind of stuff.
[27:45.700 --> 27:47.800]  So I think next year,
[27:47.800 --> 27:50.640]  I'll probably be more selective about that
[27:50.640 --> 27:52.060]  and do even fewer meetings.
[27:52.060 --> 27:56.260]  Cause if you need to get a last minute meeting,
[27:56.260 --> 27:58.580]  they're pretty much always available.
[27:58.580 --> 28:00.620]  The stuff that's really cool
[28:00.620 --> 28:02.700]  is gonna be kind of hard to access anyway.
[28:02.700 --> 28:04.460]  And those are the people who are at least likely
[28:04.460 --> 28:07.440]  to set stuff up with you ahead of time,
[28:07.440 --> 28:10.860]  unless you're whatever the verge or something like that,
[28:12.300 --> 28:14.600]  who get first dibs on a lot of stuff.
[28:16.540 --> 28:18.120]  So yeah, I set all that stuff up.
[28:18.120 --> 28:20.500]  And so what else I, Tuesday,
[28:20.500 --> 28:24.240]  I had a couple of meetings and I had lunch
[28:24.240 --> 28:28.900]  and then I went to a dinner probably
[28:28.900 --> 28:30.460]  and then met up with people.
[28:30.460 --> 28:34.900]  Oh, Tuesday I went to a party and stayed out late.
[28:34.900 --> 28:38.820]  And yeah, and that's when I saw Rupert Murdoch.
[28:38.820 --> 28:40.360]  That was kind of interesting.
[28:41.720 --> 28:42.860]  So where was he?
[28:42.860 --> 28:45.700]  He was just walking down the hall of the Wynn.
[28:45.700 --> 28:47.700]  That's where he stayed.
[28:47.700 --> 28:49.140]  So I actually wrote this article.
[28:49.140 --> 28:51.980]  So one thing I didn't know,
[28:51.980 --> 28:55.340]  and I thought it was gonna be a bigger surprise
[28:55.340 --> 28:56.660]  to people than it turned out to be.
