[00:00.000 --> 00:03.000]  Hello there. Hello.
[21:59.000 --> 22:01.000]  and strike while the iron is hot.
[22:01.000 --> 22:03.000]  And so they're motivated to do it.
[22:03.000 --> 22:05.000]  Yeah, exactly.
[22:05.000 --> 22:07.000]  And, you know, at the other one,
[22:07.000 --> 22:10.000]  I linked them up last week.
[22:10.000 --> 22:13.000]  I think their name is Feld and Vos.
[22:13.000 --> 22:18.000]  The heck is it? It's this, I think they're Russian.
[22:18.000 --> 22:21.000]  Feld and Voc, V-O-L-K.
[22:21.000 --> 22:26.000]  Go to Feldvoc.com, F-E-L-D-V-O-L-K.com,
[22:26.000 --> 22:27.000]  and they don't make cases.
[22:27.000 --> 22:31.000]  What they do is they take iPhone 5-S's, I guess, new ones,
[22:31.000 --> 22:34.000]  anodize the aluminum to new colors.
[22:34.000 --> 22:37.000]  They cut the back and put in like actual,
[22:37.000 --> 22:38.000]  not like a wood case.
[22:38.000 --> 22:41.000]  They actually put like a wood panel in the back,
[22:41.000 --> 22:43.000]  or, you know, like a flower pattern.
[22:43.000 --> 22:46.000]  And they take out the volume buttons and replace them
[22:46.000 --> 22:51.000]  with 18-karat gold volume and silence rocker buttons.
[22:51.000 --> 22:57.000]  And sell them, resell them for like $9,000.
[22:57.000 --> 23:00.000]  And I heard from people, and I'd never heard of them before.
[23:00.000 --> 23:02.000]  I mean, it just seems crazy.
[23:02.000 --> 23:05.000]  But apparently it's a big thing like in Moscow,
[23:05.000 --> 23:08.000]  like all the oligarchs are into these things
[23:08.000 --> 23:12.000]  that it's like a culture, you know, where these crazy billionaire
[23:12.000 --> 23:15.000]  Russians want people to know they have $10,000 iPhones.
[23:15.000 --> 23:20.000]  But isn't that better than that crazy luxury?
[23:20.000 --> 23:23.000]  I can't even remember the name of it, but you know,
[23:23.000 --> 23:24.000]  virtue.
[23:24.000 --> 23:25.000]  Virtue, right.
[23:25.000 --> 23:26.000]  I mean, this is like a competitor to that,
[23:26.000 --> 23:28.000]  where it's like it's a real iPhone, but we've actually
[23:28.000 --> 23:29.000]  taken the parts.
[23:29.000 --> 23:32.000]  But again, there's that, you've got then you really want
[23:32.000 --> 23:34.000]  to know what the shape of the parts are in advance.
[23:34.000 --> 23:35.000]  So you can start working on it.
[23:35.000 --> 23:38.000]  Right. And they had a super high quality video.
[23:38.000 --> 23:39.000]  Sure.
[23:39.000 --> 23:40.000]  They made like a commercial.
[23:40.000 --> 23:43.000]  Because their clients really want the new iPhone when it
[23:43.000 --> 23:44.000]  comes out, right?
[23:44.000 --> 23:45.000]  Exactly.
[23:45.000 --> 23:47.000]  Which is they've got to have their molds done in advance,
[23:47.000 --> 23:49.000]  even though that's impossible.
[23:49.000 --> 23:50.000]  Right.
[23:50.000 --> 23:51.000]  So right.
[23:51.000 --> 23:53.000]  Supply chain is a logical place to go.
[23:53.000 --> 23:55.000]  I also think perhaps that there are competitors, you know,
[23:55.000 --> 23:57.000]  Apple's competitors want to know what they're doing.
[23:57.000 --> 23:58.000]  And so they're paying.
[23:58.000 --> 23:59.000]  Yeah.
[23:59.000 --> 24:01.000]  But all of the stuff then eventually it just sort of leaks around
[24:01.000 --> 24:02.000]  the edges.
[24:02.000 --> 24:04.000]  And you end up with these YouTube videos that are like
[24:04.000 --> 24:07.000]  somebody speaking not in English, posted on a YouTube site,
[24:07.000 --> 24:10.000]  or even like on Chinese social network.
[24:10.000 --> 24:14.000]  There was an iPhone 6 video on one of the Chinese social
[24:14.000 --> 24:16.000]  networks that got reposted to YouTube.
[24:16.000 --> 24:18.000]  And, you know, yeah, it's not Mac rumors
[24:18.000 --> 24:19.000]  paying these people.
[24:19.000 --> 24:22.000]  It's not Mark German isn't paying these people.
[24:22.000 --> 24:26.000]  It's the people paying like who are much more closely
[24:26.000 --> 24:27.000]  attached to the supply chain.
[24:27.000 --> 24:30.000]  And they just, they really, there's a business advantage
[24:30.000 --> 24:32.000]  to knowing in advance.
[24:32.000 --> 24:34.000]  Yeah, definitely.
[24:34.000 --> 24:35.000]  And it's crazy.
[24:35.000 --> 24:38.000]  It's, it's really kind of nutty.
[24:38.000 --> 24:39.000]  Yeah.
[24:39.000 --> 24:40.000]  It does.
[24:40.000 --> 24:42.000]  It does with iPhones with gold volume rockers.
[24:42.000 --> 24:43.000]  Yeah.
[24:43.000 --> 24:44.000]  Let me take a sponsor break on a comeback.
[24:44.000 --> 24:46.000]  But the point I want to come back to you, I want to tell you in
[24:46.000 --> 24:48.000]  advance, because I often forget by the time I get to the
[24:48.000 --> 24:52.000]  end of a sponsor break, though, is that most of them don't
[24:52.000 --> 24:53.000]  turn on.
[24:53.000 --> 24:56.000]  But then all of a sudden, like in the last two days, we're starting
[24:56.000 --> 24:59.000]  to see one, like you said, there's like apparently a fully
[24:59.000 --> 25:05.000]  moving 4.7 inch one that actually turns on and runs iOS 8, which
[25:05.000 --> 25:06.000]  is crazy.
[25:06.000 --> 25:07.000]  Right.
[25:07.000 --> 25:10.000]  But I'm going to tell you about our friends at igloo.
[25:10.000 --> 25:12.000]  Long time sponsors of the show.
[25:12.000 --> 25:17.000]  igloo is the intranet that you'll actually like.
[25:17.000 --> 25:21.000]  And they have a super exciting release that's brand new.
[25:21.000 --> 25:24.000]  It's called unicorn.
[25:24.000 --> 25:27.000]  We've talked about their unicorn update on the show before.
[25:27.000 --> 25:31.000]  It has a ton of new features, but the best is integrated task
[25:31.000 --> 25:36.000]  management that will change how you stay on track with your work.
[25:36.000 --> 25:40.000]  igloo tasks can be assigned in different ways, depending on the
[25:40.000 --> 25:42.000]  way on the work you're doing.
[25:42.000 --> 25:45.000]  One of the coolest ways to use tasks is creating them directly
[25:45.000 --> 25:47.000]  on your content.
[25:47.000 --> 25:51.000]  So you're requesting updates on a graphic that somebody on your
[25:51.000 --> 25:54.000]  team is working on, or a text correction in a Word document.
[25:54.000 --> 25:58.000]  You create these tasks right on your content in the igloo interface.
[25:58.000 --> 26:02.000]  And then when the designer goes to update the graphic and they go
[26:02.000 --> 26:05.000]  through igloo to get to it, the task, what you want changed, is
[26:05.000 --> 26:07.000]  right there on the same page.
[26:07.000 --> 26:10.000]  So when you're viewing content, even if it's a blog, if it's an
[26:10.000 --> 26:14.000]  event, a forum topic, inside your igloo, the tasks are all
[26:14.000 --> 26:15.000]  right there.
[26:15.000 --> 26:18.000]  So the stuff that you need to be done is right there attached to
[26:18.000 --> 26:23.000]  whatever it is, wherever you go in the igloo system.
[26:23.000 --> 26:24.000]  So find out more.
[26:24.000 --> 26:25.000]  It's a great stuff.
[26:25.000 --> 26:27.000]  All the other stuff about igloo is all still true.
[26:27.000 --> 26:30.000]  All sorts of great templates to choose from.
[26:30.000 --> 26:35.000]  The fact that it runs, it's your private internet that you get to
[26:35.000 --> 26:36.000]  run.
[26:36.000 --> 26:40.000]  The fact that you get to start for free, for up to 10 people, and
[26:40.000 --> 26:42.000]  just use it.
[26:42.000 --> 26:44.000]  Unlimited time.
[26:44.000 --> 26:46.000]  Where do you go to find out more?
[26:46.000 --> 26:47.000]  This is it.
[26:47.000 --> 26:54.000]  That's it.
[26:54.000 --> 26:57.000]  Great, great internet.
[26:57.000 --> 27:01.000]  And now they're really with this task stuff, really making it into a
[27:01.000 --> 27:06.000]  project management system for your small teams and organizations.
[27:06.000 --> 27:09.000]  So my thanks to that.
[27:09.000 --> 27:12.000]  So in the past, we've seen these leaks come out.
[27:12.000 --> 27:15.000]  And then they always, I think there was one about a week or two ago
[27:15.000 --> 27:18.000]  that at least turned on to the point where it showed the
[27:18.000 --> 27:20.000]  connector iTunes.
[27:20.000 --> 27:21.000]  Right.
[27:21.000 --> 27:23.000]  Right.
[27:23.000 --> 27:28.000]  And it was funny because somebody then took like screenshots of
[27:28.000 --> 27:31.000]  that and like kind of estimated the measurement of the graphic
[27:31.000 --> 27:36.000]  because the graphic had like letterboxing at the top and bottom.
[27:36.000 --> 27:41.000]  And a rough estimation is that it was, it might be very, very close to
[27:41.000 --> 27:46.000]  the size that I predicted a few weeks ago, which I think makes
[27:46.000 --> 27:47.000]  sense.
[27:47.000 --> 27:50.000]  In other words, it's the same pixel perinches, the iPhone 5
[27:50.000 --> 27:53.000]  and 5S, but just they just cut it to 4.7 inches.
[27:53.000 --> 27:54.000]  Right.
[27:54.000 --> 27:58.000]  But now there's ones coming out that are actually fully operational
[27:58.000 --> 27:59.000]  Death Stars.
[27:59.000 --> 28:00.000]  Yeah.
[28:00.000 --> 28:03.000]  I mean, I don't know enough about the production cycle, but I
[28:03.000 --> 28:06.000]  would imagine very late in the game, they're producing, first off
[28:06.000 --> 28:08.000]  they're producing like test units.
[28:08.000 --> 28:12.000]  You know, there was a story about how iPhone shipments were already
[28:12.000 --> 28:17.000]  filling planes going from China to North America.
[28:17.000 --> 28:19.000]  So, you know, at some point they're making them.
[28:19.000 --> 28:21.000]  They haven't announced them yet, but they've got to get them here
[28:21.000 --> 28:24.000]  and they're and around the world assuming that they're going to
[28:24.000 --> 28:27.000]  drop them in a lot of countries in a couple of weeks.
[28:27.000 --> 28:29.000]  They've got to start shipping them now.
[28:29.000 --> 28:32.000]  So once that, I mean, then the genie's completely out of the
[28:32.000 --> 28:35.000]  bottle and it's got to be a lot easier to to plug something
[28:35.000 --> 28:36.000]  off the production line.
[28:36.000 --> 28:39.000]  And there's probably an earlier wave that are like the production
[28:39.000 --> 28:43.000]  models to see if the process works and if the quality level is high
[28:43.000 --> 28:45.000]  enough and those probably leak.
[28:45.000 --> 28:48.000]  So there's probably a life cycle and I never thought of it this way
[28:48.000 --> 28:50.000]  of life cycle leaks where, you know, it starts with all the
[28:50.000 --> 28:53.000]  suppliers and then the end it's the assembly and then it's
[28:53.000 --> 28:56.000]  then it starts to be working models.
[28:56.000 --> 28:57.000]  Yeah.
[28:57.000 --> 29:00.000]  I think I think they must be making the real ones by now.
[29:00.000 --> 29:01.000]  Yeah.
[29:01.000 --> 29:02.000]  They've got to be given the volumes.
[29:02.000 --> 29:04.000]  I mean, we were talking about how huge the iPhone volume is.
[29:04.000 --> 29:06.000]  How much demand there is on day one.
[29:06.000 --> 29:07.000]  Right.
[29:07.000 --> 29:08.000]  Then they've got to be making it.
[29:08.000 --> 29:11.000]  And that's why when I saw that story about about how, you know,
[29:11.000 --> 29:15.000]  there are already lots of Apple shipments coming from China that it's
[29:15.000 --> 29:18.000]  got, you know, it's completely believable because they've
[29:18.000 --> 29:21.000]  got, you know, let's assume that in less than two weeks they're
[29:21.000 --> 29:22.000]  going to be on sale.
[29:22.000 --> 29:24.000]  They're going to want to fill the channel with as many as
