[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[25:40.380 --> 25:45.360]  I just feel obligated to go back and mention this they started just 95 bucks including the lenses
[25:45.360 --> 25:50.120]  So I don't want to leave the impression that you got to pay 300 bucks for for glasses
[25:50.440 --> 25:52.940]  100 bucks get you a high-quality pair of glasses
[25:55.560 --> 25:59.120]  And and anyway what else what's going on I
[26:00.040 --> 26:03.300]  Think there's some kind of a watch coming out. Yeah, what about the
[26:04.320 --> 26:10.000]  Before we talk about that we could talk about the pebble color was is that what it's called called pebble or a little time, right?
[26:10.000 --> 26:12.000]  pebble time
[26:12.000 --> 26:17.600]  Because you know, it's a watch so well and and you I know I have a pebble
[26:18.140 --> 26:22.720]  Which I never really got into wearing. I don't think I ever wore it for more than like a day
[26:24.120 --> 26:30.720]  But I know that you you have a original first gen pebble and you've worn it regularly I did I
[26:31.720 --> 26:34.720]  Stopped wearing it. I think I wore it for two or three months and
[26:35.440 --> 26:36.460]  You know, I bought it
[26:36.460 --> 26:40.920]  I think for the same reason you did just out of curiosity because when the the Kickstarter was announced
[26:40.920 --> 26:43.220]  She's like a year and a half two years ago even
[26:44.320 --> 26:48.040]  it was a curiosity and nothing else like it existed and
[26:48.640 --> 26:53.800]  It was I think what was it about a hundred bucks or so. I think it was a hundred bucks
[26:54.920 --> 26:59.680]  It wasn't outlandish. I mean it wasn't it wasn't much more than that. It might have even been a little less than that and
[27:00.360 --> 27:07.160]  I said, you know, this seems interesting and I think I enjoyed it a little more than you did but it's to me
[27:07.160 --> 27:09.880]  it's it sort of proved the concept of having
[27:09.880 --> 27:13.880]  a watch connected to your phone because I
[27:14.600 --> 27:18.280]  Think even now I think even after the Apple watch comes out people are gonna say, you know
[27:18.280 --> 27:20.760]  What the heck do you need that for you've got your phone, but?
[27:21.680 --> 27:24.160]  When you're driving, it's great. You can glance at your wrist
[27:24.680 --> 27:27.400]  When you're in a meeting when you're you know talking to somebody else
[27:27.400 --> 27:29.400]  It's a whole lot easier to just look at your wrist real quick
[27:29.480 --> 27:32.960]  Then pull out your phone and you know figure out what's going on there
[27:32.960 --> 27:39.880]  and I did find that it was you know, not the most valuable thing in the world, but it was certainly a useful accessory to
[27:40.080 --> 27:43.360]  The phone in a way that without trying it
[27:43.360 --> 27:48.040]  I might not have believed my big one of my big complaints with it my two big complaints
[27:48.040 --> 27:52.600]  I guess were that one I didn't feel like I was getting fine grained enough
[27:53.160 --> 27:55.160]  control over which notifications
[27:55.720 --> 28:01.120]  Like pebble specifically with pebble specifically it was more or less all notifications anything
[28:01.120 --> 28:03.120]  You know you if you pair it with your phone
[28:03.560 --> 28:09.460]  through your iPhone then anything that would be a notification on your phone is a notification on your pebble and I
[28:10.080 --> 28:16.080]  Tend to have my phone set up to not I don't get a lot of notifications period I you know most things I have turned
[28:16.080 --> 28:16.680]  off
[28:16.680 --> 28:22.120]  Yeah, same. I only get email notifications for my VIPs etc. Which is like I
[28:22.520 --> 28:24.720]  Think I was just talking to someone
[28:24.720 --> 28:27.200]  I don't know if it was on the show or where but it it's like one of the
[28:27.200 --> 28:33.120]  Best features apples come up with like a little feature that you take for granted, but but right now you barely even notice
[28:33.120 --> 28:36.960]  But then you know if you stop and think hey, I'm only getting emails from you know
[28:37.000 --> 28:42.880]  My mom and the wife and whoever it's it's very nice. Yeah, but there's so many little things that really
[28:45.520 --> 28:46.440]  Just little
[28:46.440 --> 28:47.880]  Notifications that I do want on my phone
[28:47.880 --> 28:52.920]  But I don't want on my watch and the fact that I couldn't turn them off made it feel like my watch was annoying me
[28:53.440 --> 28:55.720]  Now was that I think that's how it was initially
[28:55.720 --> 28:58.240]  I think eventually I you know, I stopped using it as well
[28:58.240 --> 29:00.760]  but I think eventually you did get a little more fine-grained control as
[29:01.240 --> 29:05.380]  Far as some things that would notify on the phone only and not on the not
[29:05.380 --> 29:09.320]  Yeah, maybe and this you know, I might be speaking from old experience, you know
[29:09.320 --> 29:10.960]  but maybe it's but it just
[29:10.960 --> 29:17.200]  But I also did not I also found it that the physical sensation of the vibration to be unpleasant even for things
[29:17.200 --> 29:20.800]  I wanted the pebble to notify me about like a text message, right?
[29:20.800 --> 29:26.200]  I get text messages is one that I would think anybody wants, you know, my wife texts me I want that
[29:26.200 --> 29:29.600]  I do want it on my watch if if my watch is going to show me anything
[29:29.600 --> 29:35.520]  That's something I would want. I found the vibration to be physically unpleasant not like in a big way, but
[29:35.920 --> 29:39.240]  In it never once made me happy that my watch buzz
[29:39.840 --> 29:47.040]  Well, so you've you've tried on an Apple watch right and and you and they showed you the the Taptic sensor, right?
[29:47.040 --> 29:49.000]  I have to feedback so
[29:49.000 --> 29:53.160]  You can compare the two I've I have not yeah, it's a completely different sensation
[29:53.160 --> 29:57.200]  I've said this before but it's it's not the Taptic thing, you know
[29:57.200 --> 30:01.460]  And I know that Taptic is a word that they've made up, you know that it's tap plus haptic
[30:01.460 --> 30:05.520]  But it it's really is a kind of great name
[30:05.520 --> 30:11.040]  Like I'm sure they get some point once they had the thing working and somebody said Taptic everybody in the room
[30:11.040 --> 30:17.160]  I'm sure it was like that's it because it does feel like it's tapping you and it's not at all like a vibration
[30:17.160 --> 30:22.800]  You know a phone vibrator. It sounds it sounds weird. I mean it is weird
[30:22.800 --> 30:25.360]  It's different but it's it's not unpleasant
[30:25.360 --> 30:28.800]  it's and it to me solves a very real problem that the
[30:29.160 --> 30:35.040]  At least the original pebble definitely had which is that of a little the vibrating engine vibration motor
[30:35.040 --> 30:37.700]  Yeah, right are just not pleasant sensation
[30:38.080 --> 30:44.320]  Well, so I the thing to me about the new one the the pebble time was it looks very nice
[30:44.320 --> 30:50.680]  And it's interesting to me that it's gonna be one of the first devices out there using a color e-ink display
[30:51.200 --> 30:55.800]  Because none of the you know, like the nooks and and the Kindles are all still black and white e-ink
[30:56.480 --> 31:02.760]  but it seems very much geared at Android users because they just can't get the level of
[31:04.000 --> 31:10.700]  You know connection to the system on iOS that they want right and I think that's sort of unfortunate because it'd be nice if there
[31:10.700 --> 31:12.320]  were competitors
[31:12.320 --> 31:17.960]  That worked with the iPhone, but I think it's I think if they're carving out a niche in the market
[31:17.960 --> 31:19.780]  It's it's on the Android side
[31:19.780 --> 31:23.840]  Yeah, even though I think the original one I think probably was Laura
[31:23.840 --> 31:28.080]  I maybe it was even iPhone first right wasn't it like that their Android software took a while
[31:28.640 --> 31:35.800]  It's definitely yeah, that sounds right. All right, I think that that because of the enthusiasts market and the Kickstarter market
[31:36.600 --> 31:40.720]  Especially from from a couple years ago when Kickstarter was you know?
[31:40.720 --> 31:44.480]  A little bit less well known, you know, it was definitely the iPhone
[31:44.480 --> 31:49.480]  I think made up a much bigger part of their market right, but I think it's inevitable
[31:49.480 --> 31:52.860]  I think you're exactly right though there right now. It's inevitable because they need
[31:53.440 --> 31:58.400]  They crave more control on the phone and the iPhone just doesn't offer it
[31:59.080 --> 32:05.560]  well, and I think so, I think that's it's interesting because in this space Apple's making a device and
[32:05.560 --> 32:11.120]  You know Apple's answer is going to be get the Apple watch. That's the one that works best with the iPhone
[32:11.440 --> 32:13.440]  but I got a
[32:13.480 --> 32:19.360]  Doorbell, I got a doorbell called the ring and it's a video doorbell and it connects to your phone
[32:20.000 --> 32:23.440]  It's great. It rings your phone wherever you are when somebody's at the door
[32:23.440 --> 32:27.760]  So if you're not at home or you know, whatever you can tell UPS guy to leave a package, whatever
[32:28.120 --> 32:32.800]  but the biggest issue that I have with it is that I keep my phone on silent most of the time and
[32:32.800 --> 32:37.800]  on the iPhone the only thing that can override the silent switch is your alarm clock and
[32:38.520 --> 32:41.860]  If I could have one other thing do it, it would be this doorbell
[32:42.560 --> 32:49.880]  Because I want that notification anytime that it happens and it's something where I don't think Apple's likely to ever make a doorbell
[32:50.400 --> 32:55.920]  but because the system is locked down enough, it means that nobody else can make one that has that level of
[32:56.840 --> 33:01.480]  Access right and you know, you see it with the watch you see it with with a bunch of things and it's I think in this
[33:01.480 --> 33:05.880]  case, you know, there's an answer it's get an Apple watch and that'll have all the
[33:06.400 --> 33:11.120]  Authority that you need but in a lot of other cases, I think there's sort of missed opportunities right now
[33:12.120 --> 33:19.640]  Yeah, I think it's you know, it's an unfortunate side effect, you know of and I don't think it's purely I think it plays into it
[33:19.640 --> 33:21.640]  I mean, let's face it. There's a little bit of
[33:22.760 --> 33:24.480]  competitive spite
