[00:00.000 --> 00:01.740]  Jason, how you doing?
[20:17.620 --> 20:19.220]  and then it was the date, and then it was like
[20:19.220 --> 20:20.740]  whatever the name of the episode is.
[20:20.740 --> 20:24.120]  Right, and the idea in the late 90s
[20:24.120 --> 20:27.460]  that was very common on the,
[20:27.460 --> 20:31.260]  I'm just a person with a personal website,
[20:31.260 --> 20:34.180]  and I love the web, and isn't this cool
[20:34.180 --> 20:36.900]  that I can just edit HTML,
[20:36.900 --> 20:40.260]  which requires very little technical acumen
[20:40.260 --> 20:41.860]  for a technical thing, right?
[20:41.860 --> 20:44.460]  I mean, it's, and I realize not,
[20:44.460 --> 20:46.900]  there's still a slew of people who get confused,
[20:46.900 --> 20:50.980]  even by the simple HTML of the late 90s
[20:50.980 --> 20:53.380]  where almost everything was hand-edited,
[20:53.380 --> 20:55.700]  but for the most part, a non-technical person
[20:55.700 --> 20:57.300]  could just look at the source code.
[20:57.300 --> 21:00.580]  I mean, it was the genius of the mid-90s web
[21:00.580 --> 21:04.140]  was that browsers were built with the view source command,
[21:04.140 --> 21:08.420]  and you could look at it and honestly figure out
[21:08.420 --> 21:13.220]  the basic gist of HTML just by looking at it, right?
[21:13.220 --> 21:15.940]  You know, I aimed for that with Markdown, right?
[21:15.940 --> 21:20.700]  Like where you could get the basic gist of Markdown
[21:20.700 --> 21:25.240]  just by reading existing things written in Markdown.
[21:25.240 --> 21:27.580]  Oh, I get it, the asterisks mean,
[21:27.580 --> 21:30.300]  I don't know, italics or bold or something,
[21:30.300 --> 21:32.220]  and then look at the output and say,
[21:32.220 --> 21:34.580]  oh, I see single asterisks are italics
[21:34.580 --> 21:37.080]  and double asterisks are bold.
[21:37.080 --> 21:39.700]  You know, you could figure it out by looking at it,
[21:39.700 --> 21:42.580]  and I hope with Markdown even more so,
[21:42.580 --> 21:45.100]  because it's simpler, but HTML was very close to that
[21:45.100 --> 21:47.520]  in the 90s, and you'd hand-edit it,
[21:47.520 --> 21:51.060]  and what a lot of people did was this sort of,
[21:51.060 --> 21:53.620]  you know, you calling them episodes is very clever,
[21:53.620 --> 21:55.100]  because it's exactly what people did.
[21:55.100 --> 21:59.220]  They'd just occasionally make like a new toy,
[21:59.220 --> 22:02.260]  and it would be like a page or a thing,
[22:02.260 --> 22:04.380]  and then they would, you know, put it out there
[22:04.380 --> 22:07.700]  and start spreading the word, you know, however it was,
[22:07.700 --> 22:09.700]  and people would have like bookmarks
[22:09.700 --> 22:11.340]  of their favorite sites, and they'd come back
[22:11.340 --> 22:14.460]  once in a while, and oh, here's a new thing from so-and-so,
[22:14.460 --> 22:17.280]  here's a new thing from, you know,
[22:17.280 --> 22:19.400]  oh, here's a new thing from Kotke at Oscillate,
[22:19.400 --> 22:21.440]  it's an episode, you know?
[22:21.440 --> 22:24.940]  And you might have one week and another the next week,
[22:24.940 --> 22:26.060]  and then maybe it's a month
[22:26.060 --> 22:27.880]  before you come up with another one.
[22:27.880 --> 22:31.120]  Yeah, exactly, there was no like publishing schedule,
[22:31.120 --> 22:33.720]  there's no RSS that you have to keep,
[22:33.720 --> 22:35.000]  there was no sense, really,
[22:35.000 --> 22:37.680]  that you had to kind of keep feeding the beast.
[22:37.680 --> 22:39.680]  In addition to the episodes that I did,
[22:39.680 --> 22:42.300]  I also, almost every time, not every time,
[22:42.300 --> 22:45.140]  but almost every time, I redesigned like the interface
[22:45.140 --> 22:47.800]  to get into the past episodes and stuff.
[22:47.800 --> 22:51.160]  So there was a new sort of like UX or UI,
[22:51.160 --> 22:53.900]  like every, with every episode, you know,
[22:53.900 --> 22:55.600]  and that's the thing that I,
[22:55.600 --> 22:57.840]  that's the thing that I love doing.
[22:57.840 --> 23:00.120]  I love, you know, we're using all these new tools,
[23:00.120 --> 23:02.480]  and there was new stuff coming out all the time.
[23:02.480 --> 23:05.120]  It's, oh, you can do JavaScript now and rollovers,
[23:05.120 --> 23:07.660]  and you can change one image to the other image.
[23:07.660 --> 23:08.780]  You know, I remember when that came out,
[23:08.780 --> 23:09.800]  and that was a huge thing,
[23:09.800 --> 23:12.240]  and so I had to go experiment with that.
[23:12.240 --> 23:15.100]  And so it's all these technologies and everybody,
[23:15.100 --> 23:17.820]  it just felt like this huge, bubbling,
[23:17.820 --> 23:20.240]  like cauldron of creativity,
[23:20.240 --> 23:22.100]  and everyone was trying to like,
[23:22.100 --> 23:23.300]  what about this cool thing?
[23:23.300 --> 23:24.300]  What about this cool thing?
[23:24.300 --> 23:27.480]  And just trying to demonstrate through like this HTML
[23:27.480 --> 23:29.760]  and through like design and stuff like that,
[23:29.760 --> 23:31.680]  like what you could actually do,
[23:31.680 --> 23:33.700]  and also what the web could actually do,
[23:33.700 --> 23:36.760]  because like in 1996, 1997,
[23:36.760 --> 23:38.300]  like we didn't really know
[23:38.300 --> 23:40.880]  what the web was capable of completely.
[23:40.880 --> 23:42.700]  All right, when did Oscillate start?
[23:42.700 --> 23:44.240]  Everyone was trying to figure it out.
[23:44.240 --> 23:45.700]  When did Oscillate start?
[23:45.700 --> 23:48.400]  Like 90, I think early 96.
[23:49.680 --> 23:50.640]  That's so-
[23:50.640 --> 23:53.660]  And I'd had a couple of personal sites before that,
[23:53.660 --> 23:57.000]  but Oscillate I think started properly in early 96.
[23:57.000 --> 23:57.920]  Yeah, see that?
[23:59.840 --> 24:00.680]  That's what I mean though
[24:00.680 --> 24:02.520]  about you being meant to do this,
[24:02.520 --> 24:04.640]  because that's so early.
[24:04.640 --> 24:06.080]  I don't think you even realize
[24:06.080 --> 24:10.220]  what a sense for the web you have that was innate,
[24:10.220 --> 24:14.000]  because I didn't have a website anywhere close to then.
[24:14.000 --> 24:15.740]  I learned how to make websites,
[24:15.740 --> 24:18.280]  and then when I graduated college in 1996,
[24:18.280 --> 24:22.240]  was doing freelance so-and-so needs a website,
[24:22.240 --> 24:24.720]  and make a website for them,
[24:24.720 --> 24:29.720]  but wasn't self-publishing and wasn't thinking about that.
[24:30.260 --> 24:32.960]  I guess I was sort of thinking about it,
[24:32.960 --> 24:37.960]  but I was too obsessed with form,
[24:39.640 --> 24:42.360]  but not the form of an individual page,
[24:42.360 --> 24:45.960]  but the form of the publication,
[24:45.960 --> 24:49.520]  which to me is what that episodic nature of Oscillate
[24:49.520 --> 24:51.400]  was sort of, that was the form.
[24:51.400 --> 24:53.840]  It was just periodic episodes,
[24:53.840 --> 24:58.840]  and coming from my only true public publishing background
[25:01.080 --> 25:03.360]  was the student newspaper at Drexel,
[25:03.360 --> 25:04.740]  and it was a weekly,
[25:04.740 --> 25:09.740]  and I've always been a media junkie of all kinds.
[25:10.120 --> 25:11.360]  I know you are too,
[25:12.280 --> 25:16.560]  but that concept of issues was so deeply ingrained
[25:16.560 --> 25:20.360]  in my brain that it took me a long time.
[25:20.360 --> 25:21.840]  I couldn't get around it,
[25:21.840 --> 25:26.000]  because it didn't seem like issues were right for the web,
[25:26.000 --> 25:30.120]  but I couldn't figure out what was right for the web,
[25:30.120 --> 25:35.120]  and it paralyzed me from doing anything for years,
[25:36.280 --> 25:39.740]  and then when would you say blogs started?
[25:40.800 --> 25:44.400]  I know this is history I could theoretically look up, but.
[25:46.020 --> 25:49.100]  Yeah, I mean, I think Robot Wisdom,
[25:49.100 --> 25:54.100]  like he created a web blog in 1998, maybe 97,
[25:54.220 --> 25:56.600]  probably 97, I would say,
[25:56.600 --> 25:59.880]  but people had diary-ish sort of things,
[25:59.880 --> 26:03.040]  like online diaries going back to Justin Hall,
[26:03.040 --> 26:04.480]  Justin's Links from the Underground.
[26:04.480 --> 26:06.000]  He started that in 1994,
[26:06.000 --> 26:08.000]  and it was basically like a stream of consciousness,
[26:08.000 --> 26:12.720]  like diary of his life and what he was up to,
[26:12.720 --> 26:14.400]  and I think that people experimented
[26:14.400 --> 26:16.040]  with all sorts of different forms.
[26:16.040 --> 26:19.520]  There were definitely web publications that had issues,
[26:19.520 --> 26:23.680]  and I think that later it became like,
[26:23.680 --> 26:25.020]  we're not gonna worry about an issue.
[26:25.020 --> 26:29.240]  We're just gonna publish whatever we want as we go along,
[26:29.240 --> 26:32.360]  and then blogs came along and just supercharged that,
[26:32.360 --> 26:35.320]  and everybody was sort of off to the races.
[26:35.320 --> 26:36.640]  Does anything that you did,
[26:36.640 --> 26:39.440]  any of the episodes that oscillate stand out to you
[26:39.440 --> 26:40.380]  as like a favorite?
[26:42.040 --> 26:43.360]  Ooh, man.
[26:43.360 --> 26:45.120]  I mean, honestly, it's been a long time
[26:45.120 --> 26:46.340]  since I've even looked at,
[26:46.340 --> 26:49.120]  or I have all the files or whatever
[26:49.120 --> 26:50.400]  like sitting on my hard drive,
[26:50.400 --> 26:53.940]  and it's just been a long time since I've looked at those.
[26:53.940 --> 26:58.940]  I remember there was one where I wanted to do this.
[27:00.520 --> 27:02.760]  This was right in the age
[27:02.760 --> 27:05.160]  of sort of the early JavaScript experiments,
[27:05.160 --> 27:08.440]  and I had these conceptual ideas that I wanted to do.
[27:08.440 --> 27:10.520]  I was like, this should be possible,
[27:10.520 --> 27:13.560]  but I don't have quite the technical ability
[27:13.560 --> 27:15.580]  to figure out how to do it,
[27:15.580 --> 27:17.480]  and so I worked with a friend of mine.
[27:17.480 --> 27:21.480]  We constructed a page of frames.
[27:21.480 --> 27:22.300]  Remember frames?
[27:22.300 --> 27:23.140]  Oh, of course.
[27:24.040 --> 27:25.320]  I never actually used them.
[27:25.320 --> 27:26.960]  I never built a website with them
[27:26.960 --> 27:30.120]  because I hated them from the start, but I do.
[27:30.120 --> 27:31.880]  Yeah, no, I couldn't stand them.
[27:31.880 --> 27:32.720]  I couldn't stand them,
[27:32.720 --> 27:33.920]  but for this, it was like,
[27:33.920 --> 27:35.760]  I'm gonna make this thing out of frame,
[27:35.760 --> 27:37.480]  so it was out of frames
[27:37.480 --> 27:40.000]  where the scroll bars spelled out oscillate,
[27:40.000 --> 27:44.960]  and then the scroll bars moved randomly up and down,
[27:44.960 --> 27:46.180]  so the whole thing was kind of like
[27:46.180 --> 27:49.020]  this pulsing kind of scroll bar logo thing,
[27:49.020 --> 27:51.660]  and that was, yeah, that's one of my,
[27:51.660 --> 27:53.360]  yeah, I like that one a lot,
[27:53.360 --> 27:56.220]  because it was one of those things
[27:56.220 --> 27:57.900]  where it was like, I haven't seen this done,
[27:57.900 --> 28:00.420]  and people are gonna lose their shit a little bit
[28:00.420 --> 28:01.380]  when they see this.
[28:01.380 --> 28:02.540]  Right.
[28:02.540 --> 28:04.420]  It's a total abuse of the purpose,
[28:04.420 --> 28:05.960]  but it's extremely clever,
[28:05.960 --> 28:09.020]  and that's a perfect example for you to recall
[28:09.020 --> 28:10.460]  because that's the sort of thing
[28:10.460 --> 28:12.900]  that I'm calling a toy that was,
[28:12.900 --> 28:14.860]  that's what we did back then, right?
[28:14.860 --> 28:17.260]  And you would figure out something like this,
[28:17.260 --> 28:18.940]  and then if it was clever like that,
[28:18.940 --> 28:20.340]  I vaguely remember that.
[28:20.340 --> 28:22.080]  I don't know if that's a false memory or not,
[28:22.080 --> 28:24.100]  but I know I read oscillate,
[28:24.100 --> 28:26.980]  and I kind of think I remember it.
[28:26.980 --> 28:28.060]  I remember thinking, yeah,
[28:28.060 --> 28:30.460]  that's finally a good use of frames.
[28:33.660 --> 28:35.960]  Yeah, I mean, the whole atmosphere back then
[28:35.960 --> 28:39.940]  was like, it was so playful, it was so playful.
[28:39.940 --> 28:41.780]  Hold that thought, let's hold that thought.
[28:41.780 --> 28:43.940]  Let me take a break here and thank our first sponsor,
[28:43.940 --> 28:46.540]  is our very good friends who are in,
[28:46.540 --> 28:48.800]  I got an iPad in one hand reading this,
[28:48.800 --> 28:51.180]  and I've got some of their product in my right hand
[28:51.180 --> 28:55.120]  right now, it's our good friends at Trade Coffee.
[28:55.120 --> 28:57.540]  If you love drinking coffee every morning,
[28:57.540 --> 29:00.160]  and who doesn't, what kind of a sicko,
[29:00.160 --> 29:01.820]  you have to check out Trade Coffee.
[29:01.820 --> 29:04.080]  Trade makes it effortless to brew better coffee
[29:04.080 --> 29:05.080]  every time at home.
[29:05.080 --> 29:09.000]  Trade empowers coffee lovers to discover better coffee,
[29:09.000 --> 29:11.660]  because it's delivered fresh to your door.
[29:11.660 --> 29:14.280]  Trade is not a roaster themselves.
[29:14.280 --> 29:16.380]  It's not like Trade is a coffee company,
[29:16.380 --> 29:19.660]  and you get bags of coffee that say Trade Coffee on it.
[29:19.660 --> 29:21.700]  Trade is a coffee subscription service,
[29:21.700 --> 29:25.440]  and they connect to the nation's top-rated,
[29:25.440 --> 29:28.740]  independent roasters all across the country.
[29:28.740 --> 29:30.860]  I mean, dozens and dozens and dozens.
[29:30.860 --> 29:33.080]  I've been subscribed to them for, I think,
[29:33.080 --> 29:34.960]  almost a year now at this point,
[29:34.960 --> 29:37.020]  and I don't know if I've gotten coffee
[29:37.020 --> 29:39.020]  from the same roaster twice.
