[00:00.000 --> 00:02.320]  How's your week? Oh my god
[1:41:38.580 --> 1:41:44.660]  But part of it's also because geek culture now is pop culture, and that was a very strange thing to realize
[1:41:45.220 --> 1:41:52.180]  Right, yeah, like the thing the other day where that turned out that it turns out the next door is a woman and
[1:41:52.740 --> 1:41:55.380]  It was like I couldn't like it was on every site
[1:41:55.380 --> 1:42:00.420]  It didn't matter whether it was a geek site or like a mainstream site. It was covered with equal
[1:42:01.300 --> 1:42:03.300]  you know
[1:42:03.300 --> 1:42:05.300]  Excitement and you know
[1:42:06.340 --> 1:42:09.300]  It was a perfect example to me because I remember growing up
[1:42:10.260 --> 1:42:16.100]  What happened comic books would be like something like only the other kids in fifth grade were talking about
[1:42:16.580 --> 1:42:21.620]  You couldn't turn on TV and find out about the new spider-man outfit, you know, I mean
[1:42:21.620 --> 1:42:25.460]  Yeah, well cuz they weren't making movies that made billions of dollars with
[1:42:26.100 --> 1:42:33.780]  Right, but it's just funny how it's crossed over and but that's the thing though is that it's I think it's highly doubtful that
[1:42:34.260 --> 1:42:40.020]  The you know all sorts of stuff that happens in the comic books doesn't necessarily mean it's gonna happen in the movies
[1:42:40.420 --> 1:42:47.060]  You know, so it's it's only in the comic books where there's gonna be a where Thor is now a woman
[1:42:47.060 --> 1:42:51.540]  I mean, I guess it could eventually be turned into a movie. I don't know
[1:42:51.540 --> 1:42:59.620]  But I love that you've had me on here to talk about IBM TV and comics comics. I'm like so incredibly
[1:43:00.820 --> 1:43:02.820]  I don't read comic
[1:43:02.820 --> 1:43:07.460]  Babies I just think it's inner. I just think it's an interesting example of what you were talking about
[1:43:08.100 --> 1:43:10.900]  Yeah, I think I think it's more like, you know, it's
[1:43:12.180 --> 1:43:16.420]  A lot of people know, you know a one or two nerds who or maybe you are one of these nerds
[1:43:16.420 --> 1:43:18.420]  who
[1:43:18.420 --> 1:43:21.300]  You were a nerd socially growing up. It did not serve you well
[1:43:22.020 --> 1:43:25.860]  And then you got a job that paid you good money and then all of a sudden people are interested in you
[1:43:26.580 --> 1:43:28.820]  I feel like that has happened to the entire
[1:43:29.620 --> 1:43:33.780]  Nerd industry like the whole nerd and all the geeky category of things like
[1:43:34.500 --> 1:43:36.260]  Now geeks are big business, you know
[1:43:36.260 --> 1:43:38.260]  We we control all the internet stuff
[1:43:38.420 --> 1:43:42.660]  Our comic books and all that crap are now like billion dollar movie franchises and stuff like that
[1:43:42.660 --> 1:43:46.900]  Like I feel like the rest of the world now cares about us because we have all the money
[1:43:48.100 --> 1:43:53.460]  I guess to a certain degree that describes me, but I think I was always a little bit a little bit outside that a
[1:43:54.020 --> 1:43:56.020]  little bit harder to
[1:43:56.900 --> 1:44:00.580]  Pin down in that sort of, you know, like my high school years were not unhappy
[1:44:00.820 --> 1:44:05.300]  I wasn't I wouldn't I would say anything that made me really unhappy as I just wanted to already live on my own
[1:44:05.460 --> 1:44:08.340]  Not that I don't love my person. They're not great, but I felt like I was
[1:44:08.340 --> 1:44:13.700]  I was I felt clearly able to make my own decisions about when to go to bed, you know
[1:44:14.660 --> 1:44:16.660]  Like when I was around 11
[1:44:18.180 --> 1:44:24.660]  You have now reached the conclusion of side one of your official National Lampoon stereo test and demonstration record
[1:44:25.140 --> 1:44:28.420]  And what better time for our special end of the record test
[1:44:29.060 --> 1:44:35.220]  First of all, this is a test of your equipment no matter what brand or type of record player you have
[1:44:35.220 --> 1:44:42.340]  The tone arm should now be close to the center of the record and almost at the shiny area just before the label
[1:44:42.980 --> 1:44:46.420]  If you own an automatic turntable in a few seconds
[1:44:46.420 --> 1:44:53.780]  The arm should raise itself as if by magic and then return to its rest near the outside of the unit
[1:44:54.500 --> 1:44:58.980]  If you do not have an automatic turntable, this should not happen
[1:44:59.540 --> 1:45:02.220]  The second part of this test involves you
[1:45:02.220 --> 1:45:08.700]  If you have been correctly installed as part of your stereo system, you will now lift the record up
[1:45:09.500 --> 1:45:14.300]  Turn it over and replace it on the turntable with side two on the top
[1:45:15.020 --> 1:45:18.220]  You will then proceed to listen to all of side two
[1:45:19.340 --> 1:45:21.340]  If you do not do this
[1:45:21.340 --> 1:45:34.060]  You have failed the test and you have the worst high-fi system in the world no matter how much money you spent
