[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[01:40:57.320 --> 01:41:01.000]  Roof leaks water gets all over your computer shorts it out or something like that
[01:41:02.520 --> 01:41:09.240]  Something terrible you need to restore everything you can get them to to put everything you have on a hard drive
[01:41:09.800 --> 01:41:11.800]  And have it overnighted to you by fedex
[01:41:11.800 --> 01:41:17.720]  And if you want when they do that, uh, you can restore it put it on your own hard drive
[01:41:17.720 --> 01:41:22.440]  And then you can send that hard drive, you know, erase it send it back to back place
[01:41:22.680 --> 01:41:24.680]  Uh, and they'll give you your money back for the drive
[01:41:24.920 --> 01:41:30.760]  You'll just pay for the shipping or whatever. It's it's a great service if you need a full restoration if you just need one file
[01:41:31.080 --> 01:41:36.920]  They've restored over 10 billion files for their customers. No gimmicks. No additional charges. Here's what it costs five
[01:41:36.920 --> 01:41:43.480]  Dollars a month per computer for unlimited on throttle or off-site backup. Here's why I am so happy
[01:41:44.360 --> 01:41:48.380]  To do that do this read this show go home for the holidays
[01:41:49.080 --> 01:41:50.120]  and
[01:41:50.120 --> 01:41:55.880]  Give your parents give them a real present. Give them a present. Give them give your dad a the shaving kit from harris or whatever
[01:41:56.120 --> 01:41:59.320]  But while you're there at their house just sign them up for back place
[01:41:59.320 --> 01:42:03.480]  Don't give it to them as a gift because back up it doesn't sound like a good gift. Just do it
[01:42:03.480 --> 01:42:08.200]  Though just go to your parents house or wherever else you go. Anybody else who's in your extended family when you're home
[01:42:08.440 --> 01:42:11.960]  For the holidays sign them up for back place put it on your own credit card
[01:42:12.360 --> 01:42:16.280]  And just know that you're done them a great favor for just five bucks a month
[01:42:16.920 --> 01:42:20.760]  Yeah, what a great thing to do for your parents that that and it'll be peace of mind for you
[01:42:20.920 --> 01:42:27.560]  That five bucks is cheap as soon as you lose your data and everybody as soon as your mom your mom calls you up
[01:42:27.880 --> 01:42:29.880]  in the middle of july
[01:42:29.880 --> 01:42:36.200]  Your mom calls you up in the middle of july right and says this says there's a kernel panic
[01:42:36.600 --> 01:42:39.480]  And whatever and the thing doesn't start up or whatever
[01:42:40.360 --> 01:42:44.280]  You just you just think you know what how great is this? I know that I you know
[01:42:45.000 --> 01:42:48.520]  All of her stuff all your mom's stuff. Your dad's stuff is backed up. Just do it for him
[01:42:48.520 --> 01:42:50.360]  What a great feeling it would be
[01:42:50.360 --> 01:42:53.980]  It if you did that so go do that over the holidays when you see him go to backblaze.com
[01:42:54.840 --> 01:42:56.840]  Staring fireball to find out more
[01:42:56.840 --> 01:43:00.840]  Uh, and you'll support the show. All right craig. Here we go
[01:43:05.000 --> 01:43:07.000]  Making sense of color management
[01:43:07.400 --> 01:43:12.040]  Yeah, it's an eight dollar book from a book apart. How long did it take you to write like it?
[01:43:13.000 --> 01:43:15.160]  Two years. I started in november
[01:43:16.020 --> 01:43:18.840]  2014 and you know you blame me for
[01:43:20.040 --> 01:43:24.520]  The uh non-responsive during fireball. I blame the safari engineers for
[01:43:24.520 --> 01:43:27.640]  for this whole thing happening, um, they
[01:43:29.000 --> 01:43:32.760]  it was mountain line was the release at the time and
[01:43:33.880 --> 01:43:38.120]  All of a sudden the colors in safari were subtly different than the ones in chrome
[01:43:38.280 --> 01:43:41.000]  I was like what the heck is going on here and you know
[01:43:41.160 --> 01:43:46.520]  We have that product x scope which has you know lets you do all sorts of screen measurements and stuff
[01:43:48.280 --> 01:43:53.560]  A lot of designers a lot of developers use it to to has a loop x scope has a yeah
[01:43:53.560 --> 01:43:57.320]  Scope has a x scope has an on-screen loop that you can it's a little window
[01:43:57.400 --> 01:44:01.880]  You can drag over another window and then you can have it zoom in on that window and show you what's underneath
[01:44:04.120 --> 01:44:08.060]  And it could be like at the time I think what you're saying is you could drag it over safari
[01:44:08.680 --> 01:44:13.240]  And it you'd see this one color in safari and then you'd look at it in x scope and it would be like a slightly
[01:44:13.240 --> 01:44:16.760]  Color shifted. Yeah, you know and and and you expect it to be you know
[01:44:17.640 --> 01:44:18.600]  hash
[01:44:18.600 --> 01:44:25.560]  You know c zero zero and it's like hash c three six. I'm like what the heck is going on here?
[01:44:25.640 --> 01:44:30.040]  And it turns out that they had implemented color management for their css colors
[01:44:30.840 --> 01:44:31.880]  and
[01:44:31.880 --> 01:44:33.880]  That was like, oh, okay
[01:44:34.440 --> 01:44:36.440]  I've got to fix this bug
[01:44:36.920 --> 01:44:41.000]  and that was the start of my learning about color management and
[01:44:41.800 --> 01:44:46.520]  As I learned about it. It was like I should write this down, you know, maybe make a good blog post and
[01:44:46.520 --> 01:44:51.640]  And it's one of those topics that the more you learn about it the more you know
[01:44:52.280 --> 01:44:53.800]  what you don't know
[01:44:53.800 --> 01:44:55.080]  and
[01:44:55.080 --> 01:45:00.920]  There got to be like 10 000 words in my blog post. I was like, this is not a blog post anymore. So
[01:45:01.640 --> 01:45:07.800]  I got in contact with uh, jeffrey zeldman and some other people at a book apart and they're like, yeah
[01:45:07.960 --> 01:45:09.960]  We'd love to publish this
[01:45:10.840 --> 01:45:15.240]  And it's only what is it about 75 pages? Yeah, I mean that was the hard part, right?
[01:45:15.240 --> 01:45:19.880]  He's taking this really complex topic and distilling it and I mean I
[01:45:20.840 --> 01:45:26.040]  My editor at a book apart was tina lee. It's just awesome because you know, she would challenge me
[01:45:26.040 --> 01:45:29.320]  It's like, you know, this is too long, right? I don't understand what you're saying here
[01:45:30.200 --> 01:45:32.200]  And I really had to you know
[01:45:32.600 --> 01:45:34.600]  I've probably wrote the book
[01:45:34.600 --> 01:45:36.840]  In its entirety three different times
[01:45:37.560 --> 01:45:40.360]  Um, I in fact we were pretty close to being done
[01:45:40.360 --> 01:45:47.000]  And apple announced color management in ios 10. I was like, uh, oh wait, we're not done
[01:45:47.960 --> 01:45:50.600]  So, you know basically two chapters, you know the chapters on
[01:45:51.800 --> 01:45:58.600]  web browsers because safari on ios changed significantly in that release and the chapter on
[01:45:59.720 --> 01:46:01.400]  mobile apps
[01:46:01.400 --> 01:46:07.640]  It was completely rewritten and sample code and all the stuff that goes along with it was like, oh, okay
[01:46:07.640 --> 01:46:10.120]  But I think it came out really well on the end
[01:46:10.760 --> 01:46:14.280]  It affects anybody who makes anything for the screen honestly
[01:46:14.280 --> 01:46:19.720]  I mean this and so i'm not just trying to sell copies of the book but whether you're a designer a graphic designer who makes assets
[01:46:20.120 --> 01:46:25.320]  For you know graphical assets for apps and websites or if you're a front-end developer on the web
[01:46:25.800 --> 01:46:30.440]  Who's making stuff for for, you know, html css, you know web development
[01:46:31.240 --> 01:46:34.280]  Or if you are an app developer
[01:46:34.280 --> 01:46:37.320]  For native apps for mac or ios
[01:46:38.760 --> 01:46:44.680]  This book is for you and and not in no way and one of the things one of the things that I love about the
[01:46:44.680 --> 01:46:47.800]  Book is at no point to me. Does it is it?
[01:46:48.600 --> 01:46:54.280]  Is it all that clear who the main audience is for it's balanced. It's not like oh, it's a book for
[01:46:54.980 --> 01:46:58.680]  Programmers, but if you're a designer you can still get something out of it or the other way
[01:46:58.680 --> 01:47:02.680]  It's it's a book for designers, but you should read it if you're not a designer
[01:47:02.680 --> 01:47:06.680]  But you should read it if you're a programmer because you need to understand this stuff
[01:47:07.320 --> 01:47:11.880]  Yeah, it's we perfectly balanced from all those perspectives. I'll tell you a little story
[01:47:11.960 --> 01:47:13.960]  We struggled with the title because you know
[01:47:14.360 --> 01:47:19.720]  initially, we're going to call color management for developers and then it was like no because it's for designers too and then it's like
[01:47:21.080 --> 01:47:24.600]  working with color is kind of like too vague and
[01:47:26.040 --> 01:47:32.120]  Jason santa maria came up with making sense of color management. It was like just clicked right because it's like that's what it's all about
[01:47:32.120 --> 01:47:36.200]  right, we're trying to take this black dark art that
[01:47:37.000 --> 01:47:39.000]  that everybody's kind of
[01:47:40.040 --> 01:47:46.920]  Fiddled with some knobs and kind of maybe got something working but doesn't really understand what's going on. It's and you know that
[01:47:47.640 --> 01:47:49.640]  you know when you read the book you realize that the
[01:47:50.520 --> 01:47:58.040]  Making sense also applies to our visual sense, right? There's a lot of but the fact the core of color management is really
[01:47:58.040 --> 01:48:01.720]  a mathematical modeling of how our eye works
[01:48:02.680 --> 01:48:09.080]  Which to me is which is explained really well in the book. Yeah. Yeah, really? Well, that was that was my aha moment
[01:48:09.080 --> 01:48:10.520]  It's like oh wait
[01:48:10.520 --> 01:48:16.680]  we've got all these devices that have different color profiles different way of characterizing color and they all kind of
[01:48:17.320 --> 01:48:18.920]  They're a little different
[01:48:18.920 --> 01:48:21.640]  But then we got this thing called an eye which
[01:48:21.640 --> 01:48:27.960]  Doesn't change it does it, you know, yes, it's changed over, you know millions of years due to evolution, but
[01:48:28.760 --> 01:48:33.480]  You know and it at its core. I mean that is the thing that says it doesn't change
[01:48:33.480 --> 01:48:37.480]  so it's a you know color management all revolves around that sense of
[01:48:38.200 --> 01:48:43.880]  Vision so and in terms of being well timed in terms of where we are as an industry
[01:48:43.880 --> 01:48:46.840]  You're right web browsers safari leading the way. Yeah
[01:48:46.840 --> 01:48:50.440]  The reason they did that it's clear now, right? It's like they need a color management
[01:48:51.080 --> 01:48:55.960]  Because they knew that they were coming out with these new displays which have a wider camera
[01:48:55.960 --> 01:49:03.480]  That's the other the other shoe that's dropping is the display technology. It's starting with the iMac 5k last year
[01:49:03.480 --> 01:49:10.120]  Yep, which was their first product with the what do they call it a deep color gamut? It's a wide wide color
[01:49:10.120 --> 01:49:14.120]  Yeah, it did right if this gets into the argument that you've had with our customers
[01:49:14.120 --> 01:49:19.800]  It did right this gets into the argument that you've had with our mutual friend gus. Mueller who technically
[01:49:20.520 --> 01:49:22.520]  edited your book gus prefers
[01:49:23.080 --> 01:49:25.080]  Deep color. Yeah, it it it
[01:49:26.040 --> 01:49:32.440]  He's right tech. It's technically it's deeper. You've got, you know, 16 pics or 16 bits instead of eight
[01:49:32.840 --> 01:49:35.560]  so yes, it's a it's a deeper pixel, but
[01:49:37.480 --> 01:49:41.800]  That only talks about the pixel and I think the reason why apple has started calling it wide colors
[01:49:41.800 --> 01:49:45.560]  Not only talking about the actual pixels, but it's also talking about the gamut
[01:49:45.640 --> 01:49:49.320]  which is the thing that that, you know, these displays can display more color and
[01:49:50.040 --> 01:49:55.320]  Yeah, it's it's not like something. It's not like retina right retina. You looked at the display and it was immediately obvious
[01:49:56.440 --> 01:50:00.600]  The the thing that i'm hearing in fact, my wife got one of these new, uh 4k
[01:50:01.240 --> 01:50:03.240]  lg displays for her new uh
[01:50:05.080 --> 01:50:06.280]  MacBook
[01:50:06.280 --> 01:50:07.800]  pro and
[01:50:07.800 --> 01:50:09.080]  it was like
[01:50:09.080 --> 01:50:12.040]  The first thing she said to me was like wow, this display looks great
[01:50:13.160 --> 01:50:14.280]  right
[01:50:14.280 --> 01:50:20.440]  Horace Horace did who said the same thing about the the uh, the ipad pro the 9.7 inch ipad pro the first
[01:50:21.240 --> 01:50:23.240]  ios device that had a uh
[01:50:23.800 --> 01:50:29.320]  Wide colors, please. There's something striking about display. I don't know what it is, but it's just it looks great
[01:50:30.040 --> 01:50:33.720]  it's and the the way that I explain it to people it's like the
[01:50:34.280 --> 01:50:36.440]  You know if you'd only ever had a bass speaker
[01:50:36.440 --> 01:50:40.520]  Right, you know, you've always ever listened to music on you know, a bass speaker
[01:50:41.800 --> 01:50:43.800]  And then somebody gave you a tweeter
[01:50:43.960 --> 01:50:48.600]  You would be like wow, this sounds a lot better. You know, you basically you're getting more detail
[01:50:49.240 --> 01:50:54.920]  Right, you you you you become accustomed to something and that's what retina was retina gave us more pixels
[01:50:55.480 --> 01:51:00.360]  people picked up it on it immediately, but then you start talking about a
[01:51:00.360 --> 01:51:05.880]  A wider range of tonal values and it's a lot harder to express that, you know
[01:51:05.880 --> 01:51:10.680]  It's like, you know, you give me more dynamic range in your music and it's like it sounds better
[01:51:10.680 --> 01:51:12.680]  But you don't really know why
[01:51:13.160 --> 01:51:17.000]  Yeah, and I don't think it's any I don't think there's any trick to which which came first
[01:51:17.720 --> 01:51:21.640]  Retina resolution is far more important. I would you know, I think everybody would agree
[01:51:21.640 --> 01:51:26.440]  I'd rather have a retina resolution without the deep gamut than to have a deep gamut display
[01:51:26.440 --> 01:51:31.640]  But the old pre-retina resolution, it's not right, right, but it's more important. It's more noticeable
[01:51:31.640 --> 01:51:35.720]  But the next step is clearly increasing the number of colors
[01:51:35.720 --> 01:51:41.320]  That's why I think apple goes with wide because I think they're describing it from the user's perspective. Yeah, absolutely. Yeah
[01:51:41.320 --> 01:51:49.160]  yeah, it gives you a wider vision of of of your of your life and you know, the fact that the
[01:51:49.160 --> 01:51:56.280]  And you know the fact that the uh, the iphone cameras now are shooting and display p3, you know
[01:51:56.280 --> 01:51:58.280]  There's going to be a lot more
[01:51:58.760 --> 01:52:01.720]  Of these wide gamut images floating around. Um
[01:52:03.000 --> 01:52:09.000]  You know the internet right? Well, there already are right every photo that's taken with an iphone 7 already. It's exactly
[01:52:09.160 --> 01:52:12.040]  yeah, and and and you know, we actually uh,
[01:52:13.400 --> 01:52:14.680]  um
[01:52:14.680 --> 01:52:22.680]  the the guys at instagram, um, mike krieger and then the the crew there I gave an early version of the book because I knew
[01:52:23.720 --> 01:52:25.720]  You know, they're going to have this problem
[01:52:26.680 --> 01:52:28.680]  You know the you know, you kind of
[01:52:29.400 --> 01:52:35.640]  Apple loves to have apps on stage when they announce something new. It's pretty obvious to me that the display p3
[01:52:35.960 --> 01:52:39.160]  screens and cameras were coming to the next iphone
[01:52:39.160 --> 01:52:45.400]  Connect the dots. Okay, and i'll give them a copy of the book and it really helped them right when the ipad pro got it
[01:52:45.960 --> 01:52:50.920]  Yeah, when the ipad pro got the wide color gamut with the in the 9.7 form factor in march
[01:52:51.160 --> 01:52:56.680]  I thought it was a sure thing that the iphone would get it me too and it and and that explained, you know
[01:52:57.640 --> 01:53:04.040]  Again back to you know mountain lion the guys in safari changing the way things work subtly it all
[01:53:04.040 --> 01:53:10.600]  Kind of fell into place that okay. This is not just a mac thing. This is an ios thing
[01:53:10.920 --> 01:53:14.280]  This is you know, it turns out that the touch bar
[01:53:15.160 --> 01:53:18.520]  On the new macbook pros is a display p3
[01:53:19.240 --> 01:53:20.280]  gamut
[01:53:20.280 --> 01:53:23.340]  And on an old yeah on on an oled
[01:53:24.040 --> 01:53:31.000]  Yeah, so it's gonna be everywhere and and and I did not know that that's great and as developers who are just thinking that
[01:53:31.000 --> 01:53:37.560]  Who are just thinking that that that a pixel is, you know, eight bits of red eight bits of green eight bits of blue
[01:53:38.200 --> 01:53:40.200]  You're in for some surprises
[01:53:40.200 --> 01:53:42.200]  when that's no longer
[01:53:42.680 --> 01:53:46.120]  just eight bits number one and number two, it's
[01:53:46.900 --> 01:53:49.080]  characterized by an icc
[01:53:49.640 --> 01:53:51.320]  color profile
[01:53:51.320 --> 01:53:52.760]  Right a year
[01:53:52.760 --> 01:53:54.680]  that's and that's the the thing that I
[01:53:57.560 --> 01:53:59.560]  I'm describing in the book
[01:53:59.560 --> 01:54:04.040]  Yeah, and the challenge for people working today it it'll
[01:54:04.840 --> 01:54:09.320]  I'm, not going to say it'll be easier but in a way it would be like let's fast forward 10 years
[01:54:09.720 --> 01:54:12.120]  And I think we can probably guess that
[01:54:12.680 --> 01:54:18.120]  10 years from now almost all commonly used devices will have the wide color displays
[01:54:18.840 --> 01:54:20.840]  Oh, and yeah, absolutely
[01:54:21.240 --> 01:54:22.360]  You know
[01:54:22.360 --> 01:54:25.480]  It's a competitive advantage for apple right now, right? Right?
[01:54:25.480 --> 01:54:30.600]  They yes, they are they're ahead of the game, right? Like they were the head of the game with retina, right?
[01:54:30.600 --> 01:54:33.160]  They're ahead of the game and a lot of technologies
[01:54:33.960 --> 01:54:36.680]  This looks better. Is it is a compelling?
[01:54:37.780 --> 01:54:45.480]  Competitive advantage in almost every single field. There's almost no market where this looks better than the competition is not
[01:54:46.040 --> 01:54:48.360]  Even seriously, i'm not even being a jerk
[01:54:48.360 --> 01:54:53.880]  But even like if you're selling produce if you have fresh fruit that looks better than the store across the street
[01:54:53.880 --> 01:54:56.920]  It's better. It's a competitive advantage. Yeah
[01:54:57.560 --> 01:55:02.280]  That's one of the things. Yeah. Yeah, that's one of the things that pissed me off about the the google pixel
[01:55:03.060 --> 01:55:05.000]  Comparisons with the iphone
[01:55:05.000 --> 01:55:08.280]  All the comparisons I looked at were in the srgb color space
[01:55:08.760 --> 01:55:11.720]  they had to actually take the photo that came off of the iphone and
[01:55:12.580 --> 01:55:15.240]  Crappify it to compare it on their
[01:55:16.280 --> 01:55:17.480]  You know their web page, right?
[01:55:17.480 --> 01:55:20.700]  They they we talked about this and there were some of these some of these competitions
[01:55:20.700 --> 01:55:24.860]  And or you know, like hey, let's compare the google pixel to the iphone 7 in photos
[01:55:25.340 --> 01:55:28.060]  it looks like whatever they did to
[01:55:28.620 --> 01:55:33.260]  Reduce the color gamut and some of the cases it it really washed them out
[01:55:33.420 --> 01:55:35.340]  I mean because it's there's different ways to do it
[01:55:35.340 --> 01:55:40.060]  there is no easy way to just say take this image that was shot with the wide color gamut and just
[01:55:41.260 --> 01:55:43.260]  do the one true way to show it on a
[01:55:43.740 --> 01:55:49.100]  On a right pre, you know display or it seemed like some of them converted it in a way that really washed it out
[01:55:49.100 --> 01:55:51.500]  Yeah, or you can if you then
[01:55:52.460 --> 01:55:57.900]  Decided okay. I'm going to just ignore the color profile. You've got a different problem, right? You've got color shifting
[01:55:58.140 --> 01:56:00.300]  So it's either going to wash out or it's going to shift
[01:56:00.860 --> 01:56:02.220]  so
[01:56:02.220 --> 01:56:04.220]  you really
[01:56:04.220 --> 01:56:08.940]  And and that's why web developers need to start understanding this stuff, right if you're going to present this good
[01:56:09.740 --> 01:56:16.220]  High quality photography on your web page or in your mobile app or wherever you need to understand what you're dealing with
[01:56:16.620 --> 01:56:18.620]  and well here this
[01:56:18.620 --> 01:56:21.820]  That this is why I love the book. I love the book and I I
[01:56:22.060 --> 01:56:24.780]  You were kind enough to ask me to write the foreword for it
[01:56:24.940 --> 01:56:29.020]  Uh, and I did and I hope it turned out. All right, but no, I just want to write it forward
[01:56:29.100 --> 01:56:33.340]  I'm, very happy you did that as it made me the nut forward the nut of it is that
[01:56:33.660 --> 01:56:39.980]  What makes the book great is that you don't just say here's what to do to make your stuff look right you explain why?
[01:56:40.780 --> 01:56:42.780]  Right if you do this
[01:56:42.940 --> 01:56:45.820]  This is why it will look right on
[01:56:45.820 --> 01:56:52.620]  All of the displays you're targeting whereby right is the best it could possibly look according to your intentions as the designer
[01:56:52.780 --> 01:56:55.100]  Or the photographer or whatever it is that you're displaying
[01:56:55.820 --> 01:57:00.220]  Here's why here's what to do and why and understanding it?
[01:57:00.700 --> 01:57:05.260]  Makes it so much easier to remember it and it's also more satisfying because that's to me
[01:57:05.900 --> 01:57:09.420]  at the voodoo of before and and like the eye-opener for me was that
[01:57:10.380 --> 01:57:14.220]  For me the something that was completely opposite of what I expected is that sometimes in some cases
[01:57:14.220 --> 01:57:19.020]  You're actually better off you the right thing to do is not to embed a color profile, right?
[01:57:19.900 --> 01:57:26.700]  Right, right. Right. I've always done that and then did things don't look right my my daring fireball, you know, five eight two five eight
[01:57:28.220 --> 01:57:30.380]  Doesn't quite look right. It's like all of a sudden the background
[01:57:31.260 --> 01:57:38.060]  Why and then I start flipping switches and then all of a sudden i've got a exported ping that looks right here and there. Okay
[01:57:38.060 --> 01:57:45.580]  It's i'm happy because now i've got this asset that looks to my eyes right on both chrome and safari but because I don't know why
[01:57:46.300 --> 01:57:50.700]  It's like I lose a little sleep at night. Yeah, right and then you go look at it on an ipad
[01:57:51.260 --> 01:57:56.860]  Or an android device and it's wrong. It's like that. That's yeah, that's the classic one is like, oh
[01:58:00.460 --> 01:58:05.500]  So the other thing that I that I really love about this book and I think it really shows and now you even spoke about
[01:58:05.500 --> 01:58:08.940]  working with your editor is that it
[01:58:09.980 --> 01:58:15.340]  It clearly a lot of work went into what's there but then a lot of work went into taking out what's not there
[01:58:15.340 --> 01:58:19.500]  And there was an old adage in the print days and I know a lot of people buy their books now as ebooks
[01:58:19.500 --> 01:58:21.980]  And and for computer books in particular, that's true
[01:58:23.180 --> 01:58:26.380]  But in the print days there was a a real problem
[01:58:27.020 --> 01:58:31.740]  And people who are at least in tech books, which was that uh, and this is true
[01:58:31.740 --> 01:58:38.300]  I mean i've spoken to uh, I I one time I met tim o'reilly and even spoke to him about it
[01:58:38.300 --> 01:58:45.920]  But that they knew based on on on sales that based on topics what people would do is they'd go into the bookstore
[01:58:46.300 --> 01:58:48.300]  And they they knew they wanted to get a book on
[01:58:48.680 --> 01:58:53.500]  Sql and they did there's 12 of them so they would just buy the thickest one because they would think well
[01:58:53.740 --> 01:58:57.100]  They're all forty dollars. I'll just get this one that's thicker and figure it's got more
[01:58:57.100 --> 01:59:02.940]  Got it. There's a real correlation. I hated those books that had you know, just reams and reams of source code in the book
[01:59:03.180 --> 01:59:08.380]  It's like oh, and you know, they were doing it just to pad it out. Just there was there was it to be heavier
[01:59:09.580 --> 01:59:14.700]  a really strong provable correlation between best-selling books by topic and
[01:59:15.260 --> 01:59:18.620]  topics by length the the longer thicker books by
[01:59:19.180 --> 01:59:23.260]  Topic were tended to be the best sellers and that didn't make them the best books
[01:59:23.260 --> 01:59:29.340]  Sometimes the best book is is shorter. Sometimes they're you know, there are some great books some great technical books that are really thick
[01:59:29.340 --> 01:59:33.100]  You know the the programming pearl is one that I go to all the time. Yeah
[01:59:33.660 --> 01:59:39.180]  Larry wall and and donald newt right, you know, there's the art of computer programming that that can't be a short book
[01:59:40.140 --> 01:59:41.900]  Well, it takes up it takes up a whole shelf
[01:59:42.540 --> 01:59:46.540]  Right, that's great. But there are other books that really should be you know
[01:59:46.940 --> 01:59:50.380]  The fact that this is 70 pages is because there's or 75 whatever it is
[01:59:50.380 --> 01:59:56.060]  It's there's 75 pages to say about it. And that's the 75 pages that are in the book and it really shows
[01:59:56.220 --> 02:00:00.060]  It's like building a products. What a deal. It's like building a product right you
[02:00:00.860 --> 02:00:04.460]  The parts you take away are the hardest and most important
[02:00:05.660 --> 02:00:09.340]  Craig you should be really proud of this book anybody out there listening if you
[02:00:09.980 --> 02:00:16.940]  Have any sort of job that entails putting pixels onto screens and you want them to look right? I highly recommend this book
[02:00:16.940 --> 02:00:21.740]  I really do mean it. I mean it from the bottom of my heart. I don't know that I've ever even written a forward to a book before
[02:00:21.740 --> 02:00:27.900]  Yeah, but I did it not because you're my pal, but because the book is good. I don't frankly I don't really like you that much
[02:00:27.900 --> 02:00:29.900]  Yeah
[02:00:29.900 --> 02:00:32.380]  I buy you drinks every once in a while. So, you know, that's
[02:00:34.380 --> 02:00:37.260]  There's that a book apart products, you know
[02:00:39.500 --> 02:00:45.100]  You know, don't just check out my book the whole book apart family that's true great
[02:00:45.100 --> 02:00:47.180]  That's true great. It's actually very I mean
[02:00:47.900 --> 02:00:51.580]  They've got a they've got that notion of shorter is better
[02:00:52.140 --> 02:00:57.580]  And you know if you're looking about anything about responsive web design, for example, hint hint
[02:00:58.380 --> 02:01:00.380]  You know, they've got an awesome book on it
[02:01:01.020 --> 02:01:06.540]  You know and as somebody who is personally, uh, who does judge books by covers?
[02:01:06.940 --> 02:01:11.900]  I I judge them by the contents too. But the whole thing you can't judge a book by the cover. It's a bunch of bullshit
[02:01:11.900 --> 02:01:16.620]  Yeah, in my opinion the better books tend to look better. Their books are gorgeous. Thanks to uh,
[02:01:17.260 --> 02:01:21.660]  Jason santa maria, you know, I know he's the the head designer there, but uh boys
[02:01:21.740 --> 02:01:25.820]  He's good with typography and their books also are first class print books
[02:01:25.820 --> 02:01:31.420]  I know your book is an e-book only but the the they're they're a publisher that treats their ebooks every bit
[02:01:31.740 --> 02:01:37.980]  As lovingly in every regard as they do their their print books. Yeah, it's it's it's
[02:01:37.980 --> 02:01:41.500]  You know when jason showed me that the first comp for the book
[02:01:42.140 --> 02:01:46.460]  I was like that this is this is this is a real thing now and
[02:01:46.860 --> 02:01:51.980]  Yeah, got me really excited just just by looking at that cover. Right? It was just was it hard
[02:01:51.980 --> 02:01:55.180]  Here's my technical question. Was it hard? Oh the cover is gorgeous. Uh,
[02:01:56.700 --> 02:02:00.700]  Especially the bottom left corner where it says forward by john gruber. I love that
[02:02:01.340 --> 02:02:07.100]  Well, anyway, thank you very much for your time for being on the show. Thank you even more for reading
[02:02:07.100 --> 02:02:13.020]  More for writing this excellent book. Everybody should go get a copy. It is absolutely terrific
[02:02:13.580 --> 02:02:15.580]  Uh, I want to thank our sponsors
[02:02:15.740 --> 02:02:17.740]  Harry's get get a shaving kit
[02:02:18.140 --> 02:02:24.620]  Squarespace build your own website back blaze back up your computer and back up back up your family members to get it for them
[02:02:24.620 --> 02:02:36.620]  Thank you, craig
