[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[30:34.000 --> 30:48.000]  Get yours today, a hundred nights in your own home. Uh, they have a dog mattress even that's a new product and that's the one that you don't get 50 bucks on cause it's a lower price. But if you have a, if you have a dog, get them a good mattress, go check it out.
[30:48.000 --> 31:02.000]  I've had readers tell me, this is the thing. When I first did this read, I didn't know that the, that the discount didn't apply to the dog one. So I had a couple of readers who said, Hey, I bought my dog the mattress, but I didn't get 50 bucks off, but I don't care because my dog loves the mattress.
[31:02.000 --> 31:15.000]  So that's, that's the exception. Go to casper.com slash the talk show and remember that code, the talk show to say 50 bucks on any, uh, human size mattress.
[31:15.000 --> 31:19.000]  Maybe that would get my dog off my couch.
[31:19.000 --> 31:27.000]  I love doing sponsor reads. I've gone from having it be the part of this job that I hate to a part that I love.
[31:27.000 --> 31:43.000]  I think that makes the, uh, not to get podcasty, uh, inside baseball, but I think that's make makes the reads better once when you can't, I, there are a couple of podcasts I listened to where, um, you know, the ads are, are part of the entertainment and you just can't, you know, you can't not listen to them.
[31:43.000 --> 31:52.000]  You can't tune out, you can't skip, you really got to pay attention cause they, they, uh, they put their personality into them and you know, and that I think that makes the difference.
[31:52.000 --> 31:59.000]  If it's, if it's like a hostage video or something, it's a lot less entertaining, but if it's a, if it's part of the fun, then it's a lot better.
[31:59.000 --> 32:06.000]  I can't even tell you how many emails I got from people about last week's show with Merlin were there a just thanking us like, Oh my God, I needed that.
[32:06.000 --> 32:12.000]  You know, um, you know, for the election week and they were like, Oh my God, this sponsor reads so good.
[32:12.000 --> 32:29.000]  Uh, I will just take a meta break here and just say, I don't have time to respond to all of my email, but I got so much email, never the most email I've gotten about an episode of the show in as long as I can remember from people last week and all of it.
[32:29.000 --> 32:42.000]  I honestly didn't see one that was, I honestly thought there'd be some from Trump people or, or, you know, people who just don't want to hear about people who are upset about the way the election turned out, you know, go back to tech dummy.
[32:42.000 --> 32:45.000]  I didn't get any of that and which was sort of our goal.
[32:45.000 --> 32:48.000]  That was the way, you know, that we approached it and what we talked about.
[32:48.000 --> 32:52.000]  Um, but I got so much email from people thanking us for that.
[32:52.000 --> 32:58.000]  So I just want to say to all of you who listen, thank you for listening and thank you for the good words.
[32:58.000 --> 33:01.000]  I have a podcast question for you, Jason.
[33:01.000 --> 33:05.000]  You don't, I mean, do you do any other podcasts regularly?
[33:05.000 --> 33:07.000]  Uh, occasionally.
[33:07.000 --> 33:10.000]  So you occasionally podcasts.
[33:10.000 --> 33:11.000]  Yeah.
[33:11.000 --> 33:19.000]  Yeah. Just from time to from time. You mean like per day?
[33:19.000 --> 33:39.000]  I got a bug up my butt recently about something that I had never thought about before and I, this is the sort of thing that I tend to think about and I can't believe I didn't really think that much about it when I set up the talk show to be on daring fireball, which is the fact that I've been doing it.
[33:39.000 --> 33:56.000]  I've always done it and it, most of the podcasts, almost all the podcasts I see do it, but putting the episode number in the title and making the episode number a major part, you know, like the, the main anchor on the URL that the, like on, on, on our websites on six colors.
[33:56.000 --> 34:03.000]  And during fireball, we don't have post number, you know, four 23,123.
[34:03.000 --> 34:04.000]  Right.
[34:04.000 --> 34:06.000]  Oh, that was a good one.
[34:06.000 --> 34:08.000]  Good old, good old 23,323.
[34:08.000 --> 34:24.000]  Why, why do we do this? And, and, you know, uh, TV shows don't do it. I mean, they sort of do now like where you're like, when you watch digitally, you do, you know, you're going through season one, episode seven of American horror story or, or whatever.
[34:24.000 --> 34:30.000]  So there is, there's sort of that on TV, but I don't know.
[34:30.000 --> 34:46.000]  I, I, it's a good, it's a good question. Like why, why do we number podcasts and you, you, I can always tell what number it is. Cause you actually do number them in the, like the slug of, of, uh, the talk show, but not like in the, in what people see, just like the written descriptions.
[34:46.000 --> 34:47.000]  Right.
[34:47.000 --> 35:09.000]  Well, but I have them in the metadata for the show. So like when you're looking at it in your podcast player, it will say 173 173. Yeah. Well, I switched recently. I did switch just a couple of weeks ago from putting EP period space, the digital, you know, representation of the number colon.
[35:09.000 --> 35:29.000]  I took out the EP cause I thought, you know what, it it's cruft like that, that I, I don't like, I like clean URLs. I don't like seeing dot PHP at the end of a URL. I don't like seeing all the gibberish and like the medium URLs. I don't like tracking any URL.
[35:29.000 --> 35:44.000]  I like the URL to have every single bit of it be meaningful. Uh, and I same way with like the titles. I don't, but it seems to me, I don't know. There seemed it. Part of me thinks that part of it is that you want to know which one's the newest episode in your podcast player.
[35:44.000 --> 35:58.000]  And that maybe it actually is useful because you it's, it's a more confident way of making sure that your podcast player, whatever software it is, whichever sort order it's using top to bottom or bottom to top, you know, which one's the newest one.
[35:58.000 --> 36:11.000]  So I'm keeping it. I like when I made the change to get rid of the EP period, I was on the verge of just getting rid of them period and maybe just putting them into URL. But then I thought, you know what, I think there's a reason everybody does it.
[36:11.000 --> 36:32.000]  I don't know if it's a reason that is, I don't know if it's a good reason or if it's more just sort of continuity. I mean, some of it is reference wise to be able to say it's this one, like saying like, um, like a Mac world, we had volumes and numbers like internally.
[36:32.000 --> 36:49.000]  We would have like, you turn in a story and it would be 24-04 and that was literally 24-04 was like the two, the April, 2008 issue or something. It was like volume 24 number four.
[36:49.000 --> 37:00.000]  And, and that was partially because in a file, in the file system, like it would sort, right. That all the 24-04s would go together and then there you'd have 24-05 and it would just kind of keep going like that.
[37:00.000 --> 37:12.000]  So I think some of it is just sort of like finding an internal structure and for podcasts, you could do it by date. You could literally say, you know, this is the one for the, you know, this day in November of 2016.
[37:12.000 --> 37:18.000]  And the metadata certainly supplies that. So you could just, you could just do that. You could have nothing.
[37:18.000 --> 37:36.000]  Um, I don't know, as a kid growing up, I really loved reading comic books and the comic books always had that like, this is Amazing Spider-Man number 183 and, and they would have footnotes and they would say, oh, Spider-Man faced the scorpion before in Amazing Spider-Man number 83 and sent him to prison.
