[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[26:19.880 --> 26:26.720]  Physical UI right like a button that you tap on a touchscreen or click on a mouse driven interface
[26:28.160 --> 26:33.400]  Or a keyboard shortcut you invoke to do it is is very very
[26:33.400 --> 26:41.520]  Very it's provable whether it worked or didn't work exactly as expected in that with the latency you expect
[26:42.280 --> 26:45.120]  Whereas the Siri stuff is always going to be a little
[26:46.000 --> 26:52.280]  Nebulous as to you know that where the edge conditions lie, but for the most part to me
[26:52.280 --> 26:58.420]  I think that the standards by which we should judge Siri and the similar voice assistants is basically
[26:58.520 --> 27:01.200]  What if you hired a college kid to be your intern?
[27:01.200 --> 27:07.680]  Yes, you would you expect them to understand what you just said and if you you know, so if you hired
[27:09.360 --> 27:14.400]  Somebody to be your assistant and follow you around and you're like you wanted to call your mom and you don't want to touch
[27:14.400 --> 27:16.760]  The phone you're like get my mom on the phone, right?
[27:16.760 --> 27:23.360]  You expect your mother to be on the phone every single time you don't expect to have like a pizza place open up
[27:24.920 --> 27:27.540]  Joanna's video for the pixel this morning
[27:27.540 --> 27:29.540]  Uh
[27:30.460 --> 27:32.240]  Yeah with the speed talker
[27:32.240 --> 27:38.300]  Yeah, she's always so creative with those videos and she put the because the new Google voice recorder also transcribes, right?
[27:38.300 --> 27:40.140]  so of course she got someone with
[27:40.140 --> 27:44.600]  With a Scottish accent with the West Indian accent with a German accent Atlantic
[27:44.600 --> 27:48.920]  Yeah, maybe we're Australian or something and the world's fastest talker and just let them all loose
[27:49.140 --> 27:55.720]  Yeah, the world's fastest talker or fastest woman talker. I'm not quite sure if she has the the record but that was
[27:55.720 --> 27:58.360]  that I was just cruel, but
[28:00.760 --> 28:06.200]  Yeah, I will yeah and yeah, she had a court a professional court stenographer there does like the the Paul Bunyan
[28:06.680 --> 28:07.720]  Yeah
[28:07.720 --> 28:12.280]  The real-life flesh-and-blood alternative. Anyway, that is a killer feature
[28:12.280 --> 28:18.880]  I have to say for me personally as somebody who occasionally somewhat occasionally needs or wants transcription boy. That's a fantastic feature
[28:18.880 --> 28:26.840]  That I wish I hope the iPhone can follow as quickly as possible the clips does a little bit of that
[28:26.840 --> 28:29.040]  So hopefully Apple can flesh that out into a full-fledged
[28:29.320 --> 28:29.920]  Yeah
[28:29.920 --> 28:32.280]  but something like that you if you have an
[28:32.440 --> 28:37.440]  On-the-record meeting as somebody in the press or if you're a student and you want to record a lecture or something
[28:37.440 --> 28:42.600]  You know that you can that if you can hear it and understand it your iPhone can hear it and transcribe it
[28:43.040 --> 28:47.240]  And hopefully that was baffling for me is that they Google if they have the brand new Google assistant
[28:47.240 --> 28:50.320]  It's only available in the US for now, which you know that happens. That's fine
[28:50.400 --> 28:52.840]  but if you have a Google Apps account
[28:53.320 --> 28:58.900]  Doesn't matter if it's first account second account if you just as long if you have one on the system will not work
[28:59.520 --> 29:02.500]  What if you yeah, if you have a Gmail account is fine
[29:02.500 --> 29:06.280]  But if you but if you have a Google Apps account or a Gmail account and a Google Apps account
[29:06.280 --> 29:07.880]  The assistant just will not work
[29:07.880 --> 29:09.120]  That's a strange limitation
[29:09.120 --> 29:14.560]  They said they're working on a fix but it always seems like Google Apps accounts which people pay for right way shorter shift than the
[29:14.560 --> 29:20.080]  Gmail account. Wow, that's really weird. And it also seems like the sort of problem you do more expect from Apple, you know
[29:20.080 --> 29:22.080]  Yeah, the various ongoing
[29:22.920 --> 29:29.320]  Problems that those of us with two iTunes accounts. Yeah iCloud accounts, whatever you want to call them Apple IDs
[29:30.200 --> 29:35.760]  Still get you know the afraid here. I don't want to go on a whole sidetrack
[29:35.760 --> 29:42.640]  but basically I among other old the longer you've been using Apple products and more likely are to be in this boat where you
[29:42.640 --> 29:47.240]  Opened up a iTunes store account in the early 2000s
[29:48.080 --> 29:51.800]  with email address a and then later on
[29:52.360 --> 29:56.520]  With mac.com created a mac.com or me.com account
[29:57.360 --> 29:59.800]  To use mac.com features
[29:59.800 --> 30:05.760]  But that's not you're not the same thing you use for iTunes and still lo these many years later in 2019
[30:06.320 --> 30:08.320]  You've still got two separate accounts
[30:08.920 --> 30:10.920]  Because there's no way to merge them
[30:10.920 --> 30:17.360]  Yeah, which I understand would be incredibly complicated and and you know that there's all sorts of edge conditions
[30:17.360 --> 30:22.080]  you could run into there because if I want to I can go to a new machine and log in with my iTunes account and
[30:22.120 --> 30:29.360]  It is an Apple ID so I could use iMessage and note syncing and calendar syncing all from that account from
[30:30.120 --> 30:37.080]  And you know, I'm sure there's some people who are somehow using two different things and so merging them would be complicated
[30:37.080 --> 30:41.120]  You know, yeah on the surface. It sounds like geez
[30:41.120 --> 30:47.280]  Why can't I just say I would like to just use my iCloud account for everything and transfer all the iTunes accounts from this
[30:47.280 --> 30:50.640]  Other account over in a one-time transition and then that's that
[30:51.520 --> 30:53.000]  But I get it that's complicated
[30:53.000 --> 30:57.960]  But anyway living life like that is always a little bit more complicated than the people who have it all in one
[30:57.960 --> 30:59.960]  You don't know how lucky you are if you only have one
[31:01.680 --> 31:03.840]  It's good to know Google has problems like that, too
[31:03.840 --> 31:10.960]  Yeah, anyway, I thought I thought Dieter's basic opening is the the the framing of his of his review
[31:11.520 --> 31:13.520]  read very
[31:13.720 --> 31:16.960]  iPhone II to me as well. So I've always thought that that
[31:17.480 --> 31:20.600]  That the pixels were as a whole the whole project is sort of
[31:21.000 --> 31:25.440]  Google's take on iPhone style hardware with stuff like screens that aren't super saturated
[31:26.760 --> 31:29.680]  less blingy more understated design
[31:29.680 --> 31:37.560]  You know, there is a sort of designed in California look to their stuff too that's different than stuff that's designed in Korea or China
[31:38.360 --> 31:41.320]  Or Japan, you know with some of Sony's very cool stuff
[31:43.720 --> 31:50.320]  Dieter's review though made it almost it almost read like the opening to like what kind of product is he reviewing here?
[31:50.320 --> 31:54.960]  You'd almost think it was an Apple product because it was about how specs don't tell the story of
[31:54.960 --> 31:59.240]  The product and you can't just look at the specs
[31:59.960 --> 32:02.800]  You have to kind of look at the actual experience in it
[32:02.800 --> 32:07.600]  You could say well this phone it doesn't have the fastest processor and it doesn't have the greatest camera hardware
[32:07.680 --> 32:12.040]  But you look at the actual photos you get from it and they look better than yeah
[32:12.040 --> 32:16.960]  Then other ones to other phones that might on on paper seemingly have a better camera
[32:17.680 --> 32:20.640]  No, that's absolutely true Huawei and Samsung both have tremendous
[32:20.640 --> 32:27.040]  Some some of the Nokia stuff tremendous optics on them and they just they junk them up with really bad color science really poor color
[32:27.160 --> 32:30.880]  Management the cameras look different from one system to the other and yeah
[32:31.040 --> 32:36.320]  Or they over blow them with AI what they're called their AI modes and they over saturate them and Google
[32:36.400 --> 32:41.680]  You can art like I think if you look at them you can subjectively choose which one you prefer because at this point
[32:41.680 --> 32:45.480]  They're both so good. It's the artistic choices like Google's tend to look cooler
[32:46.160 --> 32:49.120]  Apples tend to look a little bit warmer. They do different stuff with the details
[32:49.120 --> 32:54.240]  Their semantic rendering is slightly different, but that that is just personal preference at this point. It's amazing
[32:54.240 --> 32:56.240]  We've gotten to the point where it comes down to that
[32:57.080 --> 32:59.880]  Yeah, there's definitely you can definitely see the different internal
[33:01.480 --> 33:03.480]  Aesthetic choices in there. Yeah
[33:06.560 --> 33:11.960]  So what else with the pixel I had another thought oh, I guess we could talk about the
[33:13.240 --> 33:17.360]  the lens decisions, why don't we hold on to that though, and I'll do the first sponsor break and
[33:17.360 --> 33:20.360]  Tell you about our good friends at
[33:21.760 --> 33:29.000]  Away away makes excellent carry-on and larger suitcases
[33:31.080 --> 33:38.080]  They've considered all sorts of travelers and with their carry-on now offering two sizes with an optional ejectable battery
[33:38.480 --> 33:43.360]  You can find a carry-on suitcase that will suit your needs and your lifestyle perfectly
[33:43.360 --> 33:49.140]  They've got two two body types their signature polycarbonate and the fancier
