[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[25:37.360 --> 25:42.840]  You know connector draped around their body. They own that right?
[25:42.840 --> 25:46.840]  Not that other companies had you know that they have a trademark on it and nobody can make white earbuds
[25:46.840 --> 25:48.960]  But white earbuds people see them
[25:48.960 --> 25:54.920]  They think that's somebody listening to an Apple device and beats is the only other company I can think of that has that sort of
[25:55.320 --> 26:00.560]  Recognition. Yeah, they have that the other cache that the iPod commercials used to have right ten years ago
[26:00.840 --> 26:02.960]  But I think there's also an element to any cues
[26:02.960 --> 26:07.760]  Organization is just so big and there's gonna be a limit at some point to what he can do and he's doing Apple pay now
[26:07.760 --> 26:12.200]  As well, he does the App Store and the iTunes store and he does all the contract negotiations
[26:12.200 --> 26:18.600]  And if you could have Jimmy Iovine in there doing at least some of that it takes more stuff off of any cues desk
[26:18.600 --> 26:22.400]  Yeah something I've heard and it you know, I don't think this is surprising
[26:22.400 --> 26:24.640]  That's probably what everybody was guessing anyway
[26:24.640 --> 26:33.400]  But what I have heard recently was that at least inside Apple the beats acquisition is viewed as an Eddie thing that Eddie
[26:33.400 --> 26:40.820]  Eddie Eddie started it and he pushed for it Eddie drove it and not that that Tim Cook wasn't engaged and I'm sure that at
[26:40.820 --> 26:45.880]  The negotiation level he was in fact deeply engaged. I mean, I don't think you know, Tim Cook has not
[26:46.680 --> 26:48.960]  Don't worry about the details sort of CEO
[26:48.960 --> 26:53.600]  So not to diminish what Tim Cook's role in the negotiations might have been but in terms of
[26:54.800 --> 26:56.800]  Advocating it and and you know
[26:57.760 --> 27:00.560]  Pushing for it. It was in almost entirely an eddy cue thing
[27:01.200 --> 27:06.320]  It's interesting cuz we didn't see anything about iTunes this year. We didn't see continuity for iTunes. For example
[27:06.320 --> 27:11.920]  We didn't see a new iTunes music service iTunes radio still hasn't gone past the u.s. And Australia
[27:11.920 --> 27:17.200]  I think and iTunes is an aging platform. It's still based on web objects. It's still playing on the internet
[27:17.200 --> 27:20.400]  Form is still based on web objects is still based on their original software
[27:20.400 --> 27:24.440]  They used to manage, you know, the music store and all of that at some point, you know
[27:24.440 --> 27:28.360]  It's gonna be like a John, Syracuse a thing where a thousand years from now. This is gonna have to be fixed
[27:28.360 --> 27:30.760]  So what's the point between now and then that it actually gets fixed?
[27:30.760 --> 27:36.220]  and I don't know if beats has better software or a better solution, but it could also be a catalyst to Apple finally fixing a
[27:36.220 --> 27:37.760]  lot of the
[27:37.760 --> 27:41.880]  Infrastructure things that they have to do with the iTunes store. Yeah, I think you know
[27:41.880 --> 27:47.280]  Oh above and beyond whether it's based on web objects behind the scenes and and all of that
[27:47.280 --> 27:53.560]  I think it's ever more clear that it's based on a model that just isn't relevant anymore
[27:55.160 --> 28:02.600]  Which is here's a song you want and you give a retailer money for it and now you own a copy of it
[28:02.760 --> 28:08.280]  That's it's just not that's just that's done. I mean, I'm not done not done in the sense of
[28:08.280 --> 28:15.680]  They're not selling any songs anymore, but that I can't see any way that that ever comes back
[28:16.040 --> 28:23.120]  Yes, it's it's in permanent decline. It's sort of like what like what standalone iPods are, you know
[28:23.240 --> 28:29.040]  It's you know still a decent business, but it's it's never going to increase quarter over quarter
[28:29.040 --> 28:31.320]  It's just going to go into permanent decline
[28:31.800 --> 28:37.680]  Yeah, and just like the iPod is being replaced by the iPhone in some cases the iPad mini and now larger iPhones
[28:37.680 --> 28:43.560]  it makes sense for whatever iTunes was for Apple to get in early enough to have whatever iTunes will end up being right and it's
[28:43.560 --> 28:45.600]  Yeah, and in the same way that it you know
[28:45.600 --> 28:53.260]  iPods sales decreasing doesn't mean that people are spending less time with gadgets that play music in the same way
[28:53.400 --> 29:00.480]  Music sales declining doesn't mean people are spending less time listening to music. If anything, they're probably spending more, you know
[29:00.480 --> 29:04.180]  I think I wouldn't be surprised if you did a study and found out that people listen to more music
[29:04.180 --> 29:08.020]  Today or at least time spent listening to music than ever before
[29:08.660 --> 29:15.180]  It's just that the model is no longer buying and selling. Yeah, it's not it's not what you had to buy it
[29:15.180 --> 29:18.900]  It's not we had to wait in the radio people can get pretty much what they want when they want and that opens them up
[29:18.900 --> 29:21.160]  To just consuming it almost non-stop if they want to
[29:22.180 --> 29:24.180]  right
[29:25.260 --> 29:31.060]  So, I don't know I'm still not sure what to make of that if is the beats thing an exception to the rule just
[29:31.060 --> 29:38.720]  just because it is it it combines two things that Apple wants to continue being a leader at which is
[29:39.620 --> 29:41.660]  music listening hardware and
[29:44.220 --> 29:46.220]  Digital distribution of legal music
[29:46.900 --> 29:50.660]  Is it just that beats is like a rare perfect storm?
[29:50.700 --> 29:56.540]  You know acquisition or is it the sign of things to come that Apple is going to loosen up and become?
[29:56.960 --> 29:59.160]  You know a company that does
[29:59.160 --> 30:00.240]  Is
[30:00.240 --> 30:05.840]  Mid level or to high level acquisitions with some frequency. I think again to your point about Apple
[30:05.840 --> 30:09.660]  Just saying what they really feel. I think when Tim Cook says they're not religiously opposed to big acquisitions
[30:09.660 --> 30:11.820]  I think he's absolutely sincere about that
[30:11.820 --> 30:13.040]  They'll do them when they make sense
[30:13.040 --> 30:16.400]  But it's got to be something like beats where it gives them a hardware product
[30:16.400 --> 30:19.040]  They can sell the compliments and other hardware product a service
[30:19.040 --> 30:23.500]  They can roll out the compliments an existing service and has executives that might be able to you know
[30:24.040 --> 30:24.600]  Service it
[30:24.600 --> 30:28.520]  Sorry executives and a culture that can integrate into Apple and help them do the things that they want to do
[30:28.520 --> 30:31.600]  All right, and it doesn't really that's the thing that has me
[30:32.480 --> 30:37.400]  I'm still curious about it, but it doesn't make me worried about it the way that there's
[30:38.280 --> 30:40.040]  any number of other
[30:40.040 --> 30:42.040]  possible three billion dollar ish
[30:42.600 --> 30:46.840]  Acquisitions that Apple could have made that would raise my spidey sense
[30:46.960 --> 30:47.440]  Yeah
[30:47.440 --> 30:54.160]  You know in a way that beats doesn't because the biggest thing is that it doesn't fundamentally change any of the areas of focus in
[30:54.520 --> 30:55.760]  Apple's
[30:55.760 --> 31:02.800]  attention still about week with former it doesn't make them a conglomerate right which is exactly what you know to me is like the
[31:03.080 --> 31:09.160]  The first canary I check in the coal mine is is Apple losing focus and becoming more of a conglomerate
[31:09.160 --> 31:11.040]  Which I you know, we don't know
[31:11.040 --> 31:17.400]  I mean, I don't say that I don't say that Apple becoming a multi focused conglomerate would be bad
[31:17.400 --> 31:21.000]  we just have no idea and there's no history for Apple as
[31:21.640 --> 31:23.640]  a you know
[31:23.640 --> 31:28.880]  Whatever their revenue is, you know 50 or 200 billion dollar a year corporation
[31:28.880 --> 31:34.240]  I mean, you know, they're an uncharted territory period there's you know, they're the most valuable company not just in tech but anywhere
[31:36.640 --> 31:41.360]  But it would be so it wouldn't be you know them making seemingly
[31:41.880 --> 31:47.400]  Unfocused acquisitions wouldn't make me sure that they were on the wrong track
[31:47.560 --> 31:51.040]  But it would make me strongly suspect that they were on the wrong track
[31:51.040 --> 31:55.080]  Yeah, and it's wonder how the analysts would treat it because it wouldn't be expected behavior
[31:55.080 --> 31:58.860]  Google can compete with everybody they can compete with Amazon with Apple with
[31:58.920 --> 32:04.120]  Microsoft with any tech company in the world and do it all at the same time and that's fine and interesting and wonderful
[32:04.840 --> 32:08.920]  But you'd probably you place your howls all the way across the valley if Apple started doing that
[32:08.920 --> 32:12.000]  Yeah, well and Google can compete with itself, you know
[32:12.440 --> 32:19.600]  You know Chromebooks versus Android tablets is a perfect example and I don't even say that that's a mistake
