[00:00.000 --> 00:01.720]  Mg
[02:03:08.720 --> 02:03:32.720]  In a way that's part of the genius of Thiel's strategy is that he found a case where people who might otherwise object to the idea of a billionaire secretly funding a lawsuit to sue a company out of existence might be a little bit more likely to say,
[02:03:32.720 --> 02:03:40.720]  well, these are, you know, these, these are bad people that, you know, this, that's not right that they, that they took a surreptitious sex tape and published it.
[02:03:40.720 --> 02:03:41.720]  Right.
[02:03:41.720 --> 02:03:47.720]  I still call them sex tapes. You call them sex tapes. I know it wasn't, probably wasn't on tape, but.
[02:03:47.720 --> 02:03:49.720]  I don't know. What else would you call it?
[02:03:49.720 --> 02:03:50.720]  Well, a sex video.
[02:03:50.720 --> 02:03:51.720]  Oh, because it's not a tape.
[02:03:51.720 --> 02:03:54.720]  Right. It's not on tape, but it seems like the term is sex tape.
[02:03:54.720 --> 02:03:56.720]  Yeah.
[02:03:56.720 --> 02:04:00.720]  It's like the verbal equivalent of the floppy disk for save. Like we just don't have.
[02:04:00.720 --> 02:04:11.720]  Right. A sex.mov. I don't know. A sex gif.
[02:04:11.720 --> 02:04:16.720]  So I read, you know, in leading up to this, I read a few different of the takes.
[02:04:16.720 --> 02:04:28.720]  So first of all, like we joked about, all of Twitter is talking about this. Like this is, in my mind, we talked about Twitter earlier as like being, you know, sort of like this, this fascinating zeitgeist of what's happening.
[02:04:28.720 --> 02:04:43.720]  In my view, when something like this happens, this makes Twitter almost unbearable simply because everyone is talking about the same thing and there's no way to follow like a common thread.
[02:04:43.720 --> 02:04:50.720]  It's like there's so many different angles and so much information coming in and so many opinions that it's like a hodgepodge of everything.
[02:04:50.720 --> 02:05:00.720]  And I can imagine a regular user after signing up for Twitter, say they signed up for Twitter yesterday and they got like recommended, you know, they're interested in the news or something.
[02:05:00.720 --> 02:05:08.720]  And so they got recommended, you know, like 15 accounts to follow that are journalists. And so now today, just imagine what their experience would be like looking at Twitter for the first time.
[02:05:08.720 --> 02:05:20.720]  It's just like, I don't even know where to begin. Like just shut it down. Like this is dreadful, all these people talking about each other and talking about like, no, you're wrong and arguing.
[02:05:20.720 --> 02:05:32.720]  So with that backstory, I tried to avoid as much as possible of it until there was actually like more actual news of what occurred and whatnot.
[02:05:32.720 --> 02:05:42.720]  And it seems like this morning, there was some of that, we talked about the Aaron Ross Sorkin post with Teal and then there's been some more interesting of the hot takes, I would say.
[02:05:42.720 --> 02:05:56.720]  And so I read yours, of course, which I liked because it was concise and didn't, you know, sort of a lot of the problems I have with things of this nature are like, this is obviously going after at least the way that journalists perceive it,
[02:05:56.720 --> 02:06:08.720]  going after the heart of what journalism is and trying to destroy sort of the institution, right? And so we get these thought pieces that are going to be 5000 words and just like going on and on.
[02:06:08.720 --> 02:06:17.720]  And most of them saying sort of the same things or saying them in slightly different ways. And it's just like, again, it's impenetrable. It's hard to know where to begin with this.
[02:06:17.720 --> 02:06:21.720]  So I appreciate the concise nature of your take on this.
[02:06:21.720 --> 02:06:31.720]  Right. And I wasn't trying to capture the whole thing, because I think it's too hard to capture the whole thing, you know, but it's just one particular, like, to me, it's the, and I appreciate your kind words about it.
[02:06:31.720 --> 02:06:39.720]  But it's, you know, it was just to respond to this whole argument of whether anybody is trying to take away Peter Teal's freedom of speech.
[02:06:39.720 --> 02:06:53.720]  And it's like, you know, it was like this libertarian take on it, which, you know, sort of a pro super, right, using their super richness to their own advantage.
[02:06:53.720 --> 02:07:04.720]  And the idea that anybody who objects to that or finds it takes offense at it is therefore trying to suppress it, which is not the case, like the article that the guy linked to by Josh Marshall.
[02:07:04.720 --> 02:07:15.720]  He wasn't, Josh Marshall at Talking Points Media wasn't advocating, hey, we should pass a law to make this illegal. We should, you know, prevent this. He was just saying this is bad news for journalism.
[02:07:15.720 --> 02:07:26.720]  Right. Well, because it's revealed, it's revealed a way to anybody else who has sufficient funds to bankroll such things, a way to do the same thing against any other publication they don't like.
[02:07:26.720 --> 02:07:40.720]  Right. But so part of that is like this has existed for a long time to be able to do this. This whole thing isn't new, but it's new, I guess, in this context and people's eyes are opening to it for the first time.
[02:07:40.720 --> 02:07:53.720]  Because what, you know, what Teal did is not illegal. This is, you know, this is an avenue that others have used, just maybe not in this direct way before, or maybe they haven't, we just don't know about it.
[02:07:53.720 --> 02:08:06.720]  But what I liked about what you wrote, and maybe, correct me if I missed representing it in some ways, but this is sort of my stance on it after, you know, one day of thinking about it.
[02:08:06.720 --> 02:08:23.720]  Is, so what Teal did is not illegal, whether, you know, you think it's unethical or, or sort of not, I don't know, there's so many words you could use to describe it. But anyway, it's not illegal.
[02:08:23.720 --> 02:08:39.720]  It's also, of course, not illegal for then Denton to suggest that someone's doing this and that it's not illegal for Forbes to look into it and get sources saying, Yeah, it's, it's the sky and then it's not illegal for Teal then to go and talk to New York Times and, you know, reveal sort of what he's, why he did it.
[02:08:39.720 --> 02:08:49.720]  And now apparently Denton's working on a rebuttal post about this. And it's like, at the end of the day, this, I understand why everyone's up in arms of this, of course.
[02:08:49.720 --> 02:09:06.720]  But the situation does sort of sort itself out. And I think if Gawker went out of business, which is a real possibility, my thought there is, but like 1000 other Gawker's will just rise in its, in its sort of place.
[02:09:06.720 --> 02:09:19.720]  And you could say, well, then, you know, some billionaire might take out them too. I have a hard time believing that, you know, there's, there's honestly enough money in the world to sort of fight all these battles and it's not just money, by the way, it's
[02:09:19.720 --> 02:09:28.720]  time to, again, going back to what the most interesting thing about this to me is like that Peter Teal took the time and the extended time period to actually execute this plan.
[02:09:28.720 --> 02:09:31.720]  Most people would not do that, of course.
[02:09:31.720 --> 02:09:43.720]  And most people just don't have the time to do it. It's not worth their time to do it. And so I sort of, as, as sort of lame as it sounds, I think like this thing sorts itself out naturally.
[02:09:43.720 --> 02:09:58.720]  Yeah, I think, especially as it settles in as, you know, 24 hour old news now, I think that the fears that this will become a playbook for billionaires to take on other publications are, I, not just hopefully unfounded, I think they're probably
[02:09:58.720 --> 02:10:22.720]  unfounded. I think this was a unique situation, both in terms of the way that Gawker opened themselves up to these sort of suits by being so, I don't know what the word is, reckless, aggressive, aggressive, fast and loose with what, you know, what should or should not be published.
[02:10:22.720 --> 02:10:36.720]  I, you know, could somebody do this to me, for example, could somebody, it's like, what have I written that you could really take me to court over? You could definitely inconvenience me by just making me go to court and have to hire a lawyer to fight a bogus lawsuit.
[02:10:36.720 --> 02:10:47.720]  But I don't, you know what I mean? I don't know that, why would, I don't see why someone would do that. Because the other part is that Peter Teal had such a grievance against them.
[02:10:47.720 --> 02:11:01.720]  Right. I mean, is there somebody who I've called jackass of the week in the past who would do this to me? I don't know. I don't think so. Yeah, but even if they would, so like, yeah, you may have pissed off plenty of people, I'm sure you have over the years, but
[02:11:01.720 --> 02:11:05.720]  I may have pissed off Peter Teal by calling him an asshole. I don't know.
[02:11:05.720 --> 02:11:18.720]  But have you opened yourself up to, you know, so that could open you up to, you know, like someone could try to sue you directly for slander or whatever, or libel. I always forget the difference.
[02:11:18.720 --> 02:11:19.720]  Yeah, I do too.
[02:11:19.720 --> 02:11:31.720]  But then could someone do this sort of surrogate lawsuit and, you know, actually go after you for something? It seems almost impossible.
[02:11:31.720 --> 02:11:32.720]  Yeah.
[02:11:32.720 --> 02:11:45.720]  Right. I think part of it is that it just, it's just that nobody ever thought that any, but it just never occurred to someone to do this. And it speaks to Teal's, I mean, again, I called him an asshole and I stand by it.
[02:11:45.720 --> 02:11:55.720]  And I think that him doing it in secret was cowardly. I think that it only came out now is, you know, you know, kind of a coward's move.
[02:11:55.720 --> 02:12:09.720]  But it was genius, right? It was extremely clever. And it's the sort of, you know, that's why he's the success that he is, is a big, and it's, you know, it's a huge part of the whole Silicon Valley.
[02:12:09.720 --> 02:12:16.720]  What are we looking for is we're looking for people who see things that nobody else sees. And this is an example of that, right?
[02:12:16.720 --> 02:12:27.720]  It's, he saw an opportunity here to do this in a way that it just never occurred to anybody else. I think that's why this is so, grabbed everybody's attention.
[02:12:27.720 --> 02:12:42.720]  Well, and so, just, I don't know, almost to play devil's advocate a bit on this, but like, you know, when you call him an asshole for the way that he sort of executed it, I mean, what if, maybe he executed it this way on purpose?
[02:12:42.720 --> 02:12:53.720]  Like he wanted to be in the shadows for all this time and then to have some sort of big reveal to make it that much more of a statement and to make it that much more meaningful when it did come out this way.
[02:12:53.720 --> 02:13:05.720]  Yeah, and the aforementioned Felix Salmon post definitely makes the case that, he makes a compelling case that revealing himself was absolutely part of it.
[02:13:05.720 --> 02:13:06.720]  Part of the plan.
[02:13:06.720 --> 02:13:18.720]  Because what it does is, it says this isn't, now you realize that whatever happens with the Hogan appeal, this isn't going to stop.
[02:13:18.720 --> 02:13:29.720]  And he can keep this up indefinitely. And everybody knows that everybody can just go through in the back of their mind a list of things, you know, articles that Gawker has published over the years that maybe they could get sued over.
[02:13:29.720 --> 02:13:46.720]  And it therefore means that anybody who is perhaps thinking of investing in Gawker is going to think twice about it because it looks like if you're investing in Gawker, you're investing against Peter Thiel funding, you know, trying to bankrupt the company.
[02:13:46.720 --> 02:13:54.720]  And they need the investment money because they need to have, you know, just to deal with the legal fees and the potential judgment against Hogan.
[02:13:54.720 --> 02:13:55.720]  Right.
[02:13:55.720 --> 02:14:10.720]  You know, that revealing himself is part of it because now it makes Gawker look like a way worse investment than it was, you know, Gawker, if anybody was thinking of investing in Gawker two days ago, it's certainly a worse investment now that you know that they've made a lifelong enemy of Peter Thiel.
[02:14:10.720 --> 02:14:14.720]  And that he set his sights on destroying the company.
[02:14:14.720 --> 02:14:26.720]  Unsurprisingly, there are already reports, of course, now that Gawker is trying to sell itself and, you know, it's being marked down way below what they, you know, were valued at just a few months ago.
[02:14:26.720 --> 02:14:29.720]  Yeah, and that's going to make it very hard.
[02:14:29.720 --> 02:14:49.720]  Yeah, I would just say, I would say in terms of what I wrote that if it turns out that it's true that Thiel's plan all along was to reveal himself at a certain strategic point for the purpose of even, you know, kicking them when they're down, then it doesn't take away the asshole part of what I said, it takes away the coward part because he didn't have a plan to remain secret forever.
[02:14:49.720 --> 02:14:55.720]  That it was only secret strategically for the first part of this deathless revenge scheme.
[02:14:55.720 --> 02:15:04.720]  Yeah, and I mean, I will say, I don't know Peter Thiel at all. I'm fairly certain I've actually never met him, even though we sort of do the same thing now.
[02:15:04.720 --> 02:15:19.720]  But, you know, I also just, one of the things I'm trying to think about, again, a reaction to this in a 24 hour period, I don't recall the whole situation with ValleyWag when it happened those eight or nine years ago.
[02:15:19.720 --> 02:15:45.720]  I mean, I've heard about it in, you know, after the fact. And I, but I also have a hard time sort of discounting like, well, I understand what that what ValleyWag's position was that it was sort of like publicly that he was, he was, you know, known to be to be gay amongst a big enough circle that it should be sort of common knowledge, like, I don't know what his mindset
[02:15:45.720 --> 02:16:13.720]  was. Like, he's, he was clearly, he's clearly very, was very pissed off and very pissed off enough to do this whole plan. Like, I don't know that I'm one to say like, is he wrong? You know, like a lot of people are saying that this is a major overblown thing that he's, he's, he's just taken it so far out of proportion, and the response is not in proportion to what the original act was, but like, I don't know.
[02:16:13.720 --> 02:16:28.720]  I wasn't there. Like, maybe he was like, his mindset was just totally destroyed by what they did after he told them not to do it. And, you know, so anyway, I just don't want to like degrade that completely. I don't know what his mindset is.
[02:16:28.720 --> 02:16:56.720]  All right, I hear you as a devil's advocate take I, I, I, I disagree. Well, I don't, I shouldn't say I disagree because I don't know, I only, you know, I don't know Peter Thiel either, obviously. Right. So that's possible. That's possible, you know, that it really was so significantly stressful to him, emotionally harmful to him. You know, that maybe it really isn't disproportionate. But the one goofy that I have to say that here's a goofy part. This is good. I mean, this is goofy.
[02:16:56.720 --> 02:17:23.720]  This is Thiel's description of this as the most philanthropic thing he's ever done in his life. Like, that is, is really that's going to go down as one of the things like for people who are, you know, thinking that the inequality is out of control and that the richest, the hyper rich are detached from reality is it.
[02:17:23.720 --> 02:17:52.720]  I mean, there's exhibit A was Peter Thiel. I mean, whatever you think about this, right? There's, there's, there, I'm fully acknowledging that there's a devil's advocate take on this, that what he did is just revenge served cold and, and was in some sense, just, I don't agree. I think it's a vast overreaction. You know, I go with, did you read Elizabeth Spears take? Yeah, yeah, I did. That it's, you know, it's like a, you know, like if the United States attacked a small African country with the full weight of the armed services just for some reason.
[02:17:52.720 --> 02:18:07.720]  Small, you know, you know, disproportionate reaction. I'm on that side, but I agree with the devil's advocate take on that. But even if you agree with the devil's advocate take, this is, this is not philanthropy.
[02:18:07.720 --> 02:18:24.720]  I don't know. Did you read Ben Thompson's take too in his newsletter today? It was, it was interesting because I won't go into it then. I won't, you can link to it, but it's like, I thought it was a fascinating way to like frame it around the notion of like
[02:18:24.720 --> 02:18:45.720]  superheroes and supervillains and like, it's like, can one, can these like superheroes exist without a, I don't want to bungle this, but it's basically that like in, you know, so say like the Marvel Cinematic Universe, like, what happens when the superheroes
[02:18:45.720 --> 02:18:56.720]  come is there's usually like this super, you know, villain thing that, that ends up coming, it seems coincidentally, but maybe it's not coincidental, right? Maybe it's, it's the result of the superhero coming or vice versa.
[02:18:56.720 --> 02:19:11.720]  Like the superhero comes because the supervillain is there and so they're intertwined, right? And it's, he draws an interesting analogy to this whole situation of, of how this is going down, which I think is, is worth the read.
[02:19:11.720 --> 02:19:27.720]  There is a certain, and I know people have compared Elon Musk to a Bond villain, but Elon Musk doesn't seem, it doesn't, I can't think of anything he's done there that makes him look like a jerk, but this, there is like a certain, you know,
[02:19:27.720 --> 02:19:41.720]  Bond movies and other movies are always full of, you know, evil billionaires or, or, you know, evil, maybe evil is too strong a word, but you know, billionaires, billionaires bent on scheming, scheming billionaires.
[02:19:41.720 --> 02:19:54.720]  And this is, here it is in real life, you know, like this incredible scheme that nobody would have, nobody really perceived as possible. Like, and when, like you said before, like when it came up in trial interviews, like, ah,
[02:19:54.720 --> 02:19:59.720]  yeah, come on, that's, this isn't a Marvel movie, come on.
[02:19:59.720 --> 02:20:09.720]  But, and then the other element to this, like going back to where we started sort of like with the whole Twitter and it's just like, oh my God, and this is, this is going to go on for a while.
[02:20:09.720 --> 02:20:15.720]  I mean, you know, like you said, you know, 24 hours sort of things die down, but then there's more and more just keeps coming.
[02:20:15.720 --> 02:20:31.720]  And this is like the perfect storm, you know, coming as someone who comes from the reporter side, and now sort of, you know, far enough removed from it to sort of hopefully be somewhat circumspect about it.
[02:20:31.720 --> 02:20:48.720]  This is like the perfect storm of a story that's not going to die anytime soon because this is what many, not all, but many reporters love writing about more than anything else is their own profession and like, you know, things coming after it and the potential
[02:20:48.720 --> 02:21:03.720]  for the end of what they do and coming after potentially their livelihoods and stuff and so this is just the perfect storm for Twitter, for media Twitter, and it's going to be nonstop stories about this for a long time to come, it seems like.
[02:21:03.720 --> 02:21:10.720]  Yeah, to me it's, I can't, it's almost hard to conceive of a better story for media Twitter.
[02:21:10.720 --> 02:21:12.720]  Yeah.
[02:21:12.720 --> 02:21:14.720]  Yeah.
[02:21:14.720 --> 02:21:16.720]  I don't know.
[02:21:16.720 --> 02:21:19.720]  Anything else you wanted to talk about?
[02:21:19.720 --> 02:21:24.720]  No, those were pretty much wraps up my list.
[02:21:24.720 --> 02:21:31.720]  So, people can find your writing, where are you doing most of your writing these days?
[02:21:31.720 --> 02:21:54.720]  So, almost always now on Medium, I set up one of the publications there, Medium is of course again one of the GV investments but I just, before we invested in it, I was a huge fan of the simplicity of the platform and the CMS elements of it having used many other CMSs throughout the years, which are a hodgepodge of things.
[02:21:54.720 --> 02:22:07.720]  So most of the writing I do now, I bought a domain called 500ish, which was nice and short, and I try to keep the writing short these days since I don't have a ton of time to do it as much as I used to so that's where I am.
[02:22:07.720 --> 02:22:11.720]  500ish.com
[02:22:11.720 --> 02:22:16.720]  and on the, on the Twitter, MG Siegeler, at MG Siegeler, right?
[02:22:16.720 --> 02:22:19.720]  That's right.
[02:22:19.720 --> 02:22:42.720]  My thanks to you for your time and your observations. I would also like to give one more thanks to our sponsors, Casper, go buy a mattress, Audible, go buy some audiobooks, and Wealthfront, invest all the money you have left after you've bought a mattress and bought some audiobooks.
[02:22:42.720 --> 02:22:49.720]  And, and sued Gawker, or sued Allcogan, and sued somebody.
