[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[01:42:41.220 --> 01:42:47.220]  solution is. And I get that USB C power delivery has all sorts of actual technical advantages
[01:42:47.220 --> 01:42:55.540]  and charging performance. And it's a standard plug. But man, the say that mag safe has saved
[01:42:55.540 --> 01:43:00.500]  my MacBook, you know, and this is something Yeah, and this is something me and you had talked about
[01:43:00.500 --> 01:43:07.220]  on some other podcasts. One thing that bothers me is that there's no USB C port on the right
[01:43:07.220 --> 01:43:12.020]  hand side. Yeah, yeah. Because when I'm in bed, we had this conversation, I think around the
[01:43:12.020 --> 01:43:18.420]  MacBooks last year. Yeah. Or two years ago, I wanted on the other side. Yep. Yep. I agree
[01:43:18.420 --> 01:43:24.260]  to that. That is. It's nice that you can charge from both sides on the MacBooks that do have them
[01:43:24.260 --> 01:43:28.980]  on both sides. And they're not having it on both sides. Just it. It's a small thing. But I've got
[01:43:28.980 --> 01:43:37.700]  something USB. Yeah. Yeah. I mean, it's like the cord is going behind the thing to go in to charge.
[01:43:37.700 --> 01:43:44.420]  Yeah. But I'm fine with it. I mean, yeah, I've gone over the time that you have. But I sure I
[01:43:44.420 --> 01:43:50.980]  have three things I need to review in my inbox. It is always a pleasure having you on the show.
[01:43:52.180 --> 01:43:56.340]  Everybody can read your excellent work in the Wall Street Journal. And on Twitter,
[01:43:57.460 --> 01:44:01.060]  you are at Joanna Stern, right? No funny punctuation.
[01:44:01.060 --> 01:44:08.020]  No. What you got? What are you working on this week? Can you say or is it to see? Yeah, I mean,
[01:44:08.020 --> 01:44:13.060]  I'm doing? Well, I don't know when it's gonna come out. So I'm going on vacation. I'm trying
[01:44:13.060 --> 01:44:20.820]  to finish this piece about webcams. Which was prompted by me, like getting this new laptop
[01:44:20.820 --> 01:44:25.860]  and being like, Do I need a webcam cover? And I started to dig into it. And I don't know. What's
[01:44:25.860 --> 01:44:29.940]  your answer where it's fully going? Yeah, I'm gonna get a webcam cover. Are you really? I don't
[01:44:29.940 --> 01:44:33.540]  I don't I don't I don't worry about it. I don't think that I think that's not an issue.
[01:44:35.780 --> 01:44:39.780]  Yeah, well, you'll see in the piece why I now feel like Yeah.
[01:44:41.940 --> 01:44:51.380]  Did you know this? What is the rule? It's Oh, the Apple's latest security guide
[01:44:51.940 --> 01:44:58.820]  says that I think it starts with the MacBook Air when the cover is closed. The microphone
[01:44:58.820 --> 01:45:05.780]  is physically detached. It's there's a physical disconnection. And and it's only the microphone
[01:45:05.780 --> 01:45:09.220]  because you know, if it's closed, you don't need to worry about the camera because the camera's,
[01:45:09.220 --> 01:45:15.140]  you know, in the dark already close, close, right? It's a really clever, clever idea. But it
[01:45:15.140 --> 01:45:20.740]  did raise the notion to me that if Apple thinks enough about it to do that, is it just to give
[01:45:20.740 --> 01:45:25.540]  people peace of mind? Or is there something to worry about when it's open? So this is the piece
[01:45:25.540 --> 01:45:31.700]  that I'm basically after, because, you know, for me, I also have cameras all over my house now. And
[01:45:31.700 --> 01:45:36.340]  so I'm like, well, people are covering their webcams at work and on your laptops, but they're
[01:45:36.340 --> 01:45:42.500]  got an S cameras, cameras everywhere and all this. So, yeah, I'm not sure where it's all leading.
[01:45:42.500 --> 01:45:47.220]  But that's I've sort of been digging into it. I'm not positive. Don't be this piece that next week,
[01:45:47.220 --> 01:45:50.660]  but at some point, someone will read that piece. I thought it was interesting. You know, last year,
[01:45:50.660 --> 01:45:57.300]  when they invited a handful of us to have that Mac Pro roundtable, me and Panzerino and, you know,
[01:45:57.300 --> 01:46:06.420]  Fried and John Petchkowski, I think, and Lance Ulanoff was the other, the fifth. Phil Schiller
[01:46:06.420 --> 01:46:12.980]  was reading, had a keynote prepared. And I'm certain that it was his personal MacBook that
[01:46:12.980 --> 01:46:16.660]  he was using. Does not have a, and I remember thinking like, I wonder if he covers it. No,
[01:46:16.660 --> 01:46:21.780]  doesn't cover it. Yeah, I'd be one of the things I'm doing is trying to reach out to Mark Zuckerberg
[01:46:21.780 --> 01:46:25.540]  to find out, but I'm sure there'll be no comment on that. I'll bet they will have no comment. But
[01:46:25.540 --> 01:46:29.860]  here's I want to say something about that. I've been meaning to get this off my chest forever.
[01:46:29.860 --> 01:46:34.660]  So there's a picture of Mark Zuckerberg from a handful of years ago inside Facebook
[01:46:34.660 --> 01:46:41.780]  doing something and he's at a MacBook and the camera is covered. I don't think there's any
[01:46:41.780 --> 01:46:46.260]  reason to believe that that's his MacBook. I think he was there. I think he was posing for a picture.
[01:46:46.260 --> 01:46:52.500]  It might be. But I think that the assumption that that's his personal MacBook is has no validity
[01:46:52.500 --> 01:46:56.580]  whatsoever, because it was sort of a staged photo. And you know what it's like when you're staging a
[01:46:56.580 --> 01:47:02.180]  photo, you just put props up, you know? Well, you know what, I'll ask that question. Yeah,
[01:47:02.180 --> 01:47:09.700]  I would ask that question. I think that the fact that our collective tech world has assumed as fact
[01:47:09.700 --> 01:47:17.220]  that that was his MacBook is, but he would be a high value target. Oh, definitely. And given how
[01:47:17.220 --> 01:47:23.780]  easy it seems to be to hack someone's webcam for what I'm finding in my reporting. Yeah, I don't
[01:47:23.780 --> 01:47:29.700]  know. All right. All right. I can't wait to read the report. Yeah. Thank you very much. I appreciate
[01:47:29.700 --> 01:47:59.700]  it. Great to be here and speak to you again.
