[00:00.000 --> 00:02.000]  He says he joined.
[19:59.320 --> 20:00.320]  the Millennium Falcon.
[20:00.320 --> 20:01.320]  Yeah.
[20:01.320 --> 20:05.760]  The Millennium Falcon was the bomb, and it even had a cool thing where the one landing
[20:05.760 --> 20:08.840]  gear was meant to be used as a pistol grip.
[20:08.840 --> 20:12.080]  You could keep it down, and then you could fly around your house, what, with the Millennium
[20:12.080 --> 20:14.760]  Falcon with this pistol grip down.
[20:14.760 --> 20:15.760]  Very fun.
[20:15.760 --> 20:16.760]  Very cool.
[20:16.760 --> 20:19.520]  But it bothered me when the toys...
[20:19.520 --> 20:25.280]  There's an uncanny valley where it's like, okay, so the original Han Solo did not look
[20:25.280 --> 20:30.160]  like Harrison Ford at all, because all of those characters, they just had a...
[20:30.160 --> 20:31.160]  The most...
[20:31.160 --> 20:32.160]  A melty, generic face.
[20:32.160 --> 20:33.160]  Yeah.
[20:33.160 --> 20:44.080]  And somebody, like some kid who's actually pretty talented, just carved a candle.
[20:44.080 --> 20:50.280]  And they had eyes that were just sort of like the eyes that you just draw as an idiot, like
[20:50.280 --> 20:55.080]  two dots and then a little upside down parenthesis, like a parenthesis for eyebrows.
[20:55.080 --> 20:56.880]  And the paint didn't land on the features even.
[20:56.880 --> 20:57.880]  No.
[20:57.880 --> 21:01.240]  Like if they had gloves or boots, it was like, eh, the paint is more or less on the boot,
[21:01.240 --> 21:03.360]  and then it kind of fades into the leg.
[21:03.360 --> 21:04.360]  Right.
[21:04.360 --> 21:07.200]  I'm looking at this 12-inch Vader again, and I realized that Boba Fett, looking at these
[21:07.200 --> 21:09.840]  pictures, Boba Fett had articulated joints, Vader didn't.
[21:09.840 --> 21:15.040]  They were hollow plastic, like Vader's arms and legs, like the whole body of least Vader
[21:15.040 --> 21:18.720]  anyway was like hollow plastic, but they didn't have elbows, but Boba Fett did apparently.
[21:18.720 --> 21:20.320]  Maybe that's why I liked him better.
[21:20.320 --> 21:27.360]  So there was a 12-inch Threepio, and a Vader, and I believe they're from 77, because I believe
[21:27.360 --> 21:34.560]  I saw them before, at a friend's house, before Empire Strikes Back came out.
[21:34.560 --> 21:39.400]  And I think that once Empire came out, it was like, well, we're going to make a bunch
[21:39.400 --> 21:42.840]  of money, so let's make these better.
[21:42.840 --> 21:45.640]  I have never seen a 12-inch Boba Fett.
[21:45.640 --> 21:49.320]  I did not know those existed.
[21:49.320 --> 21:54.780]  I knew they existed before Empire came out, because I was trying to collect enough stickers
[21:54.780 --> 21:58.720]  in order to get one with a rocket pack, and I did not.
[21:58.720 --> 22:00.240]  There were so many things that bothered me.
[22:00.240 --> 22:06.880]  It bothered me that the lightsaber characters had, instead of a lightsaber that went into
[22:06.880 --> 22:07.880]  their hand.
[22:07.880 --> 22:08.880]  That was the worst.
[22:08.880 --> 22:10.840]  That little noodle that comes out.
[22:10.840 --> 22:16.360]  And it was two different sides, and the worst part about it was, like, the lightsaber doesn't
[22:16.360 --> 22:20.600]  have one section that's thicker and then a next section that's thinner, they're uniform.
[22:20.600 --> 22:23.340]  Like, why would you do that?
[22:23.340 --> 22:25.840]  The only good thing about it was that my mother couldn't take it away, because she took away
[22:25.840 --> 22:29.720]  the guns from all my other kind of figures.
[22:29.720 --> 22:36.560]  Like, because of sort of a loose, no playing with guns policy?
[22:36.560 --> 22:39.200]  It was a very tight no playing with guns policy.
[22:39.200 --> 22:40.200]  Very tight.
[22:40.200 --> 22:41.200]  Gotcha.
[22:41.200 --> 22:47.520]  Well, seriously, sorry to create character on this, but do you resent that?
[22:47.520 --> 22:49.240]  Or do you think that was good?
[22:49.240 --> 22:50.680]  I resent it.
[22:50.680 --> 22:51.680]  Really?
[22:51.680 --> 22:56.000]  Because you're not like, I want to play with guns kind of guy.
[22:56.000 --> 23:03.360]  I wasn't big on it with my kids either, but, come on, it's Star Wars, it's fantasy violence,
[23:03.360 --> 23:08.360]  and all I did was make my own guns out of wood anyway, so I was like, you're not stopping
[23:08.360 --> 23:09.360]  anything.
[23:09.360 --> 23:10.360]  Right.
[23:10.360 --> 23:15.680]  That is so true, and I know that no guns, and I know there's guaranteed, there's way
[23:15.680 --> 23:20.320]  too many people who listen to this podcast, I know that there are literally almost, certainly
[23:20.320 --> 23:24.840]  thousands of people who are going to listen to this show who are currently raising kids
[23:24.840 --> 23:30.020]  with a no guns policy, and there are thousands who are rolling their eyes saying that's ridiculous
[23:30.020 --> 23:37.440]  and silly, and I'm just saying, however you want to raise your kids is all fine, but all
[23:37.440 --> 23:45.960]  I know is having raised a son in the last 17 years with numerous friends, it was a thing
[23:45.960 --> 23:47.520]  we would check, right?
[23:47.520 --> 23:49.600]  Friends are coming over, what's the gun policy?
[23:49.600 --> 23:52.200]  It just, you know, because you don't want any trouble.
[23:52.200 --> 23:59.800]  The kids raised in the no gun family will pick up anything and everything.
[23:59.800 --> 24:06.040]  I mean, like, oh, you know like you find like a stick on the ground that's vaguely L-shaped
[24:06.040 --> 24:08.680]  and it becomes a gun, okay, sure, I did that.
[24:08.680 --> 24:14.200]  I'm talking that the kids that Jonas grew up with in no gun families would pick up like
[24:14.200 --> 24:19.980]  a gum wrapper, like a piece of paper, and the kids would be playing something entirely
[24:19.980 --> 24:22.740]  else and then they would just fold it into a gun.
[24:22.740 --> 24:28.880]  They were nuts for making guns out of pieces of cellophane, like not sticks, leaves, just
[24:28.880 --> 24:32.240]  pick up a leaf and it would become a gun.
[24:32.240 --> 24:39.100]  And it's like, I don't want to send the kid back to his house, I presume that his parents
[24:39.100 --> 24:43.200]  knew that he was doing this, but it's like, I don't want him to think that they picked
[24:43.200 --> 24:44.200]  it up.
[24:44.200 --> 24:48.800]  You know, Jonas's dad taught me how to make a gun out of a piece of gum.
[24:48.800 --> 24:50.880]  But it's a little bit James Bond, though.
[24:50.880 --> 24:54.320]  It's the whole nature nurtures thing going on there, but like, I mean, I didn't buy my
[24:54.320 --> 24:55.860]  kids guns ever.
[24:55.860 --> 24:59.960]  But when my kids got Star Wars figures, I didn't take the tiny little guns away from
[24:59.960 --> 25:00.960]  the Star Wars figures.
[25:00.960 --> 25:02.120]  I feel like that's the right balance.
[25:02.120 --> 25:05.280]  I never wanted my kids to have guns, especially realistic guns.
[25:05.280 --> 25:09.900]  I never bought them for them, but I did buy them Star Wars action figures slash dolls.
[25:09.900 --> 25:11.960]  And if they came with guns, they came with guns.
[25:11.960 --> 25:15.520]  And it was, I think that's the right balance, because if you do a hard ban, where it's like,
[25:15.520 --> 25:19.000]  we got you a toy, but now we're removing one of the fun parts of the toy, that makes the
[25:19.000 --> 25:21.480]  kid make a gun out of a gum wrapper, maybe.
[25:21.480 --> 25:22.480]  Yeah.
[25:22.480 --> 25:24.600]  We bought Jonas all the guns.
[25:24.600 --> 25:25.960]  Really?
[25:25.960 --> 25:33.120]  He's, the only thing that kid has ever screwed him up with was really, really, really sour
[25:33.120 --> 25:34.120]  treats.
[25:34.120 --> 25:43.360]  Yeah, like, I, nobody has made me want to vomit so much as your son trying to feed me
[25:43.360 --> 25:45.240]  like a sour treat in Ireland.
[25:45.240 --> 25:46.840]  That was, that was the worst.
[25:46.840 --> 25:51.760]  Those Irish sour candies are the sourest, they're like something from Harry Potter,
[25:51.760 --> 25:54.200]  like they're magically imbued with extra sour.
[25:54.200 --> 25:55.200]  Yeah.
[25:55.200 --> 25:58.920]  No, but anyway, we bought Jonas all the Star Wars guns and in his generation, they were
[25:58.920 --> 26:02.960]  all like bright orange or green, you know, I mean, all the real guns are on computers
[26:02.960 --> 26:03.960]  now anyway.
[26:03.960 --> 26:04.960]  Yeah.
[26:04.960 --> 26:07.720]  I played Destiny with Jonas, we know where the real guns are at.
[26:07.720 --> 26:13.840]  And he's, he's a gentle soul and like, you know, it was never like a ruffhouser, it never,
[26:13.840 --> 26:19.240]  it had no bear, you know, anyway, I would recommend not worrying about it, but whatever
[26:19.240 --> 26:23.420]  you want to do, but it always anyway, long, long story short, it bothered me that their
[26:23.420 --> 26:26.960]  lightsabers were like sticks that came out of their arms.
[26:26.960 --> 26:30.240]  I always felt like that was an attempt at tapering.
[26:30.240 --> 26:33.080]  And all they could do is like,
[26:33.080 --> 26:34.640]  Yeah, the manufacturer could only make
[26:34.640 --> 26:38.680]  That precision was all they could, they could do and they would just, yeah,
[26:38.680 --> 26:41.360]  But like, they should have worried more about like length.
[26:41.360 --> 26:45.480]  Like, it was, they were, they were like a foot and a half long in scale, right?
[26:45.480 --> 26:48.080]  They were like the length of their forearm, because that's where they slid into.
[26:48.080 --> 26:51.200]  So how could you make it longer than the forearm because they slide into the forearms, which
[26:51.200 --> 26:52.200]  is bad.
[26:52.200 --> 26:55.040]  Also, the Luke, the Luke character had a yellow lightsaber.
[26:55.040 --> 26:56.600]  Yeah, it was a mess.
[26:56.600 --> 26:57.600]  Yeah.
[26:57.600 --> 27:01.300]  I mean, it was the type of thing where the toy manufacturer's like, who cares what color
[27:01.300 --> 27:02.300]  it is in the movie?
[27:02.300 --> 27:03.300]  Who cares what color it is ever like?
[27:03.300 --> 27:04.640]  And it turns out, everybody cares.
[27:04.640 --> 27:06.880]  Meanwhile, I'm five years old.
[27:06.880 --> 27:10.760]  And I'm like, have you people ever even seen this movie?
[27:10.760 --> 27:11.840]  I'm so mad about it.
[27:11.840 --> 27:12.840]  I'm still mad.
[27:12.840 --> 27:13.840]  They didn't realize this.
[27:13.840 --> 27:16.320]  This was like the movie that would literally create the first generation of people who
[27:16.320 --> 27:19.320]  would care very deeply about the color of the toys.
[27:19.320 --> 27:21.120]  In fact, too deeply.
[27:21.120 --> 27:22.960]  And I think we're going to touch on that.
[27:22.960 --> 27:25.960]  If we ever talk about what we're going to talk about.
[27:25.960 --> 27:29.620]  But there were other aspects, there were other aspects that they, this is what bothered me
[27:29.620 --> 27:33.280]  about it, was that they clearly paid attention to other details.
[27:33.280 --> 27:38.000]  So Han Solo came with the Han Solo DL-44 blaster.
[27:38.000 --> 27:42.080]  Now, see, now how do I know that his blaster was a DL-44?
[27:42.080 --> 27:45.240]  Well, first of all, it's 44.
[27:45.240 --> 27:53.720]  Again, I barely remember my own birthday anymore, but somehow DL-44, I remember it.
[27:53.720 --> 27:58.280]  And the stormtroopers came with stormtrooper little half rifles, whatever you want to call
[27:58.280 --> 27:59.280]  them.
[27:59.280 --> 28:00.280]  They had guns, right?
[28:00.280 --> 28:04.360]  And it could have easily just made like Lego, you know, the way that Lego just sort of has
[28:04.360 --> 28:09.080]  like one generic pistol and or like lightsabers, right?
[28:09.080 --> 28:15.400]  Like, so all the Star Wars figures from Lego have a generic, there's just a lightsaber
[28:15.400 --> 28:18.920]  piece, and nobody worries about whether it looks like Darth Vader's lightsaber.
[28:18.920 --> 28:21.880]  You print them out by the thousands, you stick them in boxes.
[28:21.880 --> 28:27.080]  So any of these Star Wars characters with a blaster could have had the same pistol and
[28:27.080 --> 28:28.620]  it, you know, but they got it right.
[28:28.620 --> 28:31.760]  So why in the world wouldn't you get the color of Luke's lightsaber, right?
[28:31.760 --> 28:33.440]  How can you not know he has a blue lightsaber?
[28:33.440 --> 28:35.800]  It was the most ridiculous thing I've ever seen.
[28:35.800 --> 28:42.560]  I suspect they did, and one of you is going to have to correct me on when Pantone actually
[28:42.560 --> 28:43.560]  came around.
[28:43.560 --> 28:48.520]  Because I just don't think that they could, I don't think they could dye that plastic
[28:48.520 --> 28:49.520]  that color.
[28:49.520 --> 28:50.520]  No, because-
[28:50.520 --> 28:51.520]  Yeah, yellow.
[28:51.520 --> 28:52.520]  Yeah, because Obi Wan-
[28:52.520 --> 28:53.520]  It was just blue.
[28:53.520 --> 28:56.000]  Yeah, Obi Wan had a blue lightsaber.
[28:56.000 --> 28:58.920]  Just give him, just get used to the same part from Obi Wan.
[28:58.920 --> 28:59.920]  Oh yeah, wait.
[28:59.920 --> 29:00.920]  Why was this yellow then?
[29:00.920 --> 29:01.920]  It was crazy.
[29:01.920 --> 29:04.080]  Because it wasn't, because I'm thinking of Jedi, and I'm thinking they were trying to
[29:04.080 --> 29:05.560]  do a green thing, but no.
[29:05.560 --> 29:07.040]  I mean, it matches his hair.
[29:07.040 --> 29:08.040]  I don't know.
[29:08.040 --> 29:12.820]  I just sent a picture of, apparently they did 1995 and 2019, they did reproductions
[29:12.820 --> 29:16.680]  of the original Kenner thing, and they faithfully reproduced the yellow lightsaber with a stupid
[29:16.680 --> 29:18.680]  tip on it.
[29:18.680 --> 29:31.580]  Well, anyway, it's a long, it's an erratic annual schedule, but we don't cover everything.
[29:31.580 --> 29:35.880]  We can't cover everything, and we happen to skip the Rise of Skywalker.
[29:35.880 --> 29:36.880]  We don't have time.
[29:36.880 --> 29:37.880]  There's no way.
[29:37.880 --> 29:40.000]  We're already, the introduction has taken us half an hour.
[29:40.000 --> 29:41.000]  There's absolutely no way-
[29:41.000 --> 29:50.560]  John, John, just, can we say that 1977 Luke Skywalker has a very flaccid-looking-
[29:50.560 --> 29:51.560]  It was 1977.
[29:51.560 --> 29:52.560]  It was a long time ago.
[29:52.560 --> 29:53.560]  You gotta allow for-
[29:53.560 --> 29:54.560]  It was.
[29:54.560 --> 29:55.560]  It was.
[29:55.560 --> 29:56.560]  That guy went to way too many key parties.
[29:56.560 --> 29:59.560]  In the immortal words of George Costanza, he was in the pool.
[29:59.560 --> 30:01.200]  He was in the pool.
[30:01.200 --> 30:02.200]  He was.
[30:02.200 --> 30:03.200]  Sorry, John.
[30:03.200 --> 30:07.720]  I don't want to cut you off, because we really should move on, but like, 1977 Luke Skywalker
[30:07.720 --> 30:11.120]  has definitely- You know what?
[30:11.120 --> 30:14.120]  The Obi-Wan character is all kinds of wrong, and that bothered me.
[30:14.120 --> 30:16.840]  I haven't seen this figure in a long time since I was a kid.
[30:16.840 --> 30:19.600]  Yeah, that's the one I grew up with, and that's just not Obi-Wan.
[30:19.600 --> 30:20.600]  He kind of-
