[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[02:19:45.180 --> 02:20:05.180]  That is a massive change in how you travel with an iPad, or how you travel with a portable computer, just like the amount of weight. Because remember, it's it's a cascading effect. So like, let's say you're the 12.9. Essentially, you have to get a bag made for a 13 inch MacBook, right, or 13 inch laptop.
[02:20:05.180 --> 02:20:20.180]  That bag, generally speaking, will come with, you know, room to fit accessories that would you normally fit with that, including a 13 inch laptop charger, which, you know, even the apples are still quite large in the grand scheme of things.
[02:20:20.180 --> 02:20:36.180]  And the, you know, cables and whatever else you might need to attach to that or whatever you don't need. Oh, shut up. It's my Apple Watch. I need to start wearing it backwards like like Greg.
[02:20:36.180 --> 02:20:53.180]  But we're trying to thought Oh, yeah, but with if you move to a 11 inch iPad, you can go down to a bag that's minuscule, right? Overall, it's like tiny, it feels like a like a side bag that you carry, you know, just accessories in or, you know, a day bag or something.
[02:20:53.180 --> 02:21:09.180]  You can go down to that you can ditch or obviously will fit in a purse if you if you just want a solo bag in your in your woman, it'll fit right in your purse. Without a lot of extraneous accessories. You don't really need any massive power adapters, the power adapter for the iPad is tiny.
[02:21:09.180 --> 02:21:16.180]  You know, even the beefier USB C one is very easy to fit in any almost any bag.
[02:21:16.180 --> 02:21:30.180]  It just everything scales down because then you start to rethink everything that you carry with you and you start to question all of it, right? And you go Do I need this? Do I need that? Like I don't really need these USB C cables. I don't need these extension dongles. I don't really need all of this other stuff.
[02:21:30.180 --> 02:21:52.180]  And all of a sudden you're carrying a pair of out of AirPods, a pencil if you want it, the iPad and an adapter the size that's like two inches square and a cable and that's it. Like if you really want to be clever, you don't even have to carry you carry one USB C to lightning cable with you.
[02:21:52.180 --> 02:22:04.180]  And you could charge your phone off of your iPad or off of the iPads charger as well. Because the iPads battery lasts so long that you're almost never in sync of having to charge both of them at the same time.
[02:22:04.180 --> 02:22:15.180]  So for short trips or for quick, you know, lightweight trips or time away from the office or whatever, you could get away with just those four things and be done.
[02:22:15.180 --> 02:22:34.180]  And that is a massive change in lifestyle, you know, in travel lifestyle. And sure, accuse me of getting old and being less desirous of carrying massive amounts of equipment with me, but I feel a hell of a lot better when I'm breezing through an airport with a tiny bag and just an iPad in it.
[02:22:34.180 --> 02:22:47.180]  Not much going on, then, you know, hauling around my entire, you know, supply of cables and adapters and accessories. And it's been a good it's been a great lifestyle to work with portably.
[02:22:47.180 --> 02:23:05.180]  Yeah, and I I'm an 11 inch person. And primarily because I don't use I never really travel extensively with only an iPad. And so I'm the gratuitous jerk who travels with both a MacBook and an iPad.
[02:23:05.180 --> 02:23:17.180]  I wouldn't do that if it was if my only option for an iPad was 12.9 it would be too that's too much. Whereas the 11 feels like I could carry this to and use it for all the dipping in and dipping out type things I said.
[02:23:17.180 --> 02:23:28.180]  But like the other type of travel, which isn't like going away for an extended period of time, but like, back in the old days when Apple would have in person media briefings.
[02:23:28.180 --> 02:23:46.180]  And hopefully the good times when that will come back but like a day trip to New York, right? Like hop on the train here in Philly, go to New York, have a couple meetings, maybe do some work before I leave New York, and then hop back on the train and come back to Philly.
[02:23:46.180 --> 02:24:03.180]  Just taking an iPad for that in a bag. And I have like a shoulder bag that's just the perfect size for like an 11 inch. It's glorious because, you know, there's a lot of walking even more than like in an airport like going to a meeting in New York is a lot more walking
[02:24:03.180 --> 02:24:17.180]  and it just feels it feels like I'm carrying nothing. Not that, you know, a 13 inch MacBook Pro or even a 16 inch MacBook Pro is that much weight. But boy, it feels like you're carrying nothing when you're just carrying around an iPad.
[02:24:17.180 --> 02:24:33.180]  Yeah, well, like the dimensional size, you got to add two to three inches on all sides of it for the bag, you know, and it becomes cumbersome and then by human nature is to fill it with stuff, you know? It cascades, you know?
[02:24:33.180 --> 02:24:38.180]  Right, exactly. I guess I'll just bring this kombucha.
[02:24:38.180 --> 02:24:51.180]  All right, that's good. I will thank you for your time, Matthew. It's always been a pleasure. I wish you and your family the best. Good luck getting out of this thing. Thanks for the good work on your iPad review.
[02:24:51.180 --> 02:24:53.180]  Yeah, thanks. I enjoyed yours as well.
[02:24:53.180 --> 02:25:09.180]  Yeah, thank you. Anyway, people can follow you on Twitter at Panzer, P-A-N-Z-E-R. And of course, you and your team's excellent continuing work at TechCrunch. Anything else you want to promote or did I cover all the bases?
[02:25:09.180 --> 02:25:13.180]  No, not really. Go play Half-Life Alyx if you have VR. It's awesome.
[02:25:13.180 --> 02:25:21.180]  Oh, my son was just telling me about that. My son was just telling me that it's the first like AAA game that's VR first or VR only.
[02:25:21.180 --> 02:25:29.180]  Right. Yeah, it's killer. It's really good. They did a great job. I wrote a review. If anybody wants to check it out, that's about all I got.
[02:25:29.180 --> 02:25:32.180]  Oh, that's the thing you were telling me about that you had to work on.
[02:25:32.180 --> 02:25:52.180]  Yeah, I had to do the iPad review and the Alyx review at the same time. I was playing basically VR every night for three hours trying to finish the game. Everybody's on lockdown right now, so we're all talking in our group chats. I said, I got to do X and Y.
[02:25:52.180 --> 02:26:08.180]  And one of my friends was like, shut the hell up. I don't want to hear you complaining about anything. I'm like, look, this is the career I chose. It's not my fault that I have to play hotly anticipated VR games and test new hardware.
[02:26:08.180 --> 02:26:12.180]  Whereas other people are learning how to cook beans.
[02:26:12.180 --> 02:26:28.180]  Correct. Other people are learning how to cook red beans.
