[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[33:35.000 --> 33:40.000]  Is there a code I think there's a code but I forget it.
[33:40.000 --> 33:45.000]  I'll tell you later about the code.
[33:45.000 --> 33:49.000]  Go there, go to fracture me.com and get some pictures printed.
[33:49.000 --> 33:54.000]  And my thanks to fracture.
[33:54.000 --> 33:58.000]  All right, what was the thought that I had told you to hold in your hands.
[33:58.000 --> 34:20.000]  So the idea is that, um, Apple's messaging has hasn't been as crisp as it as it once was. And, you know, I always hate to dip into the, you know, since Steve Jobs sort of narrative, but I think this is the one area where Apple has does does miss him.
[34:20.000 --> 34:38.000]  And I think a reason they miss him is, is in part because he was so deeply involved in in the messaging approving everything like just like you cannot overstate how involved he was like more than than product design and.
[34:38.000 --> 34:54.000]  And the problem with that is the danger of having a micromanager is well the micromanager is there, presuming he's brilliant as jobs, obviously was particularly when it came to messaging, you'll get great work but once the micromanager is gone everyone underneath the micromanager
[34:54.000 --> 35:06.000]  has just been in pure execution rules, I just got I just got a message from headquarters headquarters says the code for fracture it's a daring fireball, all one word, and when you use that you save 15%.
[35:06.000 --> 35:18.000]  So let's screw it let's not fix it in editing let's let it go this will stick in your head because it came mid conversation daring fireball use that code when you buy your fracture and you save 15% their prices are already really good.
[35:18.000 --> 35:38.000]  And here's the big difference it's another meta angle on this story is in the jobs there it wasn't just that he controlled the messaging from behind the scenes, it was a strategy of truly severe limited access to any and all Apple employees, including jobs himself.
[35:38.000 --> 35:58.000]  Yep, and that's one of the things that really sticks out to me reading becoming Steve Jobs was just how much more accessible, he was personally right up through coming back to Apple in 1997.
[35:58.000 --> 36:23.000]  That it really was a and even maybe even in those first two years, you know, the first few years there at Apple, he was still a lot more accessible to again not any and all not any, you know, Joe or Jane Charlie reporter from anybody but with handpicked reporters from, you know, big name publications like the Wall Street Journal and Fortune and etc.
[36:23.000 --> 36:34.000]  He was pretty accessible, and then that that got shut down. Really, and nobody they nobody got to talk to Apple executives, and you certainly didn't see this.
[36:34.000 --> 36:44.000]  It is clearly a huge strategic change at Apple in terms of just how many people they've made accessible to the press in the run up to the watch.
[36:44.000 --> 36:57.000]  Huge profile of Johnny Ive in the New Yorker, which was clearly months in the making. I mean, maybe the better part of 2014, you know, with a series of interviews and trips to California.
[36:57.000 --> 37:11.000]  Enormous access that was granted to Ian Parker, and the Financial Times had a, you know, clearly not as detailed and as lengthy as Ian Parker but pretty pretty good interview with Johnny Ive on the record.
[37:11.000 --> 37:17.000]  There was a Tim Cook profile by Adam Leshinsky in.
[37:17.000 --> 37:19.000]  Oh boy, Fortune.
[37:19.000 --> 37:21.000]  I know.
[37:21.000 --> 37:33.000]  I, I've, because they, I swear to God, my the way my brain works it's like a hashing algorithm and because they both start with for and their business publications, I always confuse fortune is fortune.
[37:33.000 --> 37:35.000]  Okay.
[37:35.000 --> 37:38.000]  That was last week.
[37:38.000 --> 37:48.000]  And I'm, I think I'm forgetting some, there's any after the event last year there was a bunch to like he was in the Bloomberg Business Week with that, you know, crazy cover.
[37:48.000 --> 37:49.000]  Yeah.
[37:49.000 --> 38:04.000]  But it's interesting I've actually I've actually going back, it's not perfect but I'm doing, I'm searching in Google for the time period, up to the, the actual launch of the watch, or the phone sorry back in 2007, and you would think that any sort of article
[38:04.000 --> 38:14.000]  like this sort of wire article be somewhere at the top and I don't, I can't find anything like it, like the only thing I can find are the reviews that dropped, you know, a week before, I don't recall.
[38:14.000 --> 38:21.000]  And I think I would have I don't recall every hearing about like who designed the interface for the iPhone.
[38:21.000 --> 38:35.000]  And I don't recall. I mean we knew Johnny I've. And, you know, in the jobs era, the best that you got outside Apple was just public recognition, the recognition of who did what.
[38:35.000 --> 38:51.000]  Johnny I would like give a speech like once a year like usually somewhere in Great Britain and like that that that was that was about it, and he was already talking in the videos, you know, I think, I think I've, I've was already, you know, either being interviewed, it wasn't really
[38:51.000 --> 39:06.000]  like now we narrates them but then it was like he was the you know the talking head with the white background, you know, talking about what you know the, you know, meticulous design and, you know, dropping all those excellently impeccably pronounced adjectives.
[39:06.000 --> 39:11.000]  You know, we always know who Schiller is because Schiller is on stage.
[39:11.000 --> 39:21.000]  But you just never got behind this, you know, there's never any kind of access like this like talking to people who designed, you know, the look and feel of the buttons for iOS one and stuff like that.
[39:21.000 --> 39:23.000]  Right.
[39:23.000 --> 39:27.000]  It's all you got was the story that jobs presented on stage.
[39:27.000 --> 39:48.000]  Right. Yeah. So I think there's a couple things here. So one, it was super tightly controlled, which meant means like you're not getting a story like this that I think that I suspect it came out with a spin that Apple probably, probably wouldn't probably wouldn't prefer.
[39:48.000 --> 40:05.000]  So that's kind of part one, like, you know, this is kind of the risk of being open, but part two is even the people who are talking don't don't have a crispness in in what they're saying and, and I know like, in like, yeah, the narrative for skeptics in particular
[40:05.000 --> 40:23.000]  is that, you know, why, why does this exist? Again, like, I actually think this is what's hard about messaging, I actually think what they're saying in this article is exactly right. Like you that I, I don't believe that advancement in technology and computing happens
[40:23.000 --> 40:49.000]  because like great people force it into being like, I think that there's, there's kind of indelible, like an ongoing march forward progress of technology. And the great companies and the great visionaries like a Steve Jobs, their skill is not in like, birthing things per se, it's in seeing where the where the wave is going, and catching it and being on the cutting edge of it.
[40:49.000 --> 41:05.000]  And, and that's why you see again, again, like, there's all these examples of history of like, stuff being invented by multiple people at about the same time, right? It's because like, it's it's the time for something and I and get this is my philosophy with technology, my very first post is just actually like stated this.
