[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[27:32.560 --> 27:39.760]  Yeah, and there's like a lot of little things that they'll have on OS 10. Like we talked about San Francisco for the font. Yeah
[27:40.480 --> 27:42.480]  Have you heard that as well by the way, I have
[27:43.080 --> 27:49.020]  Okay, and I've spoken to people who've seen it on iOS 9. I don't know of anybody who's seen it on OS 10
[27:49.600 --> 27:55.880]  Yeah, I mean, I'm sure you can speak to this too, but it's not the exact same San Francisco as on the Apple Watch
[27:55.880 --> 28:01.800]  You know kind of a little bit more curved. Yeah, maybe like the activity app that is on the iPhone right now
[28:01.800 --> 28:06.400]  Well, I don't know the details of exactly what changes they made, but I am absolutely
[28:07.200 --> 28:09.400]  Positively convinced that it's not the same
[28:11.800 --> 28:19.080]  Digitized version that's on the watch right because if you ran that hack that came out last year that let you I
[28:19.720 --> 28:23.000]  Didn't I don't think that anybody I don't know. I don't have a jailbroken device
[28:23.000 --> 28:25.200]  So I couldn't try it on iOS 9 but I know on OS 10
[28:25.320 --> 28:30.480]  There was the thing on github you download the the version of the font from Apple with a developer account
[28:30.480 --> 28:35.580]  You run a little script and it makes a version of the font that if you put it in system
[28:36.040 --> 28:42.020]  Library fonts and when you reboot your Mac, it'll use that instead of the system's version of Helvetica, Noia
[28:42.840 --> 28:46.100]  And it didn't look bad, but it didn't look right
[28:46.800 --> 28:50.680]  You kind of shift it off a little bit it screwed with the menu bar. So
[28:51.080 --> 28:54.480]  yeah, just just in terms of being like a
[28:54.480 --> 28:59.760]  a person who's super finicky and about typography it just
[29:00.560 --> 29:02.280]  Didn't have the right feel to it
[29:02.280 --> 29:07.360]  Like it's just a feel of it thing not a think of it thing not there's no real way to put it in words
[29:07.360 --> 29:11.360]  and I think the reason why is that the version of San Francisco that Apple
[29:12.080 --> 29:14.080]  crafted for the watch is
[29:14.800 --> 29:16.120]  shockingly
[29:16.120 --> 29:21.400]  Designed to look best at the tiny little sizes that you see it on the watch
[29:21.400 --> 29:25.820]  It's surprising right right, which are way smaller than then
[29:25.820 --> 29:30.120]  That's what the 16-point font that you see in the menu bar on the Mac
[29:31.020 --> 29:35.740]  So there, you know, it's just like a lot of modern-day digital fonts
[29:35.740 --> 29:41.320]  It's you know different optical sizes have different kerning and different details to certain of the glyphs, right?
[29:41.320 --> 29:43.620]  And I think you touched upon this in an earlier podcast
[29:43.760 --> 29:46.380]  I think maybe it was with Dan from or something
[29:46.380 --> 29:48.840]  They kind of you said I think is you I don't put words in your mouth
[29:48.840 --> 29:52.800]  That they're maybe partially doing this because they want to own the whole experience
[29:52.800 --> 29:58.640]  Yeah, I have to license a font from other providers. Well, they're still gonna have that font
[29:58.640 --> 30:01.440]  So they still have to license it. There's no way they're getting rid of Helvetica
[30:02.360 --> 30:07.600]  But this way they have a look that can't be copied. Okay, right. Yeah, that's you know what I mean?
[30:07.600 --> 30:11.420]  So like HTC has used Helvetica Neue for years
[30:12.240 --> 30:16.360]  in like their custom skin for Android, you know and
[30:16.360 --> 30:23.360]  And honestly, it makes their you know, like their lock screen look a lot better than the other Android devices
[30:23.440 --> 30:30.040]  Yeah, absolutely. It's a good fun. But this will put like similarity across Apple's platforms. It's good marketing wise
[30:30.560 --> 30:36.320]  You know, they did the whole revamp of the OS in 13 for iOS 7 and last year for the Mac
[30:36.320 --> 30:42.760]  I think changing up the font a little bit keeps everything fresh. Yeah, and I think that you know
[30:42.760 --> 30:46.720]  there's been other people have written about it in in detail, but
[30:47.960 --> 30:49.960]  Helvetica's
[30:50.600 --> 30:56.000]  It's almost hard to talk about it because it's so it's a ubiquitous font but it's not that
[30:57.280 --> 31:04.640]  Perfectly suited as a UI font and a you user interface font has to meaning the font for things like the labels on buttons
[31:05.120 --> 31:11.400]  The menus, you know the the chrome of the OS as opposed to the content within it
[31:11.400 --> 31:14.600]  It's just not that great for it. It's not really a great
[31:15.480 --> 31:19.960]  Font for that. It's not bad and it looks better on retina screens then
[31:20.840 --> 31:22.840]  Lucida Grande did
[31:23.040 --> 31:30.240]  Great, but San Francisco does there's it's sort of like being a little bit more industrial and a little bit more sturdy where it's you
[31:30.240 --> 31:33.040]  Wouldn't want to read long passages. I'm suspecting
[31:34.120 --> 31:40.360]  For example, like when you open mail, you're still gonna see the contents of your messages in Helvetica Neue
[31:40.360 --> 31:46.120]  It's the labels and the chrome of the OS that'll be San Francisco. I could be wrong. Maybe they'll really
[31:46.520 --> 31:51.880]  Maybe they'll go to San Francisco for content as well. Although I'd be really surprised if they did that on the Mac
[31:52.040 --> 31:57.640]  It's gonna be interesting to see if third-party developers come out with lots of updates to support San Francisco
[31:57.640 --> 32:03.400]  Now like there were all sorts of retina display and touch ID API updates over the years whenever they well
[32:03.840 --> 32:09.040]  You should it should just happen automatically because what they should be doing in the user interface is not
[32:09.040 --> 32:16.400]  Specifying Helvetica Neue but specifying system font, right? Right, but not all developers do that, right? Especially the custom graphics ones
[32:18.020 --> 32:20.660]  No, but I've heard I've heard the same thing, yeah
[32:21.520 --> 32:24.600]  Yeah, so tell me what you know about control center for OS 10
[32:25.180 --> 32:27.020]  So before Yosemite came out
[32:27.020 --> 32:34.340]  They were like the internal builds for Apple employees if you swiped on the left side of your trackpad the exact opposite for how you open
[32:34.340 --> 32:40.260]  Notification Center control center would come out and it would actually move some of the menu bar to the side
[32:40.460 --> 32:45.120]  So the about this Mac Wi-Fi controls volume controls
[32:45.740 --> 32:50.460]  I think some battery indicator things to access system preferences more quickly
[32:51.500 --> 32:55.340]  Brightness music controls similar to how it is on iOS
[32:56.020 --> 32:57.580]  Bluetooth
[32:57.580 --> 33:00.940]  Maybe they'll replicate the menu bar but not remove the menu bar
[33:00.940 --> 33:06.140]  So you can access it on either side or maybe they'll just won't ship it with control center altogether
[33:06.140 --> 33:08.780]  But it's basically what you think it would be
[33:09.140 --> 33:14.860]  Yeah, I I think that part of it is where whenever Apple comes up with something new it always
[33:15.420 --> 33:22.680]  Helps me to think just take a big step back and just think well why and I one thing I could think of when I read
[33:22.680 --> 33:24.060]  that is
[33:24.060 --> 33:26.060]  all these tiny little
[33:26.060 --> 33:31.840]  Icons in the menu bar have always been to me a bit of a hack user interface wise
[33:32.220 --> 33:39.300]  Like the thing that makes sense in the menu bar are just the menus file edit view history bookmarks
[33:39.300 --> 33:41.380]  You can see I'm in Safari, right?
[33:42.340 --> 33:49.100]  Those little status things have never really felt at home up there and I know why they're there
[33:49.100 --> 33:52.180]  It's because you want them to be accessible quickly
[33:52.180 --> 33:59.300]  Like here quick. How do I turn my sound down? Okay, I'll go up there to this speaker thing and drag a menu down
[33:59.980 --> 34:02.340]  But it's never really felt right to me
[34:02.340 --> 34:08.420]  I don't know how to say it semantically grammatically in terms of the user interface and there was a time
[34:08.420 --> 34:09.780]  I don't know if you remember this
[34:09.780 --> 34:14.900]  There was a time in the early days of OS 10 where they were like I'm gonna I don't remember the names
[34:14.900 --> 34:16.620]  But there were two ways to write those
[34:16.620 --> 34:22.380]  menu things and there was one that was using a private API and Apple used it and another using the
[34:23.060 --> 34:25.060]  public API and
[34:25.820 --> 34:32.700]  You know developers, but they wanted to do the extra stuff the private API could do so they use that one and you know
[34:32.700 --> 34:34.860]  All sorts of ugliness ensued
[34:35.820 --> 34:40.100]  Do you think they'll offer a way for developers to tap into control center on the Mac?
[34:40.540 --> 34:42.180]  Yeah, yeah, I do
[34:42.180 --> 34:43.500]  I think if they come out with it
[34:43.500 --> 34:48.700]  They definitely would in the same way that they you know have with the like today widgets, right?
[34:49.740 --> 34:51.140]  control
[34:51.140 --> 34:52.640]  Well, especially on the Mac
[34:52.640 --> 34:58.860]  I think they're way more likely to give developers access to new things like that on the Mac than they are on iOS
[34:59.380 --> 35:02.660]  Right because iOS control center is not it's not really touchable
[35:02.820 --> 35:03.580]  No
[35:03.580 --> 35:09.980]  But I think that they would and I think the reason that they would is I think going all the way back to Mac OS
[35:09.980 --> 35:14.700]  10.0 way back when you know when you were like two years old
[35:15.780 --> 35:17.220]  Thanks
[35:17.220 --> 35:24.300]  I don't think Apple has ever liked the idea of third parties putting stuff up in the menu bar the little icon menus
[35:24.660 --> 35:29.580]  Just is you know, just like it's just a little bit gross and it kind of looks terrible, too
[35:29.580 --> 35:34.100]  Just as an eyesore when they were doing the retina transition some of those icons weren't retina yet
