[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[24:25.120 --> 24:30.980]  Like that's that's so why didn't I ever think of that? Well, that's exactly like what I would have drawn as a kid
[24:30.980 --> 24:37.940]  This had kind of a similar effect where I'm watching the trailer and you hear the snap hiss and the red blade comes out
[24:37.940 --> 24:41.260]  And there's like this weird crackle effect. You don't know it's like it's the rain what's going on
[24:41.420 --> 24:46.260]  It's like a broken lightsaber and you're like the me at least I'm tuned into that for a second
[24:46.260 --> 24:50.460]  I'm excited like I get chills and then these little tiny blades come out the side
[24:50.540 --> 24:55.900]  So my reaction went from whoa to wait what I just you know, I don't know I accept it
[24:55.900 --> 24:59.620]  I didn't I didn't you know, it's obviously a weird design
[24:59.620 --> 25:04.260]  I think if I were a Jedi or a Sith I would not use a lightsaber like that
[25:04.700 --> 25:06.700]  You're just that much more likely to hurt yourself
[25:07.260 --> 25:07.860]  You know
[25:07.860 --> 25:13.660]  I don't I feel like if you if you know the force you the the force will keep you from hurting yourself with it
[25:13.660 --> 25:16.980]  But it doesn't do what is it? What is it for if it's a cross guard?
[25:16.980 --> 25:22.780]  I mean the internet has done a pretty good job of showing that that's a terrible design if somebody's blade slides down
[25:22.780 --> 25:26.060]  It's gonna cut the metal part not the blade. It's gonna cut right through it
[25:26.060 --> 25:29.060]  Yeah, but maybe it
[25:29.460 --> 25:33.500]  Yeah, I don't know. I guess it's supposed to be something like a cross guard. Maybe it's just supposed to look cool
[25:33.500 --> 25:36.200]  Maybe it's just you know, the guy thinks it looks badass. I don't know
[25:36.380 --> 25:42.100]  I've always had the impression that you don't really need a cross guard on lightsabers like you do on real swords because it seems to
[25:42.100 --> 25:47.540]  Me like when two sabers connect they kind of stick and there's no way to slide it. Oh, really?
[25:48.540 --> 25:50.380]  I've never gotten that out of it
[25:50.380 --> 25:55.180]  But I know it seems like it seems like when they lock up and they make that two sabers locked up sound
[25:55.180 --> 25:57.340]  It doesn't seem like there's any kind of friction between them
[25:58.300 --> 26:02.780]  For a long time watching the the obi-wan vader fight at the end of a new hope
[26:02.780 --> 26:07.820]  I thought that like obi-wan's blade was shorting out because the angle at which that scene was filmed
[26:08.220 --> 26:12.620]  His lightsaber kind of tilts back and it looks like the blade shortens
[26:12.620 --> 26:17.300]  So I thought for a long time that his blade was shorting out and that's where the dramatic tension in that scene came from
[26:17.300 --> 26:21.580]  Wasn't a literary list was at the angle. Yeah, it's funny a lot of that
[26:21.580 --> 26:26.420]  It's funny because how the the saber fights get ever more elaborate, you know
[26:26.420 --> 26:32.140]  The the one the one in Star Wars a new hope is is so pedestrian
[26:33.660 --> 26:40.580]  Because it's old guys it's a couple old guys. Well, and it's an old guy a David Prowse wasn't old at the time
[26:40.580 --> 26:45.860]  He was actually pretty much in the prime of life, but he had a helmet on I just met the characters
[26:45.860 --> 26:50.900]  Obi-wan and Vader were supposed to be yeah, but that's why that's not why it was like that. I think it was big
[26:50.900 --> 26:55.260]  I think partially Alec Guinness was was physically a little a little limited
[26:56.060 --> 26:58.060]  Because he was kind of old
[26:58.340 --> 27:02.380]  And I think David Prowse famously couldn't see shit out of the Darth Vader helmet
[27:02.380 --> 27:07.900]  He just couldn't see so there was like, you know severe limitations as to what there are any stuntman who was in there
[27:07.900 --> 27:14.120]  You know could could could see and it was combined with I think the optical needs of the way that they you know
[27:14.120 --> 27:20.200]  The way that they had the sabers made so that they were made out of the glow glowy stuff that they could easily
[27:20.560 --> 27:23.360]  Rotoscope the colors on yeah, no, maybe
[27:23.960 --> 27:25.640]  You know and they just never done it before
[27:25.640 --> 27:29.400]  I mean and it's still see because it had never been done before and it just looked so cool and
[27:29.680 --> 27:35.640]  You know, maybe somebody had had the idea of laser swords, you know in pulp science fiction
[27:35.640 --> 27:38.000]  You know for a hundred years over and over and over again
[27:38.000 --> 27:42.560]  but nobody had ever made one that looked like it was really a real thing which is you know, the
[27:42.560 --> 27:46.280]  The awesome part about lightsabers and a new hope they looked real
[27:48.320 --> 27:50.680]  But that lightsaber fight was pretty that was pretty weak
[27:51.080 --> 27:58.320]  Let me say this before before we go on to I am super super anti spoiler like I I know
[27:58.640 --> 28:03.720]  Nothing about this nudes episode 7 other than the basics of you know that you know
[28:04.080 --> 28:09.500]  Who's directing it the cast the rough time frame and that's it. I don't follow any of the websites
[28:09.500 --> 28:12.960]  I don't know anything. I'm the same way and I don't want to watch the trailer. I
[28:13.680 --> 28:15.680]  I trusted I
[28:16.720 --> 28:20.860]  Might skip subsequent trailers. I trusted the fact that it was a
[28:21.880 --> 28:23.880]  Immediately billed as a teaser
[28:23.960 --> 28:28.600]  Yeah, yeah, like calling it a teaser made me feel very safe about watching it
[28:28.600 --> 28:33.040]  I get I don't like watching trailers for movies and it kind of comes
[28:33.640 --> 28:35.640]  Really comes down to the Hunger Games
[28:35.660 --> 28:39.320]  When I went to see the Hunger Games is because my friends wanted to go see movie and that's what they picked
[28:39.320 --> 28:42.960]  I knew nothing about it other than the poster had a girl with a bow and arrow
[28:43.360 --> 28:45.840]  Like I didn't know I didn't even know it was a based on a book
[28:45.840 --> 28:48.400]  I went into that movie knowing nothing and knowing nothing
[28:48.400 --> 28:52.780]  I enjoyed it and I was kind of hung up on how much I enjoyed
[28:53.200 --> 28:55.600]  every moment of that movie was a surprise to me and
[28:56.040 --> 28:59.360]  I realized that most of the time if I watch a trailer for something
[28:59.360 --> 29:02.800]  It's a movie that I want to see and if I want to see the movie
[29:02.800 --> 29:07.000]  I already know going into the trailer that I want to see the movie. I know now I'm
[29:07.000 --> 29:10.600]  I mean they can Disney can just have my money today. I'll pay for the ticket now
[29:10.640 --> 29:13.240]  There's no way I'm not gonna go see the next Star Wars movie
[29:13.360 --> 29:15.720]  So what does watching the trailer get me?
[29:16.080 --> 29:23.040]  It can only show me things that I would get to see later and be surprised by yeah, the modern era of trailer
[29:23.880 --> 29:29.520]  Editing which is evolved very very clearly into the form of Kim
[29:29.520 --> 29:33.300]  How much can we condense the entire plot of this movie? Right?
[29:33.300 --> 29:37.940]  I mean minus maybe like a just the ultimate
[29:38.820 --> 29:41.140]  plot twist at the end everything but
[29:41.500 --> 29:45.860]  Yeah, and if you're a movie person then you like even while you're watching the movie
[29:45.860 --> 29:52.220]  You'll start to figure things out and if they give you enough plot points in the trailer your moviegoer story
[29:52.900 --> 29:57.740]  Follower mind is gonna fill in those gaps and you you know what the story's gonna be before it all down the theater
[29:57.740 --> 30:01.140]  It always surprises me too when and I'm not a big
[30:01.140 --> 30:04.580]  Believer in like the three-act structure
[30:04.580 --> 30:11.020]  I don't think that any you know, I don't think most good films adhere to it in a very formal sense
[30:11.020 --> 30:15.060]  I just think it's the basic sense that you know, you know, you want to have a beginning middle and end
[30:17.860 --> 30:22.700]  But in loose terms it always surprises me when a trailer that has my attention and hey
[30:22.700 --> 30:26.260]  This looks like a good movie file this way make a Vesper, you know note, you know
[30:26.260 --> 30:29.600]  Make a note in Vesper to you know, put it on my movies to watch list
[30:29.600 --> 30:31.600]  it
[30:32.320 --> 30:35.960]  Once the trailer gets to that part where I'm into it I this is a movie
[30:35.960 --> 30:40.400]  I'm making a note now because when it comes out, I want to see it and then it keeps going
[30:41.240 --> 30:46.100]  I've already been there and it keeps going and they're clearly going into act two, right?
[30:46.100 --> 30:49.800]  They're clearly going into the middle of movie and it's like why why are you showing me this?
[30:49.800 --> 30:54.780]  I don't want it. You already had me. Why why are you doing this like say something?
[30:54.780 --> 31:00.040]  Let me let me just experience this and I do think too though as somebody who has a rudimentary
[31:00.200 --> 31:07.160]  You know dilettantes and interest in making movies and has you know, I should I made student films in college and I you know
[31:08.040 --> 31:12.000]  Diddle with video now and think about it. I understand, you know, how
[31:12.540 --> 31:19.840]  How fun it can be to edit video but how hard it is to edit video the way that you that trailer?
[31:20.040 --> 31:22.080]  editors can condense a
[31:22.080 --> 31:28.320]  a two-hour motion picture into 90 seconds that spoils almost all of it is
[31:28.960 --> 31:30.160]  incredible
[31:30.160 --> 31:33.560]  artistically as like the craft of editing cinema how how
[31:34.280 --> 31:38.360]  how how they can but it's the effect of it is so
[31:40.120 --> 31:41.760]  It's just so
[31:41.760 --> 31:48.340]  Disappointing well ever since Hunger Games and I've this I've established this rule every time I break it every time I watch a trailer
[31:48.340 --> 31:53.140]  I regret it. The most recent example is I watch the trade. Did you see a million ways to die in the West?
[31:53.160 --> 31:55.160]  No, that's what's his name?
[31:56.160 --> 31:58.360]  Yeah, Seth MacFarlane. Yeah, I haven't seen that. Is it good?
