[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[32:59.000 --> 33:15.000]  There is a way to do it, but we require changes that I think if we discovered that Tim Cook had authorized or anyone in the company had authorized those kind of changes, and they'd been rolled out, it's possibly he'd be committing a crime under U.S. law.
[33:15.000 --> 33:16.000]  Right.
[33:16.000 --> 33:20.000]  So, I don't think he could do it. It could be fraud.
[33:20.000 --> 33:27.000]  I mean, their marketing materials, everything they say says they don't do it, so they would be committing certain kinds of consumer and criminal fraud potentially if they change that.
[33:27.000 --> 33:28.000]  Right.
[33:28.000 --> 33:35.000]  The hit to their credibility would be worth more money financially than the Chinese market. It would absolutely devastate the company. It would crater the company.
[33:35.000 --> 33:43.000]  And again, is it possible that they might start blocking iMessage, and is that the line where they would pull out of China? No, probably not.
[33:43.000 --> 33:56.000]  I'm just saying I cited iMessage and FaceTime as end-to-end encrypted things that completely work in China, not as that's the only reason why Apple should stay in China, but just one example of why I think it should.
[33:56.000 --> 33:57.000]  Mm-hmm.
[33:57.000 --> 34:04.000]  And that the main thing is to think about, you know, is it good or better or worse for the Chinese people? Anyway, that was my thing.
[34:04.000 --> 34:07.000]  What do you want to talk about? You had a Foxconn idea?
[34:07.000 --> 34:10.000]  Well, I just want to, this is a little bit of a segue, but it's kind of very similar.
[34:10.000 --> 34:19.000]  So, you know, Foxconn, so Trump had that big announcement with Scott Walker in Wisconsin that, hey, I've brokered this deal and Foxconn's coming, even though the deal has been in progress since 2014.
[34:19.000 --> 34:20.000]  Right.
[34:20.000 --> 34:21.000]  And Foxconn's been talking about it.
[34:21.000 --> 34:27.000]  Foxconn's enabling the presidency by allowing these kinds of messages to be said, and, you know, so that's a deal.
[34:27.000 --> 34:45.000]  But so here's the thing that cracks me up, is this is the kind of good deal we're getting, is that, of course, states, unfortunately, work, they're actually all competing against each other to lure businesses, and it winds up Boeing got billions of dollars from my state, Washington state, and then immediately, almost immediately started laying people off and restructuring its operations.
[34:45.000 --> 34:57.000]  And there's a lot of anger here about Boeing because of that, because they got, I think, the largest single tax incentive plan, and it was not structured to only be in effect if based on the employment issues.
[34:57.000 --> 35:00.000]  So, you know, they're able to locate new production lines elsewhere.
[35:00.000 --> 35:14.000]  So, so Wisconsin is very happy to offer $3 billion in state tax breaks to, which winds up being $230,000 per worker, assuming the factory employs 13,000 jobs.
[35:14.000 --> 35:21.000]  So this is a 15-year deal, and in 15 years, 13,000 jobs probably won't generate tax revenue that even approaches that much.
[35:21.000 --> 35:26.000]  I mean, there's an issue about the tax, there'll be revenue booked from the plant that they'll get tax from.
[35:26.000 --> 35:30.000]  There's other things, although because of this, we don't know what the final thing would be.
[35:30.000 --> 35:35.000]  But I'm just like, this is the kind of big, beautiful deal that's being made, is just giving all this money away.
[35:35.000 --> 35:43.000]  The state's giving away so much that it's going to wind up maybe never making, you know, more money.
[35:43.000 --> 35:50.000]  I really, while we're on it, I just have to say that this thing where Trump, was it an interview with the Washington Post? I forget who it was with.
[35:50.000 --> 35:52.000]  Oh, was that the New York, which one is this?
[35:52.000 --> 35:55.000]  I don't know, the one where he said that, you know, I talked to, Tim Cook called me up.
[35:55.000 --> 36:03.000]  He said, Don, we're going to build three big, beautiful plants right here in the U.S.
[36:03.000 --> 36:04.000]  Yeah, Wall Street Journal.
[36:04.000 --> 36:05.000]  Wall Street Journal.
[36:05.000 --> 36:09.000]  Yeah, that was that interview where they didn't release the transcript originally, and then it got released later.
[36:09.000 --> 36:12.000]  It got leaked, and eternity said all kinds of crazy things.
[36:12.000 --> 36:13.000]  This part was reported.
[36:13.000 --> 36:15.000]  Apple did not respond.
[36:15.000 --> 36:24.000]  I wasn't sure if that was something to do with, you know, that they were only a week away from the earnings call or whatever, but it was obviously asked on the earnings call.
[36:24.000 --> 36:27.000]  And Tim Cook gave another very politically.
[36:27.000 --> 36:29.000]  That was a very good answer.
[36:29.000 --> 36:30.000]  Well considered.
[36:30.000 --> 36:34.000]  But the translation is, we have no idea what the fuck he's talking about.
[36:34.000 --> 36:35.000]  Right.
[36:35.000 --> 36:36.000]  We have no plans.
[36:36.000 --> 36:39.000]  I think the Foxconn, like, it's just, he doesn't, nobody,
[36:39.000 --> 36:41.000]  I guess that's the kernel.
[36:41.000 --> 36:48.000]  I guess that, you know, because he did, he, he did make political hay out of this Foxconn plant in, in not Minnesota.
[36:48.000 --> 36:50.000]  It's Wisconsin.
